,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TLG,HOSE,02/01/2019,,44905,44905,44905,44905,10,650000
1,TLG,HOSE,03/01/2019,,44214,44491,44214,44491,20,1280000
2,TLG,HOSE,04/01/2019,,45527,45527,45527,45527,210,13840000
3,TLG,HOSE,07/01/2019,,43178,44905,43178,44214,110,7050000
4,TLG,HOSE,08/01/2019,,43523,44145,41727,44145,1570,94910000
5,TLG,HOSE,09/01/2019,,42211,43938,42142,43869,1650,104240000
6,TLG,HOSE,10/01/2019,,44145,45941,44145,45941,370,24450000
7,TLG,HOSE,11/01/2019,,44905,45458,43731,44007,460,29330000
8,TLG,HOSE,14/01/2019,,44007,45112,44007,45112,380,25000000
9,TLG,HOSE,15/01/2019,,44905,44905,43109,43592,1590,100270000
10,TLG,HOSE,16/01/2019,,45458,45458,42902,43523,50,3000000
11,TLG,HOSE,17/01/2019,,42971,42971,42694,42694,630,39000000
12,TLG,HOSE,18/01/2019,,44145,44145,42625,44007,1610,99540000
13,TLG,HOSE,21/01/2019,,44836,45596,42487,44836,1460,90880000
14,TLG,HOSE,22/01/2019,,42418,44560,42418,44491,50,3160000
15,TLG,HOSE,23/01/2019,,42833,43938,42833,43938,130,8080000
16,TLG,HOSE,24/01/2019,,41865,43040,41520,42487,1220,74250000
17,TLG,HOSE,25/01/2019,,42487,42625,41451,42142,550,33590000
18,TLG,HOSE,28/01/2019,,43040,43040,41451,42280,1260,76300000
19,TLG,HOSE,29/01/2019,,41589,42280,41451,41520,690,41490000
20,TLG,HOSE,30/01/2019,,40069,42625,40069,42142,770,46380000
21,TLG,HOSE,31/01/2019,,43385,43385,41451,42211,230,14070000
22,TLG,HOSE,01/02/2019,,42625,42625,42211,42625,2090,128950000
23,TLG,HOSE,11/02/2019,,42280,43731,42142,43109,1670,103200000
24,TLG,HOSE,12/02/2019,,41451,43178,41451,42142,2320,141460000
25,TLG,HOSE,13/02/2019,,43178,43178,43178,43178,110,6880000
26,TLG,HOSE,14/02/2019,,43454,43938,42833,42833,160,10000000
27,TLG,HOSE,15/02/2019,,43800,43800,41865,43040,90,5610000
28,TLG,HOSE,18/02/2019,,43731,43731,42418,42833,1600,98730000
29,TLG,HOSE,19/02/2019,,43454,43662,43454,43662,50,3150000
30,TLG,HOSE,20/02/2019,,43662,46494,43662,46494,60,3940000
31,TLG,HOSE,21/02/2019,,43385,45458,43247,44283,1860,116860000
32,TLG,HOSE,22/02/2019,,44283,44283,44283,44283,0,0
33,TLG,HOSE,25/02/2019,,42349,43869,42349,43662,830,52260000
34,TLG,HOSE,26/02/2019,,42487,43592,42418,43454,160,9900000
35,TLG,HOSE,27/02/2019,,42487,43316,42487,43316,330,20540000
36,TLG,HOSE,28/02/2019,,43662,43869,42142,43869,2760,171460000
37,TLG,HOSE,01/03/2019,,43109,44007,43109,43592,770,48430000
38,TLG,HOSE,04/03/2019,,43869,43869,42833,43800,6850,427580000
39,TLG,HOSE,05/03/2019,,43731,43731,43731,43731,1480,93680000
40,TLG,HOSE,06/03/2019,,43731,43731,43523,43523,300,18960000
41,TLG,HOSE,07/03/2019,,42833,43800,42833,43800,320,19870000
42,TLG,HOSE,08/03/2019,,42902,43731,42902,43523,540,33900000
43,TLG,HOSE,11/03/2019,,42556,43938,42142,43523,590,36400000
44,TLG,HOSE,12/03/2019,,42833,43523,42625,42694,2970,184060000
45,TLG,HOSE,13/03/2019,,42556,43454,42556,43454,520,32110000
46,TLG,HOSE,14/03/2019,,43454,43454,42487,43178,1680,217600000
47,TLG,HOSE,15/03/2019,,42487,43178,42487,43178,500,30980000
48,TLG,HOSE,18/03/2019,,42625,43178,42625,43109,4540,283310000
49,TLG,HOSE,19/03/2019,,42142,42833,42003,42833,3150,192400000
50,TLG,HOSE,20/03/2019,,42073,42763,41727,42487,23040,1404450000
51,TLG,HOSE,21/03/2019,,41865,42487,41451,41451,8980,545950000
52,TLG,HOSE,22/03/2019,,40760,42349,40760,41865,590,35310000
53,TLG,HOSE,25/03/2019,,41520,41658,41451,41589,910,54680000
54,TLG,HOSE,26/03/2019,,40967,41796,40967,41451,560,34000000
55,TLG,HOSE,27/03/2019,,42142,42142,40760,41451,120,7000000
56,TLG,HOSE,28/03/2019,,41451,41796,41451,41796,940,56000000
57,TLG,HOSE,29/03/2019,,41796,41796,41451,41451,130,8000000
58,TLG,HOSE,01/04/2019,,41451,41451,39793,41382,1430,83600000
59,TLG,HOSE,02/04/2019,,41382,41382,41382,41382,580,34740000
60,TLG,HOSE,03/04/2019,,41382,41451,41382,41451,220,13200000
61,TLG,HOSE,04/04/2019,,41451,41451,40553,41451,5560,333210000
62,TLG,HOSE,05/04/2019,,41451,41451,40760,41451,3390,200290000
63,TLG,HOSE,08/04/2019,,41451,41451,40760,41451,1380,82790000
64,TLG,HOSE,09/04/2019,,41451,41451,41244,41313,6640,398330000
65,TLG,HOSE,10/04/2019,,41244,41244,41105,41174,220,13120000
66,TLG,HOSE,11/04/2019,,41244,41451,41105,41105,700,41730000
67,TLG,HOSE,12/04/2019,,41382,41451,41382,41451,330,19780000
68,TLG,HOSE,16/04/2019,,41451,41451,41451,41451,60,3600000
69,TLG,HOSE,17/04/2019,,41451,41796,41451,41451,9770,589520000
70,TLG,HOSE,18/04/2019,,41451,41796,40760,40760,6820,407530000
71,TLG,HOSE,19/04/2019,,41105,41382,40898,40898,60,3580000
72,TLG,HOSE,22/04/2019,,40760,43523,40760,43454,6350,381260000
73,TLG,HOSE,23/04/2019,,40829,43454,40829,43247,820,50380000
74,TLG,HOSE,24/04/2019,,40861,43529,40440,43459,3070,178440000
75,TLG,HOSE,25/04/2019,,40791,42827,40791,42827,90,5.43
76,TLG,HOSE,26/04/2019,,42476,43318,42476,42897,160,9750000
77,TLG,HOSE,02/05/2019,,42827,42827,41423,41423,1250,74350000
78,TLG,HOSE,03/05/2019,,41984,42125,41072,41563,260,15380000
