,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TMT,HOSE,02/01/2019,,8443,8443,8443,8443,0,0
1,TMT,HOSE,03/01/2019,,8158,8158,8158,8158,10,90000
2,TMT,HOSE,04/01/2019,,8268,8268,8241,8241,350,3140000
3,TMT,HOSE,07/01/2019,,7763,7809,7671,7763,2260,19120000
4,TMT,HOSE,08/01/2019,,7763,7763,7221,7625,46060,363080000
5,TMT,HOSE,09/01/2019,,7258,7791,7120,7781,5590,44000000
6,TMT,HOSE,10/01/2019,,7258,7726,7258,7726,5010,40090000
7,TMT,HOSE,11/01/2019,,7258,7809,7212,7809,5330,42210000
8,TMT,HOSE,14/01/2019,,7809,7809,7809,7809,0,0
9,TMT,HOSE,15/01/2019,,7984,7984,7984,7984,1610,13990000
10,TMT,HOSE,16/01/2019,,7441,7441,7441,7441,30,0
11,TMT,HOSE,17/01/2019,,7166,7717,7166,7717,5980,48000000
12,TMT,HOSE,18/01/2019,,7258,7717,7258,7717,4010,31680000
13,TMT,HOSE,21/01/2019,,7212,7249,7184,7184,15280,119940000
14,TMT,HOSE,22/01/2019,,6890,6890,6844,6890,21260,158390000
15,TMT,HOSE,23/01/2019,,6569,6872,6413,6413,13250,93610000
16,TMT,HOSE,24/01/2019,,5972,6817,5972,6431,760,5000000
17,TMT,HOSE,25/01/2019,,6017,6394,5981,6394,3750,24510000
18,TMT,HOSE,28/01/2019,,6422,6605,5972,6431,6420,44390000
19,TMT,HOSE,29/01/2019,,6789,6789,5990,6752,900,5890000
20,TMT,HOSE,30/01/2019,,6881,6881,6339,6835,11060,76840000
21,TMT,HOSE,31/01/2019,,7239,7239,6431,6523,860,6280000
22,TMT,HOSE,01/02/2019,,6789,6789,6514,6780,16290,118490000
23,TMT,HOSE,11/02/2019,,7129,7129,7074,7120,130,1000000
24,TMT,HOSE,12/02/2019,,7524,7524,7074,7524,630,5150000
25,TMT,HOSE,13/02/2019,,7901,7901,7533,7754,10690,87770000
26,TMT,HOSE,14/02/2019,,7304,7763,7304,7763,5220,43590000
27,TMT,HOSE,15/02/2019,,7221,7800,7221,7781,4350,35780000
28,TMT,HOSE,18/02/2019,,7258,7708,7239,7634,35680,281670000
29,TMT,HOSE,19/02/2019,,7102,7892,7102,7735,26240,203510000
30,TMT,HOSE,20/02/2019,,7203,7423,7203,7423,8390,65780000
31,TMT,HOSE,21/02/2019,,6982,7239,6909,7239,14210,107030000
32,TMT,HOSE,22/02/2019,,6752,6955,6734,6955,22340,163840000
33,TMT,HOSE,25/02/2019,,6890,7239,6890,7239,6500,50760000
34,TMT,HOSE,26/02/2019,,7074,7074,6734,6734,12510,93960000
35,TMT,HOSE,27/02/2019,,6881,7019,6707,6752,13940,104350000
36,TMT,HOSE,28/02/2019,,7028,7028,6697,6697,30,220000
37,TMT,HOSE,01/03/2019,,7065,7065,6752,7037,8560,64030000
38,TMT,HOSE,04/03/2019,,7028,7083,6890,7083,13250,101230000
39,TMT,HOSE,05/03/2019,,7083,7340,6890,6982,7490,57090000
40,TMT,HOSE,06/03/2019,,7166,7166,6624,6624,4210,31600000
41,TMT,HOSE,07/03/2019,,7074,7074,6716,6716,3380,25770000
42,TMT,HOSE,08/03/2019,,6752,6798,6752,6752,4110,30240000
43,TMT,HOSE,11/03/2019,,6798,6982,6798,6982,4000,29830000
44,TMT,HOSE,12/03/2019,,7074,7166,6936,6936,6090,46830000
45,TMT,HOSE,13/03/2019,,6936,7258,6936,7258,11590,88990000
46,TMT,HOSE,14/03/2019,,7441,7533,7350,7533,10550,86070000
47,TMT,HOSE,15/03/2019,,7460,7460,7166,7350,12040,94730000
48,TMT,HOSE,18/03/2019,,7350,7625,7350,7625,21190,173110000
49,TMT,HOSE,19/03/2019,,7717,7717,7533,7717,6850,57120000
50,TMT,HOSE,20/03/2019,,7809,7901,7735,7735,4350,36890000
51,TMT,HOSE,21/03/2019,,7717,7717,7671,7671,2810,23460000
52,TMT,HOSE,22/03/2019,,7625,7671,7625,7671,3370,28130000
53,TMT,HOSE,25/03/2019,,7671,7671,7671,7671,2790,23300000
54,TMT,HOSE,26/03/2019,,7147,7809,7147,7809,20,0
55,TMT,HOSE,27/03/2019,,7285,7809,7285,7809,2470,20000000
56,TMT,HOSE,28/03/2019,,7809,7809,7350,7699,11740,96000000
57,TMT,HOSE,29/03/2019,,7699,7699,7699,7699,0,0
58,TMT,HOSE,01/04/2019,,7166,7809,7166,7809,17340,145590000
59,TMT,HOSE,02/04/2019,,7717,7855,7717,7846,1510,12830000
60,TMT,HOSE,03/04/2019,,7993,8388,7993,8388,9770,85310000
61,TMT,HOSE,04/04/2019,,8544,8967,8544,8636,59780,582730000
62,TMT,HOSE,05/04/2019,,8728,9003,8728,8911,32590,315350000
63,TMT,HOSE,08/04/2019,,8911,8911,8360,8360,1390,12880000
64,TMT,HOSE,09/04/2019,,8360,8728,8360,8728,6460,61210000
65,TMT,HOSE,10/04/2019,,8498,9187,8498,9187,11800,114780000
66,TMT,HOSE,11/04/2019,,9187,9187,8728,8911,66550,638870000
67,TMT,HOSE,12/04/2019,,8911,8911,8360,8360,3850,36180000
68,TMT,HOSE,16/04/2019,,8452,8544,7846,7846,2840,24480000
69,TMT,HOSE,17/04/2019,,8259,8259,7846,7901,6800,58210000
70,TMT,HOSE,18/04/2019,,7901,7901,7533,7533,12320,105290000
71,TMT,HOSE,19/04/2019,,7717,7717,7350,7350,6410,51320000
72,TMT,HOSE,22/04/2019,,7864,7864,6835,6835,20310,153210000
73,TMT,HOSE,23/04/2019,,7313,7313,6899,7313,1110,8790000
74,TMT,HOSE,24/04/2019,,7800,7818,6909,6909,18250,149430000
75,TMT,HOSE,25/04/2019,,7377,7386,7377,7386,7530,60.52
76,TMT,HOSE,26/04/2019,,7901,7901,7809,7901,24180,207950000
77,TMT,HOSE,02/05/2019,,8259,8259,7910,8085,7190,62810000
78,TMT,HOSE,03/05/2019,,7809,8085,7809,8085,550,4830000
79,TMT,HOSE,06/05/2019,,7809,8406,7809,8406,8240,73020000
