,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TN1,HOSE,30/05/2019,,11599,11599,11599,11599,30,1080000
1,TN1,HOSE,31/05/2019,,12404,12404,12404,12404,30,1160000
2,TN1,HOSE,03/06/2019,,13258,13258,13258,13258,30,1230000
3,TN1,HOSE,04/06/2019,,13258,13258,13258,13258,0,0
4,TN1,HOSE,05/06/2019,,14176,14176,14176,14176,30,1320000
5,TN1,HOSE,06/06/2019,,15159,15159,15159,15159,30,1410000
6,TN1,HOSE,07/06/2019,,15465,15465,15465,15465,3000,144000000
7,TN1,HOSE,10/06/2019,,16528,16528,16528,16528,40,2050000
8,TN1,HOSE,11/06/2019,,17656,17656,17076,17076,470,25670000
9,TN1,HOSE,12/06/2019,,18268,18268,18268,18268,380,21550000
10,TN1,HOSE,13/06/2019,,19524,19524,19524,19524,430,26060000
11,TN1,HOSE,14/06/2019,,20877,20877,18687,18687,1000,58260000
12,TN1,HOSE,17/06/2019,,18042,18042,17398,17398,440,23780000
13,TN1,HOSE,18/06/2019,,16206,17559,16206,17559,590,29720000
14,TN1,HOSE,19/06/2019,,16335,17559,16335,17559,1030,52260000
15,TN1,HOSE,20/06/2019,,16335,17559,16335,17559,1030,52260000
16,TN1,HOSE,21/06/2019,,0,17462,15207,17462,1120,53700000
17,TN1,HOSE,24/06/2019,,17398,17720,17398,17720,1320,72420000
18,TN1,HOSE,25/06/2019,,17720,17720,17688,17720,2030,111650000
19,TN1,HOSE,26/06/2019,,17881,18042,17881,18042,330,18330000
20,TN1,HOSE,27/06/2019,,18042,18042,17237,17881,570,31800000
21,TN1,HOSE,28/06/2019,,17849,17881,17849,17881,680,37740000
22,TN1,HOSE,01/07/2019,,16754,19105,16657,17720,1630,88400000
23,TN1,HOSE,02/07/2019,,17398,17398,16496,17398,1410,75860000
24,TN1,HOSE,03/07/2019,,17237,17237,17237,17237,1530,81860000
25,TN1,HOSE,04/07/2019,,17076,17076,16109,16109,1310,69080000
26,TN1,HOSE,05/07/2019,,17237,17237,14982,17076,810,42690000
27,TN1,HOSE,08/07/2019,,16754,17978,16141,17978,1600,82630000
28,TN1,HOSE,09/07/2019,,17140,17978,17140,17978,1100,58780000
29,TN1,HOSE,10/07/2019,,17720,18042,17011,17011,920,51420000
30,TN1,HOSE,11/07/2019,,17656,17656,17398,17656,1360,74000000
31,TN1,HOSE,12/07/2019,,17752,17752,17752,17752,680,37000000
32,TN1,HOSE,15/07/2019,,16786,17752,16786,17752,1930,105000000
33,TN1,HOSE,16/07/2019,,17752,17881,17752,17881,1680,93000000
