,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TNI,HOSE,02/01/2019,,9100,9200,9080,9200,310680,2834880000
1,TNI,HOSE,03/01/2019,,9170,9250,9140,9250,436990,4008540000
2,TNI,HOSE,04/01/2019,,9200,9270,9170,9270,373520,3454610000
3,TNI,HOSE,07/01/2019,,9250,9280,9230,9270,352660,3266120000
4,TNI,HOSE,08/01/2019,,9250,9270,9200,9250,285830,2631380000
5,TNI,HOSE,09/01/2019,,9250,9270,9210,9260,137130,1268230000
6,TNI,HOSE,10/01/2019,,9250,9300,9230,9270,320330,2965900000
7,TNI,HOSE,11/01/2019,,9260,9300,9230,9300,168490,1561020000
8,TNI,HOSE,14/01/2019,,9270,9300,9250,9270,213890,1982000000
9,TNI,HOSE,15/01/2019,,9250,9350,9250,9300,710900,6597450000
10,TNI,HOSE,16/01/2019,,9270,9300,9250,9270,432610,4015000000
11,TNI,HOSE,17/01/2019,,9250,9280,9240,9270,189470,1755000000
12,TNI,HOSE,18/01/2019,,9250,9270,9220,9270,280690,2592580000
13,TNI,HOSE,21/01/2019,,9250,9270,9230,9250,201620,1864670000
14,TNI,HOSE,22/01/2019,,9250,9280,9200,9250,185390,1715500000
15,TNI,HOSE,23/01/2019,,9250,9450,9240,9450,882990,8255210000
16,TNI,HOSE,24/01/2019,,9400,9750,9390,9750,1331680,12703030000
17,TNI,HOSE,25/01/2019,,9650,9760,9560,9730,663310,6423490000
18,TNI,HOSE,28/01/2019,,9680,9700,9580,9580,394320,3803110000
19,TNI,HOSE,29/01/2019,,9590,9590,9210,9210,611720,5763320000
20,TNI,HOSE,30/01/2019,,9200,9370,9180,9370,412190,3803900000
21,TNI,HOSE,31/01/2019,,9370,9370,9200,9220,468500,4332430000
22,TNI,HOSE,01/02/2019,,9220,9280,9200,9280,137840,1268930000
23,TNI,HOSE,11/02/2019,,9280,9280,9150,9250,559240,5171200000
24,TNI,HOSE,12/02/2019,,9250,9320,9200,9300,197310,1827320000
25,TNI,HOSE,13/02/2019,,9270,9300,9250,9270,197730,1834200000
26,TNI,HOSE,14/02/2019,,9290,9290,9200,9250,143440,1325880000
27,TNI,HOSE,15/02/2019,,9250,9290,9220,9250,144490,1336970000
28,TNI,HOSE,18/02/2019,,9250,9300,9220,9250,235740,2180310000
