,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TNT,HOSE,02/01/2019,,2510,2680,2510,2680,35500,92700000
1,TNT,HOSE,03/01/2019,,2520,2680,2520,2650,42160,111630000
2,TNT,HOSE,04/01/2019,,2580,2630,2570,2630,40890,105920000
3,TNT,HOSE,07/01/2019,,2630,2630,2510,2620,3710,9620000
4,TNT,HOSE,08/01/2019,,2630,2680,2620,2650,23360,61590000
5,TNT,HOSE,09/01/2019,,2660,2660,2600,2650,2290,6010000
6,TNT,HOSE,10/01/2019,,2650,2690,2620,2640,96720,255960000
7,TNT,HOSE,11/01/2019,,2640,2640,2600,2640,65030,170960000
8,TNT,HOSE,14/01/2019,,2680,2740,2600,2640,44670,118000000
9,TNT,HOSE,15/01/2019,,2640,2650,2510,2510,37020,95870000
10,TNT,HOSE,16/01/2019,,2530,2660,2510,2610,31120,79000000
11,TNT,HOSE,17/01/2019,,2560,2610,2450,2610,17460,44000000
12,TNT,HOSE,18/01/2019,,2520,2610,2490,2590,50250,128470000
13,TNT,HOSE,21/01/2019,,2590,2590,2590,2590,63450,164340000
14,TNT,HOSE,22/01/2019,,2590,2610,2520,2590,22410,58300000
15,TNT,HOSE,23/01/2019,,2490,2590,2410,2410,60850,147150000
16,TNT,HOSE,24/01/2019,,2500,2500,2500,2500,1760,4400000
17,TNT,HOSE,25/01/2019,,2500,2500,2380,2480,5210,12900000
18,TNT,HOSE,28/01/2019,,2440,2470,2310,2430,35890,83300000
19,TNT,HOSE,29/01/2019,,2430,2460,2260,2430,35670,86160000
20,TNT,HOSE,30/01/2019,,2400,2440,2400,2430,72690,175780000
21,TNT,HOSE,31/01/2019,,2310,2350,2260,2260,121850,275480000
22,TNT,HOSE,01/02/2019,,2200,2260,2110,2260,11280,24600000
23,TNT,HOSE,11/02/2019,,2120,2260,2110,2190,38400,84330000
24,TNT,HOSE,12/02/2019,,2250,2250,2080,2120,50460,106740000
25,TNT,HOSE,13/02/2019,,2150,2150,2050,2050,27370,56620000
26,TNT,HOSE,14/02/2019,,2090,2090,1910,2040,58680,117550000
27,TNT,HOSE,15/02/2019,,2000,2050,2000,2050,33840,68080000
28,TNT,HOSE,18/02/2019,,2050,2050,2030,2040,8950,18270000
29,TNT,HOSE,19/02/2019,,1980,2040,1980,1980,68080,136530000
30,TNT,HOSE,20/02/2019,,2090,2090,2000,2040,13330,27100000
31,TNT,HOSE,21/02/2019,,2040,2070,2030,2040,53530,109170000
32,TNT,HOSE,22/02/2019,,2040,2070,2010,2060,392390,800580000
33,TNT,HOSE,25/02/2019,,2070,2090,2060,2060,35050,72600000
34,TNT,HOSE,26/02/2019,,2070,2140,2070,2130,58020,122340000
35,TNT,HOSE,27/02/2019,,2150,2270,2150,2270,114810,259030000
36,TNT,HOSE,28/02/2019,,2410,2420,2250,2350,116760,273830000
37,TNT,HOSE,01/03/2019,,2220,2350,2220,2220,21470,48530000
38,TNT,HOSE,04/03/2019,,2250,2310,2070,2280,15260,33050000
39,TNT,HOSE,05/03/2019,,2220,2300,2160,2300,32570,72130000
40,TNT,HOSE,06/03/2019,,2310,2310,2200,2290,6280,14030000
41,TNT,HOSE,07/03/2019,,2250,2250,2210,2210,6170,13740000
42,TNT,HOSE,08/03/2019,,2200,2260,2100,2100,65070,141150000
43,TNT,HOSE,11/03/2019,,2230,2240,2210,2240,9330,20820000
44,TNT,HOSE,12/03/2019,,2280,2330,2210,2260,20540,46590000
