,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TRC,HOSE,02/01/2019,,17797,17797,17470,17511,4780,102360000
1,TRC,HOSE,03/01/2019,,17511,17593,17511,17511,610,13060000
2,TRC,HOSE,04/01/2019,,17347,17347,17347,17347,1000,21200000
3,TRC,HOSE,07/01/2019,,17347,17511,17347,17511,1420,30110000
4,TRC,HOSE,08/01/2019,,17511,17511,17470,17470,100,2140000
5,TRC,HOSE,09/01/2019,,17593,17593,17429,17429,1350,28800000
6,TRC,HOSE,10/01/2019,,17593,17675,17429,17593,5440,116770000
7,TRC,HOSE,11/01/2019,,17593,18166,17593,18166,31070,677840000
8,TRC,HOSE,14/01/2019,,18166,18166,18002,18084,2120,47000000
9,TRC,HOSE,15/01/2019,,18084,18248,18084,18248,3340,74000000
10,TRC,HOSE,16/01/2019,,18370,18370,18166,18166,2300,52000000
11,TRC,HOSE,17/01/2019,,18329,18902,18248,18738,15360,349000000
12,TRC,HOSE,18/01/2019,,18738,18984,18738,18984,6140,141360000
13,TRC,HOSE,21/01/2019,,19148,19229,18861,18861,5010,116820000
14,TRC,HOSE,22/01/2019,,18984,19229,18820,18820,5520,127260000
15,TRC,HOSE,23/01/2019,,18820,18820,18002,18493,6160,140060000
16,TRC,HOSE,24/01/2019,,18493,18698,18493,18698,700,15820000
17,TRC,HOSE,25/01/2019,,18657,18984,18657,18902,23990,553190000
18,TRC,HOSE,28/01/2019,,18943,18984,18248,18248,5510,126820000
19,TRC,HOSE,29/01/2019,,18329,18329,18288,18288,400,8950000
20,TRC,HOSE,30/01/2019,,18329,18329,18248,18248,2000,44640000
21,TRC,HOSE,31/01/2019,,18248,18288,18248,18248,4610,102810000
22,TRC,HOSE,01/02/2019,,18248,18248,17838,17838,62610,1375860000
23,TRC,HOSE,11/02/2019,,17838,18002,17838,17838,42000,915940000
24,TRC,HOSE,12/02/2019,,18738,18738,18002,18329,64300,1420950000
25,TRC,HOSE,13/02/2019,,18329,18820,18248,18820,20010,448320000
26,TRC,HOSE,14/02/2019,,18820,18820,18493,18575,5560,127710000
27,TRC,HOSE,15/02/2019,,18575,18779,18493,18779,21620,490840000
28,TRC,HOSE,18/02/2019,,18616,18738,18493,18616,9730,221280000
29,TRC,HOSE,19/02/2019,,18616,18657,18575,18575,11560,263030000
30,TRC,HOSE,20/02/2019,,18657,18861,18616,18820,5890,134980000
31,TRC,HOSE,21/02/2019,,18820,19680,18820,19639,73200,1723080000
32,TRC,HOSE,22/02/2019,,19557,19680,19557,19557,4450,106680000
33,TRC,HOSE,25/02/2019,,19557,19639,18411,19025,12120,287750000
34,TRC,HOSE,26/02/2019,,19639,19639,19025,19066,27510,642710000
35,TRC,HOSE,27/02/2019,,19639,19639,18657,18779,42290,974220000
36,TRC,HOSE,28/02/2019,,19107,19107,18329,19025,28880,661730000
37,TRC,HOSE,01/03/2019,,18657,19229,18575,19229,28410,658600000
38,TRC,HOSE,04/03/2019,,19066,19925,19025,19598,23620,563930000
39,TRC,HOSE,05/03/2019,,19434,19720,19270,19557,26490,631020000
40,TRC,HOSE,06/03/2019,,19393,19516,19311,19516,7200,170150000
41,TRC,HOSE,07/03/2019,,19434,19434,19311,19352,18100,428580000
42,TRC,HOSE,08/03/2019,,19352,19475,19229,19229,13860,327700000
43,TRC,HOSE,11/03/2019,,19270,19475,19229,19229,9660,227630000
44,TRC,HOSE,12/03/2019,,19229,19680,19229,19475,17010,405450000
45,TRC,HOSE,13/03/2019,,19598,20825,19557,20825,76850,1935370000
46,TRC,HOSE,14/03/2019,,20825,21030,20784,20825,11910,304710000
47,TRC,HOSE,15/03/2019,,20784,20948,19884,20457,6640,168120000
48,TRC,HOSE,18/03/2019,,20457,20457,19884,20457,17520,436280000
49,TRC,HOSE,19/03/2019,,20457,20825,19966,20048,4920,121510000
50,TRC,HOSE,20/03/2019,,20048,20457,19802,20457,9100,223410000
51,TRC,HOSE,21/03/2019,,20784,21275,20457,20457,21700,557070000
52,TRC,HOSE,22/03/2019,,20457,20457,20334,20457,78330,1957960000
53,TRC,HOSE,25/03/2019,,20457,20866,20375,20866,19610,489800000
54,TRC,HOSE,26/03/2019,,20825,21275,20375,20457,68200,1716000000
55,TRC,HOSE,27/03/2019,,21193,21684,19639,21111,77980,1948000000
56,TRC,HOSE,28/03/2019,,20048,20866,20048,20457,14480,362000000
57,TRC,HOSE,29/03/2019,,20457,20457,20457,20457,4510,113000000
58,TRC,HOSE,01/04/2019,,20457,20457,19639,20048,58500,1438250000
59,TRC,HOSE,02/04/2019,,20539,20784,20416,20784,9920,248680000
60,TRC,HOSE,03/04/2019,,20784,21234,20457,21193,30810,784710000
61,TRC,HOSE,04/04/2019,,21234,21684,19802,21111,124610,3176010000
62,TRC,HOSE,05/04/2019,,22216,22216,21275,21316,31090,820550000
63,TRC,HOSE,08/04/2019,,21971,22053,19884,20948,66330,1656630000
64,TRC,HOSE,09/04/2019,,21111,21602,21111,21439,108400,2834650000
65,TRC,HOSE,10/04/2019,,20866,20866,20866,20866,570,14540000
66,TRC,HOSE,11/04/2019,,21684,21684,20784,20784,68820,1778050000
67,TRC,HOSE,12/04/2019,,21275,21357,20048,20539,100650,2562510000
68,TRC,HOSE,16/04/2019,,21275,21275,20743,20743,5870,148880000
69,TRC,HOSE,17/04/2019,,20743,21275,20743,20743,13030,331990000
70,TRC,HOSE,18/04/2019,,20743,20907,19639,20907,113780,2834230000
71,TRC,HOSE,19/04/2019,,20907,20907,20293,20743,8770,219720000
72,TRC,HOSE,22/04/2019,,20702,20702,20375,20621,46750,1169520000
73,TRC,HOSE,23/04/2019,,21234,21439,20375,20457,28980,734770000
74,TRC,HOSE,24/04/2019,,20457,20621,19639,20457,108280,2675830000
75,TRC,HOSE,25/04/2019,,20457,21521,20457,20457,17330,440.41
76,TRC,HOSE,26/04/2019,,20457,20948,19720,20457,51430,1264780000
77,TRC,HOSE,02/05/2019,,20457,21275,20457,20457,46090,1169990000
78,TRC,HOSE,03/05/2019,,20457,20621,20457,20457,9210,230780000
79,TRC,HOSE,06/05/2019,,20457,20457,20293,20293,63880,1596980000
80,TRC,HOSE,07/05/2019,,20784,20784,19639,20211,85030,2078670000
81,TRC,HOSE,08/05/2019,,20211,20457,20048,20375,13200,327210000
82,TRC,HOSE,09/05/2019,,20457,20457,20089,20089,32310,806770000
83,TRC,HOSE,10/05/2019,,20089,20866,20089,20170,34430,863650000
