,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TSC,HOSE,02/01/2019,,1168,1195,1150,1168,69760,90720000
1,TSC,HOSE,03/01/2019,,1150,1186,1150,1168,317110,413390000
2,TSC,HOSE,04/01/2019,,1168,1186,1168,1177,63460,82770000
3,TSC,HOSE,07/01/2019,,1177,1195,1168,1195,51720,68280000
4,TSC,HOSE,08/01/2019,,1195,1267,1186,1249,294800,404350000
5,TSC,HOSE,09/01/2019,,1267,1267,1231,1240,62780,86320000
6,TSC,HOSE,10/01/2019,,1258,1258,1222,1231,20830,28570000
7,TSC,HOSE,11/01/2019,,1222,1222,1150,1168,101320,132110000
8,TSC,HOSE,14/01/2019,,1150,1168,1141,1168,151570,194000000
9,TSC,HOSE,15/01/2019,,1141,1177,1141,1168,33070,43010000
10,TSC,HOSE,16/01/2019,,1177,1177,1150,1168,12160,16000000
11,TSC,HOSE,17/01/2019,,1159,1168,1150,1168,97020,126000000
12,TSC,HOSE,18/01/2019,,1168,1177,1141,1141,112730,143650000
13,TSC,HOSE,21/01/2019,,1132,1159,1115,1141,68840,86340000
14,TSC,HOSE,22/01/2019,,1150,1150,1124,1124,64180,80640000
15,TSC,HOSE,23/01/2019,,1124,1132,1115,1124,48580,60730000
16,TSC,HOSE,24/01/2019,,1115,1132,1115,1115,33020,41240000
17,TSC,HOSE,25/01/2019,,1132,1132,1106,1124,21930,27230000
18,TSC,HOSE,28/01/2019,,1115,1141,1115,1115,124910,157230000
19,TSC,HOSE,29/01/2019,,1124,1132,1124,1132,19590,24490000
20,TSC,HOSE,30/01/2019,,1132,1150,1132,1141,27400,34780000
21,TSC,HOSE,31/01/2019,,1132,1150,1115,1132,42760,53640000
22,TSC,HOSE,01/02/2019,,1132,1132,1115,1132,41580,52020000
23,TSC,HOSE,11/02/2019,,1141,1141,1106,1106,50380,62590000
24,TSC,HOSE,12/02/2019,,1106,1132,1106,1115,107950,134510000
25,TSC,HOSE,13/02/2019,,1132,1159,1097,1124,362060,453890000
26,TSC,HOSE,14/02/2019,,1132,1150,1115,1132,182810,229070000
27,TSC,HOSE,15/02/2019,,1132,1150,1124,1124,117850,148790000
28,TSC,HOSE,18/02/2019,,1141,1141,1115,1115,253510,316770000
29,TSC,HOSE,19/02/2019,,1124,1132,1106,1115,264510,328390000
30,TSC,HOSE,20/02/2019,,1124,1124,1106,1115,109180,135490000
31,TSC,HOSE,21/02/2019,,1124,1132,1106,1115,95470,118880000
32,TSC,HOSE,22/02/2019,,1124,1132,1115,1115,73300,91560000
33,TSC,HOSE,25/02/2019,,1115,1132,1115,1132,203200,254280000
34,TSC,HOSE,26/02/2019,,1132,1132,1124,1124,86010,108130000
35,TSC,HOSE,27/02/2019,,1124,1159,1124,1141,229990,293400000
36,TSC,HOSE,28/02/2019,,1150,1177,1141,1159,179520,232730000
37,TSC,HOSE,01/03/2019,,1177,1240,1141,1240,263090,356090000
38,TSC,HOSE,04/03/2019,,1240,1321,1240,1321,294480,427050000
39,TSC,HOSE,05/03/2019,,1411,1411,1357,1411,1326560,2081740000
40,TSC,HOSE,06/03/2019,,1357,1483,1357,1429,383730,608260000
41,TSC,HOSE,07/03/2019,,1429,1501,1339,1456,213780,335120000
42,TSC,HOSE,08/03/2019,,1429,1465,1411,1420,191880,304980000
43,TSC,HOSE,11/03/2019,,1357,1411,1348,1348,164280,247860000
44,TSC,HOSE,12/03/2019,,1348,1402,1312,1339,138250,204840000
45,TSC,HOSE,13/03/2019,,1321,1429,1321,1429,332890,525920000
46,TSC,HOSE,14/03/2019,,1474,1528,1438,1519,583280,999620000
47,TSC,HOSE,15/03/2019,,1546,1546,1420,1519,403890,660930000
48,TSC,HOSE,18/03/2019,,1519,1528,1429,1501,105580,172190000
49,TSC,HOSE,19/03/2019,,1501,1501,1429,1429,87370,140660000
50,TSC,HOSE,20/03/2019,,1474,1483,1393,1474,121850,193180000
51,TSC,HOSE,21/03/2019,,1411,1492,1402,1456,82100,131460000
52,TSC,HOSE,22/03/2019,,1456,1474,1411,1411,32540,51600000
53,TSC,HOSE,25/03/2019,,1429,1429,1348,1384,107330,164890000
54,TSC,HOSE,26/03/2019,,1411,1411,1357,1393,23530,36000000
55,TSC,HOSE,27/03/2019,,1393,1483,1375,1474,209030,339000000
56,TSC,HOSE,28/03/2019,,1474,1492,1438,1438,64740,106000000
57,TSC,HOSE,29/03/2019,,1438,1483,1429,1429,61410,98000000
58,TSC,HOSE,01/04/2019,,1384,1465,1366,1438,167180,255940000
59,TSC,HOSE,02/04/2019,,1465,1465,1384,1384,27780,43380000
60,TSC,HOSE,03/04/2019,,1420,1420,1348,1411,407950,619610000
61,TSC,HOSE,04/04/2019,,1330,1348,1321,1321,611830,905900000
62,TSC,HOSE,05/04/2019,,1231,1267,1231,1258,1133590,1562050000
63,TSC,HOSE,08/04/2019,,1249,1339,1249,1339,395790,584360000
64,TSC,HOSE,09/04/2019,,1330,1330,1258,1258,160160,225880000
65,TSC,HOSE,10/04/2019,,1240,1276,1240,1249,224290,313930000
66,TSC,HOSE,11/04/2019,,1249,1249,1222,1231,47220,64550000
67,TSC,HOSE,12/04/2019,,1186,1249,1177,1240,41670,57270000
68,TSC,HOSE,16/04/2019,,1240,1258,1222,1231,225680,311710000
69,TSC,HOSE,17/04/2019,,1267,1312,1258,1303,519250,751480000
70,TSC,HOSE,18/04/2019,,1339,1348,1258,1348,151600,225140000
71,TSC,HOSE,19/04/2019,,1348,1366,1294,1339,72770,108660000
72,TSC,HOSE,22/04/2019,,1285,1348,1276,1294,152280,222720000
73,TSC,HOSE,23/04/2019,,1240,1339,1240,1312,71230,102530000
74,TSC,HOSE,24/04/2019,,1357,1366,1285,1366,113900,171350000
75,TSC,HOSE,25/04/2019,,1366,1393,1330,1330,129120,195.07
76,TSC,HOSE,26/04/2019,,1348,1357,1330,1348,179300,267770000
