,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TTA,HOSE,18/09/2020,,17145,17145,17145,17145,5484500,118465000000
1,TTA,HOSE,21/09/2020,,18336,18336,18336,18336,5360220,123821000000
2,TTA,HOSE,22/09/2020,,19527,19606,18257,18812,2111400,50410000000
3,TTA,HOSE,23/09/2020,,17503,17503,17503,17503,388160,8559000000
4,TTA,HOSE,24/09/2020,,16312,16312,16312,16312,84430,1735000000
5,TTA,HOSE,25/09/2020,,15201,15875,15201,15240,8298350,158959000000
6,TTA,HOSE,28/09/2020,,14883,15717,14367,14447,1234850,23209000000
7,TTA,HOSE,29/09/2020,,14447,15359,13970,15240,1978610,37227000000
8,TTA,HOSE,30/09/2020,,14685,14764,14208,14208,1485190,26768000000
9,TTA,HOSE,01/10/2020,,13216,13931,13216,13851,3832080,64425000000
10,TTA,HOSE,02/10/2020,,13970,13970,12899,13018,1810210,29968000000
11,TTA,HOSE,05/10/2020,,13057,13534,12700,13097,1852230,30702000000
12,TTA,HOSE,06/10/2020,,13097,13177,12303,12541,1505910,23887000000
13,TTA,HOSE,07/10/2020,,12383,12541,11906,11986,1708090,25818000000
14,TTA,HOSE,08/10/2020,,11986,12264,11906,11986,690870,10430000000
15,TTA,HOSE,09/10/2020,,12065,12065,11906,12065,590310,8902000000
16,TTA,HOSE,12/10/2020,,12065,12502,11906,12224,1561370,23920000000
17,TTA,HOSE,13/10/2020,,12184,12303,11986,12145,635440,9726000000
18,TTA,HOSE,14/10/2020,,12145,12383,12026,12303,861570,13282000000
19,TTA,HOSE,15/10/2020,,12303,12343,11946,12224,709660,10829000000
20,TTA,HOSE,16/10/2020,,12145,12224,11906,12065,830240,12598000000
21,TTA,HOSE,19/10/2020,,11946,12145,11946,12145,507740,7709000000
22,TTA,HOSE,20/10/2020,,11986,12621,11986,12462,2004370,31281000000
23,TTA,HOSE,21/10/2020,,12541,12700,12383,12422,559330,8810000000
24,TTA,HOSE,22/10/2020,,12541,12541,12145,12264,460440,7106000000
25,TTA,HOSE,23/10/2020,,12264,12383,12026,12065,523070,7986000000
26,TTA,HOSE,26/10/2020,,12224,12224,11946,11946,632160,9595000000
27,TTA,HOSE,27/10/2020,,11946,12105,11906,11946,548730,8259000000
28,TTA,HOSE,28/10/2020,,11946,12065,11906,11946,778700,11691000000
29,TTA,HOSE,29/10/2020,,11906,11986,11906,11986,757670,11369000000
30,TTA,HOSE,30/10/2020,,11946,11986,11867,11986,456280,6848000000
31,TTA,HOSE,02/11/2020,,11986,12145,11906,12105,462630,6988000000
32,TTA,HOSE,03/11/2020,,12105,12105,11906,12026,278050,4212000000
33,TTA,HOSE,04/11/2020,,11986,12105,11986,12065,369370,5584000000
34,TTA,HOSE,05/11/2020,,12065,12105,11946,11946,364490,5517000000
35,TTA,HOSE,06/11/2020,,11906,12065,11906,12026,258010,3893000000
36,TTA,HOSE,09/11/2020,,12026,12065,11946,11986,461510,6972000000
37,TTA,HOSE,10/11/2020,,12065,12065,11906,11946,670000,10109000000
38,TTA,HOSE,11/11/2020,,11946,12026,11906,11946,479370,7213000000
39,TTA,HOSE,12/11/2020,,11906,12105,11906,12065,1525910,23031000000
40,TTA,HOSE,13/11/2020,,12065,12065,11946,12026,287460,4341000000
41,TTA,HOSE,16/11/2020,,12065,12065,11906,11946,381810,5748000000
42,TTA,HOSE,17/11/2020,,11946,12026,11906,11946,525240,7903000000
43,TTA,HOSE,18/11/2020,,11906,11986,11906,11946,443450,6670000000
44,TTA,HOSE,19/11/2020,,11946,11986,11906,11946,330230,4970000000
45,TTA,HOSE,20/11/2020,,11906,11986,11906,11946,575090,8634000000
46,TTA,HOSE,23/11/2020,,11906,11986,11906,11946,701970,10532000000
47,TTA,HOSE,24/11/2020,,11906,11986,11906,11986,1291310,19434000000
48,TTA,HOSE,25/11/2020,,11986,11986,11906,11986,882900,13278000000
49,TTA,HOSE,26/11/2020,,11946,11986,11906,11946,296610,4458000000
50,TTA,HOSE,27/11/2020,,11946,11986,11906,11986,315550,4748000000
51,TTA,HOSE,30/11/2020,,11906,12065,11867,11986,493460,7408000000
52,TTA,HOSE,01/12/2020,,11906,11986,11906,11946,600570,9014000000
53,TTA,HOSE,02/12/2020,,11946,11986,11906,11946,671470,10079000000
54,TTA,HOSE,03/12/2020,,11946,12780,11906,12780,1836420,28618000000
55,TTA,HOSE,04/12/2020,,13415,13494,13097,13177,950190,15890016000
56,TTA,HOSE,07/12/2020,,13097,13415,12978,12978,679540,11223479500
57,TTA,HOSE,08/12/2020,,12780,13018,12700,12780,1088380,17574563500
58,TTA,HOSE,09/12/2020,,12780,12978,12700,12938,778990,12618627000
59,TTA,HOSE,10/12/2020,,12978,13216,12819,13177,1213020,19899208500
60,TTA,HOSE,11/12/2020,,13177,13732,13137,13653,2234080,37769480000
61,TTA,HOSE,14/12/2020,,13692,13970,13613,13692,1363280,23583944500
62,TTA,HOSE,15/12/2020,,13692,13812,13494,13573,1137180,19547249500
63,TTA,HOSE,16/12/2020,,13573,13613,13375,13573,1145050,19452410500
64,TTA,HOSE,17/12/2020,,13573,13772,13415,13732,1055060,18073003000
65,TTA,HOSE,18/12/2020,,13692,14208,13573,14208,1639110,28740409000
66,TTA,HOSE,21/12/2020,,14248,15201,14129,15201,3462640,64354660500.0001
67,TTA,HOSE,22/12/2020,,15320,15320,14883,14923,1558920,29615638000
68,TTA,HOSE,23/12/2020,,14764,14923,14486,14486,961160,17749501500
