,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TTB,HOSE,02/01/2019,,20002,20184,19730,19821,326650,7189430000
1,TTB,HOSE,03/01/2019,,19730,19821,19093,19184,170690,3659160000
2,TTB,HOSE,04/01/2019,,19002,19230,18684,19230,435460,9138810000
3,TTB,HOSE,07/01/2019,,19093,19184,18911,18911,213670,4471910000
4,TTB,HOSE,08/01/2019,,18866,18911,18684,18911,443900,9166980000
5,TTB,HOSE,09/01/2019,,18820,19275,18820,19275,508230,10657810000
6,TTB,HOSE,10/01/2019,,19366,19411,19139,19139,440930,9296770000
7,TTB,HOSE,11/01/2019,,19230,19593,19093,19593,288820,6174860000
8,TTB,HOSE,14/01/2019,,19502,19775,19457,19775,484060,10445000000
9,TTB,HOSE,15/01/2019,,19775,20093,19684,20093,347820,7588190000
10,TTB,HOSE,16/01/2019,,20048,20184,19821,20002,235580,5182000000
11,TTB,HOSE,17/01/2019,,19957,20002,19821,20002,164400,3610000000
12,TTB,HOSE,18/01/2019,,20002,20912,20002,20912,427920,9658210000
13,TTB,HOSE,21/01/2019,,20912,21321,20866,21230,263210,6134140000
14,TTB,HOSE,22/01/2019,,21230,21412,20775,20775,347720,8039630000
15,TTB,HOSE,23/01/2019,,20775,20866,20412,20412,493680,11127760000
16,TTB,HOSE,24/01/2019,,20366,20684,20275,20684,448720,10142900000
17,TTB,HOSE,25/01/2019,,20639,21321,20639,21321,535830,12420740000
18,TTB,HOSE,28/01/2019,,21275,21821,21275,21730,455700,10857530000
19,TTB,HOSE,29/01/2019,,21684,21821,21366,21412,223800,5300480000
20,TTB,HOSE,30/01/2019,,21321,21321,21003,21139,206320,4797130000
21,TTB,HOSE,31/01/2019,,21139,21184,21003,21003,408080,9462080000
22,TTB,HOSE,01/02/2019,,21003,21093,20912,21048,172380,3980710000
23,TTB,HOSE,11/02/2019,,21093,21230,21093,21139,203950,4747790000
24,TTB,HOSE,12/02/2019,,21139,21230,20775,20912,163940,3787130000
25,TTB,HOSE,13/02/2019,,20866,20957,20821,20957,268160,6156240000
26,TTB,HOSE,14/02/2019,,20912,21048,20866,21048,153490,3533510000
27,TTB,HOSE,15/02/2019,,21003,21048,20912,20912,145830,3362510000
28,TTB,HOSE,18/02/2019,,20912,21048,20912,21003,161520,3729590000
29,TTB,HOSE,19/02/2019,,21003,21139,21003,21048,171470,3970980000
30,TTB,HOSE,20/02/2019,,21003,21003,20730,20866,180000,4134700000
31,TTB,HOSE,21/02/2019,,20821,20821,20457,20548,132450,3007810000
32,TTB,HOSE,22/02/2019,,20548,20639,20366,20593,161880,3648380000
33,TTB,HOSE,25/02/2019,,20548,20639,20412,20548,270460,6108410000
34,TTB,HOSE,26/02/2019,,20548,20548,20321,20412,221670,4976160000
35,TTB,HOSE,27/02/2019,,20412,20457,20366,20457,159640,3588010000
36,TTB,HOSE,28/02/2019,,20457,20866,20366,20775,359720,8156640000
37,TTB,HOSE,01/03/2019,,20775,21093,20775,20912,256710,5918140000
38,TTB,HOSE,04/03/2019,,20866,20866,20639,20730,160190,3660390000
39,TTB,HOSE,05/03/2019,,20730,20730,20275,20321,192890,4356720000
40,TTB,HOSE,06/03/2019,,20184,20412,20093,20412,178580,3972880000
41,TTB,HOSE,07/03/2019,,20412,20548,20366,20457,150680,3389790000
42,TTB,HOSE,08/03/2019,,20412,20412,20184,20275,132980,2967360000
43,TTB,HOSE,11/03/2019,,20275,20321,20002,20321,471530,10419150000
44,TTB,HOSE,12/03/2019,,20321,20502,20321,20457,263920,5934990000
45,TTB,HOSE,13/03/2019,,20457,20639,20457,20502,182100,4115870000
46,TTB,HOSE,14/03/2019,,20457,20457,20230,20230,93770,2321680000
47,TTB,HOSE,15/03/2019,,20184,20275,20048,20048,206000,4566350000
48,TTB,HOSE,18/03/2019,,20048,20184,20002,20093,200620,4431400000
