,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TTF,HOSE,02/01/2019,,3250,3390,3230,3280,296120,967870000
1,TTF,HOSE,03/01/2019,,3280,3300,3130,3190,348970,1110760000
2,TTF,HOSE,04/01/2019,,3150,3290,3130,3200,296310,938330000
3,TTF,HOSE,07/01/2019,,3290,3290,3200,3250,119740,388260000
4,TTF,HOSE,08/01/2019,,3250,3290,3220,3270,334310,1088370000
5,TTF,HOSE,09/01/2019,,3300,3300,3100,3130,1682570,5323070000
6,TTF,HOSE,10/01/2019,,3130,3270,3100,3170,819110,2566120000
7,TTF,HOSE,11/01/2019,,3240,3240,3100,3110,1435090,4474190000
8,TTF,HOSE,14/01/2019,,3100,3150,2920,2950,1937460,5798000000
9,TTF,HOSE,15/01/2019,,2920,3050,2920,3020,431410,1291230000
10,TTF,HOSE,16/01/2019,,3020,3130,2950,3000,969780,2911000000
11,TTF,HOSE,17/01/2019,,2960,3030,2960,2970,253220,755000000
12,TTF,HOSE,18/01/2019,,2980,2990,2900,2900,514120,1510910000
13,TTF,HOSE,21/01/2019,,2900,2970,2760,2780,817250,2306710000
14,TTF,HOSE,22/01/2019,,2780,2880,2760,2780,596860,1677730000
15,TTF,HOSE,23/01/2019,,2780,2800,2740,2750,757370,2095650000
16,TTF,HOSE,24/01/2019,,2750,2790,2740,2740,237130,652010000
17,TTF,HOSE,25/01/2019,,2740,2810,2740,2750,228620,630580000
18,TTF,HOSE,28/01/2019,,2800,2940,2770,2940,2271420,6656520000
19,TTF,HOSE,29/01/2019,,3020,3110,2900,3010,1025950,3091450000
20,TTF,HOSE,30/01/2019,,3090,3100,2920,2950,888700,2662130000
21,TTF,HOSE,31/01/2019,,2860,2960,2750,2760,1076620,3029760000
22,TTF,HOSE,01/02/2019,,2700,2850,2630,2820,1410680,3801490000
23,TTF,HOSE,11/02/2019,,2920,2920,2800,2840,523210,1487230000
24,TTF,HOSE,12/02/2019,,2810,3000,2810,2980,734190,2142580000
25,TTF,HOSE,13/02/2019,,2980,2990,2930,2930,1097950,3242350000
26,TTF,HOSE,14/02/2019,,2950,2950,2870,2930,372970,1089310000
27,TTF,HOSE,15/02/2019,,2930,2930,2900,2910,432050,1258110000
28,TTF,HOSE,18/02/2019,,2910,2970,2890,2910,683750,1994720000
29,TTF,HOSE,19/02/2019,,2910,2960,2910,2940,782700,2305600000
30,TTF,HOSE,20/02/2019,,2950,2950,2900,2910,230430,672330000
31,TTF,HOSE,21/02/2019,,2900,2940,2890,2900,454800,1320570000
32,TTF,HOSE,22/02/2019,,2900,2930,2850,2890,395830,1145640000
33,TTF,HOSE,25/02/2019,,2900,3090,2900,3090,1438670,4325820000
34,TTF,HOSE,26/02/2019,,3280,3280,3000,3150,3295700,10391700000
35,TTF,HOSE,27/02/2019,,3150,3200,2980,3030,2110690,6387860000
36,TTF,HOSE,28/02/2019,,3090,3090,2950,2960,658520,1973000000
37,TTF,HOSE,01/03/2019,,2960,3090,2960,3060,726750,2216070000
38,TTF,HOSE,04/03/2019,,3060,3250,3060,3200,1196580,3811320000
39,TTF,HOSE,05/03/2019,,3200,3420,3120,3420,3052350,10288880000
40,TTF,HOSE,06/03/2019,,3490,3520,3330,3370,1155630,3950460000
41,TTF,HOSE,07/03/2019,,3350,3370,3230,3240,1489510,4893090000
42,TTF,HOSE,08/03/2019,,3180,3220,3050,3060,1432830,4489190000
43,TTF,HOSE,11/03/2019,,3150,3200,3060,3200,1677990,5223700000
44,TTF,HOSE,12/03/2019,,3210,3380,3210,3310,1116580,3670350000
45,TTF,HOSE,13/03/2019,,3370,3540,3310,3510,5047460,17566580000
46,TTF,HOSE,14/03/2019,,3450,3750,3410,3750,4262330,16126180000
47,TTF,HOSE,15/03/2019,,3750,3880,3690,3700,2733960,10265210000
48,TTF,HOSE,18/03/2019,,3700,3700,3580,3650,1831150,6672770000
49,TTF,HOSE,19/03/2019,,3620,3900,3620,3900,4969610,19285110000
50,TTF,HOSE,20/03/2019,,3940,4100,3850,4030,3040020,12138980000
51,TTF,HOSE,21/03/2019,,4000,4040,3750,3750,2962620,11365850000
52,TTF,HOSE,22/03/2019,,3640,3850,3500,3750,2804770,10176920000
53,TTF,HOSE,25/03/2019,,3620,3730,3520,3530,1573680,5670400000
54,TTF,HOSE,26/03/2019,,3650,3770,3530,3720,2311560,8425000000
55,TTF,HOSE,27/03/2019,,3790,3840,3610,3650,1639120,6090000000
56,TTF,HOSE,28/03/2019,,3620,3690,3580,3650,647500,2349000000
57,TTF,HOSE,29/03/2019,,3700,3700,3600,3660,566930,2065000000
58,TTF,HOSE,01/04/2019,,3660,3670,3580,3670,838480,3040870000
59,TTF,HOSE,02/04/2019,,3670,3920,3620,3840,2530530,9745590000
60,TTF,HOSE,03/04/2019,,3800,3900,3800,3820,813280,3136110000
61,TTF,HOSE,04/04/2019,,3850,3980,3800,3900,1183690,4562070000
62,TTF,HOSE,05/04/2019,,3950,4130,3940,3990,2821150,11378470000
63,TTF,HOSE,08/04/2019,,4070,4150,3980,3990,2778090,11253850000
