,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TVB,HOSE,02/01/2019,,9734,9929,9734,9756,392670,8861910000
1,TVB,HOSE,03/01/2019,,9713,9929,9691,9821,181060,4106050000
2,TVB,HOSE,04/01/2019,,9713,9756,9519,9540,179500,4007590000
3,TVB,HOSE,07/01/2019,,9540,9756,9540,9670,163760,3661670000
4,TVB,HOSE,08/01/2019,,9929,9929,9497,9626,156740,3519450000
5,TVB,HOSE,09/01/2019,,9713,9929,9497,9583,147570,3293680000
6,TVB,HOSE,10/01/2019,,9583,9670,9411,9497,194270,4279910000
7,TVB,HOSE,11/01/2019,,9540,9713,9540,9691,194890,4337200000
8,TVB,HOSE,14/01/2019,,9691,9691,9303,9497,184120,4046000000
9,TVB,HOSE,15/01/2019,,9475,9497,9324,9411,153430,3338990000
10,TVB,HOSE,16/01/2019,,9411,9475,9195,9281,164870,3566000000
11,TVB,HOSE,17/01/2019,,9303,9303,9108,9152,163270,3481000000
12,TVB,HOSE,18/01/2019,,9216,9216,9065,9195,185390,3933740000
13,TVB,HOSE,21/01/2019,,9238,9303,9087,9152,163710,3482110000
14,TVB,HOSE,22/01/2019,,9195,9238,8849,8936,181210,3798060000
15,TVB,HOSE,23/01/2019,,8979,8979,8763,8849,162060,3330070000
16,TVB,HOSE,24/01/2019,,8871,8871,8634,8871,169530,3440850000
17,TVB,HOSE,25/01/2019,,8871,8914,8590,8893,173760,3542670000
18,TVB,HOSE,28/01/2019,,8893,8936,8806,8849,184780,3799170000
19,TVB,HOSE,29/01/2019,,8871,8957,8742,8957,180980,3715280000
20,TVB,HOSE,30/01/2019,,8957,9108,8828,8871,165260,3417880000
21,TVB,HOSE,31/01/2019,,8785,8871,8763,8806,160040,3273670000
22,TVB,HOSE,01/02/2019,,8893,9022,8698,8763,126000,2581600000
23,TVB,HOSE,11/02/2019,,8806,8936,8785,8893,169850,3486880000
24,TVB,HOSE,12/02/2019,,8893,9238,8849,9022,219240,4566320000
25,TVB,HOSE,13/02/2019,,9065,9216,8936,9065,164170,3461350000
26,TVB,HOSE,14/02/2019,,9108,9108,8936,9065,145850,3047230000
27,TVB,HOSE,15/02/2019,,9065,9065,8893,8979,205160,4272490000
28,TVB,HOSE,18/02/2019,,9001,9065,8893,8936,161160,3351380000
29,TVB,HOSE,19/02/2019,,8979,9065,8828,8979,177530,3681260000
30,TVB,HOSE,20/02/2019,,8979,9065,8871,8936,186530,3873380000
31,TVB,HOSE,21/02/2019,,8914,9022,8893,8893,167310,3466330000
32,TVB,HOSE,22/02/2019,,8914,9001,8806,8806,221930,4573990000
33,TVB,HOSE,25/02/2019,,8828,8957,8634,8634,196220,4013830000
34,TVB,HOSE,26/02/2019,,8634,9173,8634,8936,273120,5644710000
35,TVB,HOSE,27/02/2019,,9001,9324,9001,9065,236190,4996530000
36,TVB,HOSE,28/02/2019,,9065,9281,9065,9108,232440,4934720000
37,TVB,HOSE,01/03/2019,,9022,9432,9022,9281,157710,3365970000
38,TVB,HOSE,04/03/2019,,9324,9411,9216,9216,167520,3612020000
39,TVB,HOSE,05/03/2019,,9108,9216,8936,8979,108580,2268340000
40,TVB,HOSE,06/03/2019,,8936,8936,8677,8893,167340,3411760000
41,TVB,HOSE,07/03/2019,,8914,8914,8655,8720,133080,2701360000
42,TVB,HOSE,08/03/2019,,8720,8720,8547,8698,162630,3251750000
43,TVB,HOSE,11/03/2019,,8763,8979,8763,8806,193160,3965490000
44,TVB,HOSE,12/03/2019,,8806,9065,8806,8893,228430,4717360000
45,TVB,HOSE,13/03/2019,,8979,8979,8590,8893,154700,3140730000
46,TVB,HOSE,14/03/2019,,8936,8936,8677,8806,96630,2159200000
47,TVB,HOSE,15/03/2019,,8785,8828,8634,8634,191720,3874060000
48,TVB,HOSE,18/03/2019,,8655,8742,8418,8418,166200,3312720000
49,TVB,HOSE,19/03/2019,,8504,8504,8223,8418,99790,1929320000
50,TVB,HOSE,20/03/2019,,8461,8461,8202,8202,142850,2740280000
51,TVB,HOSE,21/03/2019,,8202,8288,8051,8051,121670,2303180000
52,TVB,HOSE,22/03/2019,,8072,8202,8051,8159,110500,2076390000
53,TVB,HOSE,25/03/2019,,8116,8116,7921,7921,101380,1880380000
54,TVB,HOSE,26/03/2019,,7986,7986,7770,7943,140920,2571000000
55,TVB,HOSE,27/03/2019,,7943,7986,7770,7943,120680,2206000000
