,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,TYA,HOSE,02/01/2019,,6694,6694,6632,6632,2010,21510000
1,TYA,HOSE,03/01/2019,,6632,6694,6261,6632,3010,31600000
2,TYA,HOSE,04/01/2019,,6632,6632,6632,6632,500,5350000
3,TYA,HOSE,07/01/2019,,6632,6632,6509,6632,1610,17210000
4,TYA,HOSE,08/01/2019,,6509,6632,6509,6632,3700,39390000
5,TYA,HOSE,09/01/2019,,6571,6601,6571,6601,5500,58570000
6,TYA,HOSE,10/01/2019,,6601,6601,6601,6601,1000,10650000
7,TYA,HOSE,11/01/2019,,6601,6632,6509,6601,520,5560000
8,TYA,HOSE,14/01/2019,,6509,6601,6509,6601,3500,37000000
9,TYA,HOSE,15/01/2019,,6601,6601,6447,6571,1430,15030000
10,TYA,HOSE,16/01/2019,,6323,6571,6323,6571,7240,75000000
11,TYA,HOSE,17/01/2019,,6571,6571,6571,6571,50,1000000
12,TYA,HOSE,18/01/2019,,6385,6571,6385,6571,2030,20920000
13,TYA,HOSE,21/01/2019,,6354,6509,6354,6509,750,7750000
14,TYA,HOSE,22/01/2019,,6416,6818,6416,6571,12240,129710000
15,TYA,HOSE,23/01/2019,,6694,6787,6694,6787,660,7160000
16,TYA,HOSE,24/01/2019,,6787,6787,6787,6787,0,0
17,TYA,HOSE,25/01/2019,,6354,6756,6354,6756,410,4210000
18,TYA,HOSE,28/01/2019,,6756,6756,6756,6756,10,110000
19,TYA,HOSE,29/01/2019,,6756,6756,6632,6756,2210,24060000
20,TYA,HOSE,30/01/2019,,6818,6818,6694,6787,2340,25740000
21,TYA,HOSE,31/01/2019,,6880,6880,6756,6756,3820,42120000
22,TYA,HOSE,01/02/2019,,6818,7221,6756,7128,26070,286160000
23,TYA,HOSE,11/02/2019,,7128,7128,6880,6880,2610,29020000
24,TYA,HOSE,12/02/2019,,6818,6880,6756,6880,4380,48030000
25,TYA,HOSE,13/02/2019,,6818,7128,6756,6880,7000,76530000
26,TYA,HOSE,14/02/2019,,6880,7128,6880,7066,4360,48780000
27,TYA,HOSE,15/02/2019,,7066,7066,6849,6849,9060,100240000
28,TYA,HOSE,18/02/2019,,7004,7314,6880,7066,5690,64100000
29,TYA,HOSE,19/02/2019,,7035,7066,6849,7066,10090,111700000
30,TYA,HOSE,20/02/2019,,7004,7500,7004,7314,3270,37850000
31,TYA,HOSE,21/02/2019,,7128,7252,7004,7097,6930,78970000
32,TYA,HOSE,22/02/2019,,7190,7190,7128,7159,540,6230000
33,TYA,HOSE,25/02/2019,,7438,7438,7376,7376,5610,67260000
34,TYA,HOSE,26/02/2019,,7438,7438,7128,7376,2210,26090000
35,TYA,HOSE,27/02/2019,,7407,7407,7190,7345,10560,124540000
36,TYA,HOSE,28/02/2019,,7345,7345,7190,7190,5190,60290000
