,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VCB,HOSE,02/01/2019,,34738,34995,34480,34544,1081640,58312300000
1,VCB,HOSE,03/01/2019,,34802,34867,33964,34544,1071350,57334040000
2,VCB,HOSE,04/01/2019,,34351,35060,33900,35060,1307310,70075040000
3,VCB,HOSE,07/01/2019,,35640,35769,35124,35189,1175810,64852070000
4,VCB,HOSE,08/01/2019,,35447,35575,35124,35447,1318810,72384340000
5,VCB,HOSE,09/01/2019,,35769,36156,35318,35962,1136370,63258420000
6,VCB,HOSE,10/01/2019,,35962,35962,35447,35447,794870,43921400000
7,VCB,HOSE,11/01/2019,,35575,35769,35382,35575,1115410,61602680000
8,VCB,HOSE,14/01/2019,,35575,35769,35382,35640,759980,41989000000
9,VCB,HOSE,15/01/2019,,35640,36156,35575,36027,1071080,59800290000
10,VCB,HOSE,16/01/2019,,36284,36284,35447,35704,706160,39316000000
11,VCB,HOSE,17/01/2019,,35640,35898,35511,35575,460060,25502000000
12,VCB,HOSE,18/01/2019,,35575,35704,35318,35318,542400,29874140000
13,VCB,HOSE,21/01/2019,,35189,36220,35124,35962,870530,48496660000
14,VCB,HOSE,22/01/2019,,36091,36091,35575,35575,398340,22125960000
15,VCB,HOSE,23/01/2019,,35382,35769,35382,35704,514720,28421230000
16,VCB,HOSE,24/01/2019,,35704,35833,35447,35704,463870,25697600000
17,VCB,HOSE,25/01/2019,,35769,36156,35704,35962,1008850,56251060000
18,VCB,HOSE,28/01/2019,,36091,36091,35769,35769,336990,18770040000
19,VCB,HOSE,29/01/2019,,35769,36542,35575,36542,973050,54480970000
20,VCB,HOSE,30/01/2019,,36542,36864,36542,36542,1152720,65698830000
21,VCB,HOSE,31/01/2019,,36607,36993,36607,36607,1147760,65592220000
22,VCB,HOSE,01/02/2019,,36736,36993,36413,36413,827040,46931730000
23,VCB,HOSE,11/02/2019,,36736,37509,36607,37445,1395030,80459060000
24,VCB,HOSE,12/02/2019,,37445,38025,37251,37767,1683680,98304720000
25,VCB,HOSE,13/02/2019,,37767,38605,37767,38540,1853680,110076030000
26,VCB,HOSE,14/02/2019,,38540,38862,38411,38798,1629070,97725330000
27,VCB,HOSE,15/02/2019,,38669,38669,38153,38218,1249180,74522630000
28,VCB,HOSE,18/02/2019,,38347,38669,38347,38669,1027840,61397780000
29,VCB,HOSE,19/02/2019,,38669,38798,38025,38025,1304520,77856730000
30,VCB,HOSE,20/02/2019,,38218,38411,37960,38089,818480,48462130000
31,VCB,HOSE,21/02/2019,,38347,38733,38089,38733,2044240,122156790000
32,VCB,HOSE,22/02/2019,,38798,40216,38669,39958,2502840,153730730000
33,VCB,HOSE,25/02/2019,,40280,41183,40151,40860,2079790,131129070000
34,VCB,HOSE,26/02/2019,,40860,40925,39894,40602,1976570,124186620000
35,VCB,HOSE,27/02/2019,,40474,40602,39700,39894,1148480,71323770000
36,VCB,HOSE,28/02/2019,,39894,40280,38991,38991,2027080,124301540000
37,VCB,HOSE,01/03/2019,,39314,40087,39185,40087,713500,43851770000
38,VCB,HOSE,04/03/2019,,40087,40602,40087,40474,1347480,84377540000
39,VCB,HOSE,05/03/2019,,40474,41118,40280,40602,1576750,99470760000
40,VCB,HOSE,06/03/2019,,40667,40796,39894,40409,1081870,67531260000
41,VCB,HOSE,07/03/2019,,40409,41118,40345,40667,1897450,119641140000
42,VCB,HOSE,08/03/2019,,40216,40602,40022,40474,997370,62487380000
43,VCB,HOSE,11/03/2019,,40216,40409,39894,40345,1020600,63514910000
44,VCB,HOSE,12/03/2019,,40602,41763,40409,41763,2194380,139896820000
45,VCB,HOSE,13/03/2019,,41891,42020,41569,42020,1680350,109046010000
46,VCB,HOSE,14/03/2019,,42020,43180,41569,43116,2115850,150716840000
47,VCB,HOSE,15/03/2019,,43309,43309,42536,42536,2616060,173278380000
48,VCB,HOSE,18/03/2019,,42858,43696,42858,43567,1936700,130587270000
49,VCB,HOSE,19/03/2019,,43567,43567,42987,43052,1390640,93478460000
50,VCB,HOSE,20/03/2019,,42987,43309,42665,42987,2441040,163237180000
51,VCB,HOSE,21/03/2019,,43116,43760,42858,42923,1525770,102215200000
52,VCB,HOSE,22/03/2019,,43052,43180,42858,43116,1375420,91649070000
53,VCB,HOSE,25/03/2019,,41891,42536,41247,42214,1635900,106995420000
54,VCB,HOSE,26/03/2019,,42600,42858,42214,42214,1127550,74088000000
55,VCB,HOSE,27/03/2019,,42471,42471,41698,42214,538180,35296000000
56,VCB,HOSE,28/03/2019,,42343,42987,42149,42987,742470,49290000000
57,VCB,HOSE,29/03/2019,,43180,43503,43052,43374,678050,45581000000
58,VCB,HOSE,01/04/2019,,43760,43760,43567,43696,684060,46376840000
59,VCB,HOSE,02/04/2019,,43825,44147,43503,43503,556970,37876760000
60,VCB,HOSE,03/04/2019,,43503,43567,42858,43309,445650,29878200000
61,VCB,HOSE,04/04/2019,,43309,43760,43052,43632,948960,64008880000
62,VCB,HOSE,05/04/2019,,43696,43954,43696,43889,477530,32496860000
63,VCB,HOSE,08/04/2019,,43889,44921,43760,44921,1121900,77372240000
64,VCB,HOSE,09/04/2019,,44921,45114,44727,44985,759180,52921880000
65,VCB,HOSE,10/04/2019,,44792,44792,44340,44405,719030,49647790000
66,VCB,HOSE,11/04/2019,,44469,44469,43632,44147,405090,27694130000
67,VCB,HOSE,12/04/2019,,44212,44212,43567,43825,355400,24122870000
68,VCB,HOSE,16/04/2019,,43825,43825,42794,43438,404640,27249090000
69,VCB,HOSE,17/04/2019,,43760,43954,43180,43825,516710,35041940000
70,VCB,HOSE,18/04/2019,,43503,44276,43503,43760,554820,37748510000
71,VCB,HOSE,19/04/2019,,43760,44147,43760,43825,232550,15850700000
72,VCB,HOSE,22/04/2019,,43245,43889,43180,43760,313210,21162930000
73,VCB,HOSE,23/04/2019,,43825,43825,42600,43503,1260620,84901780000
74,VCB,HOSE,24/04/2019,,43503,44598,43503,44147,684540,46835230000
75,VCB,HOSE,25/04/2019,,44147,44147,43632,43632,348700,23721.70
76,VCB,HOSE,26/04/2019,,43696,44018,43503,43760,277260,18823310000
77,VCB,HOSE,02/05/2019,,43567,43760,42794,43116,628430,42082590000
78,VCB,HOSE,03/05/2019,,43052,43309,42600,42987,789780,52694900000
