,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VID,HOSE,02/01/2019,,4358,4358,4076,4076,600,3680000
1,VID,HOSE,03/01/2019,,4124,4124,4055,4117,60,360000
2,VID,HOSE,04/01/2019,,4254,4254,4186,4186,210,1280000
3,VID,HOSE,07/01/2019,,4261,4261,3925,4179,70,430000
4,VID,HOSE,08/01/2019,,4179,4179,4179,4179,10,60000
5,VID,HOSE,09/01/2019,,4165,4165,4165,4165,20,120000
6,VID,HOSE,10/01/2019,,3918,4144,3918,4144,670,3830000
7,VID,HOSE,11/01/2019,,3986,4186,3986,4186,80,470000
8,VID,HOSE,14/01/2019,,4124,4124,3897,4110,800,5000000
9,VID,HOSE,15/01/2019,,4103,4110,3986,4110,120,700000
10,VID,HOSE,16/01/2019,,3925,4089,3918,4089,170,1000000
11,VID,HOSE,17/01/2019,,4089,4089,4089,4089,0,0
12,VID,HOSE,18/01/2019,,4089,4089,4089,4089,0,0
13,VID,HOSE,21/01/2019,,3849,4076,3808,4076,2420,13490000
14,VID,HOSE,22/01/2019,,4069,4069,4069,4069,740,4380000
15,VID,HOSE,23/01/2019,,3815,4048,3815,3828,1190,6620000
16,VID,HOSE,24/01/2019,,4041,4041,3650,3650,30,170000
17,VID,HOSE,25/01/2019,,3643,3773,3505,3773,5770,30140000
18,VID,HOSE,28/01/2019,,3574,4021,3574,4021,1030,5420000
19,VID,HOSE,29/01/2019,,3952,3952,3952,3952,100,580000
20,VID,HOSE,30/01/2019,,3746,4007,3677,4007,2390,12810000
21,VID,HOSE,31/01/2019,,3856,3870,3732,3732,230,1250000
22,VID,HOSE,01/02/2019,,3581,3918,3581,3643,40,220000
23,VID,HOSE,11/02/2019,,3643,3643,3505,3505,20,100000
24,VID,HOSE,12/02/2019,,3272,3677,3272,3677,260,1310000
25,VID,HOSE,13/02/2019,,3773,3773,3505,3505,570,2970000
26,VID,HOSE,14/02/2019,,3574,3677,3574,3581,140,740000
27,VID,HOSE,15/02/2019,,3608,3698,3608,3698,440,2320000
28,VID,HOSE,18/02/2019,,3643,3677,3643,3677,2200,11660000
29,VID,HOSE,19/02/2019,,3615,3670,3615,3670,20,110000
30,VID,HOSE,20/02/2019,,3622,3650,3622,3643,490,2600000
31,VID,HOSE,21/02/2019,,3643,3643,3443,3636,4820,25310000
32,VID,HOSE,22/02/2019,,3574,3670,3574,3574,670,3490000
33,VID,HOSE,25/02/2019,,3574,3808,3574,3588,4110,22170000
34,VID,HOSE,26/02/2019,,3382,3773,3382,3773,1600,8480000
35,VID,HOSE,27/02/2019,,3711,3780,3711,3780,890,4830000
36,VID,HOSE,28/02/2019,,3780,3980,3780,3780,7520,41360000
37,VID,HOSE,01/03/2019,,3986,3986,3973,3973,240,1390000
38,VID,HOSE,04/03/2019,,3973,3973,3973,3973,0,0
39,VID,HOSE,05/03/2019,,3849,3849,3849,3849,110,620000
40,VID,HOSE,06/03/2019,,3780,3918,3711,3918,970,5260000
41,VID,HOSE,07/03/2019,,3711,3883,3711,3883,2510,13560000
42,VID,HOSE,08/03/2019,,3883,3883,3883,3883,0,0
43,VID,HOSE,11/03/2019,,3918,4151,3918,4151,60,350000
44,VID,HOSE,12/03/2019,,4055,4055,3863,3986,3490,19650000
45,VID,HOSE,13/03/2019,,3986,3986,3986,3986,0,0
46,VID,HOSE,14/03/2019,,3980,3980,3952,3952,860,4960000
47,VID,HOSE,15/03/2019,,3780,3938,3780,3938,620,3410000
48,VID,HOSE,18/03/2019,,3986,3986,3663,3938,2440,13170000
49,VID,HOSE,19/03/2019,,3670,3918,3670,3711,2850,16230000
50,VID,HOSE,20/03/2019,,3966,3966,3718,3780,750,4120000
51,VID,HOSE,21/03/2019,,3622,3952,3622,3952,120,660000
52,VID,HOSE,22/03/2019,,3677,3938,3677,3691,410,2290000
