,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VMD,HOSE,02/01/2019,,16161,16161,16161,16161,0,0
1,VMD,HOSE,03/01/2019,,16161,16161,16161,16161,0,0
2,VMD,HOSE,04/01/2019,,15255,16010,15255,16010,20,410000
3,VMD,HOSE,07/01/2019,,16010,16010,16010,16010,0,0
4,VMD,HOSE,08/01/2019,,16010,16010,16010,16010,0,0
5,VMD,HOSE,09/01/2019,,16010,16010,16010,16010,0,0
6,VMD,HOSE,10/01/2019,,16010,16010,16010,16010,0,0
7,VMD,HOSE,11/01/2019,,16010,16010,16010,16010,0,0
8,VMD,HOSE,14/01/2019,,14915,14915,14915,14915,1670,33000000
9,VMD,HOSE,15/01/2019,,14538,15255,13896,15255,210,3970000
10,VMD,HOSE,16/01/2019,,15255,15255,15255,15255,0,0
11,VMD,HOSE,17/01/2019,,15255,15255,15255,15255,0,0
12,VMD,HOSE,18/01/2019,,14198,14802,14198,14198,100,1890000
13,VMD,HOSE,21/01/2019,,14198,14198,14198,14198,0,0
14,VMD,HOSE,22/01/2019,,14198,14198,14198,14198,10,190000
15,VMD,HOSE,23/01/2019,,14198,14198,14198,14198,0,0
16,VMD,HOSE,24/01/2019,,14198,14198,14198,14198,80,1500000
17,VMD,HOSE,25/01/2019,,14198,14198,14198,14198,0,0
18,VMD,HOSE,28/01/2019,,14198,14198,14198,14198,0,0
19,VMD,HOSE,29/01/2019,,14198,14198,14198,14198,0,0
20,VMD,HOSE,30/01/2019,,14198,14198,14198,14198,0,0
21,VMD,HOSE,31/01/2019,,14198,14198,14198,14198,0,0
22,VMD,HOSE,01/02/2019,,14198,14198,14198,14198,0,0
23,VMD,HOSE,11/02/2019,,14198,14198,14198,14198,0,0
24,VMD,HOSE,12/02/2019,,14198,14198,14198,14198,0,0
25,VMD,HOSE,13/02/2019,,14198,14198,14198,14198,0,0
26,VMD,HOSE,14/02/2019,,14198,14198,14198,14198,0,0
27,VMD,HOSE,15/02/2019,,14349,14349,14349,14349,400,7600000
28,VMD,HOSE,18/02/2019,,14349,14349,14349,14349,0,0
29,VMD,HOSE,19/02/2019,,13594,13594,13594,13594,100,1800000
30,VMD,HOSE,20/02/2019,,14349,14349,14349,14349,130,2470000
31,VMD,HOSE,21/02/2019,,13971,13971,13971,13971,10,190000
32,VMD,HOSE,22/02/2019,,13971,13971,13971,13971,180,3330000
33,VMD,HOSE,25/02/2019,,13971,14349,13971,14349,2970,56380000
34,VMD,HOSE,26/02/2019,,14349,14349,14349,14349,0,0
35,VMD,HOSE,27/02/2019,,13971,14349,13971,14349,1510,27940000
36,VMD,HOSE,28/02/2019,,14349,14349,14349,14349,0,0
37,VMD,HOSE,01/03/2019,,14349,14349,14349,14349,100,1900000
38,VMD,HOSE,04/03/2019,,14273,14273,14273,14273,300,5670000
39,VMD,HOSE,05/03/2019,,14349,14424,14349,14349,98090,1863740000
40,VMD,HOSE,06/03/2019,,14349,14349,14349,14349,0,0
41,VMD,HOSE,07/03/2019,,15255,15255,15255,15255,60,1210000
42,VMD,HOSE,08/03/2019,,15255,15255,15255,15255,0,0
43,VMD,HOSE,11/03/2019,,14349,14727,14198,14727,1040,19620000
44,VMD,HOSE,12/03/2019,,14727,14727,14727,14727,0,0
45,VMD,HOSE,13/03/2019,,14727,14727,14727,14727,200,3900000
46,VMD,HOSE,14/03/2019,,14349,14349,14349,14349,650,13490000
47,VMD,HOSE,15/03/2019,,14349,15029,14349,15029,200,3810000
48,VMD,HOSE,18/03/2019,,14047,14047,14047,14047,10,190000
49,VMD,HOSE,19/03/2019,,14349,14349,14349,14349,10,190000
50,VMD,HOSE,20/03/2019,,14349,14349,14349,14349,0,0
51,VMD,HOSE,21/03/2019,,14651,14651,14651,14651,10,190000
52,VMD,HOSE,22/03/2019,,14349,14349,14349,14349,200,3800000
53,VMD,HOSE,25/03/2019,,14349,14349,14349,14349,0,0
54,VMD,HOSE,26/03/2019,,14349,14349,14349,14349,50,1000000
55,VMD,HOSE,27/03/2019,,14047,14651,14009,14651,350,7000000
56,VMD,HOSE,28/03/2019,,14500,14500,14085,14500,90,2000000
57,VMD,HOSE,29/03/2019,,14500,14953,14500,14953,2440,48000000
58,VMD,HOSE,01/04/2019,,14122,14878,14122,14878,2620,49000000
59,VMD,HOSE,02/04/2019,,13896,15784,13896,15784,100,1870000
60,VMD,HOSE,03/04/2019,,14878,14878,14689,14689,680,13280000
61,VMD,HOSE,04/04/2019,,14651,14651,14651,14651,10,190000
62,VMD,HOSE,05/04/2019,,14953,14953,14953,14953,1460,28910000
63,VMD,HOSE,08/04/2019,,15029,15029,14349,14349,130,2480000
64,VMD,HOSE,09/04/2019,,14349,14349,14349,14349,0,0
65,VMD,HOSE,10/04/2019,,14198,14198,14198,14198,50,940000
66,VMD,HOSE,11/04/2019,,14349,14349,14349,14349,520,9880000
67,VMD,HOSE,12/04/2019,,14198,14198,14198,14198,540,10150000
68,VMD,HOSE,16/04/2019,,14198,14198,14198,14198,0,0
69,VMD,HOSE,17/04/2019,,14198,15029,14198,15029,130,2460000
70,VMD,HOSE,18/04/2019,,15029,15029,15029,15029,360,7160000
71,VMD,HOSE,19/04/2019,,14953,14953,14953,14953,340,6730000
72,VMD,HOSE,22/04/2019,,14953,14953,14953,14953,0,0
73,VMD,HOSE,23/04/2019,,14953,14953,14953,14953,0,0
74,VMD,HOSE,24/04/2019,,14953,14953,14953,14953,100,1980000
75,VMD,HOSE,25/04/2019,,14349,14349,14273,14273,1000,18.93
76,VMD,HOSE,26/04/2019,,14273,14273,14273,14273,10,190000
77,VMD,HOSE,02/05/2019,,15029,15029,14047,14085,29320,550060000
78,VMD,HOSE,03/05/2019,,14085,14085,14085,14085,0,0
79,VMD,HOSE,06/05/2019,,15029,15029,15029,15029,10,200000
80,VMD,HOSE,07/05/2019,,14991,15104,14991,15104,300,5990000
81,VMD,HOSE,08/05/2019,,15104,15104,15104,15104,0,0
82,VMD,HOSE,09/05/2019,,14122,14122,14122,14122,10,190000
83,VMD,HOSE,10/05/2019,,14122,14122,14122,14122,0,0
84,VMD,HOSE,13/05/2019,,14122,14122,14122,14122,0,0
85,VMD,HOSE,14/05/2019,,15066,15066,15066,15066,10,200000
86,VMD,HOSE,15/05/2019,,15104,15104,15104,15104,2000,40000000
87,VMD,HOSE,16/05/2019,,15104,15104,15104,15104,0,0
88,VMD,HOSE,17/05/2019,,15104,15104,15104,15104,0,0
89,VMD,HOSE,20/05/2019,,15104,15104,15104,15104,0,0
90,VMD,HOSE,21/05/2019,,15104,15104,15104,15104,0,0
91,VMD,HOSE,22/05/2019,,14122,14500,14122,14349,410,7750000
92,VMD,HOSE,23/05/2019,,14424,14424,14424,14424,100,2000000
93,VMD,HOSE,24/05/2019,,14424,14424,14424,14424,0,0
94,VMD,HOSE,27/05/2019,,14424,14424,14424,14424,30,570000
95,VMD,HOSE,28/05/2019,,14424,14424,14424,14424,0,0
96,VMD,HOSE,29/05/2019,,14424,14424,14424,14424,0,0
97,VMD,HOSE,30/05/2019,,14424,14424,14424,14424,320,6110000
98,VMD,HOSE,31/05/2019,,14424,14424,14424,14424,0,0
99,VMD,HOSE,03/06/2019,,14424,14424,14424,14424,0,0
100,VMD,HOSE,04/06/2019,,14424,14424,14424,14424,0,0
101,VMD,HOSE,05/06/2019,,14424,14424,14424,14424,0,0
102,VMD,HOSE,06/06/2019,,14424,14424,14424,14424,0,0
103,VMD,HOSE,07/06/2019,,13632,15104,13480,15104,1190,21420000
104,VMD,HOSE,10/06/2019,,15104,15104,15104,15104,0,0
105,VMD,HOSE,11/06/2019,,15104,15104,15104,15104,0,0
106,VMD,HOSE,12/06/2019,,15104,15104,15104,15104,0,0
107,VMD,HOSE,13/06/2019,,15104,15104,15104,15104,0,0
108,VMD,HOSE,14/06/2019,,15104,15104,15104,15104,0,0
109,VMD,HOSE,17/06/2019,,15104,15104,15104,15104,0,0
110,VMD,HOSE,18/06/2019,,14122,15784,14122,15784,140,2640000
111,VMD,HOSE,19/06/2019,,15784,15784,15784,15784,0,0
112,VMD,HOSE,20/06/2019,,15784,15784,15784,15784,0,0
113,VMD,HOSE,21/06/2019,,0,14878,14802,14802,2800,54880000
114,VMD,HOSE,24/06/2019,,14802,14802,14802,14802,440,8620000
115,VMD,HOSE,25/06/2019,,14802,14802,14802,14802,0,0
116,VMD,HOSE,26/06/2019,,14802,14802,14802,14802,0,0
117,VMD,HOSE,27/06/2019,,14802,14802,14802,14802,40,780000
118,VMD,HOSE,28/06/2019,,14802,14802,14802,14802,0,0
119,VMD,HOSE,01/07/2019,,14802,14802,14802,14802,0,0
120,VMD,HOSE,02/07/2019,,14802,14802,14802,14802,0,0
121,VMD,HOSE,03/07/2019,,14802,14802,14802,14802,0,0
122,VMD,HOSE,04/07/2019,,14802,14802,14802,14802,0,0
123,VMD,HOSE,05/07/2019,,14953,14953,14953,14953,20,400000
124,VMD,HOSE,08/07/2019,,14953,14953,14953,14953,0,0
125,VMD,HOSE,09/07/2019,,14953,14953,14953,14953,0,0
126,VMD,HOSE,10/07/2019,,14953,14953,14953,14953,0,0
127,VMD,HOSE,11/07/2019,,15104,15180,15104,15180,70,1000000
128,VMD,HOSE,12/07/2019,,15104,15180,15104,15180,0,0
