,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VNE,HOSE,02/01/2019,,3910,4100,3910,4060,175130,710080000
1,VNE,HOSE,03/01/2019,,4000,4090,3940,3950,217350,863520000
2,VNE,HOSE,04/01/2019,,3950,3950,3850,3950,102700,400800000
3,VNE,HOSE,07/01/2019,,3960,4000,3850,3940,111320,435470000
4,VNE,HOSE,08/01/2019,,3940,3940,3850,3890,47830,185080000
5,VNE,HOSE,09/01/2019,,3870,3950,3830,3850,63240,244690000
6,VNE,HOSE,10/01/2019,,3850,3900,3780,3800,129460,493430000
7,VNE,HOSE,11/01/2019,,3850,3850,3750,3800,62250,235650000
8,VNE,HOSE,14/01/2019,,3800,3840,3770,3800,30150,115000000
9,VNE,HOSE,15/01/2019,,3800,3800,3730,3790,68760,258850000
10,VNE,HOSE,16/01/2019,,3740,3800,3740,3760,81360,307000000
11,VNE,HOSE,17/01/2019,,3760,3770,3740,3770,58910,221000000
12,VNE,HOSE,18/01/2019,,3770,3770,3700,3700,98320,366800000
13,VNE,HOSE,21/01/2019,,3720,3750,3700,3720,96750,360390000
14,VNE,HOSE,22/01/2019,,3740,3740,3700,3700,125050,462980000
15,VNE,HOSE,23/01/2019,,3700,3750,3700,3750,43330,161450000
16,VNE,HOSE,24/01/2019,,3750,3790,3750,3790,80590,302440000
17,VNE,HOSE,25/01/2019,,3750,3800,3730,3760,62930,237470000
18,VNE,HOSE,28/01/2019,,3780,3790,3750,3760,34970,131660000
19,VNE,HOSE,29/01/2019,,3710,3780,3710,3760,101780,380850000
20,VNE,HOSE,30/01/2019,,3760,4020,3760,4000,228650,899210000
21,VNE,HOSE,31/01/2019,,4060,4200,3900,3920,47620,193700000
22,VNE,HOSE,01/02/2019,,4040,4040,3900,3940,35110,138520000
23,VNE,HOSE,11/02/2019,,4050,4050,3900,3920,44000,173190000
24,VNE,HOSE,12/02/2019,,3900,3970,3900,3960,82260,323350000
25,VNE,HOSE,13/02/2019,,3970,3970,3900,3900,147720,579490000
26,VNE,HOSE,14/02/2019,,3900,4170,3900,4170,257560,1053560000
27,VNE,HOSE,15/02/2019,,4300,4300,4200,4220,250220,1062410000
28,VNE,HOSE,18/02/2019,,4240,4260,4100,4210,155440,654660000
29,VNE,HOSE,19/02/2019,,4200,4250,4160,4160,90170,378480000
30,VNE,HOSE,20/02/2019,,4160,4160,4010,4120,113250,464870000
31,VNE,HOSE,21/02/2019,,4130,4150,4050,4050,52130,212660000
32,VNE,HOSE,22/02/2019,,4060,4160,4030,4110,200670,823480000
33,VNE,HOSE,25/02/2019,,4160,4250,4090,4140,143780,595730000
34,VNE,HOSE,26/02/2019,,4080,4180,4070,4090,50480,207280000
35,VNE,HOSE,27/02/2019,,4100,4150,4060,4090,76240,311890000
36,VNE,HOSE,28/02/2019,,4100,4140,4000,4000,53030,214120000
37,VNE,HOSE,01/03/2019,,4040,4110,4000,4100,105540,428820000
38,VNE,HOSE,04/03/2019,,4100,4170,4050,4110,88590,363590000
39,VNE,HOSE,05/03/2019,,4140,4390,4130,4390,603080,2633570000
40,VNE,HOSE,06/03/2019,,4550,4690,4420,4670,916610,4244870000
41,VNE,HOSE,07/03/2019,,4690,4750,4570,4610,312890,1461700000
42,VNE,HOSE,08/03/2019,,4400,4650,4400,4650,510360,2310580000
43,VNE,HOSE,11/03/2019,,4670,4670,4330,4400,478330,2139300000
44,VNE,HOSE,12/03/2019,,4530,4600,4450,4540,299400,1352570000
45,VNE,HOSE,13/03/2019,,4520,4620,4470,4550,297130,1348700000
46,VNE,HOSE,14/03/2019,,4580,4580,4450,4540,185400,880820000
47,VNE,HOSE,15/03/2019,,4500,4550,4480,4550,194810,879630000
48,VNE,HOSE,18/03/2019,,4510,4730,4510,4690,625860,2908220000
49,VNE,HOSE,19/03/2019,,4700,4880,4700,4700,978050,4676130000
50,VNE,HOSE,20/03/2019,,4840,4900,4780,4810,314120,1514970000
51,VNE,HOSE,21/03/2019,,4830,4850,4550,4550,595370,2803510000
52,VNE,HOSE,22/03/2019,,4550,4610,4500,4500,218780,990700000
53,VNE,HOSE,25/03/2019,,4400,4500,4220,4250,309800,1338100000
54,VNE,HOSE,26/03/2019,,4280,4330,4180,4190,259440,1102000000
55,VNE,HOSE,27/03/2019,,4190,4440,4180,4200,400160,1683000000
56,VNE,HOSE,28/03/2019,,4150,4240,4150,4220,131930,555000000
57,VNE,HOSE,29/03/2019,,4270,4270,4190,4250,230860,973000000
58,VNE,HOSE,01/04/2019,,4280,4280,4200,4200,182810,770850000
59,VNE,HOSE,02/04/2019,,4200,4380,4200,4250,226490,960690000
60,VNE,HOSE,03/04/2019,,4250,4450,4210,4400,421120,1835740000
61,VNE,HOSE,04/04/2019,,4400,4600,4400,4590,378840,1711850000
62,VNE,HOSE,05/04/2019,,4590,4600,4480,4480,260010,1173830000
63,VNE,HOSE,08/04/2019,,4460,4460,4260,4260,378090,1629660000
64,VNE,HOSE,09/04/2019,,4350,4390,4290,4300,289340,1249700000
