,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VNG,HOSE,02/01/2019,,20500,20500,20200,20200,425670,8661750000
1,VNG,HOSE,03/01/2019,,20200,20250,20000,20050,389890,7855380000
2,VNG,HOSE,04/01/2019,,20000,20200,19800,20200,365490,7310680000
3,VNG,HOSE,07/01/2019,,20200,20400,20200,20350,416770,8460600000
4,VNG,HOSE,08/01/2019,,20350,20400,20200,20300,423230,8593180000
5,VNG,HOSE,09/01/2019,,20300,20400,20250,20400,443560,9015420000
6,VNG,HOSE,10/01/2019,,20400,20400,20300,20300,453740,9226980000
7,VNG,HOSE,11/01/2019,,20300,20400,20250,20300,450230,9140760000
8,VNG,HOSE,14/01/2019,,20300,20350,20150,20200,446080,9027000000
9,VNG,HOSE,15/01/2019,,20200,20550,20050,20500,482360,9764030000
10,VNG,HOSE,16/01/2019,,20500,20600,20400,20500,381110,7802000000
11,VNG,HOSE,17/01/2019,,20550,20600,20400,20500,460530,9431000000
12,VNG,HOSE,18/01/2019,,20500,20700,20500,20700,459850,9474860000
13,VNG,HOSE,21/01/2019,,20650,20750,20650,20700,424160,8778020000
14,VNG,HOSE,22/01/2019,,20700,20800,20300,20750,452780,9354530000
15,VNG,HOSE,23/01/2019,,20700,20850,20600,20850,402140,8324030000
16,VNG,HOSE,24/01/2019,,20850,20850,20550,20850,433870,8988370000
17,VNG,HOSE,25/01/2019,,20850,20900,20700,20850,402030,8360430000
18,VNG,HOSE,28/01/2019,,20850,20950,20800,20900,372700,7774070000
19,VNG,HOSE,29/01/2019,,20900,20900,20800,20900,435270,9062600000
20,VNG,HOSE,30/01/2019,,20850,21000,20750,20900,361520,7535400000
21,VNG,HOSE,31/01/2019,,20850,20900,20700,20850,354760,7389630000
22,VNG,HOSE,01/02/2019,,20850,20900,20700,20900,393440,8173830000
23,VNG,HOSE,11/02/2019,,20900,21100,20900,21100,347330,7281440000
24,VNG,HOSE,12/02/2019,,20550,21350,20550,21350,415280,8720900000
25,VNG,HOSE,13/02/2019,,21350,21650,21350,21650,329310,7051190000
26,VNG,HOSE,14/02/2019,,21650,22000,21650,22000,393840,8628420000
27,VNG,HOSE,15/02/2019,,22000,22050,21850,22000,377510,8282990000
28,VNG,HOSE,18/02/2019,,22000,22000,21650,21900,393810,8580380000
29,VNG,HOSE,19/02/2019,,21850,21900,21600,21850,401020,8739240000
30,VNG,HOSE,20/02/2019,,21900,22000,21800,21850,389730,8515260000
31,VNG,HOSE,21/02/2019,,21850,21900,21500,21600,372760,8084560000
32,VNG,HOSE,22/02/2019,,21600,21650,21500,21600,356000,7666740000
33,VNG,HOSE,25/02/2019,,21600,21850,21600,21600,369260,8006660000
34,VNG,HOSE,26/02/2019,,21600,21650,21350,21550,387080,8325620000
35,VNG,HOSE,27/02/2019,,21500,21650,21450,21550,361010,7769790000
36,VNG,HOSE,28/02/2019,,21550,21650,21450,21550,355600,7656150000
37,VNG,HOSE,01/03/2019,,21550,21800,21550,21800,328090,7090740000
38,VNG,HOSE,04/03/2019,,21250,22000,21250,22000,413790,9029040000
39,VNG,HOSE,05/03/2019,,22000,22100,21850,21950,373760,8204230000
40,VNG,HOSE,06/03/2019,,21950,22150,21950,22000,361780,7960240000
41,VNG,HOSE,07/03/2019,,22000,22500,22000,22450,377420,8431960000
42,VNG,HOSE,08/03/2019,,22450,22500,22350,22450,351440,7868270000
43,VNG,HOSE,11/03/2019,,22450,22700,22350,22700,373710,8392190000
44,VNG,HOSE,12/03/2019,,22700,23000,22500,23000,358630,8162230000
45,VNG,HOSE,13/03/2019,,23000,23100,22900,22900,388750,8925030000
46,VNG,HOSE,14/03/2019,,22900,23100,22700,22800,373490,8681540000
47,VNG,HOSE,15/03/2019,,22500,23000,22500,22900,372500,8510460000
48,VNG,HOSE,18/03/2019,,22900,23000,22800,23000,339120,7764150000
49,VNG,HOSE,19/03/2019,,23000,23050,22750,22900,317930,7273980000
50,VNG,HOSE,20/03/2019,,22900,22950,22700,22950,356650,8126080000
51,VNG,HOSE,21/03/2019,,22950,23000,22800,22800,352620,8073730000
52,VNG,HOSE,22/03/2019,,22850,23600,22800,23600,479610,11062210000
53,VNG,HOSE,25/03/2019,,23600,23600,23300,23600,388630,9128190000
54,VNG,HOSE,26/03/2019,,23600,23900,23600,23900,371430,8822000000
55,VNG,HOSE,27/03/2019,,23900,24000,23800,24000,399200,9547000000
56,VNG,HOSE,28/03/2019,,24000,24100,23800,24050,365910,8775000000
57,VNG,HOSE,29/03/2019,,24050,24150,23950,24100,343010,8248000000
58,VNG,HOSE,01/04/2019,,24100,24150,23800,24000,355200,8524660000
59,VNG,HOSE,02/04/2019,,24000,24050,23550,23650,364400,8664750000
60,VNG,HOSE,03/04/2019,,23650,23900,23300,23300,376580,8909490000
61,VNG,HOSE,04/04/2019,,23300,23600,23250,23400,343430,8050800000
62,VNG,HOSE,05/04/2019,,23400,23500,23400,23450,334180,7833800000
63,VNG,HOSE,08/04/2019,,23400,23500,22900,22900,252260,5844020000
64,VNG,HOSE,09/04/2019,,22800,23250,22550,22550,327380,7495160000
65,VNG,HOSE,10/04/2019,,22550,22550,21200,21550,307890,6729080000
66,VNG,HOSE,11/04/2019,,21550,21800,21450,21600,256060,5535430000
67,VNG,HOSE,12/04/2019,,21600,21750,21550,21600,280700,6080350000
68,VNG,HOSE,16/04/2019,,21600,21650,21400,21600,284490,6140270000
69,VNG,HOSE,17/04/2019,,21600,22000,21600,21900,350880,7684080000
70,VNG,HOSE,18/04/2019,,21900,21900,21600,21750,300980,6552930000
71,VNG,HOSE,19/04/2019,,21750,21950,21750,21850,295780,6455750000
72,VNG,HOSE,22/04/2019,,21700,21850,21300,21400,268380,5784220000
73,VNG,HOSE,23/04/2019,,21400,21450,21250,21350,266460,5683260000
74,VNG,HOSE,24/04/2019,,21350,21450,21200,21400,280940,5988930000
75,VNG,HOSE,25/04/2019,,21350,21400,21200,21300,257940,5494.91
76,VNG,HOSE,26/04/2019,,21300,21550,21200,21550,337480,7209290000
77,VNG,HOSE,02/05/2019,,21550,21700,21500,21600,266790,5759200000
78,VNG,HOSE,03/05/2019,,21600,21750,21500,21700,247920,5369350000
79,VNG,HOSE,06/05/2019,,21700,21700,21400,21500,284420,6125400000
80,VNG,HOSE,07/05/2019,,21500,21650,21500,21550,270680,5828450000
81,VNG,HOSE,08/05/2019,,21550,21550,21450,21450,246050,5286950000
82,VNG,HOSE,09/05/2019,,21450,21600,21450,21500,249420,5366350000
83,VNG,HOSE,10/05/2019,,21500,21600,21500,21550,285930,6151930000
84,VNG,HOSE,13/05/2019,,21550,21700,21550,21600,236070,5099220000
85,VNG,HOSE,14/05/2019,,21600,21700,21500,21650,255580,5523980000
86,VNG,HOSE,15/05/2019,,21650,21800,21650,21700,266560,5783090000
87,VNG,HOSE,16/05/2019,,21700,21800,21600,21700,264540,5734790000
88,VNG,HOSE,17/05/2019,,21700,21700,21550,21600,256050,5539000000
89,VNG,HOSE,20/05/2019,,21600,21700,21450,21700,266230,5752600000
90,VNG,HOSE,21/05/2019,,21700,21750,21600,21700,259910,5638130000
91,VNG,HOSE,22/05/2019,,21700,21750,21600,21700,266800,5786270000
92,VNG,HOSE,23/05/2019,,21700,21700,21500,21700,265590,5733000000
93,VNG,HOSE,24/05/2019,,21700,21700,21450,21550,247910,5335740000
94,VNG,HOSE,27/05/2019,,21550,21650,21500,21550,254540,5493620000
95,VNG,HOSE,28/05/2019,,21550,21550,21400,21400,262310,5626320000
96,VNG,HOSE,29/05/2019,,21400,21450,21200,21200,243080,5192300000
97,VNG,HOSE,30/05/2019,,21200,21300,20900,20900,219180,4630470000
98,VNG,HOSE,31/05/2019,,20900,20950,20400,20400,256070,5321830000
99,VNG,HOSE,03/06/2019,,20400,20400,19000,19900,225030,4483670000
100,VNG,HOSE,04/06/2019,,19900,20000,19800,19800,225190,4485400000
101,VNG,HOSE,05/06/2019,,19800,19850,19800,19800,246650,4883850000
102,VNG,HOSE,06/06/2019,,19800,19800,19600,19700,240000,4716510000
103,VNG,HOSE,07/06/2019,,19700,19850,19550,19850,255670,5040200000
104,VNG,HOSE,10/06/2019,,19850,20600,19850,20600,319530,6501190000
105,VNG,HOSE,11/06/2019,,20600,20750,20500,20750,284550,5866520000
106,VNG,HOSE,12/06/2019,,20750,20850,20500,20800,255040,5295910000
107,VNG,HOSE,13/06/2019,,20800,20800,20700,20800,263980,5490740000
108,VNG,HOSE,14/06/2019,,20800,20950,20800,20950,249320,5218240000
109,VNG,HOSE,17/06/2019,,20950,21000,20900,20900,246680,5167940000
110,VNG,HOSE,18/06/2019,,20900,20950,20700,20800,241710,5031970000
111,VNG,HOSE,19/06/2019,,20800,20850,20600,20600,194950,4048280000
112,VNG,HOSE,20/06/2019,,20800,20850,20600,20600,194950,4048280000
113,VNG,HOSE,21/06/2019,,21500,21600,21450,21500,243390,5243150000
114,VNG,HOSE,24/06/2019,,21500,21550,21500,21550,251800,5416450000
115,VNG,HOSE,25/06/2019,,21550,21600,21400,21550,240670,5182440000
116,VNG,HOSE,26/06/2019,,21550,21600,21500,21550,223680,4817330000
117,VNG,HOSE,27/06/2019,,21550,21600,21450,21500,248150,5334360000
118,VNG,HOSE,28/06/2019,,21500,21700,21500,21700,249090,5367390000
119,VNG,HOSE,01/07/2019,,21650,21900,21650,21900,254760,5561550000
120,VNG,HOSE,02/07/2019,,21900,22000,21850,21950,247480,5420400000
121,VNG,HOSE,03/07/2019,,21950,22000,21850,22000,243740,5342610000
122,VNG,HOSE,04/07/2019,,22000,22200,21950,22000,244190,5382040000
123,VNG,HOSE,05/07/2019,,22000,22150,21950,22050,259720,5725090000
124,VNG,HOSE,08/07/2019,,22050,22050,21900,22000,252010,5533440000
125,VNG,HOSE,09/07/2019,,22000,22100,22000,22050,246250,5426100000
126,VNG,HOSE,10/07/2019,,22050,22150,22050,22100,259700,5729440000
127,VNG,HOSE,11/07/2019,,22100,22150,22050,22050,248010,5477000000
128,VNG,HOSE,12/07/2019,,22050,22100,22000,22100,254970,5620000000
129,VNG,HOSE,15/07/2019,,22100,22150,22050,22100,244860,5402000000
130,VNG,HOSE,16/07/2019,,22100,22200,22000,22050,228540,5048000000
131,VNG,HOSE,17/07/2019,,22050,22100,21450,21550,233290,5109000000
132,VNG,HOSE,18/07/2019,,21550,21550,21050,21050,221020,4705000000
133,VNG,HOSE,19/07/2019,,21050,21100,20650,20650,228010,4777000000
134,VNG,HOSE,22/07/2019,,20650,20700,20000,20000,214070,4380000000
135,VNG,HOSE,23/07/2019,,20000,20000,19000,19600,226490,4487000000
136,VNG,HOSE,24/07/2019,,19600,19650,19000,19350,268770,5176000000
137,VNG,HOSE,25/07/2019,,19050,19350,18850,19350,229850,4423000000
138,VNG,HOSE,26/07/2019,,19350,19350,19200,19300,233810,4500000000
139,VNG,HOSE,29/07/2019,,19300,19350,19150,19300,252280,4858000000
140,VNG,HOSE,30/07/2019,,19300,19400,19200,19250,225270,4349000000
141,VNG,HOSE,31/07/2019,,19250,19350,19200,19300,258800,4980000000
142,VNG,HOSE,01/08/2019,,19300,19750,19250,19450,264060,5149000000
143,VNG,HOSE,02/08/2019,,19450,19450,19250,19350,246510,4760000000
144,VNG,HOSE,05/08/2019,,19350,19350,19150,19300,253790,4889000000
145,VNG,HOSE,06/08/2019,,19250,19250,19100,19100,231200,4436000000
146,VNG,HOSE,07/08/2019,,19100,19300,19000,19100,229480,4387000000
147,VNG,HOSE,08/08/2019,,19100,19100,18000,18000,258930,4863000000
148,VNG,HOSE,09/08/2019,,18400,18600,18000,18150,237470,4334000000
149,VNG,HOSE,12/08/2019,,18200,18200,18000,18150,235880,4272000000
150,VNG,HOSE,13/08/2019,,18150,18200,17900,18200,221520,3997000000
151,VNG,HOSE,14/08/2019,,18200,18300,18100,18300,243930,4434000000
152,VNG,HOSE,15/08/2019,,18300,18300,18150,18300,235060,4278000000
153,VNG,HOSE,16/08/2019,,18300,18450,18300,18450,241230,4426000000
154,VNG,HOSE,19/08/2019,,18450,18650,18400,18700,246800,4557000000
155,VNG,HOSE,20/08/2019,,18700,19050,18700,19100,242190,4589000000
156,VNG,HOSE,21/08/2019,,19050,19600,19050,19600,245130,4745000000
157,VNG,HOSE,22/08/2019,,19600,20050,19600,20050,251620,5009000000
158,VNG,HOSE,23/08/2019,,20050,20200,20000,20200,238470,4802000000
159,VNG,HOSE,26/08/2019,,20200,20250,19850,20100,294390,5921000000
160,VNG,HOSE,27/08/2019,,20100,20250,20000,20150,303540,6126000000
161,VNG,HOSE,28/08/2019,,20150,20250,20100,20150,288710,5830000000
