,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VNL,HOSE,02/01/2019,,6579,7254,6535,7254,2020,30370000
1,VNL,HOSE,03/01/2019,,7407,7407,7407,7407,5310,90270000
2,VNL,HOSE,04/01/2019,,6971,7842,6971,7842,560,9000000
3,VNL,HOSE,07/01/2019,,7298,7298,7298,7298,1040,17420000
4,VNL,HOSE,08/01/2019,,7298,7407,7298,7407,2490,42330000
5,VNL,HOSE,09/01/2019,,7407,7407,7407,7407,250,4250000
6,VNL,HOSE,10/01/2019,,7407,7407,7407,7407,0,0
7,VNL,HOSE,11/01/2019,,7407,7407,7407,7407,0,0
8,VNL,HOSE,14/01/2019,,6906,7407,6906,7407,700,12000000
9,VNL,HOSE,15/01/2019,,6971,7407,6971,7407,20,330000
10,VNL,HOSE,16/01/2019,,7407,7407,7407,7407,0,0
11,VNL,HOSE,17/01/2019,,7407,7407,7407,7407,0,0
12,VNL,HOSE,18/01/2019,,6906,6906,6906,6906,10,160000
13,VNL,HOSE,21/01/2019,,6927,6927,6927,6927,10,160000
14,VNL,HOSE,22/01/2019,,6927,6927,6927,6927,0,0
15,VNL,HOSE,23/01/2019,,6927,6927,6927,6927,0,0
16,VNL,HOSE,24/01/2019,,6927,7407,6927,7407,550,8760000
17,VNL,HOSE,25/01/2019,,7908,7908,7908,7908,30,540000
18,VNL,HOSE,28/01/2019,,7363,7363,7363,7363,20,340000
19,VNL,HOSE,29/01/2019,,6862,7363,6862,7363,30,480000
20,VNL,HOSE,30/01/2019,,6862,6862,6862,6862,40,630000
21,VNL,HOSE,31/01/2019,,6862,6862,6862,6862,0,0
22,VNL,HOSE,01/02/2019,,6426,7341,6426,7341,20,320000
23,VNL,HOSE,11/02/2019,,6840,6840,6840,6840,60,940000
24,VNL,HOSE,12/02/2019,,7298,7298,7298,7298,10,170000
25,VNL,HOSE,13/02/2019,,7276,7276,7276,7276,30,500000
26,VNL,HOSE,14/02/2019,,6775,6971,6775,6971,30,480000
27,VNL,HOSE,15/02/2019,,6971,6971,6971,6971,0,0
28,VNL,HOSE,18/02/2019,,6971,6971,6971,6971,0,0
29,VNL,HOSE,19/02/2019,,6971,6971,6971,6971,20,320000
30,VNL,HOSE,20/02/2019,,7189,7189,7189,7189,2200,36300000
