,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VNM,HOSE,02/01/2019,,82454,84151,82115,84151,403570,49601720000
1,VNM,HOSE,03/01/2019,,84151,84151,82522,83404,449730,55083160000
2,VNM,HOSE,04/01/2019,,83133,84829,82115,84829,498470,61395880000
3,VNM,HOSE,07/01/2019,,86662,88901,85169,88901,897430,116281850000
4,VNM,HOSE,08/01/2019,,89173,89173,87340,88223,448350,58153120000
5,VNM,HOSE,09/01/2019,,88223,89919,87544,89512,636050,83721540000
6,VNM,HOSE,10/01/2019,,89512,89580,88833,89376,301700,39688630000
7,VNM,HOSE,11/01/2019,,89376,90937,89376,90937,954110,127561000000
8,VNM,HOSE,14/01/2019,,90259,91616,90191,91616,611420,81941000000
9,VNM,HOSE,15/01/2019,,91616,91752,90937,91548,598510,80743980000
10,VNM,HOSE,16/01/2019,,90937,91412,89580,90259,562220,75220000000
11,VNM,HOSE,17/01/2019,,90259,90530,89308,89716,514870,68172000000
12,VNM,HOSE,18/01/2019,,90259,91548,90259,90937,545600,73215800000
13,VNM,HOSE,21/01/2019,,91005,91005,89783,90801,279380,37189810000
14,VNM,HOSE,22/01/2019,,91073,91616,90259,90937,399040,53429620000
15,VNM,HOSE,23/01/2019,,91548,91616,90801,91276,1028650,138323300000
16,VNM,HOSE,24/01/2019,,91616,91955,91141,91955,1077600,145618110000
17,VNM,HOSE,25/01/2019,,92294,92498,92023,92227,813810,110726170000
18,VNM,HOSE,28/01/2019,,92634,92702,92227,92634,487650,66426560000
19,VNM,HOSE,29/01/2019,,92973,92973,91955,92634,371010,50490100000
20,VNM,HOSE,30/01/2019,,92702,92702,91955,91955,279280,37960870000
21,VNM,HOSE,31/01/2019,,92634,92634,90598,91616,812290,110117270000
22,VNM,HOSE,01/02/2019,,92159,92159,90259,91616,731430,98300850000
23,VNM,HOSE,11/02/2019,,91616,93584,91548,92973,1357210,185686680000
24,VNM,HOSE,12/02/2019,,93652,93787,92973,93652,957440,132036430000
25,VNM,HOSE,13/02/2019,,93652,93923,92430,93855,764480,105043480000
26,VNM,HOSE,14/02/2019,,93855,95213,93652,94602,1341090,186847320000
27,VNM,HOSE,15/02/2019,,95009,95213,94670,95145,910160,127475630000
28,VNM,HOSE,18/02/2019,,95280,96706,95213,96366,1082650,152980310000
29,VNM,HOSE,19/02/2019,,97045,97248,96638,96773,1974200,281842750000
30,VNM,HOSE,20/02/2019,,97045,97384,96909,97045,983460,140764870000
31,VNM,HOSE,21/02/2019,,97384,101185,97045,100777,1859260,272426870000
32,VNM,HOSE,22/02/2019,,101117,101456,100642,101049,814320,121359200000
33,VNM,HOSE,25/02/2019,,101117,103560,100913,102881,1211040,183406750000
34,VNM,HOSE,26/02/2019,,101795,103153,98402,99149,806810,119857940000
35,VNM,HOSE,27/02/2019,,99284,101795,99284,100234,484610,71624310000
36,VNM,HOSE,28/02/2019,,100777,100777,95755,95755,976450,139943270000
37,VNM,HOSE,01/03/2019,,97656,97656,95959,95959,868720,123315700000
38,VNM,HOSE,04/03/2019,,96027,97656,96027,96977,876760,124929490000
39,VNM,HOSE,05/03/2019,,96706,96909,96095,96366,532510,75770520000
40,VNM,HOSE,06/03/2019,,96366,96909,93991,95688,711250,99645580000
41,VNM,HOSE,07/03/2019,,95891,96366,94670,94805,708000,99719150000
42,VNM,HOSE,08/03/2019,,94330,94670,92023,92973,980860,134719080000
43,VNM,HOSE,11/03/2019,,92634,94262,92634,93380,423100,58292570000
44,VNM,HOSE,12/03/2019,,93652,94670,93652,94330,560360,77763530000
45,VNM,HOSE,13/03/2019,,94670,95077,93787,93855,616010,85804560000
46,VNM,HOSE,14/03/2019,,94330,94330,92769,93312,886200,126617570000
47,VNM,HOSE,15/03/2019,,93109,93652,92634,92973,1254050,171974890000
48,VNM,HOSE,18/03/2019,,93652,94059,93312,93652,910690,125898150000
49,VNM,HOSE,19/03/2019,,93652,93652,92702,92905,936230,128493140000
50,VNM,HOSE,20/03/2019,,92634,93991,91752,93991,1269860,172816200000
