,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VRC,HOSE,02/01/2019,,18300,18500,18200,18400,53110,972300000
1,VRC,HOSE,03/01/2019,,18100,18400,17150,17150,65540,1148330000
2,VRC,HOSE,04/01/2019,,17100,17150,16200,17000,298290,5007670000
3,VRC,HOSE,07/01/2019,,16800,17200,16700,17000,258280,4374000000
4,VRC,HOSE,08/01/2019,,17000,17000,16700,16900,192150,3234290000
5,VRC,HOSE,09/01/2019,,16900,17100,16800,17100,318560,5395440000
6,VRC,HOSE,10/01/2019,,16900,17100,16800,17100,69380,1175640000
7,VRC,HOSE,11/01/2019,,17000,17000,16700,17000,102850,1732950000
8,VRC,HOSE,14/01/2019,,16900,16900,16400,16800,120020,2006000000
9,VRC,HOSE,15/01/2019,,16700,16700,15650,16100,1175090,18636400000
10,VRC,HOSE,16/01/2019,,15750,16750,15650,16600,921740,14798000000
11,VRC,HOSE,17/01/2019,,16600,16700,16200,16700,449470,7390000000
12,VRC,HOSE,18/01/2019,,16200,16800,16100,16600,340490,5600490000
13,VRC,HOSE,21/01/2019,,16500,16900,16300,16900,391620,6479530000
14,VRC,HOSE,22/01/2019,,17000,17300,16800,16900,254990,4335370000
15,VRC,HOSE,23/01/2019,,16900,16900,16600,16800,242060,4053390000
16,VRC,HOSE,24/01/2019,,16900,16900,16600,16750,146360,2445140000
17,VRC,HOSE,25/01/2019,,16750,17200,16700,17150,406340,6911360000
18,VRC,HOSE,28/01/2019,,17200,17200,16600,16900,306430,5180060000
19,VRC,HOSE,29/01/2019,,16950,16950,16800,16800,339000,5702580000
20,VRC,HOSE,30/01/2019,,16800,16900,16600,16700,202370,3383460000
21,VRC,HOSE,31/01/2019,,16700,17150,16700,17150,273160,4632370000
22,VRC,HOSE,01/02/2019,,17200,17200,16900,17100,122170,2081610000
23,VRC,HOSE,11/02/2019,,17000,17150,16900,17000,263350,4471400000
24,VRC,HOSE,12/02/2019,,16900,17000,16800,17000,399580,6759430000
25,VRC,HOSE,13/02/2019,,16900,16900,16400,16800,371860,6194860000
26,VRC,HOSE,14/02/2019,,16700,17000,16300,17000,725790,11996910000
27,VRC,HOSE,15/02/2019,,17000,18150,16800,18150,1082390,19011070000
28,VRC,HOSE,18/02/2019,,18300,18700,18150,18500,673080,12341610000
29,VRC,HOSE,19/02/2019,,18500,18500,17950,18000,556240,10076500000
30,VRC,HOSE,20/02/2019,,17800,17900,17450,17600,705930,12452550000
31,VRC,HOSE,21/02/2019,,17600,17700,17000,17100,378400,6520800000
32,VRC,HOSE,22/02/2019,,17000,17300,16750,17300,466120,7881890000
33,VRC,HOSE,25/02/2019,,17300,17600,17100,17600,319110,5551670000
34,VRC,HOSE,26/02/2019,,17600,17700,17000,17400,293720,5060250000
35,VRC,HOSE,27/02/2019,,17300,17300,16750,17300,575620,9807300000
36,VRC,HOSE,28/02/2019,,17200,17300,16850,17050,407040,6915020000
37,VRC,HOSE,01/03/2019,,16800,17500,16600,17300,502500,8553660000
38,VRC,HOSE,04/03/2019,,17400,17950,17050,17950,914270,15966600000
39,VRC,HOSE,05/03/2019,,17900,17900,17450,17600,377280,6640630000
40,VRC,HOSE,06/03/2019,,17500,18400,17300,18400,666080,11792650000
41,VRC,HOSE,07/03/2019,,18400,19000,18300,18500,1037550,19399520000
42,VRC,HOSE,08/03/2019,,18400,18400,17800,18000,346510,6262690000
43,VRC,HOSE,11/03/2019,,17900,17900,17500,17600,439180,7769210000
44,VRC,HOSE,12/03/2019,,17800,18100,17700,17900,685640,12238990000
45,VRC,HOSE,13/03/2019,,17900,18200,17700,18000,866100,15464280000
46,VRC,HOSE,14/03/2019,,18000,18000,17750,17900,421570,8311290000
47,VRC,HOSE,15/03/2019,,17900,18000,17600,17800,425010,7568560000
48,VRC,HOSE,18/03/2019,,17800,18000,17600,17900,819910,14574090000
49,VRC,HOSE,19/03/2019,,17900,17900,17400,17400,595570,10463130000
50,VRC,HOSE,20/03/2019,,17300,17300,16800,17300,373370,6381620000
51,VRC,HOSE,21/03/2019,,17200,17300,16850,16850,374730,6398220000
52,VRC,HOSE,22/03/2019,,16850,16900,16600,16850,408430,6841730000
53,VRC,HOSE,25/03/2019,,16700,16700,15700,16400,425020,6906110000
54,VRC,HOSE,26/03/2019,,16400,16500,15700,16450,555090,8925000000
55,VRC,HOSE,27/03/2019,,16400,16750,16350,16650,322170,5324000000
56,VRC,HOSE,28/03/2019,,16600,16800,16450,16800,224840,3740000000
57,VRC,HOSE,29/03/2019,,16750,16850,16600,16850,186120,3122000000
58,VRC,HOSE,01/04/2019,,16850,17600,16850,17200,660060,11352040000
59,VRC,HOSE,02/04/2019,,17300,17300,16850,16900,376430,6405000000
60,VRC,HOSE,03/04/2019,,16950,16950,16600,16800,209710,3513800000
61,VRC,HOSE,04/04/2019,,16700,17250,16500,17200,617020,10408710000
62,VRC,HOSE,05/04/2019,,17100,17200,16950,16950,172670,2947920000
63,VRC,HOSE,08/04/2019,,16900,17000,16700,16950,259500,4362460000
64,VRC,HOSE,09/04/2019,,16900,16900,16350,16700,379210,6276110000
65,VRC,HOSE,10/04/2019,,16400,16500,16250,16500,180000,2946620000
66,VRC,HOSE,11/04/2019,,16600,17000,16250,16950,407600,6803910000
