,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VSI,HOSE,02/01/2019,,17085,17085,15405,17085,400,10030000
1,VSI,HOSE,03/01/2019,,15890,16148,15890,16148,310,7630000
2,VSI,HOSE,04/01/2019,,15050,16084,15050,16084,2280,53590000
3,VSI,HOSE,07/01/2019,,15244,16794,15050,16277,820,19290000
4,VSI,HOSE,08/01/2019,,17408,17408,17408,17408,10,270000
5,VSI,HOSE,09/01/2019,,17408,17408,16213,16762,2740,69150000
6,VSI,HOSE,10/01/2019,,17117,17763,15631,15922,1380,34070000
7,VSI,HOSE,11/01/2019,,15567,15567,15567,15567,20,480000
8,VSI,HOSE,14/01/2019,,15502,16633,15502,16600,1330,33000000
9,VSI,HOSE,15/01/2019,,16729,16729,15793,15793,1610,39470000
10,VSI,HOSE,16/01/2019,,16665,16665,15793,16471,50,1000000
11,VSI,HOSE,17/01/2019,,17246,17375,15502,15502,2710,66000000
12,VSI,HOSE,18/01/2019,,16536,16536,16406,16471,370,9430000
13,VSI,HOSE,21/01/2019,,15825,16471,15696,16471,2710,66110000
14,VSI,HOSE,22/01/2019,,15825,15825,15825,15825,920,22540000
15,VSI,HOSE,23/01/2019,,15502,16406,15502,16406,190,4700000
16,VSI,HOSE,24/01/2019,,15761,16406,15761,16406,1140,27960000
17,VSI,HOSE,25/01/2019,,17311,17311,17311,17311,210,5630000
18,VSI,HOSE,28/01/2019,,17311,17311,17311,17311,0,0
19,VSI,HOSE,29/01/2019,,17440,17440,17440,17440,340,9180000
20,VSI,HOSE,30/01/2019,,18409,18409,18409,18409,10,290000
21,VSI,HOSE,31/01/2019,,18409,18409,18409,18409,0,0
22,VSI,HOSE,01/02/2019,,18603,18603,18603,18603,20,580000
23,VSI,HOSE,11/02/2019,,18603,18603,18603,18603,0,0
24,VSI,HOSE,12/02/2019,,17440,17440,17311,17311,700,18770000
25,VSI,HOSE,13/02/2019,,17246,17246,17117,17117,90,2390000
26,VSI,HOSE,14/02/2019,,16148,16794,16148,16794,110,2820000
27,VSI,HOSE,15/02/2019,,17698,17957,17698,17957,30,830000
28,VSI,HOSE,18/02/2019,,16729,16988,16729,16988,60,1570000
29,VSI,HOSE,19/02/2019,,16988,16988,16988,16988,60,1580000
30,VSI,HOSE,20/02/2019,,17117,17117,15825,16988,2510,62070000
31,VSI,HOSE,21/02/2019,,16956,16956,15987,16956,1110,27640000
32,VSI,HOSE,22/02/2019,,16956,16956,16019,16923,340,8630000
