,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VTB,HOSE,02/01/2019,,11550,12060,10752,10752,1070,18110000
1,VTB,HOSE,03/01/2019,,11454,11454,11422,11422,90,1610000
2,VTB,HOSE,04/01/2019,,10625,10848,10625,10848,1030,17170000
3,VTB,HOSE,07/01/2019,,11231,11231,11231,11231,80,1410000
4,VTB,HOSE,08/01/2019,,11231,11231,11231,11231,450,7920000
5,VTB,HOSE,09/01/2019,,10529,11869,10465,10465,550,9100000
6,VTB,HOSE,10/01/2019,,11135,11135,9763,9763,1370,21030000
7,VTB,HOSE,11/01/2019,,10401,10401,10401,10401,10,160000
8,VTB,HOSE,14/01/2019,,10401,10401,10401,10401,50,1000000
9,VTB,HOSE,15/01/2019,,10625,10625,10625,10625,230,3830000
10,VTB,HOSE,16/01/2019,,9891,9891,9891,9891,30,0
11,VTB,HOSE,17/01/2019,,9923,10561,9636,9636,140,2000000
12,VTB,HOSE,18/01/2019,,9572,9572,9572,9572,80,1200000
13,VTB,HOSE,21/01/2019,,9699,10082,9699,10082,3480,52930000
14,VTB,HOSE,22/01/2019,,10720,10720,9731,9731,300,4810000
15,VTB,HOSE,23/01/2019,,9572,9572,9572,9572,100,1500000
16,VTB,HOSE,24/01/2019,,10210,10210,9253,9253,80,1180000
17,VTB,HOSE,25/01/2019,,9572,9827,9253,9795,620,9280000
18,VTB,HOSE,28/01/2019,,9795,9795,9795,9795,0,0
19,VTB,HOSE,29/01/2019,,9795,10210,9795,10210,350,5450000
20,VTB,HOSE,30/01/2019,,9508,10210,9508,10210,5400,80510000
21,VTB,HOSE,31/01/2019,,9636,9636,9636,9636,30,450000
22,VTB,HOSE,01/02/2019,,10210,10210,10210,10210,10,160000
23,VTB,HOSE,11/02/2019,,10848,10848,10848,10848,60,1020000
24,VTB,HOSE,12/02/2019,,10114,10720,10114,10720,220,3690000
25,VTB,HOSE,13/02/2019,,10465,10465,9987,9987,310,4860000
26,VTB,HOSE,14/02/2019,,10338,10338,10338,10338,60,970000
27,VTB,HOSE,15/02/2019,,10848,10848,9731,10497,80,1310000
28,VTB,HOSE,18/02/2019,,10497,10497,10497,10497,100,1650000
29,VTB,HOSE,19/02/2019,,9891,10274,9763,10274,3300,50890000
30,VTB,HOSE,20/02/2019,,9636,10210,9572,9636,1370,20580000
31,VTB,HOSE,21/02/2019,,10210,10210,9317,9317,70,1040000
32,VTB,HOSE,22/02/2019,,9955,9955,9923,9923,40,620000
33,VTB,HOSE,25/02/2019,,10082,10210,10082,10178,190,3030000
34,VTB,HOSE,26/02/2019,,10465,10880,9572,10625,11230,168820000
35,VTB,HOSE,27/02/2019,,11199,11199,9891,10593,3120,51170000
36,VTB,HOSE,28/02/2019,,10848,10848,10752,10752,310,5230000
37,VTB,HOSE,01/03/2019,,10529,10529,10497,10497,90,1480000
38,VTB,HOSE,04/03/2019,,10497,10497,10497,10497,120,1970000
39,VTB,HOSE,05/03/2019,,10848,10848,9859,10720,1300,20120000
40,VTB,HOSE,06/03/2019,,10720,10720,10720,10720,230,3860000
41,VTB,HOSE,07/03/2019,,10720,10720,10720,10720,0,0
42,VTB,HOSE,08/03/2019,,10274,10529,10018,10529,530,8640000
43,VTB,HOSE,11/03/2019,,10848,10848,9987,10816,270,4570000
44,VTB,HOSE,12/03/2019,,10114,10848,10114,10848,90,1470000
45,VTB,HOSE,13/03/2019,,10848,10848,10848,10848,20,340000
46,VTB,HOSE,14/03/2019,,10848,11486,10848,11486,90,2080000
47,VTB,HOSE,15/03/2019,,10688,11486,10688,11486,250,4260000
48,VTB,HOSE,18/03/2019,,10688,11167,10688,11167,560,9430000
49,VTB,HOSE,19/03/2019,,11486,11486,10401,10848,350,5980000
50,VTB,HOSE,20/03/2019,,10465,10465,10242,10465,330,5410000
51,VTB,HOSE,21/03/2019,,10529,10529,9763,9763,30,470000
52,VTB,HOSE,22/03/2019,,9763,10433,9763,10433,1490,22860000
53,VTB,HOSE,25/03/2019,,10848,11071,10848,11071,70,1210000
54,VTB,HOSE,26/03/2019,,10306,11486,10306,10848,40,1000000
55,VTB,HOSE,27/03/2019,,10784,10784,10784,10784,210,4000000
56,VTB,HOSE,28/03/2019,,11486,11486,10848,10848,440,7000000
57,VTB,HOSE,29/03/2019,,11486,11486,10784,11199,6810,117000000
58,VTB,HOSE,01/04/2019,,11869,11869,10784,10784,430,7310000
59,VTB,HOSE,02/04/2019,,10242,11167,10210,11167,2510,40920000
60,VTB,HOSE,03/04/2019,,11422,11422,10401,10401,60,990000
61,VTB,HOSE,04/04/2019,,10338,10816,10338,10816,3830,62110000
62,VTB,HOSE,05/04/2019,,10816,10816,10816,10816,100,1700000
63,VTB,HOSE,08/04/2019,,11550,11550,10146,11486,19680,313230000
64,VTB,HOSE,09/04/2019,,10688,11135,10688,10848,2200,37420000
65,VTB,HOSE,10/04/2019,,11390,11390,11390,11390,540,9640000
66,VTB,HOSE,11/04/2019,,10625,10625,10625,10625,630,10490000
67,VTB,HOSE,12/04/2019,,10625,10625,10625,10625,30,500000
68,VTB,HOSE,16/04/2019,,10625,10625,10625,10625,50,830000
69,VTB,HOSE,17/04/2019,,10625,10625,10625,10625,50,830000
70,VTB,HOSE,18/04/2019,,10625,10625,10625,10625,0,0
71,VTB,HOSE,19/04/2019,,10593,11039,10593,11039,650,11170000
72,VTB,HOSE,22/04/2019,,10720,10720,10720,10720,60,1010000
73,VTB,HOSE,23/04/2019,,10274,10720,10274,10720,40,660000
74,VTB,HOSE,24/04/2019,,10688,10688,10688,10688,110,1840000
75,VTB,HOSE,25/04/2019,,10688,10688,10688,10688,30,0.50
76,VTB,HOSE,26/04/2019,,10497,10497,10497,10497,100,1650000
77,VTB,HOSE,02/05/2019,,10497,10497,10497,10497,0,0
78,VTB,HOSE,03/05/2019,,10497,10497,10497,10497,50,820000
79,VTB,HOSE,06/05/2019,,9763,10401,9763,10018,120,1890000
80,VTB,HOSE,07/05/2019,,10401,10401,9476,10210,80,1270000
81,VTB,HOSE,08/05/2019,,10210,10210,10210,10210,0,0
82,VTB,HOSE,09/05/2019,,9699,10018,9699,9827,150,2310000
83,VTB,HOSE,10/05/2019,,9923,9955,9285,9285,80,1190000
84,VTB,HOSE,13/05/2019,,9572,9763,9572,9763,1330,19960000
85,VTB,HOSE,14/05/2019,,9157,10082,9157,9827,580,8370000
86,VTB,HOSE,15/05/2019,,9891,10465,9253,10274,100,1570000
87,VTB,HOSE,16/05/2019,,10657,10657,10465,10625,3110,51780000
88,VTB,HOSE,17/05/2019,,10018,10625,9891,10593,1280,20000000
89,VTB,HOSE,20/05/2019,,10593,10593,10593,10593,210,3490000
90,VTB,HOSE,21/05/2019,,9891,10593,9859,10561,7080,109790000
91,VTB,HOSE,22/05/2019,,9827,10465,9827,10433,9060,139630000
92,VTB,HOSE,23/05/2019,,10401,10401,10401,10401,20,0
93,VTB,HOSE,24/05/2019,,10306,10306,10306,10306,10,160000
94,VTB,HOSE,27/05/2019,,9604,10338,9604,10178,10130,152580000
95,VTB,HOSE,28/05/2019,,9763,10082,9636,10050,470,7210000
96,VTB,HOSE,29/05/2019,,9763,9987,9763,9987,1210,18530000
97,VTB,HOSE,30/05/2019,,9891,9987,9572,9891,2780,42470000
98,VTB,HOSE,31/05/2019,,9795,9891,9572,9891,5950,91270000
99,VTB,HOSE,03/06/2019,,10465,10465,9348,10018,1410,22260000
100,VTB,HOSE,04/06/2019,,10371,10371,10230,10335,440,6420000
101,VTB,HOSE,05/06/2019,,10335,10935,10335,10794,170,2550000
102,VTB,HOSE,06/06/2019,,10794,10865,10053,10053,1350,19390000
103,VTB,HOSE,07/06/2019,,10618,10688,9701,10618,290,4350000
104,VTB,HOSE,10/06/2019,,10618,11288,10089,10582,460,6710000
105,VTB,HOSE,11/06/2019,,10053,10230,10053,10230,140,2030000
106,VTB,HOSE,12/06/2019,,10230,10265,9736,10230,50,720000
107,VTB,HOSE,13/06/2019,,9877,9877,9806,9877,2310,32230000
108,VTB,HOSE,14/06/2019,,10335,10335,9877,9877,170,2390000
109,VTB,HOSE,17/06/2019,,10265,10265,9559,10230,240,3370000
110,VTB,HOSE,18/06/2019,,10230,10230,10230,10230,0,0
111,VTB,HOSE,19/06/2019,,9524,10300,9524,10300,2050,29900000
