,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,VTO,HOSE,02/01/2019,,4727,4759,4603,4727,62880,471590000
1,VTO,HOSE,03/01/2019,,4665,4665,4566,4665,13230,99140000
2,VTO,HOSE,04/01/2019,,4603,4665,4603,4665,14630,108730000
3,VTO,HOSE,07/01/2019,,4665,4709,4603,4709,22070,164880000
4,VTO,HOSE,08/01/2019,,4665,4665,4665,4665,14000,105000000
5,VTO,HOSE,09/01/2019,,4665,4665,4665,4665,42290,317180000
6,VTO,HOSE,10/01/2019,,4665,4715,4665,4665,15390,115430000
7,VTO,HOSE,11/01/2019,,4665,4671,4665,4665,28720,215420000
8,VTO,HOSE,14/01/2019,,4690,4721,4684,4721,96430,728000000
9,VTO,HOSE,15/01/2019,,4721,4790,4721,4790,35460,270080000
10,VTO,HOSE,16/01/2019,,4765,4821,4752,4802,47480,365000000
11,VTO,HOSE,17/01/2019,,4802,4821,4802,4821,28510,220000000
12,VTO,HOSE,18/01/2019,,4821,4852,4821,4827,37170,288520000
13,VTO,HOSE,21/01/2019,,4846,5007,4846,4914,109390,867990000
14,VTO,HOSE,22/01/2019,,5038,5101,4920,5101,27540,220170000
15,VTO,HOSE,23/01/2019,,4976,5032,4958,5032,19360,154870000
16,VTO,HOSE,24/01/2019,,4933,4976,4933,4976,42320,337820000
17,VTO,HOSE,25/01/2019,,4914,4976,4914,4927,16540,131950000
18,VTO,HOSE,28/01/2019,,4864,4976,4864,4976,16260,129260000
19,VTO,HOSE,29/01/2019,,4889,5032,4889,5032,5040,40320000
20,VTO,HOSE,30/01/2019,,5014,5014,4902,4933,4730,37480000
21,VTO,HOSE,31/01/2019,,4902,5014,4902,5014,20,160000
22,VTO,HOSE,01/02/2019,,4976,5007,4976,5007,15000,120220000
23,VTO,HOSE,11/02/2019,,5007,5032,5007,5032,1010,8130000
24,VTO,HOSE,12/02/2019,,4958,4976,4958,4964,16060,128130000
25,VTO,HOSE,13/02/2019,,4989,4989,4964,4989,2420,19350000
26,VTO,HOSE,14/02/2019,,4976,5007,4976,5007,11720,94210000
27,VTO,HOSE,15/02/2019,,5007,5026,5007,5007,12320,99210000
28,VTO,HOSE,18/02/2019,,5038,5038,4976,5038,26910,216950000
29,VTO,HOSE,19/02/2019,,5038,5132,5038,5070,51400,420660000
30,VTO,HOSE,20/02/2019,,5101,5194,5101,5157,69800,577930000
31,VTO,HOSE,21/02/2019,,5163,5318,5163,5318,71240,602860000
32,VTO,HOSE,22/02/2019,,5287,5349,5256,5337,14670,125140000
33,VTO,HOSE,25/02/2019,,5349,5356,5318,5331,17240,148060000
34,VTO,HOSE,26/02/2019,,5325,5325,5225,5225,155250,1317710000
35,VTO,HOSE,27/02/2019,,5231,5287,5231,5269,6470,54650000
36,VTO,HOSE,28/02/2019,,5269,5269,5225,5256,40870,344040000
37,VTO,HOSE,01/03/2019,,5256,5262,5225,5238,21730,183310000
38,VTO,HOSE,04/03/2019,,5238,5412,5238,5368,7230,61900000
39,VTO,HOSE,05/03/2019,,5368,5368,5287,5343,58110,495240000
40,VTO,HOSE,06/03/2019,,5294,5325,5287,5294,23800,202370000
41,VTO,HOSE,07/03/2019,,5306,5343,5294,5343,11920,101590000
42,VTO,HOSE,08/03/2019,,5343,5343,5182,5182,12820,109090000
43,VTO,HOSE,11/03/2019,,5231,5412,5231,5412,47200,400350000
44,VTO,HOSE,12/03/2019,,5306,5349,5306,5349,140,1200000
45,VTO,HOSE,13/03/2019,,5362,5374,5349,5349,22170,190930000
46,VTO,HOSE,14/03/2019,,5318,5381,5287,5349,20060,182970000
47,VTO,HOSE,15/03/2019,,5381,5381,5294,5362,14460,124330000
48,VTO,HOSE,18/03/2019,,5381,5381,5318,5381,11950,103270000
49,VTO,HOSE,19/03/2019,,5381,5381,5300,5362,19810,169950000
50,VTO,HOSE,20/03/2019,,5294,5362,5294,5362,260,2220000
51,VTO,HOSE,21/03/2019,,5362,5362,5225,5343,20840,176480000
52,VTO,HOSE,22/03/2019,,5287,5287,5287,5287,56370,479150000
53,VTO,HOSE,25/03/2019,,5294,5349,5287,5349,15230,129570000
54,VTO,HOSE,26/03/2019,,5287,5294,5287,5287,56970,484000000
55,VTO,HOSE,27/03/2019,,5287,5349,5287,5349,33620,286000000
56,VTO,HOSE,28/03/2019,,5294,5337,5287,5337,37010,315000000
57,VTO,HOSE,29/03/2019,,5287,5287,5287,5287,1100,9000000
58,VTO,HOSE,01/04/2019,,5287,5318,5287,5312,23310,198140000
59,VTO,HOSE,02/04/2019,,5287,5287,5287,5287,17830,151560000
60,VTO,HOSE,03/04/2019,,5343,5343,5287,5312,80310,682680000
61,VTO,HOSE,04/04/2019,,5349,5679,5349,5661,26960,242870000
62,VTO,HOSE,05/04/2019,,5661,5661,5381,5598,76570,688540000
63,VTO,HOSE,08/04/2019,,5598,5598,5474,5598,15300,137680000
64,VTO,HOSE,09/04/2019,,5598,5598,5325,5592,10950,96460000
65,VTO,HOSE,10/04/2019,,5592,5592,5294,5368,7620,67150000
66,VTO,HOSE,11/04/2019,,5368,5580,5368,5536,16100,139560000
67,VTO,HOSE,12/04/2019,,5474,5474,5412,5474,2060,18030000
68,VTO,HOSE,16/04/2019,,5294,5474,5287,5474,12350,106790000
69,VTO,HOSE,17/04/2019,,5312,5474,5306,5474,7660,66050000
70,VTO,HOSE,18/04/2019,,5443,5443,5443,5443,5450,47690000
71,VTO,HOSE,19/04/2019,,5381,5412,5300,5412,9430,81690000
72,VTO,HOSE,22/04/2019,,5225,5405,5225,5405,5720,49060000
73,VTO,HOSE,23/04/2019,,5349,5443,5256,5443,2130,18440000
74,VTO,HOSE,24/04/2019,,5443,5536,5412,5536,7130,62480000
75,VTO,HOSE,25/04/2019,,5536,5536,5287,5536,3650,31.91
76,VTO,HOSE,26/04/2019,,5474,5474,5381,5443,7150,62610000
77,VTO,HOSE,02/05/2019,,5412,5412,5287,5287,3600,30810000
78,VTO,HOSE,03/05/2019,,5287,5287,5287,5287,1400,11900000
79,VTO,HOSE,06/05/2019,,5287,5349,5287,5349,1540,13120000
80,VTO,HOSE,07/05/2019,,5349,5474,5287,5412,34560,295210000
81,VTO,HOSE,08/05/2019,,5412,5412,5356,5356,110,960000
82,VTO,HOSE,09/05/2019,,5381,5524,5381,5524,29190,254700000
83,VTO,HOSE,10/05/2019,,5536,5586,5530,5530,25780,230340000
84,VTO,HOSE,13/05/2019,,5474,5480,5412,5418,92410,810100000
85,VTO,HOSE,14/05/2019,,5499,5499,5424,5443,4070,35550000
86,VTO,HOSE,15/05/2019,,5461,5536,5443,5474,68650,606040000
87,VTO,HOSE,16/05/2019,,5598,5598,5412,5468,32930,291990000
88,VTO,HOSE,17/05/2019,,5505,5505,5412,5443,32370,283000000
89,VTO,HOSE,20/05/2019,,5443,5443,5424,5437,18610,162620000
90,VTO,HOSE,21/05/2019,,5461,5474,5412,5474,114930,1006550000
91,VTO,HOSE,22/05/2019,,5517,5517,5474,5474,61880,544970000
92,VTO,HOSE,23/05/2019,,5505,5505,5474,5474,17840,157000000
93,VTO,HOSE,24/05/2019,,5530,5536,5412,5468,35610,314130000
94,VTO,HOSE,27/05/2019,,5468,5474,5300,5468,10400,90480000
95,VTO,HOSE,28/05/2019,,5374,5461,5318,5461,10060,87480000
96,VTO,HOSE,29/05/2019,,5461,5505,5349,5474,208180,1831150000
97,VTO,HOSE,30/05/2019,,5481,5606,5474,5474,41030,324210000
98,VTO,HOSE,31/05/2019,,5543,5543,5543,5543,10160,81280000
99,VTO,HOSE,03/06/2019,,5543,5543,5335,5474,18280,143760000
100,VTO,HOSE,04/06/2019,,5502,5509,5335,5370,6830,52930000
101,VTO,HOSE,05/06/2019,,5467,5467,5335,5460,1270,9820000
102,VTO,HOSE,06/06/2019,,5405,5405,5370,5370,10100,78280000
103,VTO,HOSE,07/06/2019,,5370,5370,5280,5335,3670,28120000
104,VTO,HOSE,10/06/2019,,5335,5335,5301,5335,4840,37080000
105,VTO,HOSE,11/06/2019,,5335,5467,5301,5467,5350,41260000
106,VTO,HOSE,12/06/2019,,5467,5467,5460,5460,250,1970000
107,VTO,HOSE,13/06/2019,,5238,5474,5232,5474,220,1670000
108,VTO,HOSE,14/06/2019,,5301,5335,5197,5335,32510,246130000
109,VTO,HOSE,17/06/2019,,5100,5335,5100,5335,2910,21490000
110,VTO,HOSE,18/06/2019,,5266,5398,5197,5398,3210,24380000
111,VTO,HOSE,19/06/2019,,5398,5405,5211,5211,2030,15490000
112,VTO,HOSE,20/06/2019,,5398,5405,5211,5211,2030,15490000
113,VTO,HOSE,21/06/2019,,5329,5329,5225,5329,6760,51150000
114,VTO,HOSE,24/06/2019,,5329,5329,5225,5225,101460,766520000
115,VTO,HOSE,25/06/2019,,5238,5335,5238,5335,16290,123200000
116,VTO,HOSE,26/06/2019,,5335,5391,5280,5335,38560,296960000
117,VTO,HOSE,27/06/2019,,5335,5335,5266,5335,10020,76650000
118,VTO,HOSE,28/06/2019,,5266,5613,5266,5335,65170,501730000
119,VTO,HOSE,01/07/2019,,5266,5543,5266,5439,31840,247850000
120,VTO,HOSE,02/07/2019,,5439,5439,5335,5335,310,2430000
121,VTO,HOSE,03/07/2019,,5460,5460,5335,5453,50,390000
122,VTO,HOSE,04/07/2019,,5446,5474,5405,5467,5460,43050000
123,VTO,HOSE,05/07/2019,,5377,5460,5377,5460,360,2790000
124,VTO,HOSE,08/07/2019,,5280,5308,5280,5308,990,7550000
125,VTO,HOSE,09/07/2019,,5405,5543,5322,5322,2060,16280000
126,VTO,HOSE,10/07/2019,,5460,5460,5335,5335,40,310000
127,VTO,HOSE,11/07/2019,,5446,5446,5446,5446,3010,24000000
128,VTO,HOSE,12/07/2019,,5446,5446,5335,5432,7070,55000000
129,VTO,HOSE,15/07/2019,,5453,5453,5349,5349,640,5000000
130,VTO,HOSE,16/07/2019,,5342,5446,5342,5446,10830,84000000
131,VTO,HOSE,17/07/2019,,5342,5439,5335,5439,4060,31000000
132,VTO,HOSE,18/07/2019,,5439,5439,5439,5439,10,0
133,VTO,HOSE,19/07/2019,,5342,5398,5335,5398,19270,149000000
134,VTO,HOSE,22/07/2019,,5398,5405,5342,5349,9320,73000000
135,VTO,HOSE,23/07/2019,,5349,5405,5349,5349,190,1000000
136,VTO,HOSE,24/07/2019,,5335,5342,5335,5335,2770,21000000
137,VTO,HOSE,25/07/2019,,5370,5370,5335,5335,25710,198000000
138,VTO,HOSE,26/07/2019,,5342,5349,5335,5335,10950,85000000
139,VTO,HOSE,29/07/2019,,5405,5405,5370,5370,210,2000000
140,VTO,HOSE,30/07/2019,,5370,5370,5280,5370,40,0
141,VTO,HOSE,31/07/2019,,5335,5370,5273,5273,5570,43000000
142,VTO,HOSE,01/08/2019,,5335,5335,5335,5335,6000,46000000
143,VTO,HOSE,02/08/2019,,5273,5273,5273,5273,20,0
144,VTO,HOSE,05/08/2019,,5266,5335,5266,5266,5170,39000000
145,VTO,HOSE,06/08/2019,,5211,5266,5197,5266,11490,86000000
146,VTO,HOSE,07/08/2019,,5259,5259,5162,5162,13920,104000000
147,VTO,HOSE,08/08/2019,,5335,5335,5128,5197,21060,156000000
148,VTO,HOSE,09/08/2019,,5121,5190,5121,5141,14900,110000000
149,VTO,HOSE,12/08/2019,,5128,5245,5128,5245,990,7000000
150,VTO,HOSE,13/08/2019,,5252,5252,5238,5238,190,1000000
151,VTO,HOSE,14/08/2019,,5329,5329,5155,5169,9330,70000000
152,VTO,HOSE,15/08/2019,,5197,5197,5197,5197,500,4000000
153,VTO,HOSE,16/08/2019,,5135,5197,5135,5197,320,2000000
154,VTO,HOSE,19/08/2019,,5093,5162,5093,5162,570,4000000
155,VTO,HOSE,20/08/2019,,5065,5155,5065,5121,18110,134000000
156,VTO,HOSE,21/08/2019,,5121,5162,5121,5148,14710,109000000
157,VTO,HOSE,22/08/2019,,5190,5197,5148,5148,22020,165000000
158,VTO,HOSE,23/08/2019,,5148,5197,5114,5197,14280,107000000
159,VTO,HOSE,26/08/2019,,5197,5197,5065,5190,12970,96000000
160,VTO,HOSE,27/08/2019,,5128,5197,5128,5183,14400,108000000
161,VTO,HOSE,28/08/2019,,5176,5183,5072,5093,48990,362000000
162,VTO,HOSE,29/08/2019,,5162,5162,5093,5128,20570,152000000
163,VTO,HOSE,30/08/2019,,5093,5162,5072,5162,11010,81000000
164,VTO,HOSE,03/09/2019,,5162,5162,5100,5128,8310,61000000
165,VTO,HOSE,04/09/2019,,5155,5162,5100,5100,25260,187000000
166,VTO,HOSE,05/09/2019,,5093,5128,5093,5128,4440,33000000
167,VTO,HOSE,06/09/2019,,5128,5162,5128,5162,26440,196000000
168,VTO,HOSE,09/09/2019,,5162,5162,5093,5128,53420,395000000
169,VTO,HOSE,10/09/2019,,5128,5128,5079,5128,3780,28000000
170,VTO,HOSE,11/09/2019,,5128,5128,5079,5128,0,0
171,VTO,HOSE,12/09/2019,,5128,5128,5079,5128,0,0
172,VTO,HOSE,13/09/2019,,5065,5079,5065,5093,370,3000000
173,VTO,HOSE,16/09/2019,,5093,5093,5058,5128,4540,33000000
174,VTO,HOSE,17/09/2019,,5107,5128,5072,5093,21910,161000000
175,VTO,HOSE,18/09/2019,,5100,5100,5100,5100,1000,7000000
176,VTO,HOSE,19/09/2019,,5086,5100,5086,5093,5750,42000000
177,VTO,HOSE,20/09/2019,,5128,5128,5093,5093,30760,227000000
178,VTO,HOSE,23/09/2019,,5128,5128,5100,5121,5530,41000000
179,VTO,HOSE,24/09/2019,,5107,5107,5079,5079,19170,141000000
180,VTO,HOSE,25/09/2019,,5072,5114,4726,5114,34220,243000000
181,VTO,HOSE,26/09/2019,,5107,5107,5065,5093,2010,15000000
182,VTO,HOSE,27/09/2019,,4954,5058,4954,5058,21400,154000000
183,VTO,HOSE,30/09/2019,,5038,5038,4968,4989,30500,220000000
184,VTO,HOSE,01/10/2019,,4989,5010,4982,4982,4990,36000000
185,VTO,HOSE,02/10/2019,,4989,4989,4934,4954,24380,175000000
186,VTO,HOSE,03/10/2019,,4920,4920,4850,4920,68700,485000000
187,VTO,HOSE,04/10/2019,,4920,4934,4920,4934,3510,25000000
188,VTO,HOSE,07/10/2019,,4934,4934,4934,4934,4400,31000000
189,VTO,HOSE,08/10/2019,,4864,4982,4864,4954,2440,17000000
190,VTO,HOSE,09/10/2019,,4947,4954,4947,4954,13370,96000000
191,VTO,HOSE,10/10/2019,,4961,4975,4961,4975,7280,52000000
192,VTO,HOSE,11/10/2019,,4968,4968,4968,4989,3110,22000000
193,VTO,HOSE,14/10/2019,,5017,5017,5010,4989,1050,8000000
194,VTO,HOSE,15/10/2019,,5024,5038,5010,5010,5270,38000000
195,VTO,HOSE,16/10/2019,,4989,5017,4989,5058,7360,53000000
196,VTO,HOSE,17/10/2019,,5058,5058,5058,5058,6490,47000000
197,VTO,HOSE,18/10/2019,,5058,5065,5058,5065,12830,94000000
198,VTO,HOSE,21/10/2019,,5093,5093,5058,5079,4890,36000000
199,VTO,HOSE,22/10/2019,,5086,5093,5079,5086,12160,89000000
200,VTO,HOSE,23/10/2019,,5093,5093,5058,5058,3070,22000000
201,VTO,HOSE,24/10/2019,,5086,5086,5072,5086,10790,79000000
202,VTO,HOSE,25/10/2019,,5128,5162,5128,5128,36000,267000000
203,VTO,HOSE,28/10/2019,,5162,5197,5162,5162,8340,62000000
204,VTO,HOSE,29/10/2019,,5197,5259,5197,5197,11030,83000000
205,VTO,HOSE,30/10/2019,,5197,5259,5197,5259,640,5000000
206,VTO,HOSE,31/10/2019,,5329,5329,5329,5329,10,0
207,VTO,HOSE,01/11/2019,,5128,5287,5128,5232,17890,135000000
208,VTO,HOSE,04/11/2019,,5266,5294,5238,5266,22230,169000000
209,VTO,HOSE,05/11/2019,,5266,5266,5266,5266,33840,257000000
210,VTO,HOSE,06/11/2019,,5266,5370,5266,5315,36830,284000000
211,VTO,HOSE,07/11/2019,,5315,5335,5301,5335,28790,221000000
212,VTO,HOSE,08/11/2019,,5335,5335,5266,5266,730,6000000
213,VTO,HOSE,11/11/2019,,5266,5266,5232,5266,14400,109000000
214,VTO,HOSE,12/11/2019,,5245,5266,5232,5232,11870,90000000
215,VTO,HOSE,13/11/2019,,5266,5266,5266,5266,21740,165000000
216,VTO,HOSE,14/11/2019,,5266,5266,5197,5232,13090,99000000
217,VTO,HOSE,15/11/2019,,5197,5197,5197,5197,1100,8000000
218,VTO,HOSE,18/11/2019,,5128,5197,5128,5128,3560,26000000
219,VTO,HOSE,19/11/2019,,5197,5197,5128,5128,1730,13000000
220,VTO,HOSE,20/11/2019,,5128,5197,5093,5197,68680,507000000
221,VTO,HOSE,21/11/2019,,5058,5058,5058,5058,300,2000000
222,VTO,HOSE,22/11/2019,,5162,5162,5058,5128,22960,171000000
223,VTO,HOSE,25/11/2019,,5266,5266,5266,5266,500,4000000
224,VTO,HOSE,26/11/2019,,5197,5266,5128,5266,1240,9000000
225,VTO,HOSE,27/11/2019,,5266,5266,5259,5266,50,0
226,VTO,HOSE,28/11/2019,,5197,5266,5038,5266,67280,492000000
227,VTO,HOSE,29/11/2019,,5252,5252,5058,5093,10500,77000000
228,VTO,HOSE,02/12/2019,,5128,5245,5128,5245,1260,9000000
229,VTO,HOSE,03/12/2019,,5176,5197,5128,5183,8430,63000000
230,VTO,HOSE,04/12/2019,,5128,5128,5114,5114,4000,30000000
231,VTO,HOSE,05/12/2019,,5128,5128,5128,5128,3090,23000000
232,VTO,HOSE,06/12/2019,,5128,5141,4982,5141,5130,38000000
233,VTO,HOSE,09/12/2019,,5183,5183,5183,5183,150,1000000
234,VTO,HOSE,10/12/2019,,5128,5183,4989,5169,18980,137000000
235,VTO,HOSE,11/12/2019,,5128,5128,5128,5128,250,2000000
236,VTO,HOSE,12/12/2019,,5128,5128,5128,5128,700,5000000
237,VTO,HOSE,13/12/2019,,5128,5128,5121,5128,10500,78000000
238,VTO,HOSE,16/12/2019,,5128,5176,5017,5176,1710,12000000
239,VTO,HOSE,17/12/2019,,5176,5176,5065,5148,2860,21000000
240,VTO,HOSE,18/12/2019,,5128,5183,5128,5162,22500,167000000
241,VTO,HOSE,19/12/2019,,5183,5183,5183,5183,1990,15000000
242,VTO,HOSE,20/12/2019,,5183,5183,5183,5183,100,1000000
243,VTO,HOSE,23/12/2019,,5183,5183,5183,5183,0,0
244,VTO,HOSE,24/12/2019,,5183,5183,5128,5162,1310,10000000
245,VTO,HOSE,25/12/2019,,5162,5162,4996,5128,10000,73000000
246,VTO,HOSE,26/12/2019,,5065,5128,5058,5128,21760,161000000
247,VTO,HOSE,27/12/2019,,5058,5079,5024,5024,60000,436000000
248,VTO,HOSE,30/12/2019,,5121,5128,5058,5128,15790,115000000
249,VTO,HOSE,31/12/2019,,5128,5128,5128,5128,3860,29000000
250,VTO,HOSE,02/01/2020,,5128,5162,5128,5162,8660,64000000
251,VTO,HOSE,03/01/2020,,5148,5162,5128,5162,6110,45000000
252,VTO,HOSE,06/01/2020,,5162,5162,5128,5128,310,2000000
253,VTO,HOSE,07/01/2020,,5128,5197,5058,5197,22780,169000000
254,VTO,HOSE,08/01/2020,,5065,5162,5065,5162,6610,49000000
255,VTO,HOSE,09/01/2020,,5197,5197,5065,5065,18700,138000000
256,VTO,HOSE,10/01/2020,,5065,5141,5065,5128,22550,167000000
257,VTO,HOSE,13/01/2020,,5107,5197,5093,5093,27740,205000000
258,VTO,HOSE,14/01/2020,,5162,5232,5162,5232,9360,71000000
259,VTO,HOSE,15/01/2020,,5238,5238,5238,5238,50,0
260,VTO,HOSE,16/01/2020,,5266,5266,5197,5238,2320,17000000
261,VTO,HOSE,17/01/2020,,5238,5238,5197,5197,6300,47000000
262,VTO,HOSE,20/01/2020,,5197,5301,5197,0,22470,169000000
263,VTO,HOSE,21/01/2020,,5301,5301,5197,5301,3690,28000000
264,VTO,HOSE,22/01/2020,,5301,5322,5301,5301,2490,19000000
265,VTO,HOSE,30/01/2020,,5335,5335,5197,5197,20370,155000000
266,VTO,HOSE,31/01/2020,,5405,5405,5232,5232,14220,108000000
267,VTO,HOSE,03/02/2020,,5232,5232,5100,5232,76870,569000000
268,VTO,HOSE,04/02/2020,,5065,5238,5065,5197,2310,17000000
269,VTO,HOSE,05/02/2020,,5197,5266,5197,5266,2080,16000000
270,VTO,HOSE,06/02/2020,,5252,5252,5197,5197,12500,94000000
271,VTO,HOSE,07/02/2020,,5197,5266,5197,5266,19450,146000000
272,VTO,HOSE,10/02/2020,,5232,5259,5197,5259,5010,38000000
273,VTO,HOSE,11/02/2020,,5266,5266,5259,5259,7010,53000000
274,VTO,HOSE,12/02/2020,,5259,5266,5259,5266,4100,31000000
275,VTO,HOSE,13/02/2020,,5329,5329,5232,5266,5020,38000000
276,VTO,HOSE,14/02/2020,,5197,5266,5197,5266,4010,30000000
277,VTO,HOSE,17/02/2020,,5204,5266,5204,5266,6570,50000000
278,VTO,HOSE,18/02/2020,,5204,5266,5204,5266,17180,130000000
279,VTO,HOSE,19/02/2020,,5335,5335,5335,5335,27510,212000000
280,VTO,HOSE,20/02/2020,,5370,5370,5266,5335,1630,13000000
281,VTO,HOSE,21/02/2020,,5301,5301,5266,5273,1360,10000000
282,VTO,HOSE,24/02/2020,,5273,5273,5197,5197,33660,253000000
283,VTO,HOSE,25/02/2020,,5329,5329,5197,5266,14810,111000000
284,VTO,HOSE,26/02/2020,,5266,5335,5232,5266,4240,32000000
285,VTO,HOSE,27/02/2020,,5322,5322,5232,5232,2690,20000000
286,VTO,HOSE,28/02/2020,,5232,5232,5218,5232,20180,152000000
287,VTO,HOSE,02/03/2020,,5232,5232,5197,5211,670,5000000
288,VTO,HOSE,03/03/2020,,5211,5301,5211,5266,9050,69000000
289,VTO,HOSE,04/03/2020,,5335,5335,5238,5335,10730,82000000
290,VTO,HOSE,05/03/2020,,5329,5335,5266,5266,6080,47000000
291,VTO,HOSE,06/03/2020,,5301,5335,5072,5197,38380,289000000
292,VTO,HOSE,09/03/2020,,5197,5197,5072,5183,27270,202000000
293,VTO,HOSE,10/03/2020,,5079,5197,5079,5079,15910,118000000
294,VTO,HOSE,11/03/2020,,5128,5197,5079,5086,58210,429000000
295,VTO,HOSE,12/03/2020,,5079,5121,4850,5058,19980,141000000
296,VTO,HOSE,13/03/2020,,4705,5128,4705,5128,140530,956000000
297,VTO,HOSE,16/03/2020,,4781,5114,4781,5114,1330,9000000
298,VTO,HOSE,17/03/2020,,4857,5051,4760,4982,48010,334000000
299,VTO,HOSE,18/03/2020,,4989,4989,4920,4982,17120,122000000
300,VTO,HOSE,19/03/2020,,4857,4982,4850,4920,12960,91000000
301,VTO,HOSE,20/03/2020,,4989,4989,4816,4850,6420,45000000
302,VTO,HOSE,23/03/2020,,4740,4913,4511,4511,32250,211000000
303,VTO,HOSE,24/03/2020,,4296,4636,4206,4400,1810,12000000
304,VTO,HOSE,25/03/2020,,4227,4573,4227,4573,8950,56000000
305,VTO,HOSE,26/03/2020,,4497,4573,4324,4324,29890,188000000
306,VTO,HOSE,27/03/2020,,4469,4469,4310,4428,7760,49000000
307,VTO,HOSE,30/03/2020,,4130,4331,4123,4123,25310,151000000
308,VTO,HOSE,31/03/2020,,4317,4317,4123,4123,10850,66000000
309,VTO,HOSE,01/04/2020,,4158,4296,4158,4206,7300,44000000
310,VTO,HOSE,03/04/2020,,4213,4338,4213,4227,37420,231000000
311,VTO,HOSE,06/04/2020,,4400,4518,4372,4393,44980,290000000
312,VTO,HOSE,07/04/2020,,4400,4566,4338,4407,12840,81000000
313,VTO,HOSE,08/04/2020,,4497,4504,4393,4407,14160,90000000
314,VTO,HOSE,09/04/2020,,4504,4573,4435,4573,27720,180000000
315,VTO,HOSE,10/04/2020,,4670,4698,4573,4663,24050,161000000
316,VTO,HOSE,13/04/2020,,4670,4670,4573,4643,3530,24000000
317,VTO,HOSE,14/04/2020,,4615,4643,4601,4601,21800,145000000
318,VTO,HOSE,15/04/2020,,4608,4643,4518,4608,23540,156000000
319,VTO,HOSE,16/04/2020,,4656,4656,4643,4643,11120,75000000
320,VTO,HOSE,17/04/2020,,4677,4774,4677,4747,12940,88000000
