,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,YEG,HOSE,02/01/2019,,248000,248000,231500,238000,1170,276690000
1,YEG,HOSE,03/01/2019,,230000,238000,222000,238000,4720,1057470000
2,YEG,HOSE,04/01/2019,,238000,240000,235000,238000,13670,3244390000
3,YEG,HOSE,07/01/2019,,227100,236000,227000,235000,8430,1979850000
4,YEG,HOSE,08/01/2019,,227000,249900,218700,249900,13770,3111100000
5,YEG,HOSE,09/01/2019,,232700,239000,232500,232600,22400,5236700000
6,YEG,HOSE,10/01/2019,,230000,247000,230000,242000,7160,1701300000
7,YEG,HOSE,11/01/2019,,250000,250000,231000,243000,16160,3904200000
8,YEG,HOSE,14/01/2019,,249000,249000,236700,240000,12990,3113000000
9,YEG,HOSE,15/01/2019,,243000,243000,236000,241000,2670,645510000
10,YEG,HOSE,16/01/2019,,238000,241000,236000,236200,1280,303000000
11,YEG,HOSE,17/01/2019,,235000,240000,235000,236000,1520,360000000
12,YEG,HOSE,18/01/2019,,230500,237600,230500,231000,1160,270840000
13,YEG,HOSE,21/01/2019,,235000,237900,235000,237900,4940,1161250000
14,YEG,HOSE,22/01/2019,,232000,237900,231500,237900,4570,1061560000
15,YEG,HOSE,23/01/2019,,227100,237900,227100,235900,12360,2894240000
16,YEG,HOSE,24/01/2019,,221000,240000,221000,235500,11730,2757490000
17,YEG,HOSE,25/01/2019,,235000,239000,232000,236000,8260,1950550000
18,YEG,HOSE,28/01/2019,,237000,237000,230500,230500,7690,1794450000
19,YEG,HOSE,29/01/2019,,230500,235100,230500,235100,1990,467070000
20,YEG,HOSE,30/01/2019,,249900,249900,235400,240000,10490,2502410000
21,YEG,HOSE,31/01/2019,,235100,239000,235100,236000,1100,260130000
22,YEG,HOSE,01/02/2019,,237000,239000,237000,239000,1780,423670000
23,YEG,HOSE,11/02/2019,,233600,237800,232200,232500,5450,1271450000
24,YEG,HOSE,12/02/2019,,232700,237700,232400,234500,7560,1762240000
25,YEG,HOSE,13/02/2019,,233800,239700,233800,236900,3460,810040000
26,YEG,HOSE,14/02/2019,,237000,237000,233200,236800,2980,700980000
