,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,AAV,HNX,02/01/2019,,7712,7712,7485,7637,35295,352210000
1,AAV,HNX,03/01/2019,,7561,7561,7334,7561,23715,235678000
2,AAV,HNX,04/01/2019,,7410,7637,7410,7637,61700,616790000
3,AAV,HNX,07/01/2019,,7637,7637,7561,7561,4856,48674400
4,AAV,HNX,08/01/2019,,7561,7637,7485,7561,26115,260318500
5,AAV,HNX,09/01/2019,,7561,7561,7485,7561,19115,190588500
6,AAV,HNX,10/01/2019,,7561,7561,7485,7561,10690,106422000
7,AAV,HNX,11/01/2019,,7485,7485,7183,7485,31690,308639000
8,AAV,HNX,14/01/2019,,7259,7410,7259,7410,8720,84424000
9,AAV,HNX,15/01/2019,,7410,7410,7183,7183,31177,300996900
10,AAV,HNX,16/01/2019,,7334,7334,7259,7259,37770,364669000
11,AAV,HNX,17/01/2019,,7259,7939,7259,7637,652945,6748356000
12,AAV,HNX,18/01/2019,,7712,7939,7561,7712,366200,3737533000
13,AAV,HNX,21/01/2019,,7712,7788,7561,7712,202310,2046542000
14,AAV,HNX,22/01/2019,,7712,7712,7334,7561,193800,1927043000
15,AAV,HNX,23/01/2019,,7561,7561,7334,7561,97330,957946000
16,AAV,HNX,24/01/2019,,7561,7561,7334,7561,214525,2100405000
17,AAV,HNX,25/01/2019,,7485,7561,7334,7485,169400,1660350000
18,AAV,HNX,28/01/2019,,7485,7485,7259,7485,152315,1478068500
19,AAV,HNX,29/01/2019,,7410,7485,7259,7334,50020,484502000
20,AAV,HNX,30/01/2019,,7334,7334,7183,7259,44570,426972000
21,AAV,HNX,31/01/2019,,7259,7334,7259,7334,31545,303217500
22,AAV,HNX,01/02/2019,,7334,7334,7259,7259,59600,577420000
23,AAV,HNX,11/02/2019,,7259,7334,7107,7259,50021,475279500
24,AAV,HNX,12/02/2019,,7259,7259,7107,7259,46685,443418500
25,AAV,HNX,13/02/2019,,7259,7259,7107,7259,36510,347020000
26,AAV,HNX,14/02/2019,,7259,7259,7107,7259,21801,207374400
27,AAV,HNX,15/02/2019,,7259,7259,7107,7259,52520,497880000
28,AAV,HNX,18/02/2019,,7259,7485,7259,7334,88891,861546600
29,AAV,HNX,19/02/2019,,7334,7334,7183,7183,62411,597043000
30,AAV,HNX,20/02/2019,,7183,7183,7107,7183,18549,175065500
31,AAV,HNX,21/02/2019,,7183,7183,7107,7183,18716,176512000
