,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ARM,HNX,02/01/2019,,28066,28066,28066,28066,0,0
1,ARM,HNX,03/01/2019,,28066,28066,28066,28066,0,0
2,ARM,HNX,04/01/2019,,28066,28066,28066,28066,0,0
3,ARM,HNX,07/01/2019,,25579,25579,25579,25579,100,3600000
4,ARM,HNX,08/01/2019,,23803,23803,23803,23803,100,3350000
5,ARM,HNX,09/01/2019,,23803,23803,23803,23803,0,0
6,ARM,HNX,10/01/2019,,23803,23803,23803,23803,0,0
7,ARM,HNX,11/01/2019,,23803,23803,23803,23803,0,0
8,ARM,HNX,14/01/2019,,23803,23803,23803,23803,0,0
9,ARM,HNX,15/01/2019,,23803,23803,23803,23803,0,0
10,ARM,HNX,16/01/2019,,23803,23803,23803,23803,0,0
11,ARM,HNX,17/01/2019,,23803,23803,23803,23803,0,0
12,ARM,HNX,18/01/2019,,26148,26148,26148,26148,100,3680000
13,ARM,HNX,21/01/2019,,26148,26148,26148,26148,0,0
14,ARM,HNX,22/01/2019,,26148,26148,26148,26148,0,0
15,ARM,HNX,23/01/2019,,26148,26148,26148,26148,0,0
16,ARM,HNX,24/01/2019,,26148,26148,26148,26148,0,0
17,ARM,HNX,25/01/2019,,26148,26148,26148,26148,0,0
18,ARM,HNX,28/01/2019,,26148,26148,26148,26148,0,0
19,ARM,HNX,29/01/2019,,26148,26148,26148,26148,0,0
20,ARM,HNX,30/01/2019,,28706,28706,28706,28706,100,4040000
21,ARM,HNX,31/01/2019,,31548,31548,31548,31548,100,4440000
22,ARM,HNX,01/02/2019,,31548,31548,31548,31548,0,0
23,ARM,HNX,11/02/2019,,31548,31548,31548,31548,0,0
24,ARM,HNX,12/02/2019,,31548,31548,31548,31548,0,0
25,ARM,HNX,13/02/2019,,31548,31548,31548,31548,0,0
26,ARM,HNX,14/02/2019,,31548,31548,31548,31548,0,0
27,ARM,HNX,15/02/2019,,34461,34461,34461,34461,300,14550000
28,ARM,HNX,18/02/2019,,34461,34461,34461,34461,0,0
29,ARM,HNX,19/02/2019,,34461,34461,34461,34461,0,0
30,ARM,HNX,20/02/2019,,34461,34461,34461,34461,0,0
31,ARM,HNX,21/02/2019,,34461,34461,34461,34461,0,0
32,ARM,HNX,22/02/2019,,34461,34461,34461,34461,0,0
33,ARM,HNX,25/02/2019,,34461,34461,34461,34461,0,0
34,ARM,HNX,26/02/2019,,34461,34461,34461,34461,0,0
35,ARM,HNX,27/02/2019,,34461,34461,34461,34461,0,0
36,ARM,HNX,28/02/2019,,34461,34461,34461,34461,0,0
37,ARM,HNX,01/03/2019,,34461,34461,34461,34461,0,0
38,ARM,HNX,04/03/2019,,37801,37801,37801,37801,100,5320000
39,ARM,HNX,05/03/2019,,37801,37801,37801,37801,0,0
40,ARM,HNX,06/03/2019,,41211,41211,41211,41211,100,5800000
41,ARM,HNX,07/03/2019,,45048,45048,45048,45048,100,6340000
42,ARM,HNX,08/03/2019,,45048,45048,45048,45048,0,0
43,ARM,HNX,11/03/2019,,45048,45048,45048,45048,0,0
44,ARM,HNX,12/03/2019,,45048,45048,45048,45048,0,0
45,ARM,HNX,13/03/2019,,45048,45048,45048,45048,0,0
46,ARM,HNX,14/03/2019,,45048,45048,45048,45048,0,0
47,ARM,HNX,15/03/2019,,40572,49027,40572,44977,5600,354930000
48,ARM,HNX,18/03/2019,,44906,44906,44906,44906,100,6320000
49,ARM,HNX,19/03/2019,,44906,44906,44906,44906,0,0
50,ARM,HNX,20/03/2019,,44906,44906,44906,44906,0,0
51,ARM,HNX,21/03/2019,,45403,49382,45403,49382,300,19740000
52,ARM,HNX,22/03/2019,,54285,54285,54285,54285,100,7640000
53,ARM,HNX,25/03/2019,,54285,54285,54285,54285,0,0
54,ARM,HNX,26/03/2019,,48885,54214,48885,54214,201,14578800
55,ARM,HNX,27/03/2019,,54214,54214,54214,54214,0,0
56,ARM,HNX,28/03/2019,,59614,59614,48814,48814,200,15260000
57,ARM,HNX,29/03/2019,,43982,49667,43982,49667,200,13180000
58,ARM,HNX,01/04/2019,,49667,49667,49667,49667,0,0
59,ARM,HNX,02/04/2019,,49667,49667,49667,49667,0,0
60,ARM,HNX,03/04/2019,,49667,49667,49667,49667,0,0
61,ARM,HNX,04/04/2019,,49667,49667,49667,49667,0,0
62,ARM,HNX,05/04/2019,,49667,49667,49667,49667,0,0
63,ARM,HNX,08/04/2019,,49667,49667,49667,49667,0,0
64,ARM,HNX,09/04/2019,,54001,54001,54001,54001,200,15200000
65,ARM,HNX,10/04/2019,,59401,59401,49738,49738,200,15360000
66,ARM,HNX,11/04/2019,,49738,49738,49738,49738,0,0
67,ARM,HNX,12/04/2019,,49738,49738,49738,49738,0,0
68,ARM,HNX,16/04/2019,,49738,49738,49738,49738,0,0
69,ARM,HNX,17/04/2019,,49738,49738,49738,49738,0,0
70,ARM,HNX,18/04/2019,,49738,49738,49738,49738,0,0
71,ARM,HNX,19/04/2019,,49738,49738,49738,49738,0,0
72,ARM,HNX,22/04/2019,,49738,49738,49738,49738,0,0
73,ARM,HNX,23/04/2019,,44764,49951,44764,49951,200,13330000
74,ARM,HNX,24/04/2019,,49951,49951,49951,49951,0,0
