,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,BED,HNX,02/01/2019,,15463,15463,15463,15463,0,0
1,BED,HNX,03/01/2019,,15463,15463,15463,15463,0,0
2,BED,HNX,04/01/2019,,15463,15463,15463,15463,0,0
3,BED,HNX,07/01/2019,,15463,15463,15463,15463,0,0
4,BED,HNX,08/01/2019,,15463,15463,15463,15463,0,0
5,BED,HNX,09/01/2019,,15463,15463,15463,15463,0,0
6,BED,HNX,10/01/2019,,15463,15463,15463,15463,0,0
7,BED,HNX,11/01/2019,,15463,15463,15463,15463,0,0
8,BED,HNX,14/01/2019,,15463,15463,15463,15463,0,0
9,BED,HNX,15/01/2019,,15463,15463,15463,15463,0,0
10,BED,HNX,16/01/2019,,15463,15463,15463,15463,0,0
11,BED,HNX,17/01/2019,,15463,15463,15463,15463,0,0
12,BED,HNX,18/01/2019,,15463,15463,15463,15463,0,0
13,BED,HNX,21/01/2019,,15463,15463,15463,15463,0,0
14,BED,HNX,22/01/2019,,15463,15463,15463,15463,0,0
15,BED,HNX,23/01/2019,,15463,15463,15463,15463,0,0
16,BED,HNX,24/01/2019,,15463,15463,15463,15463,0,0
17,BED,HNX,25/01/2019,,15463,15463,15463,15463,0,0
18,BED,HNX,28/01/2019,,15463,15463,15463,15463,0,0
19,BED,HNX,29/01/2019,,15463,15463,15463,15463,0,0
20,BED,HNX,30/01/2019,,15463,15463,15463,15463,0,0
21,BED,HNX,31/01/2019,,15463,15463,15463,15463,0,0
22,BED,HNX,01/02/2019,,15463,15463,15463,15463,0,0
23,BED,HNX,11/02/2019,,15463,15463,15463,15463,0,0
24,BED,HNX,12/02/2019,,15463,15463,15463,15463,0,0
25,BED,HNX,13/02/2019,,17009,17009,17009,17009,100,2530000
26,BED,HNX,14/02/2019,,17009,17009,17009,17009,0,0
27,BED,HNX,15/02/2019,,17009,17009,17009,17009,0,0
28,BED,HNX,18/02/2019,,17009,17009,17009,17009,0,0
29,BED,HNX,19/02/2019,,18690,18690,18690,18690,100,2780000
30,BED,HNX,20/02/2019,,18690,18690,18690,18690,0,0
31,BED,HNX,21/02/2019,,20505,20505,20505,20505,200,6100000
32,BED,HNX,22/02/2019,,20505,20505,20505,20505,0,0
33,BED,HNX,25/02/2019,,22522,22522,22522,22522,200,6700000
34,BED,HNX,26/02/2019,,22522,22522,22522,22522,0,0
35,BED,HNX,27/02/2019,,22522,22522,22522,22522,0,0
36,BED,HNX,28/02/2019,,22522,22522,22522,22522,0,0
37,BED,HNX,01/03/2019,,22522,22522,22522,22522,0,0
38,BED,HNX,04/03/2019,,24741,24741,24741,24741,200,7360000
39,BED,HNX,05/03/2019,,24741,24741,24741,24741,0,0
40,BED,HNX,06/03/2019,,24741,24741,24741,24741,0,0
41,BED,HNX,07/03/2019,,27027,27027,27027,27027,100,4020000
42,BED,HNX,08/03/2019,,29716,29716,29178,29178,1400,60940000
43,BED,HNX,11/03/2019,,28909,28909,28909,28909,1200,51600000
44,BED,HNX,12/03/2019,,28909,28909,28909,28909,50,2150000
45,BED,HNX,13/03/2019,,28909,28909,28909,28909,0,0
46,BED,HNX,14/03/2019,,28909,28909,28909,28909,0,0
47,BED,HNX,15/03/2019,,28909,28909,28909,28909,0,0
48,BED,HNX,18/03/2019,,28909,28909,28909,28909,0,0
49,BED,HNX,19/03/2019,,28909,28909,28909,28909,0,0
50,BED,HNX,20/03/2019,,28909,28909,28909,28909,0,0
51,BED,HNX,21/03/2019,,28909,28909,28909,28909,0,0
52,BED,HNX,22/03/2019,,28909,28909,28909,28909,0,0
53,BED,HNX,25/03/2019,,28909,28909,28909,28909,90,3483000
54,BED,HNX,26/03/2019,,28909,28909,28909,28909,0,0
55,BED,HNX,27/03/2019,,28909,28909,28909,28909,0,0
56,BED,HNX,28/03/2019,,28909,28909,28909,28909,0,0
57,BED,HNX,29/03/2019,,28909,28909,28909,28909,0,0
58,BED,HNX,01/04/2019,,28909,28909,28909,28909,0,0
59,BED,HNX,02/04/2019,,28909,28909,28909,28909,0,0
60,BED,HNX,03/04/2019,,28909,28909,28909,28909,0,0
61,BED,HNX,04/04/2019,,28909,28909,28909,28909,0,0
62,BED,HNX,05/04/2019,,28909,28909,28909,28909,0,0
63,BED,HNX,08/04/2019,,28909,28909,28909,28909,0,0
64,BED,HNX,09/04/2019,,28909,28909,28909,28909,0,0
65,BED,HNX,10/04/2019,,28909,28909,28909,28909,0,0
66,BED,HNX,11/04/2019,,28909,28909,28909,28909,0,0
67,BED,HNX,12/04/2019,,28909,28909,28909,28909,0,0
68,BED,HNX,16/04/2019,,31800,31800,31800,31800,100,4730000
69,BED,HNX,17/04/2019,,34960,34960,34960,34960,400,20800000
70,BED,HNX,18/04/2019,,38322,38456,38322,38456,700,39940000
71,BED,HNX,19/04/2019,,38456,38456,38456,38456,0,0
72,BED,HNX,22/04/2019,,38457,42150,38457,38537,1000,49750000
73,BED,HNX,23/04/2019,,38537,38537,38537,38537,100,4800000
74,BED,HNX,24/04/2019,,38537,38537,38537,38537,0,0
75,BED,HNX,25/04/2019,,38537,38537,38537,38537,0,0
76,BED,HNX,26/04/2019,,38537,38537,38537,38537,0,0
77,BED,HNX,02/05/2019,,38537,38537,38537,38537,0,0
78,BED,HNX,03/05/2019,,40143,40143,40143,40143,100,5000000
79,BED,HNX,06/05/2019,,40143,40143,40143,40143,400,20000000
80,BED,HNX,07/05/2019,,40143,40143,40143,40143,100,5000000
81,BED,HNX,08/05/2019,,40946,40946,40946,40946,200,10200000
82,BED,HNX,09/05/2019,,40946,40946,40946,40946,0,0
83,BED,HNX,10/05/2019,,40946,40946,40946,40946,0,0
84,BED,HNX,13/05/2019,,40946,40946,40946,40946,200,10200000
85,BED,HNX,14/05/2019,,40946,40946,40946,40946,0,0
86,BED,HNX,15/05/2019,,40946,40946,40946,40946,0,0
87,BED,HNX,16/05/2019,,40946,40946,40946,40946,0,0
88,BED,HNX,17/05/2019,,40946,40946,40946,40946,0,0
89,BED,HNX,20/05/2019,,40946,40946,40946,40946,0,0
90,BED,HNX,21/05/2019,,40946,40946,40946,40946,0,0
91,BED,HNX,22/05/2019,,40946,40946,40946,40946,0,0
92,BED,HNX,23/05/2019,,40946,40946,40946,40946,0,0
93,BED,HNX,24/05/2019,,40946,40946,40946,40946,0,0
94,BED,HNX,27/05/2019,,40946,40946,40946,40946,0,0
95,BED,HNX,28/05/2019,,40946,40946,40946,40946,0,0
96,BED,HNX,29/05/2019,,40946,40946,40946,40946,0,0
97,BED,HNX,30/05/2019,,40946,40946,40946,40946,0,0
98,BED,HNX,31/05/2019,,40946,40946,40946,40946,0,0
99,BED,HNX,03/06/2019,,40946,40946,40946,40946,0,0
100,BED,HNX,04/06/2019,,40946,40946,40946,40946,0,0
101,BED,HNX,05/06/2019,,40946,40946,40946,40946,0,0
102,BED,HNX,06/06/2019,,40946,40946,40946,40946,0,0
103,BED,HNX,07/06/2019,,40946,40946,40946,40946,0,0
104,BED,HNX,10/06/2019,,40946,40946,40946,40946,0,0
105,BED,HNX,11/06/2019,,40946,40946,40946,40946,0,0
106,BED,HNX,12/06/2019,,40946,40946,40946,40946,0,0
107,BED,HNX,13/06/2019,,40946,40946,40946,40946,0,0
108,BED,HNX,14/06/2019,,40946,40946,40946,40946,0,0
109,BED,HNX,17/06/2019,,40946,40946,40946,40946,0,0
110,BED,HNX,18/06/2019,,36851,36851,36851,36851,100,4590000
111,BED,HNX,19/06/2019,,36851,36851,36851,36851,0,0
112,BED,HNX,20/06/2019,,36851,36851,36851,36851,0,0
113,BED,HNX,21/06/2019,,30508,30508,30428,30428,400,15000000
114,BED,HNX,24/06/2019,,30428,30428,30428,30428,0,0
115,BED,HNX,25/06/2019,,30428,30428,30428,30428,0,0
116,BED,HNX,26/06/2019,,30428,30428,30428,30428,0,0
117,BED,HNX,27/06/2019,,30428,30428,30428,30428,0,0
118,BED,HNX,28/06/2019,,30428,30428,30428,30428,0,0
119,BED,HNX,01/07/2019,,30428,30428,30428,30428,0,0
120,BED,HNX,02/07/2019,,28100,28100,28100,28100,200,7000000
121,BED,HNX,03/07/2019,,28100,28100,25691,25691,600,19800000
122,BED,HNX,04/07/2019,,25691,25691,25691,25691,0,0
123,BED,HNX,05/07/2019,,23283,24889,23283,24889,400,12000000
124,BED,HNX,08/07/2019,,24086,24086,24086,24086,200,6000000
125,BED,HNX,09/07/2019,,22480,22480,22480,22480,100,2800000
126,BED,HNX,10/07/2019,,22480,22480,22480,22480,0,0
127,BED,HNX,11/07/2019,,22480,22480,22480,22480,0,0
128,BED,HNX,12/07/2019,,22480,22480,22480,22480,0,0
129,BED,HNX,15/07/2019,,22480,22480,22480,22480,0,0
130,BED,HNX,16/07/2019,,22480,22480,22480,22480,0,0
131,BED,HNX,17/07/2019,,22480,22480,22480,22480,0,0
132,BED,HNX,18/07/2019,,22480,22480,22480,22480,0,0
133,BED,HNX,19/07/2019,,22480,22480,22480,22480,0,0
134,BED,HNX,22/07/2019,,22480,22480,22480,22480,0,0
135,BED,HNX,23/07/2019,,22480,22480,22480,22480,0,0
136,BED,HNX,24/07/2019,,22480,22480,22480,22480,0,0
