,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,BTW,HNX,02/01/2019,,10628,10628,10628,10628,100,1310000
1,BTW,HNX,03/01/2019,,10628,10628,10628,10628,0,0
2,BTW,HNX,04/01/2019,,10628,10628,10628,10628,0,0
3,BTW,HNX,07/01/2019,,10628,10628,10628,10628,0,0
4,BTW,HNX,08/01/2019,,11358,11358,11358,11358,100,1400000
5,BTW,HNX,09/01/2019,,12008,12008,12008,12008,100,1480000
6,BTW,HNX,10/01/2019,,13143,13143,13143,13143,1800,29160000
7,BTW,HNX,11/01/2019,,12008,12008,12008,12008,100,1480000
8,BTW,HNX,14/01/2019,,12008,12008,12008,12008,0,0
9,BTW,HNX,15/01/2019,,12008,12008,12008,12008,0,0
10,BTW,HNX,16/01/2019,,12008,12008,12008,12008,0,0
11,BTW,HNX,17/01/2019,,12008,12008,12008,12008,0,0
12,BTW,HNX,18/01/2019,,12008,12008,12008,12008,0,0
13,BTW,HNX,21/01/2019,,12008,12008,12008,12008,0,0
14,BTW,HNX,22/01/2019,,12008,12008,12008,12008,0,0
15,BTW,HNX,23/01/2019,,12008,12008,12008,12008,0,0
16,BTW,HNX,24/01/2019,,12008,12008,12008,12008,0,0
17,BTW,HNX,25/01/2019,,12008,12008,12008,12008,0,0
18,BTW,HNX,28/01/2019,,12008,12008,12008,12008,0,0
19,BTW,HNX,29/01/2019,,12008,12008,12008,12008,0,0
20,BTW,HNX,30/01/2019,,12008,12008,12008,12008,0,0
21,BTW,HNX,31/01/2019,,12008,12008,12008,12008,0,0
22,BTW,HNX,01/02/2019,,12008,12008,12008,12008,0,0
23,BTW,HNX,11/02/2019,,12008,12008,12008,12008,0,0
24,BTW,HNX,12/02/2019,,12008,12008,12008,12008,0,0
25,BTW,HNX,13/02/2019,,12008,12008,12008,12008,0,0
26,BTW,HNX,14/02/2019,,12008,12008,12008,12008,0,0
27,BTW,HNX,15/02/2019,,12008,12008,12008,12008,0,0
28,BTW,HNX,18/02/2019,,12008,12008,12008,12008,0,0
29,BTW,HNX,19/02/2019,,13062,13062,12170,12170,5100,76610000
30,BTW,HNX,20/02/2019,,12170,12170,12170,12170,0,0
31,BTW,HNX,21/02/2019,,12170,12170,12170,12170,2,30000
32,BTW,HNX,22/02/2019,,13306,13306,13306,13306,100,1640000
33,BTW,HNX,25/02/2019,,14523,14523,14360,14523,21100,377490000
34,BTW,HNX,26/02/2019,,15253,15253,15253,15253,5000,94000000
35,BTW,HNX,27/02/2019,,15253,15253,15253,15253,701,13178800
36,BTW,HNX,28/02/2019,,14036,14036,14036,14036,100,1730000
37,BTW,HNX,01/03/2019,,14036,14036,14036,14036,0,0
38,BTW,HNX,04/03/2019,,15415,15415,15253,15253,5700,107300000
39,BTW,HNX,05/03/2019,,15253,15253,15253,15253,5000,94000000
40,BTW,HNX,06/03/2019,,13792,13792,13792,13792,100,1700000
41,BTW,HNX,07/03/2019,,13792,13792,13792,13792,3,51000
42,BTW,HNX,08/03/2019,,13792,13792,13792,13792,0,0
43,BTW,HNX,11/03/2019,,12413,12413,12413,12413,100,1530000
44,BTW,HNX,12/03/2019,,13630,13630,13630,13630,106,1762800
45,BTW,HNX,13/03/2019,,14928,14928,13711,13711,12202,206716800
46,BTW,HNX,14/03/2019,,13792,13792,13711,13711,18000,304400000
