,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CAN,HNX,02/01/2019,,18922,18922,18922,18922,0,0
1,CAN,HNX,03/01/2019,,17331,17331,17331,17331,100,2070000
2,CAN,HNX,04/01/2019,,17331,18922,17331,18922,300,6400000
3,CAN,HNX,07/01/2019,,20764,20764,20764,20764,100,2480000
4,CAN,HNX,08/01/2019,,20764,20764,20764,20764,0,0
5,CAN,HNX,09/01/2019,,22773,22773,22773,22773,100,2720000
6,CAN,HNX,10/01/2019,,25034,25034,25034,25034,100,2990000
7,CAN,HNX,11/01/2019,,27462,27462,22606,22606,300,8680000
8,CAN,HNX,14/01/2019,,22606,22606,22606,22606,0,0
9,CAN,HNX,15/01/2019,,24783,24783,24783,24783,100,2960000
10,CAN,HNX,16/01/2019,,24783,24783,24783,24783,0,0
11,CAN,HNX,17/01/2019,,27211,27211,27211,27211,100,3250000
12,CAN,HNX,18/01/2019,,27211,27211,27211,27211,0,0
13,CAN,HNX,21/01/2019,,27211,27211,27211,27211,0,0
14,CAN,HNX,22/01/2019,,27211,27211,27211,27211,0,0
15,CAN,HNX,23/01/2019,,29220,29220,29220,29220,100,3490000
16,CAN,HNX,24/01/2019,,29220,29220,29220,29220,0,0
17,CAN,HNX,25/01/2019,,29220,29220,29220,29220,0,0
18,CAN,HNX,28/01/2019,,29220,29220,29220,29220,0,0
19,CAN,HNX,29/01/2019,,29220,29220,29220,29220,0,0
20,CAN,HNX,30/01/2019,,29220,29220,29220,29220,0,0
21,CAN,HNX,31/01/2019,,29220,29220,29220,29220,0,0
22,CAN,HNX,01/02/2019,,29220,29220,29220,29220,0,0
23,CAN,HNX,11/02/2019,,29220,29220,29220,29220,0,0
24,CAN,HNX,12/02/2019,,29220,29220,29220,29220,0,0
25,CAN,HNX,13/02/2019,,29220,29220,29220,29220,0,0
26,CAN,HNX,14/02/2019,,29220,29220,29220,29220,0,0
27,CAN,HNX,15/02/2019,,29220,29220,29220,29220,0,0
28,CAN,HNX,18/02/2019,,29220,29220,29220,29220,0,0
29,CAN,HNX,19/02/2019,,29220,29220,29220,29220,0,0
30,CAN,HNX,20/02/2019,,32067,32067,32067,32067,110,4145000
31,CAN,HNX,21/02/2019,,32067,32067,32067,32067,0,0
32,CAN,HNX,22/02/2019,,32067,32067,32067,32067,0,0
33,CAN,HNX,25/02/2019,,32067,32067,32067,32067,0,0
34,CAN,HNX,26/02/2019,,32067,32067,32067,32067,0,0
35,CAN,HNX,27/02/2019,,32067,32067,32067,32067,0,0
36,CAN,HNX,28/02/2019,,32067,32067,32067,32067,0,0
37,CAN,HNX,01/03/2019,,32067,32067,32067,32067,0,0
38,CAN,HNX,04/03/2019,,32067,32067,32067,32067,0,0
39,CAN,HNX,05/03/2019,,32067,32067,32067,32067,0,0
40,CAN,HNX,06/03/2019,,32067,32067,32067,32067,0,0
41,CAN,HNX,07/03/2019,,32067,32067,32067,32067,0,0
42,CAN,HNX,08/03/2019,,32067,32067,32067,32067,0,0
43,CAN,HNX,11/03/2019,,32067,32067,32067,32067,0,0
44,CAN,HNX,12/03/2019,,32067,32067,32067,32067,0,0
45,CAN,HNX,13/03/2019,,32067,32067,32067,32067,0,0
46,CAN,HNX,14/03/2019,,32067,32067,32067,32067,0,0
47,CAN,HNX,15/03/2019,,32067,32067,32067,32067,0,0
48,CAN,HNX,18/03/2019,,32067,32067,32067,32067,0,0
49,CAN,HNX,19/03/2019,,32067,32067,32067,32067,0,0
50,CAN,HNX,20/03/2019,,35165,35165,35165,35165,120,4890000
51,CAN,HNX,21/03/2019,,35165,35165,35165,35165,0,0
52,CAN,HNX,22/03/2019,,35165,35165,35165,35165,0,0
53,CAN,HNX,25/03/2019,,35165,35165,35165,35165,0,0
54,CAN,HNX,26/03/2019,,35165,35165,35165,35165,0,0
55,CAN,HNX,27/03/2019,,35165,35165,35165,35165,0,0
56,CAN,HNX,28/03/2019,,35165,35165,35165,35165,0,0
57,CAN,HNX,29/03/2019,,35165,35165,35165,35165,0,0
58,CAN,HNX,01/04/2019,,35165,35165,35165,35165,0,0
59,CAN,HNX,02/04/2019,,35165,35165,35165,35165,0,0
60,CAN,HNX,03/04/2019,,35165,35165,35165,35165,0,0
61,CAN,HNX,04/04/2019,,35165,35165,35165,35165,0,0
62,CAN,HNX,05/04/2019,,35165,35165,35165,35165,0,0
63,CAN,HNX,08/04/2019,,35165,35165,35165,35165,0,0
64,CAN,HNX,09/04/2019,,35165,35165,35165,35165,0,0
65,CAN,HNX,10/04/2019,,35165,35165,35165,35165,0,0
66,CAN,HNX,11/04/2019,,35165,35165,35165,35165,0,0
67,CAN,HNX,12/04/2019,,35165,35165,35165,35165,0,0
68,CAN,HNX,16/04/2019,,35165,35165,35165,35165,0,0
69,CAN,HNX,17/04/2019,,35165,35165,35165,35165,0,0
70,CAN,HNX,18/04/2019,,35165,35165,35165,35165,0,0
71,CAN,HNX,19/04/2019,,35165,35165,35165,35165,0,0
72,CAN,HNX,22/04/2019,,35165,35165,35165,35165,0,0
73,CAN,HNX,23/04/2019,,35165,35165,35165,35165,0,0
74,CAN,HNX,24/04/2019,,35165,35165,35165,35165,0,0
75,CAN,HNX,25/04/2019,,35165,35165,35165,35165,0,0
76,CAN,HNX,26/04/2019,,35165,35165,35165,35165,0,0
77,CAN,HNX,02/05/2019,,35165,35165,35165,35165,0,0
78,CAN,HNX,03/05/2019,,38681,38681,38681,38681,100,4620000
79,CAN,HNX,06/05/2019,,38681,38681,38681,38681,0,0
80,CAN,HNX,07/05/2019,,38681,38681,38681,38681,0,0
81,CAN,HNX,08/05/2019,,38681,38681,38681,38681,0,0
82,CAN,HNX,09/05/2019,,38681,38681,38681,38681,0,0
83,CAN,HNX,10/05/2019,,38681,38681,38681,38681,0,0
84,CAN,HNX,13/05/2019,,38681,38681,38681,38681,0,0
85,CAN,HNX,14/05/2019,,38681,38681,38681,38681,0,0
86,CAN,HNX,15/05/2019,,38681,38681,38681,38681,0,0
