,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CEO,HNX,02/01/2019,,8648,8783,8513,8513,476342,6068533900
1,CEO,HNX,03/01/2019,,8580,8580,8378,8445,801660,10073581000
2,CEO,HNX,04/01/2019,,8445,8648,8378,8513,662275,8374235000
3,CEO,HNX,07/01/2019,,8648,8783,8580,8648,278470,3585549000
4,CEO,HNX,08/01/2019,,7905,8783,7905,8580,211360,2710018000
5,CEO,HNX,09/01/2019,,8716,8918,8580,8918,974730,12735574000
6,CEO,HNX,10/01/2019,,8918,8918,8716,8716,479255,6210395000
7,CEO,HNX,11/01/2019,,8783,8918,8716,8716,410380,5332695000
8,CEO,HNX,14/01/2019,,8716,8716,8580,8648,364310,4668188000
9,CEO,HNX,15/01/2019,,8648,8851,8648,8716,332950,4304160000
10,CEO,HNX,16/01/2019,,8783,8851,8716,8851,439510,5721890000
11,CEO,HNX,17/01/2019,,8851,8918,8783,8783,391450,5114362000
12,CEO,HNX,18/01/2019,,8783,8851,8783,8783,272295,3548650000
13,CEO,HNX,21/01/2019,,8851,9121,8851,8918,666285,8883660500
14,CEO,HNX,22/01/2019,,8918,9053,8851,8851,313220,4126428000
15,CEO,HNX,23/01/2019,,8918,8918,8851,8851,260135,3418308500
16,CEO,HNX,24/01/2019,,8918,8986,8851,8918,194545,2569344000
17,CEO,HNX,25/01/2019,,8918,8986,8851,8851,303510,4004413000
18,CEO,HNX,28/01/2019,,8851,8918,8783,8851,216520,2835062000
19,CEO,HNX,29/01/2019,,8851,8851,8783,8783,274150,3579350000
20,CEO,HNX,30/01/2019,,8783,8851,8716,8783,238030,3095890000
21,CEO,HNX,31/01/2019,,8783,8783,8580,8648,1157570,14850297100
22,CEO,HNX,01/02/2019,,8648,8783,8648,8648,234669,3023309100
23,CEO,HNX,11/02/2019,,8783,8918,8783,8851,306558,3994241200
24,CEO,HNX,12/02/2019,,8918,9053,8851,8986,780089,10350490700
25,CEO,HNX,13/02/2019,,9053,9053,8918,8986,570730,7604779700
26,CEO,HNX,14/02/2019,,8986,9256,8986,9121,1443881,19473881000
27,CEO,HNX,15/02/2019,,9121,9256,9053,9053,1125566,15253544600
28,CEO,HNX,18/02/2019,,9121,9391,9121,9256,789666,10826225200
29,CEO,HNX,19/02/2019,,9324,9324,9053,9053,1018391,13799822500
30,CEO,HNX,20/02/2019,,9053,9256,9053,9053,1043410,14105485000
31,CEO,HNX,21/02/2019,,9053,9121,8986,8986,332820,4448108000
32,CEO,HNX,22/02/2019,,8986,9121,8918,8986,639920,8525126600
33,CEO,HNX,25/02/2019,,9053,9188,8986,9053,759850,10201126000
34,CEO,HNX,26/02/2019,,9121,9121,8918,8918,769210,10229043000
35,CEO,HNX,27/02/2019,,8986,9188,8918,9121,1246620,16792018000
36,CEO,HNX,28/02/2019,,8648,9121,8648,8918,908626,12130801000
37,CEO,HNX,01/03/2019,,8918,9121,8918,9121,210401,2813659100
38,CEO,HNX,04/03/2019,,9188,9729,9121,9661,3475727,48880363500
39,CEO,HNX,05/03/2019,,9661,9797,9459,9459,1393770,19798282000
40,CEO,HNX,06/03/2019,,9661,9661,9324,9391,1548495,21689438000
41,CEO,HNX,07/03/2019,,9391,9594,9324,9324,2102464,29390318000
42,CEO,HNX,08/03/2019,,9256,9324,9053,9121,1492769,20280817300
43,CEO,HNX,11/03/2019,,9121,9188,8986,9188,641293,8609983200
44,CEO,HNX,12/03/2019,,9188,9391,9121,9121,623650,8501448200
45,CEO,HNX,13/03/2019,,9121,9256,9121,9121,895350,12153675000
46,CEO,HNX,14/03/2019,,9188,9188,9053,9121,433560,5857193000
47,CEO,HNX,15/03/2019,,9121,9188,8986,9053,652080,8762948000
48,CEO,HNX,18/03/2019,,9256,9256,8648,8783,2237512,29160049300
49,CEO,HNX,19/03/2019,,8783,8918,8716,8716,441000,5720900000
50,CEO,HNX,20/03/2019,,8716,8716,8648,8716,479123,6142131500
51,CEO,HNX,21/03/2019,,8716,8716,8513,8513,758225,9666873400
52,CEO,HNX,22/03/2019,,8513,8580,8445,8513,387122,4881188200
53,CEO,HNX,25/03/2019,,8445,8513,8243,8243,703524,8697608600
54,CEO,HNX,26/03/2019,,8243,8445,8243,8310,441911,5446952400
55,CEO,HNX,27/03/2019,,8445,8445,8378,8378,83123,1031743200
56,CEO,HNX,28/03/2019,,8378,8445,8310,8445,246980,3062773000
57,CEO,HNX,29/03/2019,,8445,8445,8310,8378,159165,1978042500
58,CEO,HNX,01/04/2019,,8378,8378,8310,8378,150550,1862718800
59,CEO,HNX,02/04/2019,,8445,8445,8175,8243,688590,8452755800
60,CEO,HNX,03/04/2019,,8243,8243,8107,8107,417930,5053810000
61,CEO,HNX,04/04/2019,,8175,8310,8107,8243,242210,2958323000
62,CEO,HNX,05/04/2019,,8310,8445,8243,8378,298235,3685032600
63,CEO,HNX,08/04/2019,,8378,8378,8310,8378,117706,1453720900
64,CEO,HNX,09/04/2019,,8378,8378,8175,8310,295309,3620718700
65,CEO,HNX,10/04/2019,,8243,8243,8107,8175,320260,3875078000
66,CEO,HNX,11/04/2019,,8175,8175,7972,8040,394520,4719212000
67,CEO,HNX,12/04/2019,,8040,8175,8040,8107,327110,3938751000
68,CEO,HNX,16/04/2019,,8107,8175,7905,8107,526095,6274787500
69,CEO,HNX,17/04/2019,,8107,8175,7972,7972,236830,2822121000
70,CEO,HNX,18/04/2019,,7905,7972,7770,7837,458723,5324960500
71,CEO,HNX,19/04/2019,,7770,7905,7770,7837,221342,2572489200
72,CEO,HNX,22/04/2019,,7837,7905,7770,7837,428708,4974753600
73,CEO,HNX,23/04/2019,,7770,7972,7770,7905,187464,2183952400
74,CEO,HNX,24/04/2019,,7972,8107,7905,8107,216010,2566147000
75,CEO,HNX,25/04/2019,,8107,8107,7972,7972,146396,1731439400
76,CEO,HNX,26/04/2019,,7972,8243,7972,8175,283184,3395069600
77,CEO,HNX,02/05/2019,,8243,8243,8040,8107,61360,737066000
78,CEO,HNX,03/05/2019,,8107,8175,8040,8040,164030,1967440000
79,CEO,HNX,06/05/2019,,8107,8107,7972,7972,293118,3466725200
80,CEO,HNX,07/05/2019,,8040,8040,7905,7972,267340,3155932000
81,CEO,HNX,08/05/2019,,7905,8040,7905,7972,89960,1061512000
82,CEO,HNX,09/05/2019,,8040,8040,7905,7972,103951,1225106800
83,CEO,HNX,10/05/2019,,7905,7972,7837,7905,138012,1612990600
84,CEO,HNX,13/05/2019,,7972,8107,7972,7972,280634,3342346200
85,CEO,HNX,14/05/2019,,7972,8107,7972,8107,90101,1067501900
86,CEO,HNX,15/05/2019,,8107,8243,8107,8175,223312,2695924400
87,CEO,HNX,16/05/2019,,8243,8378,8107,8243,157004,1901496400
88,CEO,HNX,17/05/2019,,8175,8175,8107,8107,235930,2833079000
