,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CET,HNX,02/01/2019,,3500,3500,3500,3500,130,440000
1,CET,HNX,03/01/2019,,3200,3200,3200,3200,1000,3200000
2,CET,HNX,04/01/2019,,3200,3500,3000,3000,560,1750000
3,CET,HNX,07/01/2019,,3300,3300,2900,2900,300,920000
4,CET,HNX,08/01/2019,,3100,3100,3000,3000,3200,9620000
5,CET,HNX,09/01/2019,,2900,2900,2900,2900,3100,8990000
6,CET,HNX,10/01/2019,,2900,2900,2900,2900,0,0
7,CET,HNX,11/01/2019,,2900,2900,2900,2900,3300,9570000
8,CET,HNX,14/01/2019,,3100,3100,3100,3100,100,310000
9,CET,HNX,15/01/2019,,3100,3200,3000,3000,19600,59200000
10,CET,HNX,16/01/2019,,2900,3000,2900,3000,8700,25690000
11,CET,HNX,17/01/2019,,3200,3200,3200,3200,130,413000
12,CET,HNX,18/01/2019,,3000,3000,3000,3000,18960,56880000
13,CET,HNX,21/01/2019,,3100,3200,3000,3200,8610,25920000
14,CET,HNX,22/01/2019,,3000,3200,3000,3200,14200,42630000
15,CET,HNX,23/01/2019,,3000,3200,3000,3000,22700,69530000
16,CET,HNX,24/01/2019,,3200,3200,3200,3200,102,325600
17,CET,HNX,25/01/2019,,3000,3000,3000,3000,22700,68100000
18,CET,HNX,28/01/2019,,3000,3000,3000,3000,38200,114600000
19,CET,HNX,29/01/2019,,3000,3000,3000,3000,38000,114000000
20,CET,HNX,30/01/2019,,3200,3200,2700,3100,12210,33858000
21,CET,HNX,31/01/2019,,3100,3100,3100,3100,0,0
22,CET,HNX,01/02/2019,,3300,3300,2800,3200,10100,30030000
23,CET,HNX,11/02/2019,,3200,3200,3000,3000,16700,51820000
24,CET,HNX,12/02/2019,,3100,3300,3000,3300,50300,156290000
25,CET,HNX,13/02/2019,,3400,3500,3400,3500,19500,66670000
26,CET,HNX,14/02/2019,,3600,3700,3200,3200,41000,133220000
27,CET,HNX,15/02/2019,,3000,3500,3000,3500,31430,104493000
28,CET,HNX,18/02/2019,,3600,3600,3300,3300,19100,64900000
29,CET,HNX,19/02/2019,,3500,3600,3100,3400,27000,85060000
30,CET,HNX,20/02/2019,,3400,3600,3100,3200,4530,14593000
31,CET,HNX,21/02/2019,,3100,3300,3000,3000,2900,8840000
32,CET,HNX,22/02/2019,,3300,3300,3100,3100,6028,19286800
33,CET,HNX,25/02/2019,,3300,3400,3000,3200,6800,20500000
34,CET,HNX,26/02/2019,,3000,3200,3000,3000,11400,34270000
35,CET,HNX,27/02/2019,,3100,3100,3100,3100,8500,26350000
36,CET,HNX,28/02/2019,,3000,3200,2800,2800,33800,99780000
37,CET,HNX,01/03/2019,,2800,3000,2800,2800,2900,8410000
38,CET,HNX,04/03/2019,,3000,3000,2900,2900,1400,4170000
39,CET,HNX,05/03/2019,,3100,3100,3100,3100,15100,46810000
40,CET,HNX,06/03/2019,,3200,3200,3200,3200,100,320000
41,CET,HNX,07/03/2019,,3100,3200,3000,3200,12500,38740000
42,CET,HNX,08/03/2019,,3000,3000,3000,3000,400,1200000
43,CET,HNX,11/03/2019,,3200,3200,3200,3200,38400,122880000
44,CET,HNX,12/03/2019,,3300,3300,3100,3100,38110,125742000
45,CET,HNX,13/03/2019,,3100,3100,3100,3100,3200,9920000
46,CET,HNX,14/03/2019,,3100,3100,3100,3100,0,0
47,CET,HNX,15/03/2019,,3200,3200,3200,3200,22100,70720000
48,CET,HNX,18/03/2019,,3000,3300,3000,3000,13600,44760000
49,CET,HNX,19/03/2019,,3300,3300,3300,3300,119620,394746000
50,CET,HNX,20/03/2019,,3200,3600,3200,3600,115000,410090000
51,CET,HNX,21/03/2019,,3800,3900,3600,3700,108000,418390000
52,CET,HNX,22/03/2019,,3600,4000,3600,3800,222300,872120000
53,CET,HNX,25/03/2019,,3800,3800,3800,3800,6800,25840000
54,CET,HNX,26/03/2019,,3800,4000,3800,4000,91640,365000000
55,CET,HNX,27/03/2019,,4300,4300,3900,4100,20400,82670000
56,CET,HNX,28/03/2019,,4400,4500,4000,4100,11600,47880000
57,CET,HNX,29/03/2019,,4400,4400,4100,4300,33800,138770000
58,CET,HNX,01/04/2019,,4100,4300,4100,4300,25600,107770000
59,CET,HNX,02/04/2019,,4300,4400,4300,4400,33460,143966000
60,CET,HNX,03/04/2019,,4300,4400,4300,4400,17900,77080000
61,CET,HNX,04/04/2019,,4200,4500,4200,4300,8900,37560000
62,CET,HNX,05/04/2019,,4600,4600,4200,4200,3400,14320000
63,CET,HNX,08/04/2019,,4600,4600,4600,4600,200,920000
64,CET,HNX,09/04/2019,,4600,4600,4200,4200,20100,85930000
65,CET,HNX,10/04/2019,,4200,4300,4200,4200,1000,4220000
66,CET,HNX,11/04/2019,,4300,4400,4300,4400,4100,17650000
67,CET,HNX,12/04/2019,,4400,4800,4400,4600,2060,9380000
68,CET,HNX,16/04/2019,,4500,4800,4300,4500,3200,13980000
69,CET,HNX,17/04/2019,,4500,4500,4500,4500,0,0
70,CET,HNX,18/04/2019,,4700,4800,4100,4200,1500,6380000
71,CET,HNX,19/04/2019,,4500,4500,4500,4500,300,1350000
72,CET,HNX,22/04/2019,,4800,4800,4100,4600,1300,5510000
73,CET,HNX,23/04/2019,,4600,4600,4600,4600,0,0
74,CET,HNX,24/04/2019,,4600,4600,4600,4600,0,0
75,CET,HNX,25/04/2019,,4600,4600,4600,4600,0,0
76,CET,HNX,26/04/2019,,4600,4600,4600,4600,0,0
77,CET,HNX,02/05/2019,,5000,5000,5000,5000,100,500000
78,CET,HNX,03/05/2019,,5000,5000,5000,5000,0,0
79,CET,HNX,06/05/2019,,4800,4800,4800,4800,300,1440000
80,CET,HNX,07/05/2019,,4800,4800,4800,4800,0,0
81,CET,HNX,08/05/2019,,4400,4400,4400,4400,500,2200000
82,CET,HNX,09/05/2019,,4700,4700,4000,4500,19600,78670000
83,CET,HNX,10/05/2019,,4500,4500,4500,4500,0,0
84,CET,HNX,13/05/2019,,4100,4100,4100,4100,100,410000
85,CET,HNX,14/05/2019,,4500,4500,3800,3900,5400,20630000
86,CET,HNX,15/05/2019,,3600,4000,3600,3600,30900,111400000
87,CET,HNX,16/05/2019,,3800,3800,3600,3800,3000,11040000
88,CET,HNX,17/05/2019,,3900,3900,3900,3900,300,1170000
89,CET,HNX,20/05/2019,,3600,4200,3600,4000,11600,42300000
90,CET,HNX,21/05/2019,,4100,4100,4100,4100,100,410000
91,CET,HNX,22/05/2019,,4400,4400,4400,4400,110,482000
92,CET,HNX,23/05/2019,,4400,4400,4400,4400,20,80000
93,CET,HNX,24/05/2019,,4000,4000,4000,4000,610,2440000
94,CET,HNX,27/05/2019,,3700,3700,3600,3600,11920,42927000
95,CET,HNX,28/05/2019,,3900,3900,3600,3700,4300,15530000
96,CET,HNX,29/05/2019,,3600,4000,3600,4000,3220,11974000
97,CET,HNX,30/05/2019,,4100,4100,3600,3600,300,1130000
98,CET,HNX,31/05/2019,,3900,3900,3400,3900,1300,4660000
99,CET,HNX,03/06/2019,,3900,3900,3900,3900,1520,5928000
100,CET,HNX,04/06/2019,,3700,4100,3600,4100,9700,35430000
101,CET,HNX,05/06/2019,,3700,4400,3700,4400,1200,5140000
102,CET,HNX,06/06/2019,,4000,4000,4000,4000,1700,6800000
103,CET,HNX,07/06/2019,,3600,4300,3600,3700,8500,30960000
104,CET,HNX,10/06/2019,,4000,4000,3500,4000,2600,9950000
105,CET,HNX,11/06/2019,,4200,4200,3600,3600,900,3300000
106,CET,HNX,12/06/2019,,3900,3900,3900,3900,1100,4290000
107,CET,HNX,13/06/2019,,3600,4000,3600,4000,9700,35360000
108,CET,HNX,14/06/2019,,4200,4200,4200,4200,1000,4200000
109,CET,HNX,17/06/2019,,4200,4200,4200,4200,0,0
110,CET,HNX,18/06/2019,,4000,4100,4000,4100,1000,4050000
