,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CIA,HNX,02/01/2019,,17063,17063,16684,17063,1200,26500000
1,CIA,HNX,03/01/2019,,16684,16684,15926,16533,9400,199610000
2,CIA,HNX,04/01/2019,,16533,16533,16533,16533,0,0
3,CIA,HNX,07/01/2019,,15698,16988,15168,15926,10054,205371600
4,CIA,HNX,08/01/2019,,15926,15926,14940,15016,11530,237005000
5,CIA,HNX,09/01/2019,,15016,15547,15016,15547,1280,25726000
6,CIA,HNX,10/01/2019,,15168,15168,15168,15168,1000,20000000
7,CIA,HNX,11/01/2019,,15471,15471,15471,15471,110,2249000
8,CIA,HNX,14/01/2019,,15092,15850,15092,15850,4560,93970000
9,CIA,HNX,15/01/2019,,15698,15698,15016,15016,3643,73401700
10,CIA,HNX,16/01/2019,,15016,15168,14940,15168,4760,94798000
11,CIA,HNX,17/01/2019,,15168,15168,15168,15168,6500,130000000
12,CIA,HNX,18/01/2019,,14940,15168,14940,15168,1720,34030000
13,CIA,HNX,21/01/2019,,14561,15168,14409,14485,6885,134360700
14,CIA,HNX,22/01/2019,,14637,14637,14561,14561,1100,21220000
15,CIA,HNX,23/01/2019,,14561,14561,14561,14561,60,1140000
16,CIA,HNX,24/01/2019,,14409,14788,14182,14788,6170,116516000
17,CIA,HNX,25/01/2019,,14637,14713,14333,14333,820,15748000
18,CIA,HNX,28/01/2019,,14409,14409,14030,14106,10190,191771000
19,CIA,HNX,29/01/2019,,13878,14106,13802,14030,7600,139220000
20,CIA,HNX,30/01/2019,,13272,13272,12665,12665,164550,2756568000
21,CIA,HNX,31/01/2019,,12134,12134,11603,11603,86980,1350992000
22,CIA,HNX,01/02/2019,,11907,12513,11831,11831,22560,355464000
23,CIA,HNX,11/02/2019,,11831,12134,11755,11831,29104,453792400
24,CIA,HNX,12/02/2019,,11755,12437,11755,12437,5386,86060200
25,CIA,HNX,13/02/2019,,12513,13347,12437,13347,41665,705356500
26,CIA,HNX,14/02/2019,,13423,13878,13423,13802,59736,1082725200
27,CIA,HNX,15/02/2019,,13802,14030,13651,14030,7030,127795000
28,CIA,HNX,18/02/2019,,13651,13802,13575,13802,4400,79220000
29,CIA,HNX,19/02/2019,,13651,13651,13347,13347,7100,125900000
