,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CKV,HNX,02/01/2019,,14534,14534,14534,14534,0,0
1,CKV,HNX,03/01/2019,,14534,14534,14534,14534,0,0
2,CKV,HNX,04/01/2019,,14534,14534,14534,14534,0,0
3,CKV,HNX,07/01/2019,,14534,14534,14534,14534,0,0
4,CKV,HNX,08/01/2019,,14534,14534,14534,14534,0,0
5,CKV,HNX,09/01/2019,,14534,14534,14534,14534,0,0
6,CKV,HNX,10/01/2019,,14534,14534,14534,14534,0,0
7,CKV,HNX,11/01/2019,,14534,14534,14534,14534,0,0
8,CKV,HNX,14/01/2019,,14534,14534,14534,14534,0,0
9,CKV,HNX,15/01/2019,,14534,14534,14534,14534,0,0
10,CKV,HNX,16/01/2019,,14534,14534,14534,14534,0,0
11,CKV,HNX,17/01/2019,,14534,14534,14534,14534,0,0
12,CKV,HNX,18/01/2019,,14534,14534,14534,14534,0,0
13,CKV,HNX,21/01/2019,,14534,14534,14534,14534,0,0
14,CKV,HNX,22/01/2019,,13143,13143,13143,13143,300,5670000
15,CKV,HNX,23/01/2019,,14395,14395,14395,14395,100,2070000
16,CKV,HNX,24/01/2019,,14395,14395,14395,14395,0,0
17,CKV,HNX,25/01/2019,,14395,14395,14395,14395,0,0
18,CKV,HNX,28/01/2019,,14395,14395,14395,14395,0,0
19,CKV,HNX,29/01/2019,,14395,14395,14395,14395,0,0
20,CKV,HNX,30/01/2019,,14395,14395,14395,14395,0,0
21,CKV,HNX,31/01/2019,,14395,14395,14395,14395,0,0
22,CKV,HNX,01/02/2019,,14395,14395,14395,14395,0,0
23,CKV,HNX,11/02/2019,,14395,14395,14395,14395,0,0
24,CKV,HNX,12/02/2019,,14395,14395,14395,14395,0,0
25,CKV,HNX,13/02/2019,,14395,14395,14395,14395,0,0
26,CKV,HNX,14/02/2019,,14395,14395,14395,14395,0,0
27,CKV,HNX,15/02/2019,,14395,14395,14395,14395,0,0
28,CKV,HNX,18/02/2019,,14395,14395,14395,14395,0,0
29,CKV,HNX,19/02/2019,,14395,14395,14395,14395,0,0
30,CKV,HNX,20/02/2019,,14395,14395,14395,14395,0,0
31,CKV,HNX,21/02/2019,,14395,14395,14395,14395,0,0
32,CKV,HNX,22/02/2019,,14395,14395,14395,14395,0,0
33,CKV,HNX,25/02/2019,,13004,14603,13004,14603,600,12370000
34,CKV,HNX,26/02/2019,,13143,13143,13143,13143,100,1890000
35,CKV,HNX,27/02/2019,,14395,14395,14395,14395,100,2070000
36,CKV,HNX,28/02/2019,,14395,14395,14395,14395,0,0
37,CKV,HNX,01/03/2019,,13004,13004,13004,13004,100,1870000
38,CKV,HNX,04/03/2019,,13004,13004,13004,13004,0,0
39,CKV,HNX,05/03/2019,,13004,13004,13004,13004,0,0
40,CKV,HNX,06/03/2019,,13004,13004,13004,13004,0,0
41,CKV,HNX,07/03/2019,,13004,13004,13004,13004,0,0
42,CKV,HNX,08/03/2019,,11752,14255,11752,14255,1000,17980000
43,CKV,HNX,11/03/2019,,14255,14255,14255,14255,0,0
44,CKV,HNX,12/03/2019,,14255,14255,14255,14255,0,0
45,CKV,HNX,13/03/2019,,14186,14186,14186,14186,300,6120000
46,CKV,HNX,14/03/2019,,14116,14116,14116,14116,300,6090000
47,CKV,HNX,15/03/2019,,14116,14116,14116,14116,0,0
48,CKV,HNX,18/03/2019,,14116,14116,14116,14116,0,0
49,CKV,HNX,19/03/2019,,14116,14116,14116,14116,0,0
50,CKV,HNX,20/03/2019,,14116,14116,14116,14116,0,0
51,CKV,HNX,21/03/2019,,14116,14116,14116,14116,0,0
52,CKV,HNX,22/03/2019,,14116,14116,14116,14116,0,0
53,CKV,HNX,25/03/2019,,14116,14116,14116,14116,0,0
54,CKV,HNX,26/03/2019,,14116,14116,14116,14116,0,0
55,CKV,HNX,27/03/2019,,14116,14116,14116,14116,0,0
56,CKV,HNX,28/03/2019,,14116,14116,14116,14116,0,0
57,CKV,HNX,29/03/2019,,14116,14116,14116,14116,0,0
58,CKV,HNX,01/04/2019,,14116,14116,14116,14116,0,0
59,CKV,HNX,02/04/2019,,14116,14116,14116,14116,0,0
60,CKV,HNX,03/04/2019,,13769,13769,13769,13769,1000,19800000
61,CKV,HNX,04/04/2019,,13769,13769,13769,13769,0,0
62,CKV,HNX,05/04/2019,,13769,13769,13769,13769,0,0
63,CKV,HNX,08/04/2019,,13769,13769,13769,13769,0,0
64,CKV,HNX,09/04/2019,,12447,12447,12447,12447,2000,35800000
