,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,CPC,HNX,02/01/2019,,22767,22767,22767,22767,0,0
1,CPC,HNX,03/01/2019,,22767,22767,22767,22767,0,0
2,CPC,HNX,04/01/2019,,22767,22767,22767,22767,0,0
3,CPC,HNX,07/01/2019,,22767,22767,22767,22767,0,0
4,CPC,HNX,08/01/2019,,22767,22767,22767,22767,0,0
5,CPC,HNX,09/01/2019,,22767,22767,22767,22767,0,0
6,CPC,HNX,10/01/2019,,22767,22767,22767,22767,0,0
7,CPC,HNX,11/01/2019,,22767,22767,22767,22767,0,0
8,CPC,HNX,14/01/2019,,22767,22767,22767,22767,0,0
9,CPC,HNX,15/01/2019,,22767,22767,22767,22767,0,0
10,CPC,HNX,16/01/2019,,20959,21026,20959,21026,400,12540000
11,CPC,HNX,17/01/2019,,21026,21026,21026,21026,0,0
12,CPC,HNX,18/01/2019,,21026,21026,21026,21026,0,0
13,CPC,HNX,21/01/2019,,21026,21026,21026,21026,0,0
14,CPC,HNX,22/01/2019,,21026,21026,21026,21026,0,0
15,CPC,HNX,23/01/2019,,21026,21026,21026,21026,0,0
16,CPC,HNX,24/01/2019,,21026,21026,21026,21026,0,0
17,CPC,HNX,25/01/2019,,21026,21026,21026,21026,0,0
18,CPC,HNX,28/01/2019,,21026,21026,21026,21026,0,0
19,CPC,HNX,29/01/2019,,21026,21026,21026,21026,0,0
20,CPC,HNX,30/01/2019,,21026,21026,21026,21026,0,0
21,CPC,HNX,31/01/2019,,21026,21026,21026,21026,0,0
22,CPC,HNX,01/02/2019,,21026,21026,21026,21026,0,0
23,CPC,HNX,11/02/2019,,21026,21026,21026,21026,0,0
24,CPC,HNX,12/02/2019,,21026,21026,21026,21026,0,0
25,CPC,HNX,13/02/2019,,21026,21026,21026,21026,0,0
26,CPC,HNX,14/02/2019,,21026,21026,21026,21026,0,0
27,CPC,HNX,15/02/2019,,21026,21026,21026,21026,0,0
28,CPC,HNX,18/02/2019,,21026,21026,21026,21026,0,0
29,CPC,HNX,19/02/2019,,19553,19553,19419,19419,1300,37810000
30,CPC,HNX,20/02/2019,,19419,19419,19419,19419,0,0
31,CPC,HNX,21/02/2019,,19419,20624,19419,20624,600,17580000
32,CPC,HNX,22/02/2019,,20424,22031,19419,20022,1300,38580000
33,CPC,HNX,25/02/2019,,20624,20624,19419,19821,800,23450000
34,CPC,HNX,26/02/2019,,20557,20959,19553,19553,300,9120000
35,CPC,HNX,27/02/2019,,20357,20357,19486,19486,500,14700000
36,CPC,HNX,28/02/2019,,19955,20758,19955,20758,2500,77260000
37,CPC,HNX,01/03/2019,,20758,20758,20758,20758,0,0
38,CPC,HNX,04/03/2019,,20758,20758,20758,20758,0,0
39,CPC,HNX,05/03/2019,,19754,20022,19419,20022,1200,35150000
