,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,D11,HNX,02/01/2019,,10440,10440,10440,10440,0,0
1,D11,HNX,03/01/2019,,10440,10440,10440,10440,0,0
2,D11,HNX,04/01/2019,,10440,10440,10440,10440,0,0
3,D11,HNX,07/01/2019,,10440,10440,10440,10440,0,0
4,D11,HNX,08/01/2019,,10440,10440,10440,10440,0,0
5,D11,HNX,09/01/2019,,10440,10440,10440,10440,0,0
6,D11,HNX,10/01/2019,,11078,11078,11078,11078,100,1390000
7,D11,HNX,11/01/2019,,11078,11078,11078,11078,0,0
8,D11,HNX,14/01/2019,,11078,11078,11078,11078,0,0
9,D11,HNX,15/01/2019,,11078,11078,11078,11078,0,0
10,D11,HNX,16/01/2019,,11078,11078,11078,11078,0,0
11,D11,HNX,17/01/2019,,11078,11078,11078,11078,0,0
12,D11,HNX,18/01/2019,,11078,11078,11078,11078,0,0
13,D11,HNX,21/01/2019,,11078,11078,11078,11078,0,0
14,D11,HNX,22/01/2019,,11078,11078,11078,11078,0,0
15,D11,HNX,23/01/2019,,11078,11078,11078,11078,0,0
16,D11,HNX,24/01/2019,,11078,11078,11078,11078,0,0
17,D11,HNX,25/01/2019,,11078,11078,11078,11078,0,0
18,D11,HNX,28/01/2019,,12114,12114,12114,12114,100,1520000
19,D11,HNX,29/01/2019,,12114,12114,12114,12114,0,0
20,D11,HNX,30/01/2019,,12114,12114,12114,12114,0,0
21,D11,HNX,31/01/2019,,12114,12114,12114,12114,0,0
22,D11,HNX,01/02/2019,,12114,12114,12114,12114,0,0
23,D11,HNX,11/02/2019,,12114,12114,12114,12114,0,0
24,D11,HNX,12/02/2019,,10918,10918,10918,10918,200,2740000
25,D11,HNX,13/02/2019,,11875,11875,11875,11875,100,1490000
26,D11,HNX,14/02/2019,,11875,11875,11875,11875,0,0
27,D11,HNX,15/02/2019,,11875,11875,11875,11875,0,0
28,D11,HNX,18/02/2019,,11875,11875,11875,11875,0,0
29,D11,HNX,19/02/2019,,10759,11875,10759,11875,1200,16640000
30,D11,HNX,20/02/2019,,10759,11396,10759,10759,1000,13580000
31,D11,HNX,21/02/2019,,11635,11635,10759,10759,200,2810000
32,D11,HNX,22/02/2019,,11635,11635,11635,11635,100,1460000
33,D11,HNX,25/02/2019,,11635,11635,11635,11635,0,0
34,D11,HNX,26/02/2019,,11635,11635,11635,11635,0,0
35,D11,HNX,27/02/2019,,11635,11635,11635,11635,0,0
36,D11,HNX,28/02/2019,,11635,11635,11635,11635,0,0
37,D11,HNX,01/03/2019,,10759,10759,10759,10759,2100,28350000
38,D11,HNX,04/03/2019,,11635,11635,10759,11556,1200,16410000
39,D11,HNX,05/03/2019,,11556,11556,11556,11556,0,0
40,D11,HNX,06/03/2019,,11556,11556,11556,11556,0,0
41,D11,HNX,07/03/2019,,11715,11715,10679,10679,7200,97560000
42,D11,HNX,08/03/2019,,10679,10679,10679,10679,0,0
43,D11,HNX,11/03/2019,,10679,10679,10679,10679,0,0
44,D11,HNX,12/03/2019,,10679,10679,10679,10679,0,0
45,D11,HNX,13/03/2019,,11715,11715,10679,10679,1300,17680000
46,D11,HNX,14/03/2019,,11635,11635,11635,11635,100,1460000
47,D11,HNX,15/03/2019,,11556,11556,10759,10759,1500,20750000
48,D11,HNX,18/03/2019,,10679,10679,10679,10679,2000,26800000
49,D11,HNX,19/03/2019,,11715,11715,11715,11715,100,1470000
50,D11,HNX,20/03/2019,,11875,11875,11875,11875,100,1490000
51,D11,HNX,21/03/2019,,10759,10839,10759,10759,4600,62130000
52,D11,HNX,22/03/2019,,10759,10759,10759,10759,1600,21600000
53,D11,HNX,25/03/2019,,10759,10759,10759,10759,100,1350000
54,D11,HNX,26/03/2019,,10759,10759,10759,10759,8,97600
55,D11,HNX,27/03/2019,,10759,10759,10679,10679,4600,61900000
56,D11,HNX,28/03/2019,,10679,10679,10679,10679,0,0
57,D11,HNX,29/03/2019,,10679,10679,10679,10679,6,88200
58,D11,HNX,01/04/2019,,10599,10599,10599,10599,3000,39900000
59,D11,HNX,02/04/2019,,10599,10599,10599,10599,0,0
60,D11,HNX,03/04/2019,,10599,10599,10599,10599,0,0
61,D11,HNX,04/04/2019,,10599,10599,10599,10599,0,0
62,D11,HNX,05/04/2019,,10599,10599,10599,10599,0,0
63,D11,HNX,08/04/2019,,10599,10599,10599,10599,0,0
64,D11,HNX,09/04/2019,,10599,10599,10599,10599,0,0
65,D11,HNX,10/04/2019,,11078,11078,11078,11078,2300,31970000
66,D11,HNX,11/04/2019,,11078,11078,11078,11078,0,0
67,D11,HNX,12/04/2019,,11078,11078,11078,11078,0,0
68,D11,HNX,16/04/2019,,10599,10599,10599,10599,2000,26600000
69,D11,HNX,17/04/2019,,10599,10599,10599,10599,0,0
70,D11,HNX,18/04/2019,,10599,10599,10599,10599,0,0
71,D11,HNX,19/04/2019,,11078,11078,10520,10998,2300,30560000
72,D11,HNX,22/04/2019,,10998,10998,10998,10998,0,0
73,D11,HNX,23/04/2019,,10998,10998,10998,10998,0,0
74,D11,HNX,24/04/2019,,10440,10440,10440,10440,100,1310000
75,D11,HNX,25/04/2019,,10918,10918,10918,10918,100,1370000
76,D11,HNX,26/04/2019,,10918,10918,10918,10918,0,0
77,D11,HNX,02/05/2019,,10918,10918,10918,10918,6,79200
78,D11,HNX,03/05/2019,,11078,11078,11078,11078,200,2780000
79,D11,HNX,06/05/2019,,11078,11078,11078,11078,0,0
80,D11,HNX,07/05/2019,,10121,10201,10042,10042,5700,72160000
81,D11,HNX,08/05/2019,,10042,10042,10042,10042,0,0
82,D11,HNX,09/05/2019,,9723,9723,9723,9723,1000,12200000
83,D11,HNX,10/05/2019,,9723,9723,9723,9723,0,0
84,D11,HNX,13/05/2019,,9723,9723,9723,9723,60,804000
85,D11,HNX,14/05/2019,,10599,10599,10599,10599,100,1330000
86,D11,HNX,15/05/2019,,10599,10599,10599,10599,0,0
87,D11,HNX,16/05/2019,,10599,10599,10599,10599,0,0
88,D11,HNX,17/05/2019,,10918,10918,10918,10918,100,1370000
89,D11,HNX,20/05/2019,,10998,10998,10839,10918,3000,41180000
90,D11,HNX,21/05/2019,,10998,10998,10918,10918,2200,30260000
91,D11,HNX,22/05/2019,,10360,10759,10281,10759,1100,14310000
92,D11,HNX,23/05/2019,,10759,10759,10759,10759,0,0
93,D11,HNX,24/05/2019,,9803,10839,9803,10839,2200,27320000
94,D11,HNX,27/05/2019,,10042,10042,10042,10042,200,2520000
95,D11,HNX,28/05/2019,,9962,9962,9723,9723,5500,68100000
96,D11,HNX,29/05/2019,,9643,9723,9563,9563,2700,32490000
97,D11,HNX,30/05/2019,,9563,9563,9563,9563,0,0
98,D11,HNX,31/05/2019,,9563,9563,9563,9563,0,0
99,D11,HNX,03/06/2019,,9563,9563,9563,9563,1000,12000000
100,D11,HNX,04/06/2019,,9563,9563,9563,9563,0,0
101,D11,HNX,05/06/2019,,9563,9563,9563,9563,0,0
102,D11,HNX,06/06/2019,,9563,9563,9563,9563,0,0
103,D11,HNX,07/06/2019,,9563,9563,9563,9563,0,0
104,D11,HNX,10/06/2019,,9563,9563,9563,9563,0,0
105,D11,HNX,11/06/2019,,9563,9563,9563,9563,0,0
106,D11,HNX,12/06/2019,,9563,9563,9563,9563,0,0
107,D11,HNX,13/06/2019,,9563,9563,9563,9563,0,0
108,D11,HNX,14/06/2019,,9563,9563,9563,9563,0,0
109,D11,HNX,17/06/2019,,9563,9563,9563,9563,0,0
110,D11,HNX,18/06/2019,,9563,9563,9563,9563,0,0
111,D11,HNX,19/06/2019,,9882,9882,9882,9882,100,1240000
112,D11,HNX,20/06/2019,,9882,9882,9882,9882,100,1240000
113,D11,HNX,21/06/2019,,9882,9882,9882,9882,0,0
114,D11,HNX,24/06/2019,,9882,9882,9882,9882,0,0
115,D11,HNX,25/06/2019,,9882,9882,9882,9882,0,0
116,D11,HNX,26/06/2019,,9882,9882,9882,9882,0,0
117,D11,HNX,27/06/2019,,9882,9882,9882,9882,0,0
118,D11,HNX,28/06/2019,,9882,9882,9882,9882,0,0
119,D11,HNX,01/07/2019,,9882,9882,9882,9882,0,0
120,D11,HNX,02/07/2019,,9882,9882,9882,9882,0,0
121,D11,HNX,03/07/2019,,9882,9882,9882,9882,0,0
122,D11,HNX,04/07/2019,,9882,9882,9882,9882,0,0
123,D11,HNX,05/07/2019,,9882,9882,9882,9882,0,0
124,D11,HNX,08/07/2019,,9882,9882,9882,9882,300,3720000
125,D11,HNX,09/07/2019,,10201,10201,10201,10201,5000,64000000
126,D11,HNX,10/07/2019,,10360,11157,10360,11157,10700,142470000
127,D11,HNX,11/07/2019,,10759,10759,10759,10759,6000,81000000
128,D11,HNX,12/07/2019,,11635,11795,10839,11635,10000,146130000
129,D11,HNX,15/07/2019,,11954,12751,11954,12751,22800,363900000
130,D11,HNX,16/07/2019,,14026,14026,13150,14026,81200,1417980000
131,D11,HNX,17/07/2019,,15142,15142,14186,14744,22500,414900000
132,D11,HNX,18/07/2019,,14823,14823,13628,14823,30300,528030000
133,D11,HNX,19/07/2019,,14664,15461,14664,15142,20800,393750000
134,D11,HNX,22/07/2019,,16098,16098,16098,16098,200,4040000
135,D11,HNX,23/07/2019,,16019,16975,14505,14505,52300,981710000
136,D11,HNX,24/07/2019,,14026,15062,13867,15062,8300,151370000
137,D11,HNX,25/07/2019,,14345,14345,14345,14345,1000,18000000
138,D11,HNX,26/07/2019,,14744,14744,13947,14026,6900,123750000
139,D11,HNX,29/07/2019,,13628,14505,13628,14265,13000,226020000
140,D11,HNX,30/07/2019,,13548,14026,13548,13708,3400,58500000
141,D11,HNX,31/07/2019,,13708,13708,13548,13548,6100,104320000
142,D11,HNX,01/08/2019,,13548,14903,13548,14903,36700,661290000
143,D11,HNX,02/08/2019,,15700,15780,14983,15780,18100,352110000
144,D11,HNX,05/08/2019,,15780,16656,15142,16497,50100,1007920000
145,D11,HNX,06/08/2019,,16577,16656,14983,16497,32200,659650000
146,D11,HNX,07/08/2019,,16417,18091,15939,18091,73900,1613430000
147,D11,HNX,08/08/2019,,18330,18330,16816,17453,22400,502260000
148,D11,HNX,09/08/2019,,16338,18091,16338,17772,13300,287630000
149,D11,HNX,12/08/2019,,17533,17852,16736,17852,25600,562190000
150,D11,HNX,13/08/2019,,17214,17374,16417,17055,14300,306590000
151,D11,HNX,14/08/2019,,16736,17055,16417,16895,12600,266260000
152,D11,HNX,15/08/2019,,15939,16736,15222,15939,19100,378610000
153,D11,HNX,16/08/2019,,15939,17134,15780,17134,13700,281220000
154,D11,HNX,19/08/2019,,16098,17134,15939,15939,16700,338330000
155,D11,HNX,20/08/2019,,15620,16656,15301,16497,32300,643340000
156,D11,HNX,21/08/2019,,16417,16656,16098,16098,14700,299440000
157,D11,HNX,22/08/2019,,16577,16736,16417,16656,5000,103880000
158,D11,HNX,23/08/2019,,16736,16736,16338,16417,20000,414640000
159,D11,HNX,26/08/2019,,16497,16577,16178,16497,12200,251870000
160,D11,HNX,27/08/2019,,16497,18091,16497,18091,52900,1177710000
161,D11,HNX,28/08/2019,,18330,19525,18330,19127,27000,642930000
162,D11,HNX,29/08/2019,,17613,18330,17533,18330,13800,312210000
163,D11,HNX,30/08/2019,,18171,18330,16577,16816,19300,414270000
164,D11,HNX,03/09/2019,,16816,17134,15939,16975,19900,411450000
165,D11,HNX,04/09/2019,,16895,16895,15939,16258,6700,137970000
166,D11,HNX,05/09/2019,,16736,17374,16736,16975,19800,424360000
167,D11,HNX,06/09/2019,,16975,17852,16975,17852,15500,341770000
168,D11,HNX,09/09/2019,,18250,18250,17294,18011,18400,417160000
169,D11,HNX,10/09/2019,,17055,17374,17055,17055,24700,531770000
170,D11,HNX,11/09/2019,,17692,17692,17692,17692,800,17760000
171,D11,HNX,12/09/2019,,17692,17931,17374,17931,4400,96110000
172,D11,HNX,13/09/2019,,17931,17931,17453,17931,11100,247100000
173,D11,HNX,16/09/2019,,18011,18011,17533,17533,5200,114460000
174,D11,HNX,17/09/2019,,17374,17533,17294,17294,5900,128550000
175,D11,HNX,18/09/2019,,17374,17374,17294,17294,1100,23970000
176,D11,HNX,19/09/2019,,17374,17374,17294,17294,0,0
177,D11,HNX,20/09/2019,,17214,17214,16417,16417,3000,62810000
178,D11,HNX,23/09/2019,,16019,17055,16019,17055,1300,26260000
179,D11,HNX,24/09/2019,,15859,17055,15859,15939,4700,97550000
180,D11,HNX,25/09/2019,,16338,16736,16338,16736,2400,49260000
181,D11,HNX,26/09/2019,,17327,17496,16144,16144,400,7980000
182,D11,HNX,27/09/2019,,16904,17749,16144,16820,11100,226080000
183,D11,HNX,30/09/2019,,17327,17327,16989,16989,3000,60700000
184,D11,HNX,01/10/2019,,17327,17327,16904,16904,1000,20250000
185,D11,HNX,02/10/2019,,16989,18003,16989,17919,5900,123630000
186,D11,HNX,03/10/2019,,17749,18003,17496,17496,3100,64830000
187,D11,HNX,04/10/2019,,18088,18088,17327,17749,1600,33040000
188,D11,HNX,07/10/2019,,17073,17158,17073,17073,300,6070000
189,D11,HNX,08/10/2019,,16397,17411,16397,17411,1700,34180000
