,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,DDG,HNX,02/01/2019,,9986,10037,9730,9832,23600,456240000
1,DDG,HNX,03/01/2019,,9832,9884,9730,9781,24700,472350000
2,DDG,HNX,04/01/2019,,9730,9832,9730,9781,64700,1232800000
3,DDG,HNX,07/01/2019,,9781,9986,9730,9884,92900,1781960000
4,DDG,HNX,08/01/2019,,9884,9935,9832,9884,44300,853330000
5,DDG,HNX,09/01/2019,,9832,9935,9781,9832,43100,829250000
6,DDG,HNX,10/01/2019,,9832,9935,9832,9884,22000,424210000
7,DDG,HNX,11/01/2019,,9884,9986,9884,9935,25300,491400000
8,DDG,HNX,14/01/2019,,9935,10140,9935,10037,103800,2033290000
9,DDG,HNX,15/01/2019,,10037,10242,10037,10140,138400,2748010000
10,DDG,HNX,16/01/2019,,10088,10140,10037,10037,40200,790720000
11,DDG,HNX,17/01/2019,,9986,10037,9832,9986,42000,815020000
12,DDG,HNX,18/01/2019,,9935,10037,9832,9884,46310,897675000
13,DDG,HNX,21/01/2019,,9832,9884,9781,9832,20600,395320000
14,DDG,HNX,22/01/2019,,9781,9986,9781,9935,20900,404750000
15,DDG,HNX,23/01/2019,,9935,9986,9884,9935,42400,822190000
16,DDG,HNX,24/01/2019,,9935,10088,9832,9884,69300,1345450000
17,DDG,HNX,25/01/2019,,9832,9986,9832,9935,23700,458690000
18,DDG,HNX,28/01/2019,,9935,10088,9832,9884,69000,1341420000
19,DDG,HNX,29/01/2019,,9832,10140,9781,10140,98400,1920380000
20,DDG,HNX,30/01/2019,,10037,10242,10037,10242,44500,880900000
21,DDG,HNX,31/01/2019,,10191,10344,9986,10088,49600,986030000
22,DDG,HNX,01/02/2019,,10037,10088,9986,10088,18400,359420000
23,DDG,HNX,11/02/2019,,10088,10140,10088,10140,22800,449630000
24,DDG,HNX,12/02/2019,,10140,10191,9935,9986,106200,2081350000
25,DDG,HNX,13/02/2019,,9986,10088,9884,10037,39200,764280000
26,DDG,HNX,14/02/2019,,10037,10191,10037,10191,61500,1213650000
27,DDG,HNX,15/02/2019,,10140,10293,9986,10037,45500,896950000
28,DDG,HNX,18/02/2019,,9986,10140,9986,10088,46600,917830000
29,DDG,HNX,19/02/2019,,10037,10191,9884,10140,57500,1129710000
30,DDG,HNX,20/02/2019,,10140,10191,10037,10088,64300,1269110000
31,DDG,HNX,21/02/2019,,10140,10242,10140,10191,23300,462240000
32,DDG,HNX,22/02/2019,,10191,10754,10191,10600,109600,2248380000
33,DDG,HNX,25/02/2019,,10549,11010,10549,10805,74900,1580770000
34,DDG,HNX,26/02/2019,,10754,10857,10498,10652,62000,1297110000
35,DDG,HNX,27/02/2019,,10600,10652,10447,10498,17100,351800000
36,DDG,HNX,28/02/2019,,10498,10549,10396,10447,25500,518890000
37,DDG,HNX,01/03/2019,,10396,10600,10396,10498,27000,552030000
38,DDG,HNX,04/03/2019,,10447,11317,10396,11164,322100,6874820000
39,DDG,HNX,05/03/2019,,11215,11522,10857,11010,103200,2261430000
40,DDG,HNX,06/03/2019,,11010,11113,10754,10908,62700,1345350000
41,DDG,HNX,07/03/2019,,10857,10857,10242,10396,97400,1990220000
42,DDG,HNX,08/03/2019,,10293,10498,10140,10498,150800,3027220000
43,DDG,HNX,11/03/2019,,10447,10549,10344,10549,27409,556517300
44,DDG,HNX,12/03/2019,,10498,10600,10396,10447,13500,276660000
45,DDG,HNX,13/03/2019,,10396,10549,10344,10498,42200,856270000
46,DDG,HNX,14/03/2019,,10498,10498,10396,10447,14711,299486000
47,DDG,HNX,15/03/2019,,10396,10600,10396,10600,29720,609432000
48,DDG,HNX,18/03/2019,,10549,10652,10498,10652,12662,262732000
49,DDG,HNX,19/03/2019,,10600,10703,10600,10652,21700,450350000
50,DDG,HNX,20/03/2019,,10652,10754,10600,10754,38503,803322400
51,DDG,HNX,21/03/2019,,10754,10805,10703,10805,19300,405660000
52,DDG,HNX,22/03/2019,,10805,10857,10703,10703,15000,315010000
53,DDG,HNX,25/03/2019,,10703,10805,10652,10754,17006,355686000
54,DDG,HNX,26/03/2019,,10754,10805,10703,10754,64800,1360180000
55,DDG,HNX,27/03/2019,,10754,11010,10652,10908,115850,2462574000
56,DDG,HNX,28/03/2019,,10908,11010,10754,10805,83550,1781672000
57,DDG,HNX,29/03/2019,,10857,10908,10754,10754,68203,1437697300
58,DDG,HNX,01/04/2019,,10754,10908,10703,10805,47000,990210000
59,DDG,HNX,02/04/2019,,10805,11881,10600,11676,169500,3787910000
60,DDG,HNX,03/04/2019,,11573,11932,11573,11881,47800,1100190000
61,DDG,HNX,04/04/2019,,11573,11829,11420,11727,41000,932230000
62,DDG,HNX,05/04/2019,,11778,11829,11573,11625,44603,1012777500
63,DDG,HNX,08/04/2019,,11727,11727,11420,11522,19700,442830000
