,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,DHT,HNX,02/01/2019,,11623,11623,11623,11623,0,0
1,DHT,HNX,03/01/2019,,10991,11733,10991,11595,13303,551571500
2,DHT,HNX,04/01/2019,,11953,11953,11156,11156,300,12470000
3,DHT,HNX,07/01/2019,,11540,11540,11018,11183,14601,601503700
4,DHT,HNX,08/01/2019,,11403,11403,10991,11183,3400,137660000
5,DHT,HNX,09/01/2019,,11513,11513,10991,11183,2800,113680000
6,DHT,HNX,10/01/2019,,11430,11430,11128,11238,3128,127017600
7,DHT,HNX,11/01/2019,,11101,11238,11073,11238,10850,440485000
8,DHT,HNX,14/01/2019,,11211,11211,10991,11101,11900,479530000
9,DHT,HNX,15/01/2019,,11046,11046,10936,11046,7418,297300400
10,DHT,HNX,16/01/2019,,11018,11376,11018,11376,4932,198689600
11,DHT,HNX,17/01/2019,,11128,11238,11128,11238,1600,65400000
12,DHT,HNX,18/01/2019,,11376,11376,10991,10991,2300,92420000
13,DHT,HNX,21/01/2019,,10991,11485,10963,10963,3810,153311000
14,DHT,HNX,22/01/2019,,10963,11238,10799,10991,15668,621194400
15,DHT,HNX,23/01/2019,,10716,10826,10167,10167,7700,292300000
16,DHT,HNX,24/01/2019,,10991,10991,10441,10799,7900,303430000
17,DHT,HNX,25/01/2019,,10853,10963,10441,10908,5620,216858000
18,DHT,HNX,28/01/2019,,10908,10908,10579,10771,5512,215004000
19,DHT,HNX,29/01/2019,,10991,10991,10496,10496,300,11640000
20,DHT,HNX,30/01/2019,,10908,10908,10496,10799,8100,313870000
21,DHT,HNX,31/01/2019,,10579,10853,10579,10853,3700,144950000
22,DHT,HNX,01/02/2019,,10963,10963,10853,10853,1700,67270000
23,DHT,HNX,11/02/2019,,10826,11211,10799,11211,1910,76538000
24,DHT,HNX,12/02/2019,,11348,11348,10441,11238,4510,175698000
25,DHT,HNX,13/02/2019,,11183,11266,11183,11266,3500,143450000
26,DHT,HNX,14/02/2019,,11128,11128,10991,10991,1175,47412500
27,DHT,HNX,15/02/2019,,10963,11101,10606,10991,9210,361260000
28,DHT,HNX,18/02/2019,,11238,11238,10716,11046,6845,270609500
29,DHT,HNX,19/02/2019,,11073,11073,10661,10661,3645,142325000
30,DHT,HNX,20/02/2019,,10716,10716,10221,10579,24820,941535100
31,DHT,HNX,21/02/2019,,10441,10689,10304,10496,5000,191030000
32,DHT,HNX,22/02/2019,,10579,11540,10579,10799,15694,617455500
33,DHT,HNX,25/02/2019,,10771,10936,10441,10689,9420,361296000
34,DHT,HNX,26/02/2019,,10496,10716,10359,10359,14340,547770000
