,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,DL1,HNX,02/01/2019,,32382,32382,32382,32382,100,3400000
1,DL1,HNX,03/01/2019,,32382,32382,32382,32382,0,0
2,DL1,HNX,04/01/2019,,32382,32382,31810,31810,12700,426420000
3,DL1,HNX,07/01/2019,,31810,31810,31810,31810,0,0
4,DL1,HNX,08/01/2019,,31810,31810,31810,31810,0,0
5,DL1,HNX,09/01/2019,,31810,31810,31810,31810,0,0
6,DL1,HNX,10/01/2019,,28667,33239,28667,33239,200,6500000
7,DL1,HNX,11/01/2019,,33239,33239,33239,33239,0,0
8,DL1,HNX,14/01/2019,,33239,33239,33239,33239,0,0
9,DL1,HNX,15/01/2019,,33239,33239,33048,33048,300,10450000
10,DL1,HNX,16/01/2019,,33048,33048,33048,33048,0,0
11,DL1,HNX,17/01/2019,,33048,33048,33048,33048,0,0
12,DL1,HNX,18/01/2019,,33048,33048,33048,33048,100,3470000
13,DL1,HNX,21/01/2019,,33048,33048,33048,33048,0,0
14,DL1,HNX,22/01/2019,,33048,33048,33048,33048,0,0
15,DL1,HNX,23/01/2019,,33048,33048,33048,33048,100,3470000
16,DL1,HNX,24/01/2019,,33048,33048,33048,33048,0,0
17,DL1,HNX,25/01/2019,,33048,33048,33048,33048,0,0
18,DL1,HNX,28/01/2019,,33048,33048,33048,33048,0,0
19,DL1,HNX,29/01/2019,,33048,33048,33048,33048,100,3470000
20,DL1,HNX,30/01/2019,,33048,33048,33048,33048,0,0
21,DL1,HNX,31/01/2019,,33048,33048,33048,33048,0,0
22,DL1,HNX,01/02/2019,,33048,33048,32953,32953,400,13870000
23,DL1,HNX,11/02/2019,,33334,33334,33334,33334,100,3500000
24,DL1,HNX,12/02/2019,,33334,33334,33334,33334,0,0
25,DL1,HNX,13/02/2019,,33334,33334,33334,33334,100,3500000
26,DL1,HNX,14/02/2019,,33334,33334,33334,33334,0,0
27,DL1,HNX,15/02/2019,,33334,33334,33334,33334,0,0
28,DL1,HNX,18/02/2019,,33429,33429,33429,33429,200,7020000
29,DL1,HNX,19/02/2019,,33429,33429,33429,33429,0,0
30,DL1,HNX,20/02/2019,,33429,33429,33429,33429,0,0
31,DL1,HNX,21/02/2019,,33429,33429,33429,33429,0,0
32,DL1,HNX,22/02/2019,,33429,33429,33429,33429,300,10530000
33,DL1,HNX,25/02/2019,,33429,33429,33429,33429,0,0
34,DL1,HNX,26/02/2019,,33429,33429,33429,33429,0,0
35,DL1,HNX,27/02/2019,,33429,33429,33429,33429,0,0
36,DL1,HNX,28/02/2019,,33429,33429,33429,33429,0,0
37,DL1,HNX,01/03/2019,,32953,32953,32953,32953,200,6920000
38,DL1,HNX,04/03/2019,,32953,32953,32953,32953,0,0
39,DL1,HNX,05/03/2019,,32953,32953,32953,32953,0,0
40,DL1,HNX,06/03/2019,,32953,32953,32953,32953,0,0
41,DL1,HNX,07/03/2019,,32953,32953,32953,32953,200,6920000
42,DL1,HNX,08/03/2019,,32953,32953,32953,32953,0,0
43,DL1,HNX,11/03/2019,,32953,32953,32953,32953,0,0
44,DL1,HNX,12/03/2019,,32953,32953,32953,32953,0,0
45,DL1,HNX,13/03/2019,,32953,32953,32953,32953,100,3460000
46,DL1,HNX,14/03/2019,,32953,32953,32953,32953,0,0
47,DL1,HNX,15/03/2019,,32953,32953,32953,32953,0,0
48,DL1,HNX,18/03/2019,,32953,32953,32953,32953,0,0
49,DL1,HNX,19/03/2019,,32953,32953,32953,32953,200,6920000
50,DL1,HNX,20/03/2019,,32953,32953,32953,32953,0,0
51,DL1,HNX,21/03/2019,,32953,32953,32953,32953,0,0
