,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,DST,HNX,02/01/2019,,2100,2200,2000,2000,385300,782500000
1,DST,HNX,03/01/2019,,2100,2100,1900,2000,276214,551898000
2,DST,HNX,04/01/2019,,2000,2000,1900,2000,388800,745720000
3,DST,HNX,07/01/2019,,1900,2100,1900,2100,278500,557510000
4,DST,HNX,08/01/2019,,2100,2100,1900,2100,276100,552980000
5,DST,HNX,09/01/2019,,2000,2100,2000,2100,400314,802029400
6,DST,HNX,10/01/2019,,2100,2100,1900,2000,188900,377800000
7,DST,HNX,11/01/2019,,2000,2100,1900,2100,87030,174363000
8,DST,HNX,14/01/2019,,2000,2100,1900,2000,66400,132660000
9,DST,HNX,15/01/2019,,1900,2000,1900,1900,215000,423530000
10,DST,HNX,16/01/2019,,2000,2000,1900,1900,194300,380890000
11,DST,HNX,17/01/2019,,2000,2000,1900,2000,53000,101220000
12,DST,HNX,18/01/2019,,2000,2000,1900,2000,171600,326520000
13,DST,HNX,21/01/2019,,1900,2000,1900,1900,652200,1239240000
14,DST,HNX,22/01/2019,,1900,2000,1800,1900,209600,395610000
15,DST,HNX,23/01/2019,,1900,1900,1800,1800,111800,204970000
16,DST,HNX,24/01/2019,,1800,1900,1700,1800,340600,612760000
17,DST,HNX,25/01/2019,,1900,1900,1800,1800,120200,218260000
18,DST,HNX,28/01/2019,,1800,1800,1700,1700,373700,637850000
19,DST,HNX,29/01/2019,,1700,1700,1600,1600,349500,564310000
20,DST,HNX,30/01/2019,,1600,1700,1500,1600,119800,192290000
21,DST,HNX,31/01/2019,,1700,1700,1600,1700,401600,682710000
22,DST,HNX,01/02/2019,,1700,1800,1700,1800,89100,154480000
23,DST,HNX,11/02/2019,,1800,1900,1700,1900,184300,334260000
24,DST,HNX,12/02/2019,,1900,1900,1800,1800,355300,640400000
25,DST,HNX,13/02/2019,,1800,1900,1700,1800,166070,298368800
26,DST,HNX,14/02/2019,,1800,1800,1700,1800,84850,150370000
27,DST,HNX,15/02/2019,,1800,1900,1700,1800,280400,500150000
28,DST,HNX,18/02/2019,,1800,1900,1800,1900,124720,224608000
29,DST,HNX,19/02/2019,,1900,1900,1800,1800,358730,645844400
30,DST,HNX,20/02/2019,,1700,1800,1700,1800,132000,230300000
31,DST,HNX,21/02/2019,,1800,1800,1700,1800,97006,169180200
32,DST,HNX,22/02/2019,,1700,1800,1700,1800,77860,133352000
33,DST,HNX,25/02/2019,,1700,1800,1700,1800,461426,785046800
34,DST,HNX,26/02/2019,,1700,1800,1700,1700,207510,352837000
35,DST,HNX,27/02/2019,,1700,1800,1700,1700,165500,281360000
36,DST,HNX,28/02/2019,,1800,1800,1600,1700,87740,149154000
37,DST,HNX,01/03/2019,,1600,1800,1600,1800,125500,214240000
38,DST,HNX,04/03/2019,,1700,1800,1700,1700,215160,367462000
39,DST,HNX,05/03/2019,,1700,1800,1700,1700,232300,395970000
40,DST,HNX,06/03/2019,,1800,1800,1700,1700,80750,139840000
41,DST,HNX,07/03/2019,,1800,1800,1800,1800,554398,997916400
42,DST,HNX,08/03/2019,,1900,1900,1700,1800,374126,679659200
43,DST,HNX,11/03/2019,,1800,1800,1700,1800,86244,148935200
