,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,DTC,UPCOM,02/01/2019,,13203,13203,13203,13203,0,0
1,DTC,UPCOM,03/01/2019,,13203,13203,13203,13203,0,0
2,DTC,UPCOM,04/01/2019,,13203,13203,13203,13203,0,0
3,DTC,UPCOM,07/01/2019,,13203,13203,13203,13203,0,0
4,DTC,UPCOM,08/01/2019,,13203,13203,13203,13203,0,0
5,DTC,UPCOM,09/01/2019,,13203,13203,13203,13203,0,0
6,DTC,UPCOM,10/01/2019,,13203,13203,13203,13203,0,0
7,DTC,UPCOM,11/01/2019,,13203,13203,13203,13203,0,0
8,DTC,UPCOM,14/01/2019,,13203,13203,13203,13203,0,0
9,DTC,UPCOM,15/01/2019,,13203,13203,13203,13203,0,0
10,DTC,UPCOM,16/01/2019,,13203,13203,13203,13203,0,0
11,DTC,UPCOM,17/01/2019,,13203,13203,13203,13203,0,0
12,DTC,UPCOM,18/01/2019,,13203,13203,13203,13203,0,0
13,DTC,UPCOM,21/01/2019,,13203,13203,13203,13203,0,0
14,DTC,UPCOM,22/01/2019,,13203,13203,13203,13203,0,0
15,DTC,UPCOM,23/01/2019,,14877,14877,14877,14877,100,1600000
16,DTC,UPCOM,24/01/2019,,14877,14877,14877,14877,0,0
17,DTC,UPCOM,25/01/2019,,15807,17108,15807,17108,200,3540000
18,DTC,UPCOM,28/01/2019,,18503,18503,18503,18503,100,1990000
19,DTC,UPCOM,29/01/2019,,18503,18503,18503,18503,0,0
20,DTC,UPCOM,30/01/2019,,18503,18503,18503,18503,0,0
21,DTC,UPCOM,31/01/2019,,18503,18503,18503,18503,0,0
22,DTC,UPCOM,01/02/2019,,18503,18503,18503,18503,0,0
23,DTC,UPCOM,11/02/2019,,18503,18503,18503,18503,0,0
24,DTC,UPCOM,12/02/2019,,18317,18317,18317,18317,1500,29550000
25,DTC,UPCOM,13/02/2019,,18317,18317,18317,18317,0,0
26,DTC,UPCOM,14/02/2019,,18317,18317,18317,18317,0,0
