,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ECI,HNX,02/01/2019,,12992,12992,12992,12992,0,0
1,ECI,HNX,03/01/2019,,12992,12992,12992,12992,0,0
2,ECI,HNX,04/01/2019,,12992,12992,12992,12992,0,0
3,ECI,HNX,07/01/2019,,12992,12992,12992,12992,0,0
4,ECI,HNX,08/01/2019,,12992,12992,12992,12992,0,0
5,ECI,HNX,09/01/2019,,14242,14242,14242,14242,100,2050000
6,ECI,HNX,10/01/2019,,14242,14242,14242,14242,0,0
7,ECI,HNX,11/01/2019,,14242,14242,14242,14242,0,0
8,ECI,HNX,14/01/2019,,14242,14242,14242,14242,0,0
9,ECI,HNX,15/01/2019,,14242,14242,14242,14242,0,0
10,ECI,HNX,16/01/2019,,14242,14242,14242,14242,0,0
11,ECI,HNX,17/01/2019,,14242,14242,14242,14242,0,0
12,ECI,HNX,18/01/2019,,14242,14242,14242,14242,0,0
13,ECI,HNX,21/01/2019,,14242,14242,14242,14242,0,0
14,ECI,HNX,22/01/2019,,12853,12853,12853,12853,100,1850000
15,ECI,HNX,23/01/2019,,11602,11602,11602,11602,100,1670000
16,ECI,HNX,24/01/2019,,10560,10560,10560,10560,100,1520000
17,ECI,HNX,25/01/2019,,9588,9588,9588,9588,100,1380000
18,ECI,HNX,28/01/2019,,10491,10491,9588,9657,700,10320000
19,ECI,HNX,29/01/2019,,9657,9657,9657,9657,0,0
20,ECI,HNX,30/01/2019,,10560,10560,9588,9588,200,2900000
21,ECI,HNX,31/01/2019,,9588,9588,9588,9588,0,0
22,ECI,HNX,01/02/2019,,10491,10491,10491,10491,100,1510000
23,ECI,HNX,11/02/2019,,10491,10491,10491,10491,0,0
24,ECI,HNX,12/02/2019,,10491,10491,10491,10491,0,0
25,ECI,HNX,13/02/2019,,10491,10491,10491,10491,0,0
26,ECI,HNX,14/02/2019,,10491,10491,10491,10491,0,0
27,ECI,HNX,15/02/2019,,10491,10491,10491,10491,0,0
28,ECI,HNX,18/02/2019,,11563,11563,11563,11563,0,0
29,ECI,HNX,19/02/2019,,11486,11486,11486,11486,500,7500000
30,ECI,HNX,20/02/2019,,12635,12635,12635,12635,100,1650000
31,ECI,HNX,21/02/2019,,12635,12635,12635,12635,0,0
32,ECI,HNX,22/02/2019,,12635,12635,12635,12635,0,0
33,ECI,HNX,25/02/2019,,12635,12635,12635,12635,0,0
34,ECI,HNX,26/02/2019,,12635,12635,12635,12635,0,0
35,ECI,HNX,27/02/2019,,12635,12635,12635,12635,0,0
36,ECI,HNX,28/02/2019,,13860,13860,11486,11486,200,3310000
37,ECI,HNX,01/03/2019,,11486,11486,10720,10720,1900,28400000
38,ECI,HNX,04/03/2019,,11792,11792,9801,9801,600,8980000
39,ECI,HNX,05/03/2019,,9801,9801,9801,9801,0,0
