,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,EVS,UPCOM,02/01/2019,,6438,6438,6438,6438,100,1030000
1,EVS,UPCOM,03/01/2019,,5750,6250,5750,6250,5100,50920000
2,EVS,UPCOM,04/01/2019,,5563,6188,5563,6188,1100,10790000
3,EVS,UPCOM,07/01/2019,,6250,6250,6250,6250,100,1000000
4,EVS,UPCOM,08/01/2019,,6188,6188,6125,6125,200,1970000
5,EVS,UPCOM,09/01/2019,,6188,6188,6188,6188,100,990000
6,EVS,UPCOM,10/01/2019,,5438,6250,5438,6250,200,1870000
7,EVS,UPCOM,11/01/2019,,6313,6313,6313,6313,100,1010000
8,EVS,UPCOM,14/01/2019,,6250,6250,5375,5375,1300,11670000
9,EVS,UPCOM,15/01/2019,,6188,6188,5438,5438,200,1860000
10,EVS,UPCOM,16/01/2019,,6250,6250,5375,5375,300,2730000
11,EVS,UPCOM,17/01/2019,,6125,6125,5375,5375,200,1840000
12,EVS,UPCOM,18/01/2019,,5625,5625,5625,5625,100,900000
13,EVS,UPCOM,21/01/2019,,5625,5625,5625,5625,100,900000
14,EVS,UPCOM,22/01/2019,,5500,5500,5500,5500,300,2640000
15,EVS,UPCOM,23/01/2019,,5875,5875,4875,5688,1500,13430000
16,EVS,UPCOM,24/01/2019,,5813,5813,5000,5813,8400,75220000
17,EVS,UPCOM,25/01/2019,,5813,5813,5000,5563,7600,65880000
18,EVS,UPCOM,28/01/2019,,6063,6063,6000,6000,2000,19250000
19,EVS,UPCOM,29/01/2019,,6313,6313,5313,5313,2000,19750000
20,EVS,UPCOM,30/01/2019,,6125,6125,6125,6125,2000,19600000
21,EVS,UPCOM,31/01/2019,,6063,6063,6000,6000,2000,19360000
22,EVS,UPCOM,01/02/2019,,6000,6000,6000,6000,1800,17280000
23,EVS,UPCOM,11/02/2019,,6188,6188,6188,6188,1800,17820000
24,EVS,UPCOM,12/02/2019,,6063,6063,6063,6063,100,970000
25,EVS,UPCOM,13/02/2019,,6250,6250,6250,6250,100,1000000
26,EVS,UPCOM,14/02/2019,,6188,6188,6188,6188,100,990000
27,EVS,UPCOM,15/02/2019,,6125,6125,6125,6125,100,980000
28,EVS,UPCOM,18/02/2019,,6063,6063,6063,6063,100,970000
29,EVS,UPCOM,19/02/2019,,6000,6000,6000,6000,100,960000
30,EVS,UPCOM,20/02/2019,,6250,6250,6250,6250,100,1000000
31,EVS,UPCOM,21/02/2019,,6188,6188,6188,6188,100,990000
32,EVS,UPCOM,22/02/2019,,6125,6125,5375,5375,8100,70580000
33,EVS,UPCOM,25/02/2019,,6188,6250,6188,6250,200,1990000
34,EVS,UPCOM,26/02/2019,,6438,6438,6438,6438,100,1030000
35,EVS,UPCOM,27/02/2019,,6375,7313,6375,7313,600,6310000
36,EVS,UPCOM,28/02/2019,,6188,6188,5625,5625,17300,155850000
37,EVS,UPCOM,01/03/2019,,5875,5875,5875,5875,500,4700000
38,EVS,UPCOM,04/03/2019,,5813,5813,5813,5813,100,930000
39,EVS,UPCOM,05/03/2019,,5813,5813,5813,5813,100,930000
40,EVS,UPCOM,06/03/2019,,5625,5625,5625,5625,100,900000
41,EVS,UPCOM,07/03/2019,,5563,6250,5563,6250,4400,39690000
42,EVS,UPCOM,08/03/2019,,6188,6188,5625,5750,5400,49690000
43,EVS,UPCOM,11/03/2019,,6188,6188,4938,5750,530200,4499170000
44,EVS,UPCOM,12/03/2019,,6000,6063,6000,6063,200,1930000
45,EVS,UPCOM,13/03/2019,,6000,6000,6000,6000,100,960000
46,EVS,UPCOM,14/03/2019,,6000,6000,6000,6000,100,960000
47,EVS,UPCOM,15/03/2019,,6750,6813,5625,5625,6000,59500000
48,EVS,UPCOM,18/03/2019,,5875,6625,5875,6063,272600,2872140000
49,EVS,UPCOM,19/03/2019,,5625,5625,5625,5625,6600,59400000
50,EVS,UPCOM,20/03/2019,,6125,6125,5625,6000,6200,59360000
51,EVS,UPCOM,21/03/2019,,5563,5563,5125,5125,1200,9910000
52,EVS,UPCOM,22/03/2019,,5750,5750,5750,5750,2800,25760000
53,EVS,UPCOM,25/03/2019,,5563,5563,5563,5563,100,890000
54,EVS,UPCOM,26/03/2019,,5625,5625,5625,5625,10700,96300000
55,EVS,UPCOM,27/03/2019,,5500,5500,5438,5438,2300,20230000
56,EVS,UPCOM,28/03/2019,,5438,5438,5438,5438,100,870000
57,EVS,UPCOM,29/03/2019,,5438,5438,5375,5375,500,4340000
58,EVS,UPCOM,01/04/2019,,5438,6250,5438,6250,1500,13910000
59,EVS,UPCOM,02/04/2019,,6188,6188,6188,6188,500,4950000
60,EVS,UPCOM,03/04/2019,,6188,6188,5313,5313,700,6090000
61,EVS,UPCOM,04/04/2019,,6125,6125,6125,6125,400,3920000
62,EVS,UPCOM,05/04/2019,,5750,5750,5750,5750,100,920000
63,EVS,UPCOM,08/04/2019,,5938,6125,5938,6125,1000,9650000
64,EVS,UPCOM,09/04/2019,,5688,6438,5625,5625,277600,2844370000
65,EVS,UPCOM,10/04/2019,,6375,6375,6375,6375,100,1020000
66,EVS,UPCOM,11/04/2019,,5688,6375,5625,6375,2100,21160000
67,EVS,UPCOM,12/04/2019,,7250,7250,7250,7250,200,2320000
68,EVS,UPCOM,16/04/2019,,6813,6813,6813,6813,100,1090000
69,EVS,UPCOM,17/04/2019,,5875,6500,5875,6500,300,3020000
70,EVS,UPCOM,18/04/2019,,6500,6500,6500,6500,100,1040000
71,EVS,UPCOM,19/04/2019,,6188,6188,6188,6188,100,990000
72,EVS,UPCOM,22/04/2019,,6063,6063,6063,6063,100,970000
73,EVS,UPCOM,23/04/2019,,5938,5938,5625,5938,1700,15850000
74,EVS,UPCOM,24/04/2019,,6063,6063,6063,6063,100,970000
75,EVS,UPCOM,25/04/2019,,6125,6875,6125,6875,400,4120000
76,EVS,UPCOM,26/04/2019,,7313,7313,7313,7313,100,1170000
77,EVS,UPCOM,02/05/2019,,6750,6750,6750,6750,100,1080000
78,EVS,UPCOM,03/05/2019,,6500,6500,6500,6500,100,1040000
79,EVS,UPCOM,06/05/2019,,6313,7313,6313,7313,600,6260000
80,EVS,UPCOM,07/05/2019,,6500,7125,6500,7125,200,2180000
81,EVS,UPCOM,08/05/2019,,7750,7750,7750,7750,100,1240000
82,EVS,UPCOM,09/05/2019,,6625,6625,6625,6625,100,1060000
83,EVS,UPCOM,10/05/2019,,6500,6500,5875,6500,300,3020000
84,EVS,UPCOM,13/05/2019,,6500,6500,6500,6500,2100,21840000
85,EVS,UPCOM,14/05/2019,,6500,6500,6500,6500,100,1040000
86,EVS,UPCOM,15/05/2019,,6500,6500,5625,5625,3900,35240000
87,EVS,UPCOM,16/05/2019,,6438,6438,6438,6438,200,2060000
88,EVS,UPCOM,17/05/2019,,6375,6375,6375,6375,100,1020000
89,EVS,UPCOM,20/05/2019,,6188,6188,6188,6188,200,1980000
90,EVS,UPCOM,21/05/2019,,6188,6188,6188,6188,100,990000
91,EVS,UPCOM,22/05/2019,,6188,6188,6188,6188,100,990000
92,EVS,UPCOM,23/05/2019,,6188,6188,6188,6188,100,990000
93,EVS,UPCOM,24/05/2019,,6125,6125,6125,6125,100,980000
94,EVS,UPCOM,27/05/2019,,6063,6063,6063,6063,10100,97970000
95,EVS,UPCOM,28/05/2019,,6188,6938,6188,6938,710,7424000
96,EVS,UPCOM,29/05/2019,,7500,7500,6250,6250,300,3400000
97,EVS,UPCOM,30/05/2019,,7438,7438,7438,7438,100,1190000
98,EVS,UPCOM,31/05/2019,,7125,7125,7125,7125,100,1140000
99,EVS,UPCOM,03/06/2019,,6875,6875,6063,6063,200,2070000
100,EVS,UPCOM,04/06/2019,,7375,7375,7375,7375,100,1180000
101,EVS,UPCOM,05/06/2019,,6313,6438,6313,6375,18600,187890000
102,EVS,UPCOM,06/06/2019,,7250,7250,6125,6125,5100,50160000
103,EVS,UPCOM,07/06/2019,,7000,7000,6125,6438,200600,2078310000
104,EVS,UPCOM,10/06/2019,,7438,7438,6500,6563,218700,2522360000
105,EVS,UPCOM,11/06/2019,,7125,7125,6500,6500,200800,2228530000
106,EVS,UPCOM,12/06/2019,,7188,7188,7188,7188,225410,2592198000
107,EVS,UPCOM,13/06/2019,,7250,7250,7250,7250,200010,2320100000
