,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,GDW,HNX,02/01/2019,,13208,13208,13208,13208,0,0
1,GDW,HNX,03/01/2019,,13208,13208,13208,13208,0,0
2,GDW,HNX,04/01/2019,,13208,13208,13208,13208,0,0
3,GDW,HNX,07/01/2019,,13208,13208,13208,13208,0,0
4,GDW,HNX,08/01/2019,,13208,13208,13208,13208,0,0
5,GDW,HNX,09/01/2019,,13208,13208,13208,13208,0,0
6,GDW,HNX,10/01/2019,,13208,13208,13208,13208,0,0
7,GDW,HNX,11/01/2019,,13208,13208,13208,13208,0,0
8,GDW,HNX,14/01/2019,,13208,13208,13208,13208,0,0
9,GDW,HNX,15/01/2019,,13208,13208,13208,13208,0,0
10,GDW,HNX,16/01/2019,,13208,13208,13208,13208,0,0
11,GDW,HNX,17/01/2019,,13208,13208,13208,13208,0,0
12,GDW,HNX,18/01/2019,,13208,13208,13208,13208,0,0
13,GDW,HNX,21/01/2019,,13208,13208,13208,13208,0,0
14,GDW,HNX,22/01/2019,,13208,13208,13208,13208,0,0
15,GDW,HNX,23/01/2019,,13208,13208,13208,13208,0,0
16,GDW,HNX,24/01/2019,,13208,13208,13208,13208,0,0
17,GDW,HNX,25/01/2019,,13208,13208,13208,13208,0,0
18,GDW,HNX,28/01/2019,,13208,13208,13208,13208,0,0
19,GDW,HNX,29/01/2019,,13208,13208,13208,13208,0,0
20,GDW,HNX,30/01/2019,,13208,13208,13208,13208,0,0
21,GDW,HNX,31/01/2019,,13208,13208,13208,13208,0,0
22,GDW,HNX,01/02/2019,,13208,13208,13208,13208,0,0
23,GDW,HNX,11/02/2019,,13860,13860,13860,13860,100,1700000
24,GDW,HNX,12/02/2019,,13860,13860,13860,13860,0,0
25,GDW,HNX,13/02/2019,,13860,13860,13860,13860,0,0
26,GDW,HNX,14/02/2019,,13860,13860,13860,13860,0,0
27,GDW,HNX,15/02/2019,,13860,13860,13860,13860,0,0
28,GDW,HNX,18/02/2019,,13860,13860,13860,13860,0,0
29,GDW,HNX,19/02/2019,,14920,14920,14920,14920,100,1830000
30,GDW,HNX,20/02/2019,,13615,13615,13615,13615,100,1670000
31,GDW,HNX,21/02/2019,,13615,13615,13615,13615,0,0
32,GDW,HNX,22/02/2019,,13615,13615,13615,13615,0,0
33,GDW,HNX,25/02/2019,,13615,13615,13615,13615,0,0
34,GDW,HNX,26/02/2019,,13615,13615,13615,13615,0,0
35,GDW,HNX,27/02/2019,,13615,13615,13615,13615,0,0
36,GDW,HNX,28/02/2019,,14920,14920,14920,14920,101,1846700
37,GDW,HNX,01/03/2019,,16306,16387,16306,16387,300,6010000
38,GDW,HNX,04/03/2019,,17936,18018,17936,18018,1300,28650000
39,GDW,HNX,05/03/2019,,19730,19812,19730,19812,700,16990000
40,GDW,HNX,06/03/2019,,21687,21768,21687,21768,2900,77400000
41,GDW,HNX,07/03/2019,,23888,23888,23888,23888,800,23440000
42,GDW,HNX,08/03/2019,,23888,23888,23888,23888,0,0
43,GDW,HNX,11/03/2019,,23888,23888,23888,23888,0,0
44,GDW,HNX,12/03/2019,,21524,21524,21524,21524,100,2640000
45,GDW,HNX,13/03/2019,,19404,19404,19404,19404,100,2380000
46,GDW,HNX,14/03/2019,,19404,19404,19404,19404,0,0
47,GDW,HNX,15/03/2019,,17529,17529,17529,17529,100,2150000
48,GDW,HNX,18/03/2019,,15817,15817,15817,15817,110,2176000
49,GDW,HNX,19/03/2019,,14675,14675,14349,14349,4700,83060000
50,GDW,HNX,20/03/2019,,14349,15491,14349,15491,13100,230700000
51,GDW,HNX,21/03/2019,,14431,14431,13942,13942,44110,766869000
52,GDW,HNX,22/03/2019,,13942,13942,13942,13942,0,0
53,GDW,HNX,25/03/2019,,13942,13942,13942,13942,0,0
54,GDW,HNX,26/03/2019,,13942,15328,13942,15328,200,3590000
55,GDW,HNX,27/03/2019,,13942,16795,13942,16795,9900,203590000
