,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,GIC,HNX,06/11/2020,,16630,16630,14053,15466,83500,1531680000
1,GIC,HNX,09/11/2020,,14551,14551,13969,13969,44400,748190000
2,GIC,HNX,10/11/2020,,14468,14468,13969,13969,6600,111840000
3,GIC,HNX,11/11/2020,,13304,13304,12639,12639,50900,785210000
4,GIC,HNX,12/11/2020,,12639,12639,12140,12473,52900,785280000
5,GIC,HNX,13/11/2020,,12556,13720,12556,13138,73300,1153730000
6,GIC,HNX,16/11/2020,,13304,13720,13304,13554,25800,417560000
7,GIC,HNX,17/11/2020,,13637,13720,13055,13720,17200,280110000
8,GIC,HNX,18/11/2020,,14053,14302,13554,14302,69700,1175840000
9,GIC,HNX,19/11/2020,,14302,14967,14302,14967,57700,1026750000
10,GIC,HNX,20/11/2020,,15716,16464,15716,16215,82600,1581260000
11,GIC,HNX,23/11/2020,,16215,16797,15799,16797,162000,3196090000
12,GIC,HNX,24/11/2020,,16215,16381,16215,16298,18600,364270000
13,GIC,HNX,25/11/2020,,16547,16547,15383,15466,20300,382180000
14,GIC,HNX,26/11/2020,,15050,15134,15050,15134,8700,157620000
15,GIC,HNX,27/11/2020,,15799,15799,15050,15716,16700,304240000
16,GIC,HNX,30/11/2020,,16215,16215,14967,15300,16500,303100000
17,GIC,HNX,01/12/2020,,15383,16048,15300,15799,38900,730990000
18,GIC,HNX,02/12/2020,,15632,16215,15549,15965,27900,538650000
19,GIC,HNX,03/12/2020,,15965,16381,15965,16131,42100,821890000
20,GIC,HNX,04/12/2020,,15383,16131,15383,16131,2000,37950000
21,GIC,HNX,07/12/2020,,15632,16215,15632,16215,24300,471140000
22,GIC,HNX,08/12/2020,,16131,16131,15799,16131,8100,154620000
23,GIC,HNX,09/12/2020,,15716,15965,15716,15799,17800,338140000
24,GIC,HNX,10/12/2020,,15799,15882,15799,15799,22500,427660000
25,GIC,HNX,11/12/2020,,15799,15799,15632,15799,10500,198170000
26,GIC,HNX,14/12/2020,,15799,15799,15799,15799,800,15200000
27,GIC,HNX,15/12/2020,,15716,15716,15549,15549,8000,150300000
28,GIC,HNX,16/12/2020,,15466,16048,15466,15799,1500,28050000
