,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,GLT,HNX,02/01/2019,,52466,52466,52466,52466,0,0
1,GLT,HNX,03/01/2019,,52466,52466,52466,52466,0,0
2,GLT,HNX,04/01/2019,,52466,52466,52466,52466,0,0
3,GLT,HNX,07/01/2019,,52466,52466,52466,52466,0,0
4,GLT,HNX,08/01/2019,,52466,52466,52466,52466,0,0
5,GLT,HNX,09/01/2019,,52466,52466,52466,52466,0,0
6,GLT,HNX,10/01/2019,,52466,52466,52466,52466,0,0
7,GLT,HNX,11/01/2019,,52466,52466,52466,52466,0,0
8,GLT,HNX,14/01/2019,,52466,52466,52466,52466,0,0
9,GLT,HNX,15/01/2019,,52466,52466,52466,52466,0,0
10,GLT,HNX,16/01/2019,,52466,52466,52466,52466,0,0
11,GLT,HNX,17/01/2019,,52466,52466,52466,52466,0,0
12,GLT,HNX,18/01/2019,,52466,52466,52466,52466,0,0
13,GLT,HNX,21/01/2019,,52466,52466,52466,52466,0,0
14,GLT,HNX,22/01/2019,,52466,52466,52466,52466,0,0
15,GLT,HNX,23/01/2019,,52466,52466,52466,52466,0,0
16,GLT,HNX,24/01/2019,,47219,47219,47219,47219,100,7020000
17,GLT,HNX,25/01/2019,,43722,43722,43722,43722,100,6500000
18,GLT,HNX,28/01/2019,,39349,39349,39349,39349,300,17550000
19,GLT,HNX,29/01/2019,,35448,35448,35448,35448,200,10540000
20,GLT,HNX,30/01/2019,,31950,31950,31950,31950,600,28500000
21,GLT,HNX,31/01/2019,,31950,31950,31950,31950,0,0
22,GLT,HNX,01/02/2019,,31950,31950,31950,31950,0,0
23,GLT,HNX,11/02/2019,,31950,31950,31950,31950,0,0
24,GLT,HNX,12/02/2019,,31950,31950,31950,31950,0,0
25,GLT,HNX,13/02/2019,,31950,31950,31950,31950,0,0
26,GLT,HNX,14/02/2019,,31950,31950,31950,31950,0,0
27,GLT,HNX,15/02/2019,,31950,31950,31950,31950,0,0
28,GLT,HNX,18/02/2019,,31950,31950,31950,31950,0,0
29,GLT,HNX,19/02/2019,,31950,31950,31950,31950,10,509000
30,GLT,HNX,20/02/2019,,31950,31950,31950,31950,0,0
31,GLT,HNX,21/02/2019,,31950,31950,31950,31950,0,0
32,GLT,HNX,22/02/2019,,31950,31950,31950,31950,0,0
33,GLT,HNX,25/02/2019,,31950,31950,31950,31950,0,0
34,GLT,HNX,26/02/2019,,31950,31950,31950,31950,0,0
35,GLT,HNX,27/02/2019,,31950,31950,31950,31950,0,0
36,GLT,HNX,28/02/2019,,28789,34237,28789,34237,2100,90690000
37,GLT,HNX,01/03/2019,,33565,33565,30941,30941,800,38390000
38,GLT,HNX,04/03/2019,,28116,28116,28116,28116,100,4180000
39,GLT,HNX,05/03/2019,,25695,30269,25628,30269,800,31180000
40,GLT,HNX,06/03/2019,,27578,28116,27242,28116,3000,121930000
41,GLT,HNX,07/03/2019,,28116,28116,28116,28116,0,0
42,GLT,HNX,08/03/2019,,28116,28116,28116,28116,0,0
43,GLT,HNX,11/03/2019,,28116,28116,28116,28116,0,0
44,GLT,HNX,12/03/2019,,27511,27511,27511,27511,1000,40900000
45,GLT,HNX,13/03/2019,,27444,27444,25157,27309,3100,118280000
46,GLT,HNX,14/03/2019,,27107,27175,27107,27175,500,20180000
47,GLT,HNX,15/03/2019,,25628,27107,25560,27107,700,27300000
48,GLT,HNX,18/03/2019,,24619,26502,24417,26502,2600,97570000
49,GLT,HNX,19/03/2019,,26435,26435,24215,26367,2800,103430000
50,GLT,HNX,20/03/2019,,24215,26166,24215,26166,2400,86690000
51,GLT,HNX,21/03/2019,,24215,25628,24215,24215,3500,126710000
52,GLT,HNX,22/03/2019,,24215,24215,23879,23879,1700,60630000
53,GLT,HNX,25/03/2019,,23206,23879,22870,23879,2200,75550000
54,GLT,HNX,26/03/2019,,22601,23475,22601,23475,200,6850000
55,GLT,HNX,27/03/2019,,22870,23341,22870,23341,2900,98730000
56,GLT,HNX,28/03/2019,,22870,25157,22802,25157,3800,129460000
57,GLT,HNX,29/03/2019,,23273,23273,23273,23273,100,3460000
58,GLT,HNX,01/04/2019,,25560,25560,23542,23542,300,10900000
59,GLT,HNX,02/04/2019,,25493,25493,25493,25493,140,5280000
60,GLT,HNX,03/04/2019,,23072,25426,23072,25426,1414,48850200
61,GLT,HNX,04/04/2019,,25359,25359,25359,25359,210,7910000
62,GLT,HNX,05/04/2019,,25359,25359,25359,25359,0,0
63,GLT,HNX,08/04/2019,,25359,25359,25359,25359,0,0
64,GLT,HNX,09/04/2019,,22937,25022,22937,25022,200,7130000
65,GLT,HNX,10/04/2019,,22735,25089,22735,25089,200,7110000
66,GLT,HNX,11/04/2019,,25089,25089,25089,25089,0,0
67,GLT,HNX,12/04/2019,,25089,27578,25089,27376,1000,39350000
68,GLT,HNX,16/04/2019,,24686,27309,24686,27309,1500,55440000
69,GLT,HNX,17/04/2019,,27309,27309,27309,27309,0,0
70,GLT,HNX,18/04/2019,,27309,27309,27309,27309,0,0
71,GLT,HNX,19/04/2019,,24888,27040,24888,27040,200,7720000
72,GLT,HNX,22/04/2019,,27040,27040,27040,27040,0,0
73,GLT,HNX,23/04/2019,,27040,27040,27040,27040,0,0
74,GLT,HNX,24/04/2019,,27040,27040,27040,27040,0,0
75,GLT,HNX,25/04/2019,,27242,29731,27242,29394,1000,41190000
76,GLT,HNX,26/04/2019,,29394,29394,29394,29394,0,0
77,GLT,HNX,02/05/2019,,29394,29394,29394,29394,0,0
78,GLT,HNX,03/05/2019,,26502,29798,26502,29798,500,20670000
79,GLT,HNX,06/05/2019,,26973,26973,26906,26906,300,12010000
80,GLT,HNX,07/05/2019,,24888,26166,24215,26166,1100,40060000
81,GLT,HNX,08/05/2019,,23677,25964,23610,25964,2100,74080000
82,GLT,HNX,09/05/2019,,23610,23610,23408,23408,3700,128790000
83,GLT,HNX,10/05/2019,,23206,23206,23206,23206,200,6900000
84,GLT,HNX,13/05/2019,,23206,23206,23206,23206,0,0
85,GLT,HNX,14/05/2019,,23206,23206,23206,23206,6,210600
86,GLT,HNX,15/05/2019,,23139,23139,23139,23139,100,3440000
87,GLT,HNX,16/05/2019,,23139,23139,23139,23139,300,10320000
88,GLT,HNX,17/05/2019,,23139,23139,23139,23139,0,0
89,GLT,HNX,20/05/2019,,24013,24013,24013,24013,100,3570000
90,GLT,HNX,21/05/2019,,23879,24820,21659,24820,1100,36250000
91,GLT,HNX,22/05/2019,,24820,24820,24820,24820,0,0
92,GLT,HNX,23/05/2019,,24820,24820,24820,24820,0,0
93,GLT,HNX,24/05/2019,,24820,24820,24820,24820,0,0
94,GLT,HNX,27/05/2019,,24484,25762,24484,25762,700,25670000
95,GLT,HNX,28/05/2019,,25359,25359,25359,25359,100,3770000
96,GLT,HNX,29/05/2019,,25359,25359,25359,25359,0,0
97,GLT,HNX,30/05/2019,,25359,25359,25359,25359,0,0
98,GLT,HNX,31/05/2019,,25359,26502,25359,26300,1100,42430000
99,GLT,HNX,03/06/2019,,23744,26166,23744,26166,700,25430000
