,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,GMA,HNX,01/12/2020,,12500,12500,12500,12500,23300,349500000
1,GMA,HNX,02/12/2020,,13749,13749,13749,13749,1400,23100000
2,GMA,HNX,03/12/2020,,15083,15083,15083,15083,2000,36200000
3,GMA,HNX,04/12/2020,,16583,16583,16416,16416,6600,130260000
4,GMA,HNX,07/12/2020,,16416,17999,16416,17999,4000,81500000
5,GMA,HNX,08/12/2020,,17999,19749,17999,19749,2000,46790000
6,GMA,HNX,09/12/2020,,21249,21666,21249,21666,1400,36250000
7,GMA,HNX,10/12/2020,,23749,23832,23749,23749,1000,28540000
8,GMA,HNX,11/12/2020,,26082,26082,26082,26082,400,12520000
9,GMA,HNX,14/12/2020,,28582,28666,27499,27499,3300,109440000
10,GMA,HNX,15/12/2020,,27499,30249,27499,30249,1200,42750000
11,GMA,HNX,16/12/2020,,32915,32915,32915,32915,400,15800000
12,GMA,HNX,17/12/2020,,33665,34582,32915,34582,1400,56540000
13,GMA,HNX,18/12/2020,,35415,35832,34582,34582,900,37850000
14,GMA,HNX,21/12/2020,,34582,35832,34082,35832,5000,210320000
15,GMA,HNX,22/12/2020,,35832,39415,35832,39415,1500,68370000
16,GMA,HNX,23/12/2020,,39998,40082,39998,40082,500,24010000
17,GMA,HNX,24/12/2020,,40082,40415,39998,40082,5600,270100000
18,GMA,HNX,25/12/2020,,40082,40415,40082,40415,800,38610000
19,GMA,HNX,28/12/2020,,40415,42082,40415,42082,700,34600000
20,GMA,HNX,29/12/2020,,41665,41665,41248,41248,200,9950000
21,GMA,HNX,30/12/2020,,41665,41665,41665,41665,100,5000000
22,GMA,HNX,31/12/2020,,42915,43332,42915,42915,300,15500000
23,GMA,HNX,04/01/2021,,42915,42915,42498,42915,500,25700000
24,GMA,HNX,05/01/2021,,42915,42915,42498,42498,200,10250000
25,GMA,HNX,06/01/2021,,41248,43332,41248,43332,800,40280000
26,GMA,HNX,07/01/2021,,44998,44998,44998,44998,100,5400000
27,GMA,HNX,08/01/2021,,44998,44998,44998,44998,0,0
28,GMA,HNX,11/01/2021,,44998,44998,44998,44998,0,0
29,GMA,HNX,12/01/2021,,44998,44998,44998,44998,0,0
30,GMA,HNX,13/01/2021,,43332,43332,43332,43332,200,10400000
31,GMA,HNX,14/01/2021,,43332,43332,43332,43332,100,5200000
32,GMA,HNX,15/01/2021,,43748,43748,43748,43748,200,10500000
