,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HCC,HNX,02/01/2019,,8944,8944,8944,8944,0,0
1,HCC,HNX,03/01/2019,,8944,8944,8944,8944,0,0
2,HCC,HNX,04/01/2019,,8636,8944,8636,8944,1100,15450000
3,HCC,HNX,07/01/2019,,8944,8944,8759,8759,5600,79980000
4,HCC,HNX,08/01/2019,,8636,8759,8512,8759,3700,51550000
5,HCC,HNX,09/01/2019,,8759,8759,8759,8759,0,0
6,HCC,HNX,10/01/2019,,8574,8944,8512,8944,2250,31235000
7,HCC,HNX,11/01/2019,,8944,8944,8944,8944,0,0
8,HCC,HNX,14/01/2019,,8636,8944,8636,8944,300,4250000
9,HCC,HNX,15/01/2019,,8759,9006,8636,9006,12269,176221800
10,HCC,HNX,16/01/2019,,9006,9006,9006,9006,0,0
11,HCC,HNX,17/01/2019,,9006,9006,9006,9006,0,0
12,HCC,HNX,18/01/2019,,9006,9006,9006,9006,0,0
13,HCC,HNX,21/01/2019,,9006,9006,9006,9006,0,0
14,HCC,HNX,22/01/2019,,8636,8636,8636,8636,4400,61600000
15,HCC,HNX,23/01/2019,,8636,8821,8574,8821,4700,65820000
16,HCC,HNX,24/01/2019,,8821,8821,8821,8821,0,0
17,HCC,HNX,25/01/2019,,8574,8821,8512,8821,3000,41470000
18,HCC,HNX,28/01/2019,,8821,8821,8821,8821,0,0
19,HCC,HNX,29/01/2019,,8821,8821,8821,8821,24,333600
20,HCC,HNX,30/01/2019,,8821,8821,8821,8821,0,0
21,HCC,HNX,31/01/2019,,8821,8821,8821,8821,0,0
22,HCC,HNX,01/02/2019,,8821,8821,8821,8821,0,0
23,HCC,HNX,11/02/2019,,8821,8821,8759,8759,1410,20063000
24,HCC,HNX,12/02/2019,,8759,8759,8759,8759,65,921200
25,HCC,HNX,13/02/2019,,8759,8759,8759,8759,100,1420000
26,HCC,HNX,14/02/2019,,8821,8821,8759,8759,3000,42800000
27,HCC,HNX,15/02/2019,,8636,8759,8636,8759,1400,19640000
28,HCC,HNX,18/02/2019,,8759,8759,8759,8759,400,5680000
29,HCC,HNX,19/02/2019,,8759,8821,8697,8759,1800,25520000
30,HCC,HNX,20/02/2019,,8759,8759,8759,8759,5600,79520000
31,HCC,HNX,21/02/2019,,8759,8759,8759,8759,1000,14200000
32,HCC,HNX,22/02/2019,,8759,8759,8697,8759,1630,23096000
33,HCC,HNX,25/02/2019,,8759,8759,8759,8759,0,0
34,HCC,HNX,26/02/2019,,8697,8759,8512,8759,1188,16494400
35,HCC,HNX,27/02/2019,,8574,8697,8574,8636,1044,14585800
36,HCC,HNX,28/02/2019,,8636,8759,8636,8759,900,12620000
37,HCC,HNX,01/03/2019,,8759,8759,8759,8759,0,0
38,HCC,HNX,04/03/2019,,8697,8759,8697,8759,1712,24297700
39,HCC,HNX,05/03/2019,,8759,8759,8759,8759,1000,14200000
40,HCC,HNX,06/03/2019,,8759,8759,8759,8759,2000,28400000
41,HCC,HNX,07/03/2019,,8759,8944,8759,8944,5100,72470000
42,HCC,HNX,08/03/2019,,8697,8697,8697,8697,106,1494000
43,HCC,HNX,11/03/2019,,8944,8944,8759,8882,300,4310000
44,HCC,HNX,12/03/2019,,8821,8821,8821,8821,2010,28744000
45,HCC,HNX,13/03/2019,,8759,8944,8759,8944,2780,39750000
46,HCC,HNX,14/03/2019,,8821,8944,8821,8944,400,5740000
47,HCC,HNX,15/03/2019,,8882,8944,8821,8944,1300,18690000
48,HCC,HNX,18/03/2019,,8944,8944,8944,8944,41,578100
49,HCC,HNX,19/03/2019,,8821,8944,8821,8944,10600,153290000
50,HCC,HNX,20/03/2019,,8944,8944,8944,8944,0,0
51,HCC,HNX,21/03/2019,,8944,9129,8882,8882,1500,21670000
52,HCC,HNX,22/03/2019,,8882,8882,8882,8882,1100,15840000
53,HCC,HNX,25/03/2019,,8821,8821,8697,8759,3400,48180000
54,HCC,HNX,26/03/2019,,8636,8759,8636,8759,2641,36994000
55,HCC,HNX,27/03/2019,,8636,8636,8636,8636,2600,36400000
56,HCC,HNX,28/03/2019,,8759,8759,8759,8759,100,1420000
57,HCC,HNX,29/03/2019,,8759,8759,8759,8759,0,0
58,HCC,HNX,01/04/2019,,8759,8759,8759,8759,2000,28400000
59,HCC,HNX,02/04/2019,,8636,8759,8636,8759,400,5620000
60,HCC,HNX,03/04/2019,,8759,9129,8759,9129,21210,309698000
