,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HKT,HNX,02/01/2019,,2300,2300,2300,2300,0,0
1,HKT,HNX,03/01/2019,,2300,2300,2300,2300,0,0
2,HKT,HNX,04/01/2019,,2300,2500,2300,2500,59650,142211000
3,HKT,HNX,07/01/2019,,2500,2500,2500,2500,0,0
4,HKT,HNX,08/01/2019,,2500,2500,2500,2500,0,0
5,HKT,HNX,09/01/2019,,2500,2500,2500,2500,0,0
6,HKT,HNX,10/01/2019,,2500,2500,2500,2500,0,0
7,HKT,HNX,11/01/2019,,2500,2700,2500,2500,60415,161494500
8,HKT,HNX,14/01/2019,,2500,2500,2500,2500,0,0
9,HKT,HNX,15/01/2019,,2500,2500,2500,2500,0,0
10,HKT,HNX,16/01/2019,,2500,2500,2500,2500,0,0
11,HKT,HNX,17/01/2019,,2500,2500,2500,2500,0,0
12,HKT,HNX,18/01/2019,,2500,2700,2500,2600,84400,219990000
13,HKT,HNX,21/01/2019,,2600,2600,2600,2600,0,0
14,HKT,HNX,22/01/2019,,2600,2600,2600,2600,0,0
15,HKT,HNX,23/01/2019,,2600,2600,2600,2600,0,0
16,HKT,HNX,24/01/2019,,2600,2600,2600,2600,0,0
17,HKT,HNX,25/01/2019,,2600,2600,2500,2600,13381,34274400
18,HKT,HNX,28/01/2019,,2600,2600,2600,2600,0,0
19,HKT,HNX,29/01/2019,,2600,2600,2600,2600,0,0
20,HKT,HNX,30/01/2019,,2600,2600,2600,2600,0,0
21,HKT,HNX,31/01/2019,,2600,2600,2600,2600,0,0
22,HKT,HNX,01/02/2019,,2600,2700,2600,2700,4200,10930000
23,HKT,HNX,11/02/2019,,2700,2700,2700,2700,0,0
24,HKT,HNX,12/02/2019,,2700,2700,2700,2700,0,0
25,HKT,HNX,13/02/2019,,2700,2700,2700,2700,0,0
26,HKT,HNX,14/02/2019,,2700,2700,2700,2700,0,0
27,HKT,HNX,15/02/2019,,2600,2600,2500,2500,5200,13020000
28,HKT,HNX,18/02/2019,,2500,2500,2500,2500,0,0
29,HKT,HNX,19/02/2019,,2500,2500,2500,2500,0,0
30,HKT,HNX,20/02/2019,,2500,2500,2500,2500,0,0
31,HKT,HNX,21/02/2019,,2500,2500,2500,2500,0,0
32,HKT,HNX,22/02/2019,,2300,2300,2300,2300,68950,158585000
33,HKT,HNX,25/02/2019,,2300,2300,2300,2300,0,0
34,HKT,HNX,26/02/2019,,2300,2300,2300,2300,0,0
35,HKT,HNX,27/02/2019,,2300,2300,2300,2300,0,0
36,HKT,HNX,28/02/2019,,2300,2300,2300,2300,0,0
37,HKT,HNX,01/03/2019,,2300,2500,2300,2500,113215,282414000
38,HKT,HNX,04/03/2019,,2500,2500,2500,2500,0,0
39,HKT,HNX,05/03/2019,,2500,2500,2500,2500,0,0
40,HKT,HNX,06/03/2019,,2500,2500,2500,2500,0,0
41,HKT,HNX,07/03/2019,,2500,2500,2500,2500,0,0
42,HKT,HNX,08/03/2019,,2500,2600,2300,2300,199200,494610000
43,HKT,HNX,11/03/2019,,2300,2300,2300,2300,0,0
44,HKT,HNX,12/03/2019,,2300,2300,2300,2300,0,0
45,HKT,HNX,13/03/2019,,2300,2300,2300,2300,0,0
46,HKT,HNX,14/03/2019,,2300,2300,2300,2300,0,0
47,HKT,HNX,15/03/2019,,2500,2500,2200,2200,80114,191245000
48,HKT,HNX,18/03/2019,,2200,2200,2200,2200,0,0
49,HKT,HNX,19/03/2019,,2200,2200,2200,2200,0,0
50,HKT,HNX,20/03/2019,,2200,2200,2200,2200,0,0
51,HKT,HNX,21/03/2019,,2200,2200,2200,2200,0,0
52,HKT,HNX,22/03/2019,,2400,2400,2200,2400,75800,181350000
53,HKT,HNX,25/03/2019,,2400,2400,2400,2400,0,0
54,HKT,HNX,26/03/2019,,2400,2400,2400,2400,0,0
55,HKT,HNX,27/03/2019,,2400,2400,2400,2400,0,0
56,HKT,HNX,28/03/2019,,2400,2400,2400,2400,0,0
57,HKT,HNX,29/03/2019,,2400,2600,2400,2400,118000,304090000
58,HKT,HNX,01/04/2019,,2400,2400,2400,2400,0,0
59,HKT,HNX,02/04/2019,,2400,2400,2400,2400,0,0
60,HKT,HNX,03/04/2019,,2400,2400,2400,2400,0,0
61,HKT,HNX,04/04/2019,,2400,2400,2400,2400,0,0
62,HKT,HNX,05/04/2019,,2400,2600,2200,2400,72100,183700000
63,HKT,HNX,08/04/2019,,2400,2400,2400,2400,0,0
64,HKT,HNX,09/04/2019,,2400,2400,2400,2400,0,0
65,HKT,HNX,10/04/2019,,2400,2400,2400,2400,0,0
66,HKT,HNX,11/04/2019,,2400,2400,2400,2400,0,0
67,HKT,HNX,12/04/2019,,2600,2600,2500,2500,52002,134605200
68,HKT,HNX,16/04/2019,,2500,2500,2500,2500,0,0
69,HKT,HNX,17/04/2019,,2500,2500,2500,2500,0,0
70,HKT,HNX,18/04/2019,,2500,2500,2500,2500,0,0
71,HKT,HNX,19/04/2019,,2500,2700,2400,2400,344900,884510000
72,HKT,HNX,22/04/2019,,2400,2400,2400,2400,0,0
73,HKT,HNX,23/04/2019,,2400,2400,2400,2400,0,0
74,HKT,HNX,24/04/2019,,2400,2400,2400,2400,0,0
75,HKT,HNX,25/04/2019,,2400,2400,2400,2400,0,0
76,HKT,HNX,26/04/2019,,2600,2600,2600,2600,16600,43160000
77,HKT,HNX,02/05/2019,,2600,2600,2600,2600,0,0
78,HKT,HNX,03/05/2019,,2600,2800,2400,2800,70200,184880000
79,HKT,HNX,06/05/2019,,2800,2800,2800,2800,0,0
80,HKT,HNX,07/05/2019,,2800,2800,2800,2800,0,0
81,HKT,HNX,08/05/2019,,2800,2800,2800,2800,0,0
82,HKT,HNX,09/05/2019,,2800,2800,2800,2800,0,0
83,HKT,HNX,10/05/2019,,2600,3000,2600,2800,102000,303200000
84,HKT,HNX,13/05/2019,,2800,2800,2800,2800,0,0
85,HKT,HNX,14/05/2019,,2800,2800,2800,2800,0,0
86,HKT,HNX,15/05/2019,,2800,2800,2800,2800,0,0
87,HKT,HNX,16/05/2019,,2800,2800,2800,2800,0,0
