,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HLD,HNX,02/01/2019,,7221,7411,7221,7348,32000,373010000
1,HLD,HNX,03/01/2019,,7348,7348,7158,7221,33400,382800000
2,HLD,HNX,04/01/2019,,7221,7221,7095,7221,9946,112164400
3,HLD,HNX,07/01/2019,,7285,7348,7221,7221,36000,411650000
4,HLD,HNX,08/01/2019,,7348,7348,7158,7221,12700,145040000
5,HLD,HNX,09/01/2019,,7221,7348,7095,7348,75504,857845200
6,HLD,HNX,10/01/2019,,7285,7285,7221,7221,15500,177450000
7,HLD,HNX,11/01/2019,,7221,7348,7221,7348,15400,175660000
8,HLD,HNX,14/01/2019,,7348,7348,7348,7348,2500,29000000
9,HLD,HNX,15/01/2019,,7348,7918,7285,7918,76000,909320000
10,HLD,HNX,16/01/2019,,7918,8045,7918,7981,24250,305470000
11,HLD,HNX,17/01/2019,,7981,7981,7918,7918,13100,164010000
12,HLD,HNX,18/01/2019,,7918,8235,7918,8235,20600,262580000
13,HLD,HNX,21/01/2019,,8615,8995,8615,8741,114620,1590970000
14,HLD,HNX,22/01/2019,,8678,8678,8425,8425,59203,795810500
15,HLD,HNX,23/01/2019,,8425,8425,8171,8171,700,9190000
16,HLD,HNX,24/01/2019,,8108,8298,7918,8298,11010,139710000
17,HLD,HNX,25/01/2019,,8298,8425,7918,8361,2500,32720000
18,HLD,HNX,28/01/2019,,8361,8361,8235,8235,2500,32900000
19,HLD,HNX,29/01/2019,,8235,8235,8235,8235,2500,32500000
20,HLD,HNX,30/01/2019,,8235,8298,8235,8235,13100,170410000
21,HLD,HNX,31/01/2019,,8235,8298,8235,8298,8900,116440000
22,HLD,HNX,01/02/2019,,8361,8615,8298,8615,7300,96030000
23,HLD,HNX,11/02/2019,,8615,8741,8615,8741,1700,23140000
24,HLD,HNX,12/02/2019,,8551,8615,8425,8551,15300,204530000
25,HLD,HNX,13/02/2019,,8551,8741,8551,8615,49040,663953000
26,HLD,HNX,14/02/2019,,8615,8615,8488,8488,20300,272900000
27,HLD,HNX,15/02/2019,,8488,8488,8298,8425,8100,108180000
28,HLD,HNX,18/02/2019,,8488,8551,8361,8551,14400,191860000
29,HLD,HNX,19/02/2019,,8551,8551,8488,8551,15736,212186000
30,HLD,HNX,20/02/2019,,8551,8551,8551,8551,21431,289318500
31,HLD,HNX,21/02/2019,,8551,8551,8425,8551,27600,370960000
32,HLD,HNX,22/02/2019,,8488,8551,8488,8551,31200,418530000
33,HLD,HNX,25/02/2019,,8551,8551,8488,8551,66700,900230000
34,HLD,HNX,26/02/2019,,8551,8551,8488,8488,1500,20120000
35,HLD,HNX,27/02/2019,,8488,8551,8488,8551,43300,584240000
36,HLD,HNX,28/02/2019,,8551,8551,8425,8551,73500,990790000
37,HLD,HNX,01/03/2019,,8551,8551,8551,8551,64710,873585000
38,HLD,HNX,04/03/2019,,8615,9058,8615,8868,38520,536758000
39,HLD,HNX,05/03/2019,,8932,8995,8678,8868,23500,327600000
40,HLD,HNX,06/03/2019,,8805,8805,8741,8805,23600,326960000
41,HLD,HNX,07/03/2019,,8805,8868,8805,8805,55500,773100000
42,HLD,HNX,08/03/2019,,8868,9248,8868,9122,88200,1255730000
43,HLD,HNX,11/03/2019,,9438,9438,9185,9185,66502,971059000
