,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HMH,HNX,02/01/2019,,7832,7832,7832,7832,1100,13310000
1,HMH,HNX,03/01/2019,,7767,7767,7638,7767,9900,118600000
2,HMH,HNX,04/01/2019,,7573,7573,7573,7573,100,1170000
3,HMH,HNX,07/01/2019,,7767,7767,7767,7767,100,1200000
4,HMH,HNX,08/01/2019,,7767,7832,7767,7832,5300,63830000
5,HMH,HNX,09/01/2019,,7901,7901,7832,7832,2100,23760000
6,HMH,HNX,10/01/2019,,7832,7832,7762,7762,5300,59390000
7,HMH,HNX,11/01/2019,,7762,7832,7762,7832,16020,180626000
8,HMH,HNX,14/01/2019,,7832,7901,7762,7901,18200,206160000
9,HMH,HNX,15/01/2019,,7832,7832,7762,7762,4300,48580000
10,HMH,HNX,16/01/2019,,7762,7762,7762,7762,0,0
11,HMH,HNX,17/01/2019,,7762,7762,7762,7762,100,1120000
12,HMH,HNX,18/01/2019,,7762,7762,7762,7762,0,0
13,HMH,HNX,21/01/2019,,7762,7762,7762,7762,0,0
14,HMH,HNX,22/01/2019,,7624,7762,7624,7762,300,3340000
15,HMH,HNX,23/01/2019,,7624,7832,7624,7762,3400,38020000
16,HMH,HNX,24/01/2019,,7762,7762,7762,7762,3600,40320000
17,HMH,HNX,25/01/2019,,7762,7762,7762,7762,1000,11200000
18,HMH,HNX,28/01/2019,,7762,7762,7762,7762,0,0
19,HMH,HNX,29/01/2019,,7762,7762,7762,7762,2000,22400000
20,HMH,HNX,30/01/2019,,7762,7762,7762,7762,2000,22400000
21,HMH,HNX,31/01/2019,,7762,7762,7762,7762,0,0
22,HMH,HNX,01/02/2019,,7624,7624,7624,7624,10010,110112000
23,HMH,HNX,11/02/2019,,7624,7624,7624,7624,5049,55539000
24,HMH,HNX,12/02/2019,,7693,7693,7693,7693,100,1110000
25,HMH,HNX,13/02/2019,,7693,7693,7693,7693,6900,76590000
26,HMH,HNX,14/02/2019,,7693,7693,7693,7693,7700,85470000
27,HMH,HNX,15/02/2019,,7693,7693,7693,7693,840,9324000
28,HMH,HNX,18/02/2019,,7624,7693,7624,7693,5610,61938000
29,HMH,HNX,19/02/2019,,7693,7693,7693,7693,12000,133200000
30,HMH,HNX,20/02/2019,,7693,7693,7624,7624,16200,179320000
31,HMH,HNX,21/02/2019,,7624,7624,7624,7624,19800,217800000
32,HMH,HNX,22/02/2019,,7624,7624,7624,7624,14400,158400000
33,HMH,HNX,25/02/2019,,7624,7624,7624,7624,10700,117700000
34,HMH,HNX,26/02/2019,,7624,7624,7624,7624,7905,86953500
35,HMH,HNX,27/02/2019,,7693,7693,7624,7624,6010,66310000
36,HMH,HNX,28/02/2019,,7624,7624,7624,7624,5000,55000000
37,HMH,HNX,01/03/2019,,7624,7624,7624,7624,2105,23155000
38,HMH,HNX,04/03/2019,,7624,7624,7624,7624,999,10967300
39,HMH,HNX,05/03/2019,,7624,7624,7624,7624,900,9900000
40,HMH,HNX,06/03/2019,,7624,7624,7624,7624,0,0
41,HMH,HNX,07/03/2019,,7693,7693,7624,7624,1500,16600000
42,HMH,HNX,08/03/2019,,7624,7624,7624,7624,2070,22756000
43,HMH,HNX,11/03/2019,,7693,7693,7624,7693,16500,181580000
44,HMH,HNX,12/03/2019,,7693,7762,7693,7762,8000,88830000
45,HMH,HNX,13/03/2019,,7762,7762,7693,7693,8200,91290000
46,HMH,HNX,14/03/2019,,7693,7693,7554,7624,3300,36280000
47,HMH,HNX,15/03/2019,,7624,7624,7624,7624,8200,90200000
48,HMH,HNX,18/03/2019,,7624,7624,7624,7624,6100,67100000
49,HMH,HNX,19/03/2019,,6861,7624,6861,7624,2109,23086300
50,HMH,HNX,20/03/2019,,7624,7624,7624,7624,4000,44000000
51,HMH,HNX,21/03/2019,,7624,7624,7624,7624,6000,66000000
52,HMH,HNX,22/03/2019,,7624,7624,7624,7624,4000,44000000
53,HMH,HNX,25/03/2019,,7624,7624,7624,7624,0,0
54,HMH,HNX,26/03/2019,,7624,7624,7624,7624,0,0
55,HMH,HNX,27/03/2019,,7624,7624,7624,7624,0,0
56,HMH,HNX,28/03/2019,,7624,7624,7624,7624,0,0
57,HMH,HNX,29/03/2019,,7624,7624,7624,7624,9000,99000000
58,HMH,HNX,01/04/2019,,7624,7624,7624,7624,18200,200200000
59,HMH,HNX,02/04/2019,,7624,7624,7624,7624,22650,249135000
60,HMH,HNX,03/04/2019,,7624,7624,7485,7624,12700,139300000
61,HMH,HNX,04/04/2019,,7554,7554,7554,7554,2000,21800000
62,HMH,HNX,05/04/2019,,7624,7624,7624,7624,500,5500000
63,HMH,HNX,08/04/2019,,7624,7624,7624,7624,500,5500000
64,HMH,HNX,09/04/2019,,7624,7624,7624,7624,100,1100000
65,HMH,HNX,10/04/2019,,7624,7624,7624,7624,2000,22000000
66,HMH,HNX,11/04/2019,,7624,7624,7624,7624,3101,34111000
67,HMH,HNX,12/04/2019,,7624,7624,7624,7624,800,8800000
68,HMH,HNX,16/04/2019,,7554,7554,7554,7554,130,1414000
69,HMH,HNX,17/04/2019,,7554,7624,7554,7624,700,7650000
70,HMH,HNX,18/04/2019,,7624,7624,7554,7554,55301,608180600
71,HMH,HNX,19/04/2019,,7624,7624,7624,7624,34000,374000000
72,HMH,HNX,22/04/2019,,7624,7624,7624,7624,10600,116600000
73,HMH,HNX,23/04/2019,,7624,7624,7624,7624,4800,52800000
74,HMH,HNX,24/04/2019,,7624,7624,7624,7624,6800,74800000
75,HMH,HNX,25/04/2019,,7624,7762,7624,7624,18500,204560000
76,HMH,HNX,26/04/2019,,7624,7762,7624,7762,32600,362680000
77,HMH,HNX,02/05/2019,,7693,7693,7624,7693,36600,404760000
78,HMH,HNX,03/05/2019,,7624,7624,7624,7624,10500,115500000
79,HMH,HNX,06/05/2019,,7624,7624,7624,7624,0,0
80,HMH,HNX,07/05/2019,,7624,7624,6861,7624,20400,224230000
81,HMH,HNX,08/05/2019,,7624,7624,7624,7624,10600,116600000
82,HMH,HNX,09/05/2019,,7624,7624,7624,7624,0,0
83,HMH,HNX,10/05/2019,,6861,7624,6861,7624,1280,13308000
84,HMH,HNX,13/05/2019,,7624,7624,7624,7624,0,0
85,HMH,HNX,14/05/2019,,7624,7624,7624,7624,0,0
86,HMH,HNX,15/05/2019,,7624,7624,7624,7624,48400,532400000
87,HMH,HNX,16/05/2019,,7624,7624,7624,7624,65100,716100000
88,HMH,HNX,17/05/2019,,7624,7624,7624,7624,10711,117821000
89,HMH,HNX,20/05/2019,,7624,7624,7624,7624,0,0
90,HMH,HNX,21/05/2019,,7624,7624,7624,7624,0,0
91,HMH,HNX,22/05/2019,,7624,7624,7624,7624,0,0
92,HMH,HNX,23/05/2019,,7624,7624,7624,7624,2500,27500000
93,HMH,HNX,24/05/2019,,7624,7624,7624,7624,2500,27500000
94,HMH,HNX,27/05/2019,,7624,7624,7624,7624,0,0
95,HMH,HNX,28/05/2019,,7624,7624,7624,7624,14500,159500000
96,HMH,HNX,29/05/2019,,7624,7624,7624,7624,15800,173800000
97,HMH,HNX,30/05/2019,,7624,7624,7277,7347,7917,85838500
98,HMH,HNX,31/05/2019,,7554,7624,7554,7624,300,3280000
99,HMH,HNX,03/06/2019,,7624,7624,7624,7624,0,0
100,HMH,HNX,04/06/2019,,7416,7554,7416,7554,12130,129796000
101,HMH,HNX,05/06/2019,,7416,7624,7416,7624,1000,10730000
102,HMH,HNX,06/06/2019,,7416,7624,7069,7624,3700,38100000
103,HMH,HNX,07/06/2019,,7624,7624,7624,7624,0,0
104,HMH,HNX,10/06/2019,,7624,7624,7624,7624,0,0
105,HMH,HNX,11/06/2019,,7277,7347,7277,7347,800,8410000
106,HMH,HNX,12/06/2019,,7624,7624,7624,7624,116,1268000
107,HMH,HNX,13/06/2019,,6861,7624,6861,7624,200,2090000
108,HMH,HNX,14/06/2019,,7624,7624,7624,7624,0,0
109,HMH,HNX,17/06/2019,,7624,7624,7624,7624,58,591600
110,HMH,HNX,18/06/2019,,7624,7624,7624,7624,10,109000
111,HMH,HNX,19/06/2019,,7208,7208,7208,7208,160,1658000
112,HMH,HNX,20/06/2019,,7208,7208,7208,7208,160,1658000
113,HMH,HNX,21/06/2019,,6931,7069,6931,6931,28000,281000000
114,HMH,HNX,24/06/2019,,6931,6931,6931,6931,25100,251000000
115,HMH,HNX,25/06/2019,,6931,6931,6861,6861,22000,219370000
116,HMH,HNX,26/06/2019,,6861,6861,6861,6861,5200,51480000
117,HMH,HNX,27/06/2019,,6861,6861,6861,6861,0,0
118,HMH,HNX,28/06/2019,,7277,7277,6931,6931,400,4050000
119,HMH,HNX,01/07/2019,,7416,7416,7416,7416,100,1070000
120,HMH,HNX,02/07/2019,,6723,7554,6723,7554,200,2060000
121,HMH,HNX,03/07/2019,,6861,7347,6861,7347,210,2150000
122,HMH,HNX,04/07/2019,,7000,7000,7000,7000,100,1010000
123,HMH,HNX,05/07/2019,,7208,7208,7208,7208,500,5200000
124,HMH,HNX,08/07/2019,,7069,7069,6931,6931,6000,60260000
125,HMH,HNX,09/07/2019,,6931,6931,6931,6931,0,0
126,HMH,HNX,10/07/2019,,7277,7277,7277,7277,150,1550000
127,HMH,HNX,11/07/2019,,6931,7069,6931,7000,19600,196070000
128,HMH,HNX,12/07/2019,,7000,7000,7000,7000,2000,20200000
129,HMH,HNX,15/07/2019,,7000,7000,7000,7000,4000,40400000
130,HMH,HNX,16/07/2019,,7277,7277,7000,7000,17000,171740000
131,HMH,HNX,17/07/2019,,7000,7000,7000,7000,300,3030000
132,HMH,HNX,18/07/2019,,7000,7000,7000,7000,2300,23230000
133,HMH,HNX,19/07/2019,,7000,7000,7000,7000,19200,193920000
134,HMH,HNX,22/07/2019,,7000,7069,7000,7000,10000,101010000
135,HMH,HNX,23/07/2019,,7000,7000,7000,7000,2400,24240000
136,HMH,HNX,24/07/2019,,7000,7000,7000,7000,10000,101000000
137,HMH,HNX,25/07/2019,,7000,7000,7000,7000,0,0
138,HMH,HNX,26/07/2019,,6931,7000,6931,7000,28700,288500000
139,HMH,HNX,29/07/2019,,7000,7000,7000,7000,5000,50500000
140,HMH,HNX,30/07/2019,,7000,7000,7000,7000,0,0
141,HMH,HNX,31/07/2019,,7000,7000,6931,6931,2700,27030000
