,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HMR,HNX,13/01/2022,,17815,17815,17815,17815,24100,491640
1,HMR,HNX,14/01/2022,,19562,19562,19562,19562,401100,8984640
2,HMR,HNX,17/01/2022,,21483,21483,21396,21483,315200,7752820
3,HMR,HNX,18/01/2022,,23579,23579,19387,19387,103300,2546150
4,HMR,HNX,19/01/2022,,17466,17466,17466,17466,17500,350000
5,HMR,HNX,20/01/2022,,15719,15719,15719,15719,2900,52200
6,HMR,HNX,21/01/2022,,14147,14147,14147,14147,12700,205740
7,HMR,HNX,24/01/2022,,12750,12750,12750,12750,7800,113880
8,HMR,HNX,25/01/2022,,11528,13885,11528,13100,113000,1574240
9,HMR,HNX,26/01/2022,,13100,13100,11790,11964,88900,1211090
10,HMR,HNX,27/01/2022,,11790,11790,11004,11004,33300,429600
11,HMR,HNX,28/01/2022,,11004,12052,10480,12052,103000,1340920
12,HMR,HNX,07/02/2022,,12139,13187,12052,13187,18600,280220
13,HMR,HNX,08/02/2022,,14409,14497,13100,13885,100400,1573860
14,HMR,HNX,09/02/2022,,13885,14409,12576,14409,65300,1026600
15,HMR,HNX,10/02/2022,,14846,14846,13798,13798,7800,124960
16,HMR,HNX,11/02/2022,,13798,14671,13187,14671,39800,622450
17,HMR,HNX,14/02/2022,,13361,14322,13361,13798,12300,193790
18,HMR,HNX,15/02/2022,,13973,13973,13012,13012,17900,270610
19,HMR,HNX,16/02/2022,,12401,13623,12401,12838,34500,505740
20,HMR,HNX,17/02/2022,,12226,14060,12226,14060,31900,500710
21,HMR,HNX,18/02/2022,,13973,15283,13274,14060,34100,542090
22,HMR,HNX,21/02/2022,,13798,13885,13536,13798,18000,281790
23,HMR,HNX,22/02/2022,,13536,13711,13100,13100,10500,158800
24,HMR,HNX,23/02/2022,,13449,14409,13100,13187,6600,100810
25,HMR,HNX,24/02/2022,,13187,13274,12838,12925,22600,338230
26,HMR,HNX,25/02/2022,,13187,13449,13012,13449,4800,72250
27,HMR,HNX,28/02/2022,,13100,13449,13100,13274,11200,168460
28,HMR,HNX,01/03/2022,,13100,13361,13100,13100,12500,188040
29,HMR,HNX,02/03/2022,,13100,13449,13012,13100,9900,148720
30,HMR,HNX,03/03/2022,,13012,13274,12925,13274,9200,137880
31,HMR,HNX,04/03/2022,,13274,13449,13012,13361,10700,161640
32,HMR,HNX,07/03/2022,,13274,13536,13100,13536,64100,978990
33,HMR,HNX,08/03/2022,,13711,14846,13711,14846,112400,1887260
34,HMR,HNX,09/03/2022,,16243,16331,16069,16331,98900,1846040
35,HMR,HNX,10/03/2022,,16593,16593,15370,16156,61500,1126440
36,HMR,HNX,11/03/2022,,16156,16156,14846,14933,67400,1169340
37,HMR,HNX,14/03/2022,,13449,14933,13449,14060,25600,424520
