,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,HTP,HNX,02/01/2019,,5000,5000,5000,5000,0,0
1,HTP,HNX,03/01/2019,,5000,5000,5000,5000,0,0
2,HTP,HNX,04/01/2019,,5000,5000,5000,5000,0,0
3,HTP,HNX,07/01/2019,,5000,5000,5000,5000,0,0
4,HTP,HNX,08/01/2019,,5000,5000,5000,5000,0,0
5,HTP,HNX,09/01/2019,,5000,5000,5000,5000,0,0
6,HTP,HNX,10/01/2019,,5000,5000,5000,5000,0,0
7,HTP,HNX,11/01/2019,,4500,4500,4500,4500,900,4050000
8,HTP,HNX,14/01/2019,,4500,4500,4500,4500,60,246000
9,HTP,HNX,15/01/2019,,4500,4500,4500,4500,0,0
10,HTP,HNX,16/01/2019,,4900,4900,4900,4900,100,490000
11,HTP,HNX,17/01/2019,,4900,4900,4900,4900,0,0
12,HTP,HNX,18/01/2019,,4900,4900,4900,4900,0,0
13,HTP,HNX,21/01/2019,,5300,5300,5300,5300,200,1060000
14,HTP,HNX,22/01/2019,,5300,5300,5300,5300,0,0
15,HTP,HNX,23/01/2019,,5800,5800,4800,4800,900,4920000
16,HTP,HNX,24/01/2019,,4800,4800,4800,4800,20,88000
17,HTP,HNX,25/01/2019,,4800,4800,4800,4800,0,0
18,HTP,HNX,28/01/2019,,4800,4800,4800,4800,0,0
19,HTP,HNX,29/01/2019,,4800,4800,4800,4800,0,0
20,HTP,HNX,30/01/2019,,4800,4800,4800,4800,0,0
21,HTP,HNX,31/01/2019,,4800,4800,4800,4800,0,0
22,HTP,HNX,01/02/2019,,4800,4800,4800,4800,0,0
23,HTP,HNX,11/02/2019,,4800,4800,4800,4800,0,0
24,HTP,HNX,12/02/2019,,4800,4800,4800,4800,0,0
25,HTP,HNX,13/02/2019,,4800,4800,4800,4800,0,0
26,HTP,HNX,14/02/2019,,4800,4800,4800,4800,0,0
27,HTP,HNX,15/02/2019,,4800,4800,4800,4800,0,0
28,HTP,HNX,18/02/2019,,4800,4800,4800,4800,0,0
29,HTP,HNX,19/02/2019,,4800,4800,4800,4800,0,0
30,HTP,HNX,20/02/2019,,4800,4800,4800,4800,0,0
31,HTP,HNX,21/02/2019,,4800,4800,4800,4800,10,52000
32,HTP,HNX,22/02/2019,,4800,4800,4800,4800,80,416000
33,HTP,HNX,25/02/2019,,4800,4800,4800,4800,0,0
34,HTP,HNX,26/02/2019,,4800,4800,4800,4800,0,0
35,HTP,HNX,27/02/2019,,4800,4800,4800,4800,0,0
36,HTP,HNX,28/02/2019,,4800,4800,4800,4800,0,0
37,HTP,HNX,01/03/2019,,4800,4800,4800,4800,0,0
38,HTP,HNX,04/03/2019,,4800,4800,4800,4800,0,0
39,HTP,HNX,05/03/2019,,4800,4800,4800,4800,0,0
40,HTP,HNX,06/03/2019,,4800,4800,4800,4800,0,0
41,HTP,HNX,07/03/2019,,4800,4800,4800,4800,0,0
42,HTP,HNX,08/03/2019,,4800,4800,4800,4800,0,0
43,HTP,HNX,11/03/2019,,4800,4800,4800,4800,0,0
44,HTP,HNX,12/03/2019,,4800,4800,4800,4800,40,188000
45,HTP,HNX,13/03/2019,,4800,4800,4800,4800,0,0
46,HTP,HNX,14/03/2019,,4800,4800,4800,4800,0,0
47,HTP,HNX,15/03/2019,,4400,4700,4400,4700,7800,36160000
48,HTP,HNX,18/03/2019,,4700,4700,4700,4700,10,51000
49,HTP,HNX,19/03/2019,,4700,4700,4700,4700,0,0
50,HTP,HNX,20/03/2019,,4700,4700,4700,4700,40,172000
51,HTP,HNX,21/03/2019,,4700,4700,4700,4700,0,0
52,HTP,HNX,22/03/2019,,4700,4700,4700,4700,0,0
53,HTP,HNX,25/03/2019,,4700,4700,4700,4700,0,0
54,HTP,HNX,26/03/2019,,4700,4700,4700,4700,70,315000
55,HTP,HNX,27/03/2019,,4700,4700,4700,4700,0,0
56,HTP,HNX,28/03/2019,,5100,5100,5100,5100,100,510000
57,HTP,HNX,29/03/2019,,5600,5600,5600,5600,100,560000
58,HTP,HNX,01/04/2019,,6100,6100,6100,6100,100,610000
59,HTP,HNX,02/04/2019,,6700,6700,6700,6700,600,4020000
60,HTP,HNX,03/04/2019,,6700,6700,6700,6700,100,670000
61,HTP,HNX,04/04/2019,,6700,6700,6700,6700,99,613800
62,HTP,HNX,05/04/2019,,6700,6700,6700,6700,101,626200
63,HTP,HNX,08/04/2019,,6700,6700,6700,6700,0,0
64,HTP,HNX,09/04/2019,,6100,7300,6100,7300,200,1340000
65,HTP,HNX,10/04/2019,,7300,7300,7300,7300,0,0
66,HTP,HNX,11/04/2019,,7300,7300,7300,7300,0,0
67,HTP,HNX,12/04/2019,,7300,7300,7300,7300,20,132000
68,HTP,HNX,16/04/2019,,7300,7300,7300,7300,10,66000
69,HTP,HNX,17/04/2019,,8000,8000,6600,6600,300,2120000
70,HTP,HNX,18/04/2019,,6600,6600,6600,6600,0,0
71,HTP,HNX,19/04/2019,,6600,6600,6600,6600,0,0
72,HTP,HNX,22/04/2019,,6600,6600,6600,6600,0,0
73,HTP,HNX,23/04/2019,,6600,6600,6600,6600,0,0
74,HTP,HNX,24/04/2019,,6600,6600,6600,6600,0,0
75,HTP,HNX,25/04/2019,,7000,7200,7000,7200,700,4940000
76,HTP,HNX,26/04/2019,,7900,7900,7900,7900,100,790000
77,HTP,HNX,02/05/2019,,7900,7900,7900,7900,10,72000
78,HTP,HNX,03/05/2019,,7900,7900,7900,7900,0,0
79,HTP,HNX,06/05/2019,,7900,7900,7900,7900,0,0
80,HTP,HNX,07/05/2019,,7900,7900,7900,7900,0,0
81,HTP,HNX,08/05/2019,,7900,7900,7900,7900,0,0
82,HTP,HNX,09/05/2019,,7900,7900,7900,7900,0,0
83,HTP,HNX,10/05/2019,,7200,7200,7200,7200,100,720000
84,HTP,HNX,13/05/2019,,7200,7200,7200,7200,20,140000
85,HTP,HNX,14/05/2019,,7200,7200,7200,7200,0,0
86,HTP,HNX,15/05/2019,,7200,7200,7200,7200,0,0
87,HTP,HNX,16/05/2019,,7200,7200,7200,7200,0,0
88,HTP,HNX,17/05/2019,,7200,7200,7200,7200,0,0
89,HTP,HNX,20/05/2019,,7200,7200,7200,7200,0,0
90,HTP,HNX,21/05/2019,,7200,7200,7200,7200,0,0
91,HTP,HNX,22/05/2019,,7200,7200,7200,7200,0,0
92,HTP,HNX,23/05/2019,,7200,7200,7200,7200,0,0
93,HTP,HNX,24/05/2019,,7200,7200,7200,7200,0,0
94,HTP,HNX,27/05/2019,,7200,7200,7200,7200,0,0
95,HTP,HNX,28/05/2019,,7200,7200,7200,7200,0,0
96,HTP,HNX,29/05/2019,,7200,7200,7200,7200,0,0
97,HTP,HNX,30/05/2019,,7200,7200,7200,7200,0,0
98,HTP,HNX,31/05/2019,,7200,7200,7200,7200,0,0
99,HTP,HNX,03/06/2019,,7200,7200,7200,7200,0,0
100,HTP,HNX,04/06/2019,,7200,7200,7200,7200,0,0
101,HTP,HNX,05/06/2019,,7200,7200,7200,7200,0,0
102,HTP,HNX,06/06/2019,,7200,7200,7200,7200,0,0
103,HTP,HNX,07/06/2019,,7200,7200,7200,7200,10,65000
104,HTP,HNX,10/06/2019,,7200,7200,7200,7200,0,0
105,HTP,HNX,11/06/2019,,7200,7200,7200,7200,0,0
106,HTP,HNX,12/06/2019,,7200,7200,7200,7200,0,0
107,HTP,HNX,13/06/2019,,7200,7200,7200,7200,0,0
108,HTP,HNX,14/06/2019,,7200,7200,7200,7200,0,0
109,HTP,HNX,17/06/2019,,7200,7200,7200,7200,0,0
110,HTP,HNX,18/06/2019,,7200,7200,7200,7200,0,0
111,HTP,HNX,19/06/2019,,7200,7200,7200,7200,0,0
112,HTP,HNX,20/06/2019,,7200,7200,7200,7200,0,0
113,HTP,HNX,21/06/2019,,7200,7200,7200,7200,0,0
114,HTP,HNX,24/06/2019,,7200,7200,7200,7200,0,0
115,HTP,HNX,25/06/2019,,7200,7200,7200,7200,0,0
116,HTP,HNX,26/06/2019,,7200,7200,7200,7200,0,0
117,HTP,HNX,27/06/2019,,7200,7200,7200,7200,0,0
118,HTP,HNX,28/06/2019,,7200,7200,7200,7200,0,0
119,HTP,HNX,01/07/2019,,7200,7200,7200,7200,0,0
120,HTP,HNX,02/07/2019,,7200,7200,7200,7200,0,0
121,HTP,HNX,03/07/2019,,7200,7200,7200,7200,0,0
122,HTP,HNX,04/07/2019,,7200,7200,7200,7200,0,0
123,HTP,HNX,05/07/2019,,7200,7200,7200,7200,0,0
124,HTP,HNX,08/07/2019,,7200,7200,7200,7200,0,0
125,HTP,HNX,09/07/2019,,7200,7200,7200,7200,0,0
126,HTP,HNX,10/07/2019,,7200,7200,7200,7200,0,0
127,HTP,HNX,11/07/2019,,7200,7200,7200,7200,0,0
128,HTP,HNX,12/07/2019,,7200,7200,7200,7200,0,0
129,HTP,HNX,15/07/2019,,6500,6500,6500,6500,100,650000
130,HTP,HNX,16/07/2019,,6500,6500,6500,6500,0,0
131,HTP,HNX,17/07/2019,,6500,6500,6500,6500,0,0
132,HTP,HNX,18/07/2019,,6500,6500,6500,6500,0,0
133,HTP,HNX,19/07/2019,,6500,6500,6500,6500,0,0
134,HTP,HNX,22/07/2019,,6500,6500,6500,6500,0,0
135,HTP,HNX,23/07/2019,,7100,7100,7100,7100,200,1420000
136,HTP,HNX,24/07/2019,,7100,7100,7100,7100,0,0
137,HTP,HNX,25/07/2019,,6400,6400,6400,6400,100,640000
138,HTP,HNX,26/07/2019,,5900,5900,5900,5900,100,590000
139,HTP,HNX,29/07/2019,,5400,5400,5400,5400,100,540000
140,HTP,HNX,30/07/2019,,4900,4900,4900,4900,100,490000
141,HTP,HNX,31/07/2019,,4900,4900,4900,4900,0,0
142,HTP,HNX,01/08/2019,,4500,4500,4500,4500,100,450000
143,HTP,HNX,02/08/2019,,4500,4500,4500,4500,0,0
144,HTP,HNX,05/08/2019,,4500,4500,4500,4500,0,0
145,HTP,HNX,06/08/2019,,4100,4100,4100,4100,100,410000
146,HTP,HNX,07/08/2019,,3800,3800,3800,3800,100,380000
147,HTP,HNX,08/08/2019,,3800,3800,3800,3800,0,0
148,HTP,HNX,09/08/2019,,3800,3800,3800,3800,0,0
149,HTP,HNX,12/08/2019,,3500,3500,3500,3500,100,350000
150,HTP,HNX,13/08/2019,,3500,3500,3500,3500,0,0
151,HTP,HNX,14/08/2019,,3500,3500,3500,3500,0,0
152,HTP,HNX,15/08/2019,,3500,3500,3500,3500,0,0
153,HTP,HNX,16/08/2019,,3500,3500,3500,3500,0,0
154,HTP,HNX,19/08/2019,,3500,3500,3500,3500,0,0
155,HTP,HNX,20/08/2019,,3500,3500,3500,3500,0,0
156,HTP,HNX,21/08/2019,,3500,3500,3500,3500,0,0
157,HTP,HNX,22/08/2019,,3500,3500,3500,3500,0,0
158,HTP,HNX,23/08/2019,,3500,3500,3500,3500,0,0
159,HTP,HNX,26/08/2019,,3500,3500,3500,3500,0,0
160,HTP,HNX,27/08/2019,,3500,3500,3500,3500,0,0
161,HTP,HNX,28/08/2019,,3500,3500,3500,3500,0,0
162,HTP,HNX,29/08/2019,,3500,3500,3500,3500,0,0
163,HTP,HNX,30/08/2019,,3500,3500,3500,3500,0,0
164,HTP,HNX,03/09/2019,,3500,3500,3500,3500,0,0
165,HTP,HNX,04/09/2019,,3500,3500,3500,3500,0,0
166,HTP,HNX,05/09/2019,,3500,3500,3500,3500,0,0
167,HTP,HNX,06/09/2019,,3500,3500,3500,3500,0,0
168,HTP,HNX,09/09/2019,,3500,3500,3500,3500,0,0
169,HTP,HNX,10/09/2019,,3500,3500,3500,3500,0,0
170,HTP,HNX,11/09/2019,,3500,3500,3500,3500,0,0
171,HTP,HNX,12/09/2019,,3500,3500,3500,3500,0,0
172,HTP,HNX,13/09/2019,,3500,3500,3500,3500,0,0
173,HTP,HNX,16/09/2019,,3500,3500,3500,3500,0,0
174,HTP,HNX,17/09/2019,,3500,3500,3500,3500,0,0
175,HTP,HNX,18/09/2019,,3500,3500,3500,3500,0,0
176,HTP,HNX,19/09/2019,,3500,3500,3500,3500,0,0
177,HTP,HNX,20/09/2019,,3500,3500,3500,3500,0,0
178,HTP,HNX,23/09/2019,,3500,3500,3500,3500,0,0
179,HTP,HNX,24/09/2019,,3500,3500,3500,3500,0,0
180,HTP,HNX,25/09/2019,,3500,3500,3500,3500,0,0
181,HTP,HNX,26/09/2019,,3500,3500,3500,3500,0,0
182,HTP,HNX,27/09/2019,,3800,3800,3800,3800,1000,3800000
183,HTP,HNX,30/09/2019,,3800,3800,3800,3800,0,0
184,HTP,HNX,01/10/2019,,4100,4100,4100,4100,100,410000
185,HTP,HNX,02/10/2019,,4500,4500,4500,4500,100,450000
186,HTP,HNX,03/10/2019,,4900,4900,4900,4900,100,490000
187,HTP,HNX,04/10/2019,,5300,5300,5300,5300,300,1590000
188,HTP,HNX,07/10/2019,,5800,5800,5800,5800,100,580000
189,HTP,HNX,08/10/2019,,6300,6300,6300,6300,800,5040000
190,HTP,HNX,09/10/2019,,6300,6300,6300,6300,0,0
191,HTP,HNX,10/10/2019,,6900,6900,6900,6900,100,690000
192,HTP,HNX,11/10/2019,,7500,7500,7500,7500,100,750000
193,HTP,HNX,14/10/2019,,7500,7500,7500,7500,0,0
194,HTP,HNX,15/10/2019,,7500,7500,7500,7500,0,0
195,HTP,HNX,16/10/2019,,7500,7500,7500,7500,0,0
196,HTP,HNX,17/10/2019,,7500,7500,7500,7500,0,0
197,HTP,HNX,18/10/2019,,7500,7500,7500,7500,0,0
198,HTP,HNX,21/10/2019,,7500,7500,7500,7500,0,0
199,HTP,HNX,22/10/2019,,7500,7500,7500,7500,0,0
200,HTP,HNX,23/10/2019,,7500,7500,7500,7500,0,0
201,HTP,HNX,24/10/2019,,7500,7500,7500,7500,0,0
202,HTP,HNX,25/10/2019,,7500,7500,7500,7500,0,0
203,HTP,HNX,28/10/2019,,7500,7500,7500,7500,0,0
204,HTP,HNX,29/10/2019,,7500,7500,7500,7500,0,0
205,HTP,HNX,30/10/2019,,7500,7500,7500,7500,0,0
206,HTP,HNX,31/10/2019,,7500,7500,7500,7500,0,0
207,HTP,HNX,01/11/2019,,7500,7500,7500,7500,0,0
208,HTP,HNX,04/11/2019,,7500,7500,7500,7500,0,0
209,HTP,HNX,05/11/2019,,7500,7500,7500,7500,0,0
210,HTP,HNX,06/11/2019,,7500,7500,7500,7500,0,0
211,HTP,HNX,07/11/2019,,7500,7500,7500,7500,0,0
212,HTP,HNX,08/11/2019,,7500,7500,7500,7500,0,0
213,HTP,HNX,11/11/2019,,7500,7500,7500,7500,0,0
214,HTP,HNX,12/11/2019,,7500,7500,7500,7500,0,0
215,HTP,HNX,13/11/2019,,7500,7500,7500,7500,0,0
216,HTP,HNX,14/11/2019,,7500,7500,7500,7500,0,0
217,HTP,HNX,15/11/2019,,7500,7500,7500,7500,0,0
218,HTP,HNX,18/11/2019,,7500,7500,7500,7500,0,0
219,HTP,HNX,19/11/2019,,7500,7500,7500,7500,0,0
220,HTP,HNX,20/11/2019,,7500,7500,7500,7500,0,0
221,HTP,HNX,21/11/2019,,7500,7500,7500,7500,0,0
222,HTP,HNX,22/11/2019,,7500,7500,7500,7500,0,0
223,HTP,HNX,25/11/2019,,7500,7500,7500,7500,0,0
224,HTP,HNX,26/11/2019,,7500,7500,7500,7500,0,0
225,HTP,HNX,27/11/2019,,7500,7500,7500,7500,0,0
226,HTP,HNX,28/11/2019,,7500,7500,7500,7500,0,0
