,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,IDV,HNX,02/01/2019,,12875,12875,12875,12875,5100,136680000
1,IDV,HNX,03/01/2019,,12875,12971,12875,12971,11900,319980000
2,IDV,HNX,04/01/2019,,12875,12875,12875,12875,200,5360000
3,IDV,HNX,07/01/2019,,12971,13211,12971,13211,1235,33752500
4,IDV,HNX,08/01/2019,,13211,13403,13211,13307,6335,175866500
5,IDV,HNX,09/01/2019,,13451,13451,13355,13355,1200,33540000
6,IDV,HNX,10/01/2019,,13403,13451,13403,13451,2423,67631700
7,IDV,HNX,11/01/2019,,13451,13499,13403,13499,5700,159540000
8,IDV,HNX,14/01/2019,,13451,13451,13403,13451,6000,167920000
9,IDV,HNX,15/01/2019,,13451,13499,13451,13499,7300,204800000
10,IDV,HNX,16/01/2019,,13547,13595,13547,13595,3100,87430000
11,IDV,HNX,17/01/2019,,13595,13691,13595,13691,2100,59790000
12,IDV,HNX,18/01/2019,,13691,13691,13595,13595,4500,127920000
13,IDV,HNX,21/01/2019,,13595,13595,13595,13595,2000,56600000
14,IDV,HNX,22/01/2019,,13595,13595,13211,13547,5800,163300000
15,IDV,HNX,23/01/2019,,13547,13547,13547,13547,0,0
16,IDV,HNX,24/01/2019,,13547,13547,13547,13547,0,0
17,IDV,HNX,25/01/2019,,13547,13547,13547,13547,2505,70642800
18,IDV,HNX,28/01/2019,,13595,13595,13547,13547,10404,293964400
19,IDV,HNX,29/01/2019,,13595,13595,13547,13595,3100,87560000
20,IDV,HNX,30/01/2019,,13595,13595,13547,13547,6000,169300000
21,IDV,HNX,31/01/2019,,13643,13643,13595,13595,6100,172660000
22,IDV,HNX,01/02/2019,,13595,13643,13595,13643,5800,164320000
23,IDV,HNX,11/02/2019,,13691,13739,13691,13739,2100,59860000
24,IDV,HNX,12/02/2019,,13787,13932,13787,13932,1200,34480000
25,IDV,HNX,13/02/2019,,13932,13932,13932,13932,800,23200000
26,IDV,HNX,14/02/2019,,14172,14172,13980,14172,1900,55890000
27,IDV,HNX,15/02/2019,,14172,14172,14172,14172,0,0
28,IDV,HNX,18/02/2019,,14220,14268,14220,14220,2550,75500000
29,IDV,HNX,19/02/2019,,14220,14220,14220,14220,3700,109520000
30,IDV,HNX,20/02/2019,,14220,14220,14172,14220,4500,133100000
31,IDV,HNX,21/02/2019,,14268,14268,14268,14268,100,2970000
32,IDV,HNX,22/02/2019,,14220,14220,14220,14220,1500,44400000
33,IDV,HNX,25/02/2019,,14220,14412,14220,14412,9200,273470000
34,IDV,HNX,26/02/2019,,15853,15853,14412,14412,900,27300000
35,IDV,HNX,27/02/2019,,14412,14412,14412,14412,900,27000000
36,IDV,HNX,28/02/2019,,14412,14412,14412,14412,12091,362717700
37,IDV,HNX,01/03/2019,,14412,14652,14316,14652,7300,219410000
38,IDV,HNX,04/03/2019,,14412,14412,14412,14412,3745,112301400
39,IDV,HNX,05/03/2019,,14412,14412,14412,14412,1100,33000000
40,IDV,HNX,06/03/2019,,14652,14652,14652,14652,300,9150000
41,IDV,HNX,07/03/2019,,14412,14412,14412,14412,10000,300000000
42,IDV,HNX,08/03/2019,,14412,14412,14412,14412,4600,138000000
43,IDV,HNX,11/03/2019,,14412,14412,14172,14172,3300,98100000
44,IDV,HNX,12/03/2019,,14412,14412,14172,14172,5100,150500000
45,IDV,HNX,13/03/2019,,14172,14172,14172,14172,5201,153429500
46,IDV,HNX,14/03/2019,,14172,14172,14124,14172,15000,442400000
47,IDV,HNX,15/03/2019,,14172,14172,14172,14172,100,2950000
48,IDV,HNX,18/03/2019,,14172,14172,14172,14172,900,26550000
49,IDV,HNX,19/03/2019,,14220,14220,14172,14172,600,17750000
50,IDV,HNX,20/03/2019,,14172,14172,14172,14172,612,18042000
51,IDV,HNX,21/03/2019,,14220,14220,14172,14172,1108,32712000
52,IDV,HNX,22/03/2019,,14220,14268,14220,14268,2000,59290000
53,IDV,HNX,25/03/2019,,14316,14316,14220,14220,11105,330118000
54,IDV,HNX,26/03/2019,,14364,14364,14220,14364,3586,106194300
55,IDV,HNX,27/03/2019,,14220,14268,14220,14220,5600,165870000
56,IDV,HNX,28/03/2019,,14652,14652,14220,14316,300,8990000
57,IDV,HNX,29/03/2019,,14316,14316,14316,14316,208,6196800
58,IDV,HNX,01/04/2019,,14220,14220,14220,14220,4244,125622400
59,IDV,HNX,02/04/2019,,14220,14220,14220,14220,0,0
60,IDV,HNX,03/04/2019,,14268,14412,14268,14268,1308,38876800
61,IDV,HNX,04/04/2019,,14268,14268,14268,14268,5000,148500000
62,IDV,HNX,05/04/2019,,14318,14417,14318,14417,2100,60700000
63,IDV,HNX,08/04/2019,,14368,14368,14318,14318,2200,63480000
64,IDV,HNX,09/04/2019,,12926,12926,12926,12926,100,2600000
65,IDV,HNX,10/04/2019,,13423,14169,12926,14020,1187,32453700
66,IDV,HNX,11/04/2019,,14169,14169,14169,14169,5000,142500000
67,IDV,HNX,12/04/2019,,15412,15412,14219,14219,1900,58650000
68,IDV,HNX,16/04/2019,,14417,14417,14417,14417,2540,73660000
69,IDV,HNX,17/04/2019,,14417,14417,14417,14417,2217,64310000
70,IDV,HNX,18/04/2019,,14417,14915,14417,14915,1123,32989400
