,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,ITQ,HNX,02/01/2019,,3230,3325,3230,3325,200,690000
1,ITQ,HNX,03/01/2019,,3230,3230,3135,3135,9400,31920000
2,ITQ,HNX,04/01/2019,,3135,3135,3135,3135,36500,120450000
3,ITQ,HNX,07/01/2019,,3135,3420,3040,3135,774700,2655550000
4,ITQ,HNX,08/01/2019,,3135,3230,2945,3230,216900,697290000
5,ITQ,HNX,09/01/2019,,3230,3230,3040,3230,39600,129700000
6,ITQ,HNX,10/01/2019,,3135,3135,3040,3135,258900,829660000
7,ITQ,HNX,11/01/2019,,3040,3135,2945,3135,152500,477960000
8,ITQ,HNX,14/01/2019,,3040,3135,3040,3135,16300,52280000
9,ITQ,HNX,15/01/2019,,3040,3040,2850,2945,504000,1526790000
10,ITQ,HNX,16/01/2019,,2850,2850,2660,2755,209100,606440000
11,ITQ,HNX,17/01/2019,,2660,2945,2660,2755,217400,651950000
12,ITQ,HNX,18/01/2019,,2850,2850,2755,2850,5600,16480000
13,ITQ,HNX,21/01/2019,,2850,2850,2660,2850,91900,270760000
14,ITQ,HNX,22/01/2019,,2850,2850,2755,2755,77700,229990000
15,ITQ,HNX,23/01/2019,,2755,2850,2755,2755,29900,88580000
16,ITQ,HNX,24/01/2019,,2755,2755,2660,2660,36000,103250000
17,ITQ,HNX,25/01/2019,,2755,2755,2660,2755,51600,149240000
18,ITQ,HNX,28/01/2019,,2660,2755,2660,2755,48200,136420000
19,ITQ,HNX,29/01/2019,,2660,2755,2565,2755,52200,146290000
20,ITQ,HNX,30/01/2019,,2755,2755,2565,2565,136200,375180000
21,ITQ,HNX,31/01/2019,,2660,2755,2660,2660,279800,804660000
22,ITQ,HNX,01/02/2019,,2660,2660,2565,2565,217500,588300000
23,ITQ,HNX,11/02/2019,,2660,2755,2660,2660,380500,1083310000
24,ITQ,HNX,12/02/2019,,2660,2755,2660,2755,176116,496236400
25,ITQ,HNX,13/02/2019,,2755,2755,2660,2660,29200,83680000
26,ITQ,HNX,14/02/2019,,2660,2850,2660,2755,441100,1273430000
27,ITQ,HNX,15/02/2019,,2755,2755,2755,2755,243600,706440000
28,ITQ,HNX,18/02/2019,,2755,2850,2755,2850,127100,368630000
29,ITQ,HNX,19/02/2019,,2755,2850,2755,2850,53900,156540000
30,ITQ,HNX,20/02/2019,,2755,3040,2755,2945,519200,1607600000
31,ITQ,HNX,21/02/2019,,2945,3040,2945,3040,93900,295010000
32,ITQ,HNX,22/02/2019,,3040,3040,2945,3040,179300,561440000
33,ITQ,HNX,25/02/2019,,2945,3040,2850,2850,106430,327757000
34,ITQ,HNX,26/02/2019,,2850,3040,2850,2945,372900,1175580000
35,ITQ,HNX,27/02/2019,,2850,2945,2850,2945,2600,7850000
36,ITQ,HNX,28/02/2019,,2945,2945,2850,2945,96900,291030000
37,ITQ,HNX,01/03/2019,,2945,2945,2945,2945,3800,11780000
38,ITQ,HNX,04/03/2019,,2945,3040,2945,3040,63300,196290000
39,ITQ,HNX,05/03/2019,,2945,3040,2850,3040,66100,205250000
40,ITQ,HNX,06/03/2019,,2850,3040,2850,3040,123000,379040000
41,ITQ,HNX,07/03/2019,,3040,3325,3040,3325,787710,2732214000
42,ITQ,HNX,08/03/2019,,3420,3515,3325,3325,394300,1428490000
43,ITQ,HNX,11/03/2019,,3325,3610,3325,3610,1779900,6692390000
44,ITQ,HNX,12/03/2019,,3800,3895,3325,3325,2510710,9173768800
45,ITQ,HNX,13/03/2019,,3325,3610,3325,3610,845400,3150580000
46,ITQ,HNX,14/03/2019,,3610,3800,3515,3800,266616,1047440200
47,ITQ,HNX,15/03/2019,,3705,3895,3420,3800,1296312,4900938000
48,ITQ,HNX,18/03/2019,,3610,3610,3420,3420,1742100,6327420000
49,ITQ,HNX,19/03/2019,,3325,3420,3230,3325,20100,69340000
50,ITQ,HNX,20/03/2019,,3230,3325,3040,3230,455000,1472320000
51,ITQ,HNX,21/03/2019,,3135,3135,2945,2945,474050,1502305000
52,ITQ,HNX,22/03/2019,,2945,3135,2850,3040,410118,1276349400
53,ITQ,HNX,25/03/2019,,2945,2945,2755,2755,1105600,3222800000
54,ITQ,HNX,26/03/2019,,2850,2945,2850,2945,554640,1700588000
55,ITQ,HNX,27/03/2019,,2850,2945,2850,2945,98640,296744000
56,ITQ,HNX,28/03/2019,,2850,2945,2850,2945,73600,221350000
57,ITQ,HNX,29/03/2019,,2850,2945,2755,2945,233800,693350000
58,ITQ,HNX,01/04/2019,,2850,2850,2755,2850,390300,1140670000
