,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,IVS,HNX,02/01/2019,,12900,12900,11300,12900,10200,116010000
1,IVS,HNX,03/01/2019,,11800,11800,11700,11700,600,7070000
2,IVS,HNX,04/01/2019,,12000,12000,11600,11600,178100,2107250000
3,IVS,HNX,07/01/2019,,11900,12000,11500,11800,167700,1995900000
4,IVS,HNX,08/01/2019,,11700,11700,11700,11700,4000,46800000
5,IVS,HNX,09/01/2019,,11700,11700,11700,11700,800,9360000
6,IVS,HNX,10/01/2019,,11700,11700,11700,11700,0,0
7,IVS,HNX,11/01/2019,,11500,11500,10900,11000,349400,3979970000
8,IVS,HNX,14/01/2019,,11000,12000,11000,12000,6100,67200000
9,IVS,HNX,15/01/2019,,12000,12000,12000,12000,0,0
10,IVS,HNX,16/01/2019,,12000,12000,12000,12000,0,0
11,IVS,HNX,17/01/2019,,12000,12000,12000,12000,0,0
12,IVS,HNX,18/01/2019,,10800,11400,10800,11400,12200,131880000
13,IVS,HNX,21/01/2019,,11100,11100,11100,11100,500,5550000
14,IVS,HNX,22/01/2019,,10200,11900,10200,11900,357800,3771870000
15,IVS,HNX,23/01/2019,,11900,11900,11000,11000,1500,16950000
16,IVS,HNX,24/01/2019,,10900,11800,10200,11800,9000,98900000
17,IVS,HNX,25/01/2019,,11700,11700,11000,11400,5700,64550000
18,IVS,HNX,28/01/2019,,11300,11300,11300,11300,2000,22600000
19,IVS,HNX,29/01/2019,,11100,11100,11100,11100,1000,11100000
20,IVS,HNX,30/01/2019,,11000,11000,11000,11000,2000,22000000
21,IVS,HNX,31/01/2019,,11800,11800,11800,11800,500,5900000
22,IVS,HNX,01/02/2019,,12800,12800,11000,11200,2300,26400000
23,IVS,HNX,11/02/2019,,11300,12300,10800,11000,9400,103620000
24,IVS,HNX,12/02/2019,,11100,11100,11100,11100,1500,16650000
25,IVS,HNX,13/02/2019,,11100,11100,11100,11100,500,5550000
26,IVS,HNX,14/02/2019,,11200,11200,11200,11200,500,5600000
27,IVS,HNX,15/02/2019,,11100,11100,11100,11100,500,5550000
28,IVS,HNX,18/02/2019,,11100,11100,11100,11100,500,5550000
29,IVS,HNX,19/02/2019,,10600,10900,10600,10900,3000,32100000
30,IVS,HNX,20/02/2019,,11200,11200,11200,11200,500,5600000
31,IVS,HNX,21/02/2019,,11200,11700,10100,10300,8200,90220000
32,IVS,HNX,22/02/2019,,10900,10900,10900,10900,1100,11990000
33,IVS,HNX,25/02/2019,,11800,11800,10600,11300,17200,195120000
34,IVS,HNX,26/02/2019,,11400,11400,11300,11300,3540,40012000
35,IVS,HNX,27/02/2019,,11700,11700,11400,11400,520,5966000
36,IVS,HNX,28/02/2019,,11600,11600,11600,11600,500,5800000
37,IVS,HNX,01/03/2019,,11600,11600,11600,11600,0,0
38,IVS,HNX,04/03/2019,,10600,11200,10600,11200,3000,31910000
39,IVS,HNX,05/03/2019,,11100,11100,11100,11100,10500,116550000
40,IVS,HNX,06/03/2019,,11200,11200,11200,11200,9000,100800000
41,IVS,HNX,07/03/2019,,11100,11100,11100,11100,1000,11100000
42,IVS,HNX,08/03/2019,,11000,11000,11000,11000,1000,11000000
43,IVS,HNX,11/03/2019,,11200,11200,11200,11200,500,5600000
44,IVS,HNX,12/03/2019,,10100,11100,10100,11000,18200,184370000
45,IVS,HNX,13/03/2019,,10900,10900,10000,10000,2400,25800000
46,IVS,HNX,14/03/2019,,9300,10900,9300,10700,10300,102150000
47,IVS,HNX,15/03/2019,,10700,10900,10100,10200,4600,47770000
48,IVS,HNX,18/03/2019,,9400,11100,9400,10900,4500,47510000
49,IVS,HNX,19/03/2019,,11000,11000,9900,10600,6500,65550000
50,IVS,HNX,20/03/2019,,9900,10600,9900,10600,1100,11100000
51,IVS,HNX,21/03/2019,,9800,11200,9800,10800,7900,82060000
52,IVS,HNX,22/03/2019,,10400,10900,10400,10900,3700,38560000
53,IVS,HNX,25/03/2019,,11200,11200,11200,11200,510,5712000
54,IVS,HNX,26/03/2019,,11200,11200,10200,10400,14050,144805000
55,IVS,HNX,27/03/2019,,10700,10700,10700,10700,500,5350000
56,IVS,HNX,28/03/2019,,10700,10700,10700,10700,0,0
57,IVS,HNX,29/03/2019,,10700,10700,10700,10700,0,0
58,IVS,HNX,01/04/2019,,10100,10100,10100,10100,1600,16160000
59,IVS,HNX,02/04/2019,,10200,10200,10100,10100,6500,65700000
60,IVS,HNX,03/04/2019,,10100,11100,9300,10800,23600,238890000
61,IVS,HNX,04/04/2019,,9800,10600,9800,10600,2800,28480000
62,IVS,HNX,05/04/2019,,9700,10500,9600,10500,5000,50550000
63,IVS,HNX,08/04/2019,,10400,10400,9900,10200,4500,45900000
64,IVS,HNX,09/04/2019,,9800,10500,9800,10300,6800,69300000
65,IVS,HNX,10/04/2019,,9400,10100,9400,10100,3700,36670000
66,IVS,HNX,11/04/2019,,11100,11100,11100,11100,100,1110000
67,IVS,HNX,12/04/2019,,11100,11100,11100,11100,0,0
68,IVS,HNX,16/04/2019,,10200,10200,10200,10200,600,6120000
69,IVS,HNX,17/04/2019,,10200,10200,10200,10200,0,0
70,IVS,HNX,18/04/2019,,10900,10900,10900,10900,500,5450000
71,IVS,HNX,19/04/2019,,10800,10800,9900,9900,18000,180200000
72,IVS,HNX,22/04/2019,,10600,10600,9200,10600,3000,29000000
73,IVS,HNX,23/04/2019,,10200,10200,10200,10200,900,9180000
74,IVS,HNX,24/04/2019,,10200,10200,10200,10200,0,0
75,IVS,HNX,25/04/2019,,9900,9900,9900,9900,7500,74250000
76,IVS,HNX,26/04/2019,,9900,10000,9900,10000,500,4990000
77,IVS,HNX,02/05/2019,,10000,10000,10000,10000,0,0
78,IVS,HNX,03/05/2019,,10200,10200,10200,10200,1000,10200000
79,IVS,HNX,06/05/2019,,10200,10200,10200,10200,0,0
80,IVS,HNX,07/05/2019,,9900,10000,9300,9900,808100,7947890000
81,IVS,HNX,08/05/2019,,9500,9800,9500,9800,6000,57300000
82,IVS,HNX,09/05/2019,,10100,10100,9600,9600,2500,24250000
83,IVS,HNX,10/05/2019,,10200,10200,9400,9600,2100,20360000
84,IVS,HNX,13/05/2019,,9900,9900,9900,9900,500,4950000
85,IVS,HNX,14/05/2019,,9900,9900,9900,9900,0,0
86,IVS,HNX,15/05/2019,,9900,9900,9900,9900,0,0
87,IVS,HNX,16/05/2019,,9900,9900,9900,9900,0,0
88,IVS,HNX,17/05/2019,,10200,10200,9100,9400,10400,94920000
89,IVS,HNX,20/05/2019,,9800,9800,9800,9800,500,4900000
90,IVS,HNX,21/05/2019,,9000,9400,9000,9400,10500,95200000
91,IVS,HNX,22/05/2019,,8500,9600,8500,9600,10900,95220000
92,IVS,HNX,23/05/2019,,8700,10500,8700,10000,17800,169650000
93,IVS,HNX,24/05/2019,,9100,9900,9100,9200,3900,35740000
94,IVS,HNX,27/05/2019,,8600,9900,8600,9900,2000,17850000
95,IVS,HNX,28/05/2019,,9100,9800,9100,9800,4000,36750000
96,IVS,HNX,29/05/2019,,9800,9800,9800,9800,0,0
97,IVS,HNX,30/05/2019,,9100,9600,9100,9600,600,5710000
98,IVS,HNX,31/05/2019,,9500,9800,9500,9800,500,4870000
99,IVS,HNX,03/06/2019,,9900,9900,9100,9700,4500,42290000
100,IVS,HNX,04/06/2019,,9500,9500,9500,9500,5000,47500000
101,IVS,HNX,05/06/2019,,9900,9900,9000,9600,9000,84300000
102,IVS,HNX,06/06/2019,,9500,10500,9500,10500,200,2000000
103,IVS,HNX,07/06/2019,,10500,10500,10500,10500,0,0
104,IVS,HNX,10/06/2019,,10200,10200,9500,9900,6800,66780000
105,IVS,HNX,11/06/2019,,9000,9500,9000,9500,1101,10410000
106,IVS,HNX,12/06/2019,,9500,9600,9500,9600,3000,28510000
107,IVS,HNX,13/06/2019,,9600,9600,9600,9600,0,0
108,IVS,HNX,14/06/2019,,9400,9500,9400,9500,8000,75400000
109,IVS,HNX,17/06/2019,,8600,9400,8600,9400,2000,18300000
110,IVS,HNX,18/06/2019,,8500,9400,8500,9300,15100,133840000
111,IVS,HNX,19/06/2019,,9000,10200,9000,9500,362800,3284760000
112,IVS,HNX,20/06/2019,,9000,10200,9000,9500,362800,3284760000
113,IVS,HNX,21/06/2019,,9500,9500,9500,9500,3500,33000000
114,IVS,HNX,24/06/2019,,9500,10200,9500,10200,6500,61820000
115,IVS,HNX,25/06/2019,,9200,9300,9200,9200,19200,177140000
116,IVS,HNX,26/06/2019,,8700,8800,8600,8800,15800,137380000
117,IVS,HNX,27/06/2019,,9100,9100,9100,9100,100,910000
118,IVS,HNX,28/06/2019,,8700,9200,8700,9200,1500,13300000
119,IVS,HNX,01/07/2019,,9300,9300,9200,9200,2100,19470000
120,IVS,HNX,02/07/2019,,8900,8900,8900,8900,1300,11570000
121,IVS,HNX,03/07/2019,,9100,9700,9100,9700,16000,146890000
122,IVS,HNX,04/07/2019,,9400,9400,9400,9400,2500,23500000
123,IVS,HNX,05/07/2019,,9400,9400,9400,9400,0,0
124,IVS,HNX,08/07/2019,,9400,9800,9400,9800,27200,258580000
125,IVS,HNX,09/07/2019,,9800,10500,9800,10300,15600,153330000
126,IVS,HNX,10/07/2019,,10100,11200,10000,10500,50400,518800000
127,IVS,HNX,11/07/2019,,10500,10900,10500,10900,3800,40650000
128,IVS,HNX,12/07/2019,,10800,11900,10500,11100,39600,455640000
129,IVS,HNX,15/07/2019,,12200,12200,10200,11500,21100,235810000
130,IVS,HNX,16/07/2019,,10600,11800,10400,11800,5600,62270000
131,IVS,HNX,17/07/2019,,12000,12900,11000,11800,9800,109050000
132,IVS,HNX,18/07/2019,,11000,11000,11000,11000,1800,19800000
133,IVS,HNX,19/07/2019,,11000,11000,11000,11000,1000,11000000
134,IVS,HNX,22/07/2019,,10900,12000,9900,9900,10200,101660000
135,IVS,HNX,23/07/2019,,10500,10500,10500,10500,6800,71400000
136,IVS,HNX,24/07/2019,,10500,10500,10500,10500,0,0
137,IVS,HNX,25/07/2019,,9700,9700,9700,9700,200,1940000
138,IVS,HNX,26/07/2019,,9700,9700,9500,9500,15300,148210000
139,IVS,HNX,29/07/2019,,9400,9400,9400,9400,1000,9400000
140,IVS,HNX,30/07/2019,,9400,9500,9400,9500,5400,51200000
141,IVS,HNX,31/07/2019,,9500,9500,9500,9500,1300,12350000
142,IVS,HNX,01/08/2019,,9500,10400,9500,9500,15100,143540000
143,IVS,HNX,02/08/2019,,9500,10400,9500,9500,0,0
144,IVS,HNX,05/08/2019,,9500,10400,9500,9500,21400,204540000
145,IVS,HNX,06/08/2019,,10400,10400,9100,10400,5800,55540000
146,IVS,HNX,07/08/2019,,9600,10000,9600,10000,3100,29800000
147,IVS,HNX,08/08/2019,,9600,10000,9600,10000,10100,97000000
148,IVS,HNX,09/08/2019,,9600,10000,9600,10000,0,0
149,IVS,HNX,12/08/2019,,9900,11000,9900,11000,700,7040000
150,IVS,HNX,13/08/2019,,9900,11000,9900,11000,0,0
151,IVS,HNX,14/08/2019,,10000,11000,9900,9900,53500,530900000
152,IVS,HNX,15/08/2019,,9800,9900,9800,9900,3800,37520000
153,IVS,HNX,16/08/2019,,9300,9300,9300,9300,2200,20460000
154,IVS,HNX,19/08/2019,,9700,9700,9700,9700,100,970000
155,IVS,HNX,20/08/2019,,9700,9700,9700,9700,0,0
156,IVS,HNX,21/08/2019,,9800,10100,9700,9700,1400,13640000
157,IVS,HNX,22/08/2019,,9800,10100,9700,9700,0,0
158,IVS,HNX,23/08/2019,,9000,10400,8800,10400,4900,43480000
159,IVS,HNX,26/08/2019,,9400,10500,9400,10500,21800,205130000
160,IVS,HNX,27/08/2019,,9800,9800,9800,9800,2700,26460000
161,IVS,HNX,28/08/2019,,9200,9200,9100,9100,1400,12750000
162,IVS,HNX,29/08/2019,,9200,9200,9100,9100,0,0
163,IVS,HNX,30/08/2019,,9200,9400,9100,9400,5600,51040000
164,IVS,HNX,03/09/2019,,9400,9400,9400,9400,400,3760000
165,IVS,HNX,04/09/2019,,9300,9300,9300,9300,3300,30690000
166,IVS,HNX,05/09/2019,,9300,9300,9300,9300,0,0
167,IVS,HNX,06/09/2019,,9300,9300,9300,9300,0,0
168,IVS,HNX,09/09/2019,,9300,9300,9100,9100,4000,37100000
169,IVS,HNX,10/09/2019,,9300,9300,9300,9300,500,4650000
