,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,KDM,HNX,02/01/2019,,4000,4100,3800,3800,7300,28300000
1,KDM,HNX,03/01/2019,,3600,3700,3500,3700,24600,86620000
2,KDM,HNX,04/01/2019,,3700,3800,3400,3800,5500,18960000
3,KDM,HNX,07/01/2019,,3600,3700,3600,3700,3700,13450000
4,KDM,HNX,08/01/2019,,3600,3700,3600,3700,2900,10540000
5,KDM,HNX,09/01/2019,,3700,3700,3700,3700,200,740000
6,KDM,HNX,10/01/2019,,3500,3700,3500,3700,5500,19270000
7,KDM,HNX,11/01/2019,,3700,3700,3700,3700,0,0
8,KDM,HNX,14/01/2019,,3500,3600,3500,3600,3600,12680000
9,KDM,HNX,15/01/2019,,3600,3600,3600,3600,1900,6840000
10,KDM,HNX,16/01/2019,,3600,3600,3500,3500,6600,23110000
11,KDM,HNX,17/01/2019,,3500,3500,3500,3500,2200,7700000
12,KDM,HNX,18/01/2019,,3500,3500,3500,3500,4400,15400000
13,KDM,HNX,21/01/2019,,3600,3600,3600,3600,2300,8280000
14,KDM,HNX,22/01/2019,,3500,3600,3500,3600,1100,3940000
15,KDM,HNX,23/01/2019,,3600,3700,3600,3700,4400,16080000
16,KDM,HNX,24/01/2019,,3700,3700,3700,3700,15510,57386000
17,KDM,HNX,25/01/2019,,3700,3700,3700,3700,100,370000
18,KDM,HNX,28/01/2019,,3400,3400,3400,3400,4500,15300000
19,KDM,HNX,29/01/2019,,3600,3700,3600,3700,200,730000
20,KDM,HNX,30/01/2019,,3700,3700,3400,3400,18600,63690000
21,KDM,HNX,31/01/2019,,3600,3600,3400,3400,400,1390000
22,KDM,HNX,01/02/2019,,3700,3700,3700,3700,800,2960000
23,KDM,HNX,11/02/2019,,3700,3800,3700,3800,1800,6670000
24,KDM,HNX,12/02/2019,,3700,3700,3700,3700,900,3330000
25,KDM,HNX,13/02/2019,,3700,3700,3700,3700,0,0
26,KDM,HNX,14/02/2019,,3700,3700,3700,3700,0,0
27,KDM,HNX,15/02/2019,,3500,3700,3500,3700,1100,3870000
28,KDM,HNX,18/02/2019,,3500,3500,3400,3400,21100,71840000
29,KDM,HNX,19/02/2019,,3400,3400,3100,3300,70000,217690000
30,KDM,HNX,20/02/2019,,3000,3500,3000,3500,8400,26020000
31,KDM,HNX,21/02/2019,,3600,3600,3300,3300,11900,39300000
32,KDM,HNX,22/02/2019,,3300,3300,3300,3300,4200,13860000
33,KDM,HNX,25/02/2019,,3200,3300,3000,3000,17900,55740000
34,KDM,HNX,26/02/2019,,3100,3100,3000,3100,6800,21040000
35,KDM,HNX,27/02/2019,,3100,3200,3100,3200,1900,5910000
36,KDM,HNX,28/02/2019,,3200,3300,3200,3300,1300,4170000
37,KDM,HNX,01/03/2019,,3200,3500,3200,3500,3600,12180000
38,KDM,HNX,04/03/2019,,3500,3500,3500,3500,0,0
39,KDM,HNX,05/03/2019,,3300,3500,3300,3500,2500,8410000
40,KDM,HNX,06/03/2019,,3300,3500,3300,3500,5300,18030000
41,KDM,HNX,07/03/2019,,3500,3500,3500,3500,0,0
42,KDM,HNX,08/03/2019,,3300,3300,3200,3300,5100,16410000
43,KDM,HNX,11/03/2019,,3200,3200,3200,3200,1500,4800000
44,KDM,HNX,12/03/2019,,3300,3300,3300,3300,1800,5940000
45,KDM,HNX,13/03/2019,,3300,3300,3300,3300,0,0
46,KDM,HNX,14/03/2019,,3200,3200,3000,3100,39000,119520000
47,KDM,HNX,15/03/2019,,3100,3200,3000,3200,22500,69600000
48,KDM,HNX,18/03/2019,,3000,3300,3000,3300,9200,27630000
49,KDM,HNX,19/03/2019,,3100,3100,3100,3100,14300,44330000
50,KDM,HNX,20/03/2019,,3100,3100,3100,3100,10500,32550000
51,KDM,HNX,21/03/2019,,3100,3200,3000,3000,19300,58340000
52,KDM,HNX,22/03/2019,,3100,3100,3000,3000,21000,63260000
53,KDM,HNX,25/03/2019,,3000,3100,3000,3100,1600,4810000
54,KDM,HNX,26/03/2019,,3000,3100,3000,3100,200,610000
55,KDM,HNX,27/03/2019,,3000,3100,3000,3100,9000,27800000
56,KDM,HNX,28/03/2019,,3100,3200,3100,3200,400,1270000
57,KDM,HNX,29/03/2019,,3200,3200,3200,3200,0,0
58,KDM,HNX,01/04/2019,,3200,3200,3200,3200,0,0
59,KDM,HNX,02/04/2019,,3200,3200,3100,3100,800,2550000
60,KDM,HNX,03/04/2019,,3000,3000,2800,3000,10000,29650000
61,KDM,HNX,04/04/2019,,3000,3000,3000,3000,1100,3300000
62,KDM,HNX,05/04/2019,,3000,3100,3000,3100,2600,7910000
63,KDM,HNX,08/04/2019,,3000,3300,3000,3200,7200,22640000
64,KDM,HNX,09/04/2019,,3200,3300,3200,3200,3200,10250000
65,KDM,HNX,10/04/2019,,3200,3200,3200,3200,0,0
66,KDM,HNX,11/04/2019,,3000,3200,3000,3200,8500,25700000
67,KDM,HNX,12/04/2019,,3100,3100,3100,3100,5700,17670000
68,KDM,HNX,16/04/2019,,3100,3100,3000,3100,7700,23290000
69,KDM,HNX,17/04/2019,,3000,3200,3000,3200,6600,20120000
70,KDM,HNX,18/04/2019,,3000,3100,3000,3100,3200,9620000
71,KDM,HNX,19/04/2019,,3100,3100,3100,3100,2600,8060000
72,KDM,HNX,22/04/2019,,3000,3100,2900,2900,7200,21410000
73,KDM,HNX,23/04/2019,,3100,3100,3100,3100,2000,6200000
74,KDM,HNX,24/04/2019,,3400,3400,3400,3400,27800,94520000
75,KDM,HNX,25/04/2019,,3600,3700,3600,3700,69110,255677000
76,KDM,HNX,26/04/2019,,4000,4000,3700,3800,73270,287370000
77,KDM,HNX,02/05/2019,,4000,4000,3800,3800,22100,86730000
78,KDM,HNX,03/05/2019,,3700,3700,3500,3500,56000,196060000
79,KDM,HNX,06/05/2019,,3300,3300,3200,3200,27800,89260000
80,KDM,HNX,07/05/2019,,3100,3300,3100,3200,22800,73090000
81,KDM,HNX,08/05/2019,,3100,3300,3100,3300,25400,79560000
82,KDM,HNX,09/05/2019,,3200,3200,3200,3200,9200,29440000
83,KDM,HNX,10/05/2019,,3200,3500,3200,3200,14300,46100000
84,KDM,HNX,13/05/2019,,3300,3500,3200,3200,10300,33080000
85,KDM,HNX,14/05/2019,,3500,3500,3200,3400,44100,146770000
86,KDM,HNX,15/05/2019,,3400,3700,3400,3700,139310,507633000
87,KDM,HNX,16/05/2019,,3700,3700,3600,3600,14100,52140000
88,KDM,HNX,17/05/2019,,3700,3900,3400,3600,53500,184010000
89,KDM,HNX,20/05/2019,,3800,3900,3400,3400,200000,736980000
90,KDM,HNX,21/05/2019,,3400,3700,3400,3700,25000,87970000
91,KDM,HNX,22/05/2019,,3500,3500,3400,3400,39200,133350000
92,KDM,HNX,23/05/2019,,3400,3600,3400,3600,72410,259684000
93,KDM,HNX,24/05/2019,,3400,3400,3400,3400,15000,51000000
94,KDM,HNX,27/05/2019,,3400,3500,3300,3300,23500,82030000
95,KDM,HNX,28/05/2019,,3300,3500,3300,3500,3000,10110000
96,KDM,HNX,29/05/2019,,3500,3500,3500,3500,10,35000
97,KDM,HNX,30/05/2019,,3300,3500,3300,3500,3400,11480000
98,KDM,HNX,31/05/2019,,3500,3500,3500,3500,0,0
99,KDM,HNX,03/06/2019,,3400,3400,3400,3400,33000,112200000
100,KDM,HNX,04/06/2019,,3300,3300,3300,3300,6600,21780000
101,KDM,HNX,05/06/2019,,3300,3300,3300,3300,0,0
102,KDM,HNX,06/06/2019,,3200,3200,3200,3200,30000,96000000
103,KDM,HNX,07/06/2019,,3200,3200,3200,3200,0,0
104,KDM,HNX,10/06/2019,,3200,3400,3200,3400,1500,4830000
105,KDM,HNX,11/06/2019,,3400,3400,3400,3400,0,0
106,KDM,HNX,12/06/2019,,3400,3400,3400,3400,0,0
107,KDM,HNX,13/06/2019,,3400,3400,3400,3400,0,0
108,KDM,HNX,14/06/2019,,3300,3300,3300,3300,400,1320000
109,KDM,HNX,17/06/2019,,3400,3500,3400,3500,300,1030000
110,KDM,HNX,18/06/2019,,3400,3400,3400,3400,100,340000
111,KDM,HNX,19/06/2019,,3400,3400,3400,3400,10,32000
112,KDM,HNX,20/06/2019,,3400,3400,3400,3400,10,32000
113,KDM,HNX,21/06/2019,,3400,3500,3300,3400,12830,43000000
114,KDM,HNX,24/06/2019,,3500,3500,3500,3500,100,350000
115,KDM,HNX,25/06/2019,,3200,3500,3200,3500,3000,9820000
116,KDM,HNX,26/06/2019,,3300,3500,3300,3500,2100,6950000
117,KDM,HNX,27/06/2019,,3300,3300,3300,3300,5000,16500000
118,KDM,HNX,28/06/2019,,3500,3500,3200,3200,2300,7400000
119,KDM,HNX,01/07/2019,,3400,3400,3400,3400,100,340000
120,KDM,HNX,02/07/2019,,3500,3500,3500,3500,100,350000
121,KDM,HNX,03/07/2019,,3500,3500,3500,3500,0,0
122,KDM,HNX,04/07/2019,,3500,3500,3500,3500,0,0
123,KDM,HNX,05/07/2019,,3200,3200,3200,3200,15800,50560000
124,KDM,HNX,08/07/2019,,3200,3200,3200,3200,11000,35200000
125,KDM,HNX,09/07/2019,,3400,3400,3400,3400,100,340000
126,KDM,HNX,10/07/2019,,3400,3400,3400,3400,0,0
127,KDM,HNX,11/07/2019,,3500,3500,3500,3500,100,350000
128,KDM,HNX,12/07/2019,,3200,3500,3200,3200,29200,93470000
129,KDM,HNX,15/07/2019,,3200,3500,3200,3200,0,0
130,KDM,HNX,16/07/2019,,3200,3200,3200,3200,2400,7680000
131,KDM,HNX,17/07/2019,,3000,3200,3000,3200,400,1220000
132,KDM,HNX,18/07/2019,,3000,3200,3000,3200,0,0
133,KDM,HNX,19/07/2019,,3000,3200,3000,3200,0,0
134,KDM,HNX,22/07/2019,,3300,3300,3000,3200,6600,21020000
135,KDM,HNX,23/07/2019,,3300,3300,3200,3200,3100,9930000
136,KDM,HNX,24/07/2019,,3200,3200,3200,3200,9000,28800000
137,KDM,HNX,25/07/2019,,3200,3200,3200,3200,0,0
138,KDM,HNX,26/07/2019,,3200,3200,3100,3100,6500,20250000
139,KDM,HNX,29/07/2019,,3200,3200,3100,3100,0,0
140,KDM,HNX,30/07/2019,,3100,3100,3000,3000,2400,7430000
141,KDM,HNX,31/07/2019,,3100,3100,3000,3000,5400,16240000
142,KDM,HNX,01/08/2019,,2800,3100,2800,3000,18400,55290000
143,KDM,HNX,02/08/2019,,3000,3000,3000,3000,3100,9300000
144,KDM,HNX,05/08/2019,,3000,3300,3000,3300,3700,11190000
145,KDM,HNX,06/08/2019,,3000,3300,3000,3300,0,0
146,KDM,HNX,07/08/2019,,3000,3000,3000,3000,17300,51900000
147,KDM,HNX,08/08/2019,,3100,3100,3100,3100,100,310000
148,KDM,HNX,09/08/2019,,3000,3000,3000,3000,5200,15600000
149,KDM,HNX,12/08/2019,,3000,3000,3000,3000,0,0
150,KDM,HNX,13/08/2019,,2900,2900,2700,2800,8800,25070000
151,KDM,HNX,14/08/2019,,2900,3000,2800,2900,11100,31290000
152,KDM,HNX,15/08/2019,,2800,2900,2800,2900,5400,15160000
153,KDM,HNX,16/08/2019,,2800,2800,2700,2800,11900,32430000
154,KDM,HNX,19/08/2019,,2700,2700,2700,2700,5600,15120000
155,KDM,HNX,20/08/2019,,2700,2700,2700,2700,2000,5400000
156,KDM,HNX,21/08/2019,,2700,2700,2700,2700,1000,2700000
157,KDM,HNX,22/08/2019,,2600,2600,2600,2600,100,260000
158,KDM,HNX,23/08/2019,,2600,2700,2600,2600,4700,12320000
159,KDM,HNX,26/08/2019,,2600,2600,2600,2600,1100,2860000
160,KDM,HNX,27/08/2019,,2600,2700,2500,2500,9800,25420000
161,KDM,HNX,28/08/2019,,2600,2600,2400,2400,7000,17490000
162,KDM,HNX,29/08/2019,,2500,2500,2500,2500,700,1750000
163,KDM,HNX,30/08/2019,,2500,2500,2500,2500,400,1000000
164,KDM,HNX,03/09/2019,,2500,2500,2500,2500,0,0
165,KDM,HNX,04/09/2019,,2400,2400,2400,2400,700,1680000
166,KDM,HNX,05/09/2019,,2400,2400,2400,2400,0,0
167,KDM,HNX,06/09/2019,,2500,2500,2500,2500,100,250000
168,KDM,HNX,09/09/2019,,2500,2500,2500,2500,0,0
169,KDM,HNX,10/09/2019,,2500,2500,2500,2500,0,0
170,KDM,HNX,11/09/2019,,2500,2500,2500,2500,0,0
171,KDM,HNX,12/09/2019,,2500,2500,2500,2500,500,1250000
172,KDM,HNX,13/09/2019,,2500,2500,2500,2500,0,0
173,KDM,HNX,16/09/2019,,2300,2300,2300,2300,3900,8970000
174,KDM,HNX,17/09/2019,,2300,2300,2300,2300,0,0
175,KDM,HNX,18/09/2019,,2300,2300,2300,2300,0,0
176,KDM,HNX,19/09/2019,,2300,2400,2300,2400,600,1390000
177,KDM,HNX,20/09/2019,,2400,2500,2400,2500,1900,4740000
178,KDM,HNX,23/09/2019,,2500,2500,2500,2500,1500,3750000
179,KDM,HNX,24/09/2019,,2500,2500,2500,2500,3000,7500000
180,KDM,HNX,25/09/2019,,2500,2500,2500,2500,0,0
181,KDM,HNX,26/09/2019,,2500,2500,2500,2500,2000,5000000
182,KDM,HNX,27/09/2019,,2500,2600,2500,2600,1200,3100000
183,KDM,HNX,30/09/2019,,2500,2700,2500,2700,300,770000
184,KDM,HNX,01/10/2019,,2600,2600,2600,2600,500,1300000
185,KDM,HNX,02/10/2019,,2500,2500,2500,2500,1000,2500000
186,KDM,HNX,03/10/2019,,2400,2400,2300,2300,37600,86720000
187,KDM,HNX,04/10/2019,,2200,2500,2200,2500,5600,12450000
188,KDM,HNX,07/10/2019,,2700,2700,2500,2600,1100,2820000
189,KDM,HNX,08/10/2019,,2600,2700,2600,2700,1100,2900000
190,KDM,HNX,09/10/2019,,2500,2600,2500,2600,3800,9510000
191,KDM,HNX,10/10/2019,,2400,2700,2400,2500,14300,35350000
192,KDM,HNX,11/10/2019,,2500,2500,2500,2500,4800,12000000
193,KDM,HNX,14/10/2019,,2600,2700,2500,2500,28000,71240000
194,KDM,HNX,15/10/2019,,2600,2700,2500,2500,0,0
195,KDM,HNX,16/10/2019,,2600,2600,2600,2600,100,260000
196,KDM,HNX,17/10/2019,,2600,2600,2500,2500,1200,3010000
197,KDM,HNX,18/10/2019,,2500,2600,2400,2400,700,1750000
198,KDM,HNX,21/10/2019,,2400,2400,2300,2300,17500,40320000
199,KDM,HNX,22/10/2019,,2400,2500,2400,2400,7400,17770000
