,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,KSD,HNX,02/01/2019,,6500,6500,6500,6500,0,0
1,KSD,HNX,03/01/2019,,6300,6400,6300,6400,9800,61750000
2,KSD,HNX,04/01/2019,,6000,6400,6000,6400,6100,36640000
3,KSD,HNX,07/01/2019,,6000,6400,6000,6400,10100,60640000
4,KSD,HNX,08/01/2019,,6000,6300,6000,6300,10100,60630000
5,KSD,HNX,09/01/2019,,6300,6300,6300,6300,0,0
6,KSD,HNX,10/01/2019,,6300,6300,6300,6300,0,0
7,KSD,HNX,11/01/2019,,6300,6300,6300,6300,0,0
8,KSD,HNX,14/01/2019,,6000,6000,5800,5800,800,4720000
9,KSD,HNX,15/01/2019,,5800,5800,5500,5500,400,2290000
10,KSD,HNX,16/01/2019,,5500,5500,5000,5000,5500,30000000
11,KSD,HNX,17/01/2019,,5000,5000,4500,4500,10500,52250000
12,KSD,HNX,18/01/2019,,4900,4900,4800,4800,17200,83280000
13,KSD,HNX,21/01/2019,,5000,5000,4900,5000,13600,67500000
14,KSD,HNX,22/01/2019,,5100,5500,5000,5500,11000,56050000
15,KSD,HNX,23/01/2019,,5100,5100,5000,5000,10500,53500000
16,KSD,HNX,24/01/2019,,5100,5100,5100,5100,600,3060000
17,KSD,HNX,25/01/2019,,5600,5600,4600,4600,700,3320000
18,KSD,HNX,28/01/2019,,4500,4500,4500,4500,600,2700000
19,KSD,HNX,29/01/2019,,4600,4700,4600,4700,800,3740000
20,KSD,HNX,30/01/2019,,5000,5000,5000,5000,1200,6000000
21,KSD,HNX,31/01/2019,,5000,5000,5000,5000,10000,50000000
22,KSD,HNX,01/02/2019,,5000,5000,5000,5000,0,0
23,KSD,HNX,11/02/2019,,4600,4600,4600,4600,100,460000
24,KSD,HNX,12/02/2019,,4400,4400,4400,4400,100,440000
25,KSD,HNX,13/02/2019,,4200,4200,4200,4200,100,420000
26,KSD,HNX,14/02/2019,,4300,4300,4300,4300,100,430000
27,KSD,HNX,15/02/2019,,4200,4200,4200,4200,200,840000
28,KSD,HNX,18/02/2019,,4600,4600,4600,4600,200,920000
29,KSD,HNX,19/02/2019,,4600,4600,4600,4600,100,460000
30,KSD,HNX,20/02/2019,,4600,4600,4600,4600,120100,552460000
31,KSD,HNX,21/02/2019,,5000,5000,5000,5000,100,500000
32,KSD,HNX,22/02/2019,,5500,5500,4500,4500,200,1000000
33,KSD,HNX,25/02/2019,,4900,4900,4900,4900,100,490000
