,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,L62,HNX,02/01/2019,,5648,5648,5648,5648,500,3000000
1,L62,HNX,03/01/2019,,6213,6213,6213,6213,100,660000
2,L62,HNX,04/01/2019,,5648,5648,5648,5648,3200,19200000
3,L62,HNX,07/01/2019,,5648,5648,5648,5648,0,0
4,L62,HNX,08/01/2019,,5648,5648,5648,5648,0,0
5,L62,HNX,09/01/2019,,5083,5083,5083,5083,100,540000
6,L62,HNX,10/01/2019,,5083,5554,5083,5554,1300,7070000
7,L62,HNX,11/01/2019,,5083,5931,5083,5931,200,1170000
8,L62,HNX,14/01/2019,,5366,5366,5366,5366,600,3420000
9,L62,HNX,15/01/2019,,5366,5366,5366,5366,0,0
10,L62,HNX,16/01/2019,,4989,4989,4989,4989,100,530000
11,L62,HNX,17/01/2019,,4613,4613,4613,4613,100,490000
12,L62,HNX,18/01/2019,,4519,4519,4519,4519,100,480000
13,L62,HNX,21/01/2019,,4519,4519,4519,4519,100,480000
14,L62,HNX,22/01/2019,,4236,4236,4236,4236,100,450000
15,L62,HNX,23/01/2019,,4236,4236,4236,4236,0,0
16,L62,HNX,24/01/2019,,3954,3954,3954,3954,100,420000
17,L62,HNX,25/01/2019,,3954,3954,3954,3954,61,237900
18,L62,HNX,28/01/2019,,4330,4330,4330,4330,110,506000
19,L62,HNX,29/01/2019,,4707,4707,4707,4707,100,500000
20,L62,HNX,30/01/2019,,5178,5178,5178,5178,110,605000
21,L62,HNX,31/01/2019,,4707,5554,4707,5554,200,1090000
22,L62,HNX,01/02/2019,,5837,5837,5837,5837,100,620000
23,L62,HNX,11/02/2019,,5272,5272,5272,5272,500,2800000
24,L62,HNX,12/02/2019,,5272,5272,5272,5272,0,0
25,L62,HNX,13/02/2019,,5272,5272,5272,5272,0,0
26,L62,HNX,14/02/2019,,5272,5272,5272,5272,0,0
27,L62,HNX,15/02/2019,,5272,5272,5272,5272,0,0
28,L62,HNX,18/02/2019,,5272,5272,5272,5272,0,0
29,L62,HNX,19/02/2019,,5272,5272,5272,5272,0,0
30,L62,HNX,20/02/2019,,5272,5272,5272,5272,0,0
31,L62,HNX,21/02/2019,,5366,5366,5366,5366,2000,11400000
32,L62,HNX,22/02/2019,,5837,5837,5837,5837,1000,6200000
33,L62,HNX,25/02/2019,,5837,5837,5837,5837,0,0
34,L62,HNX,26/02/2019,,5837,5837,5837,5837,0,0
35,L62,HNX,27/02/2019,,5837,5837,5837,5837,0,0
36,L62,HNX,28/02/2019,,5837,5837,5837,5837,50,310000
37,L62,HNX,01/03/2019,,5837,5837,5837,5837,0,0
38,L62,HNX,04/03/2019,,5837,5837,5837,5837,0,0
39,L62,HNX,05/03/2019,,5837,5837,5837,5837,0,0
40,L62,HNX,06/03/2019,,5837,5837,5837,5837,0,0
41,L62,HNX,07/03/2019,,5837,5837,5837,5837,0,0
42,L62,HNX,08/03/2019,,5837,5837,5837,5837,0,0
43,L62,HNX,11/03/2019,,5837,5837,5837,5837,0,0
