,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,LDP,HNX,02/01/2019,,20810,20810,20810,20810,0,0
1,LDP,HNX,03/01/2019,,20810,20810,20810,20810,0,0
2,LDP,HNX,04/01/2019,,20810,20810,20810,20810,0,0
3,LDP,HNX,07/01/2019,,20810,20810,20810,20810,0,0
4,LDP,HNX,08/01/2019,,20810,20810,20810,20810,0,0
5,LDP,HNX,09/01/2019,,20810,20810,20810,20810,0,0
6,LDP,HNX,10/01/2019,,20241,22842,20241,22842,2400,60910000
7,LDP,HNX,11/01/2019,,20566,20566,20566,20566,100,2530000
8,LDP,HNX,14/01/2019,,18778,21542,18778,21542,1130,26485000
9,LDP,HNX,15/01/2019,,21542,21542,21542,21542,0,0
10,LDP,HNX,16/01/2019,,21542,21542,21542,21542,0,0
11,LDP,HNX,17/01/2019,,21542,21542,21542,21542,0,0
12,LDP,HNX,18/01/2019,,21542,21542,21542,21542,0,0
13,LDP,HNX,21/01/2019,,21542,21542,21542,21542,0,0
14,LDP,HNX,22/01/2019,,21542,21542,21542,21542,0,0
15,LDP,HNX,23/01/2019,,21542,21542,21542,21542,0,0
16,LDP,HNX,24/01/2019,,19428,20566,19428,20566,300,7450000
17,LDP,HNX,25/01/2019,,18697,20404,18697,20404,200,4810000
18,LDP,HNX,28/01/2019,,20404,20404,20404,20404,0,0
19,LDP,HNX,29/01/2019,,20160,21379,20160,21379,400,10110000
20,LDP,HNX,30/01/2019,,21379,21379,21379,21379,0,0
21,LDP,HNX,31/01/2019,,21379,21379,21379,21379,0,0
22,LDP,HNX,01/02/2019,,21379,21379,21379,21379,0,0
23,LDP,HNX,11/02/2019,,21379,21379,21379,21379,0,0
24,LDP,HNX,12/02/2019,,21379,21379,21379,21379,0,0
25,LDP,HNX,13/02/2019,,21379,21379,21379,21379,50,1275000
26,LDP,HNX,14/02/2019,,19510,23330,19510,23330,2115,52845500
