,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,LHC,HNX,02/01/2019,,12509,12509,12509,12509,0,0
1,LHC,HNX,03/01/2019,,12509,12509,12509,12509,0,0
2,LHC,HNX,04/01/2019,,12509,12509,12509,12509,0,0
3,LHC,HNX,07/01/2019,,12509,12509,12509,12509,0,0
4,LHC,HNX,08/01/2019,,12509,12509,12509,12509,0,0
5,LHC,HNX,09/01/2019,,12409,12509,12409,12509,3800,237000000
6,LHC,HNX,10/01/2019,,12509,12509,12509,12509,0,0
7,LHC,HNX,11/01/2019,,12509,12509,12509,12509,0,0
8,LHC,HNX,14/01/2019,,12509,12509,12509,12509,0,0
9,LHC,HNX,15/01/2019,,12509,12509,12509,12509,0,0
10,LHC,HNX,16/01/2019,,12509,12509,12509,12509,0,0
11,LHC,HNX,17/01/2019,,12209,12509,12209,12509,600,36910000
12,LHC,HNX,18/01/2019,,12509,12509,12509,12509,0,0
13,LHC,HNX,21/01/2019,,12509,12509,12509,12509,0,0
14,LHC,HNX,22/01/2019,,12509,12509,12509,12509,0,0
15,LHC,HNX,23/01/2019,,12409,12609,12409,12609,900,56200000
16,LHC,HNX,24/01/2019,,12609,12609,12609,12609,0,0
17,LHC,HNX,25/01/2019,,12409,12589,12409,12589,5600,348440000
18,LHC,HNX,28/01/2019,,12589,12589,12589,12589,0,0
19,LHC,HNX,29/01/2019,,12589,12589,12589,12589,0,0
20,LHC,HNX,30/01/2019,,12509,12509,12509,12509,2000,125000000
21,LHC,HNX,31/01/2019,,12509,12509,12509,12509,0,0
22,LHC,HNX,01/02/2019,,12509,12509,12509,12509,0,0
23,LHC,HNX,11/02/2019,,12509,12509,12509,12509,0,0
24,LHC,HNX,12/02/2019,,12509,12509,12009,12009,9600,583850000
25,LHC,HNX,13/02/2019,,12409,12409,12409,12409,100,6200000
26,LHC,HNX,14/02/2019,,12209,12409,12209,12409,7600,466540000
27,LHC,HNX,15/02/2019,,12409,12409,12409,12409,0,0
28,LHC,HNX,18/02/2019,,12409,12409,12409,12409,0,0
29,LHC,HNX,19/02/2019,,12409,12409,12409,12409,0,0
30,LHC,HNX,20/02/2019,,12309,12389,12309,12389,600,36940000
31,LHC,HNX,21/02/2019,,12209,12389,12209,12389,2300,140900000
32,LHC,HNX,22/02/2019,,12389,12389,12389,12389,0,0
33,LHC,HNX,25/02/2019,,12009,12409,12009,12409,1100,66200000
34,LHC,HNX,26/02/2019,,12409,12409,12409,12409,0,0
35,LHC,HNX,27/02/2019,,12409,12409,12409,12409,0,0
36,LHC,HNX,28/02/2019,,12009,12289,12009,12289,4700,285510000
37,LHC,HNX,01/03/2019,,12309,12509,12049,12509,7000,429450000
38,LHC,HNX,04/03/2019,,12509,12509,12509,12509,0,0
39,LHC,HNX,05/03/2019,,12509,12509,12509,12509,0,0
40,LHC,HNX,06/03/2019,,12509,12509,12509,12509,0,0
41,LHC,HNX,07/03/2019,,12389,12569,12309,12569,3000,187220000
42,LHC,HNX,08/03/2019,,12409,12589,12409,12589,61700,3825830000
43,LHC,HNX,11/03/2019,,12029,12509,12029,12509,2300,141700000
44,LHC,HNX,12/03/2019,,12009,12489,12009,12409,10700,642750000
45,LHC,HNX,13/03/2019,,12409,12409,12309,12309,62000,3843600000
46,LHC,HNX,14/03/2019,,12209,12209,12209,12209,400,24400000
47,LHC,HNX,15/03/2019,,12209,12209,12209,12209,200,12200000
48,LHC,HNX,18/03/2019,,11808,12189,11808,12189,3100,183280000
49,LHC,HNX,19/03/2019,,12189,12189,12189,12189,0,0
50,LHC,HNX,20/03/2019,,12189,12189,12189,12189,0,0
51,LHC,HNX,21/03/2019,,12009,12009,12009,12009,100,6000000
52,LHC,HNX,22/03/2019,,12009,12009,12009,12009,0,0
53,LHC,HNX,25/03/2019,,12416,12416,12335,12396,2600,158070000
54,LHC,HNX,26/03/2019,,12009,12355,12009,12355,600,35570000
55,LHC,HNX,27/03/2019,,12416,12782,12416,12782,2700,164880000
56,LHC,HNX,28/03/2019,,12782,12782,12782,12782,0,0
57,LHC,HNX,29/03/2019,,12009,12213,12009,12213,400,23800000
58,LHC,HNX,01/04/2019,,12213,12213,12213,12213,0,0
59,LHC,HNX,02/04/2019,,12335,12335,12335,12335,100,6060000
60,LHC,HNX,03/04/2019,,12416,12416,12375,12375,266800,16247440000
61,LHC,HNX,04/04/2019,,12375,12375,12375,12375,0,0
62,LHC,HNX,05/04/2019,,12375,12375,12375,12375,0,0
63,LHC,HNX,08/04/2019,,12375,12375,12375,12375,0,0
64,LHC,HNX,09/04/2019,,11805,12213,11154,12213,2800,160600000
65,LHC,HNX,10/04/2019,,12213,12416,12192,12416,4500,271230000
66,LHC,HNX,11/04/2019,,12416,12416,12416,12416,0,0
67,LHC,HNX,12/04/2019,,12416,12416,12416,12416,0,0
68,LHC,HNX,16/04/2019,,12314,12660,12192,12477,38900,2349580000
69,LHC,HNX,17/04/2019,,12477,12477,12477,12477,10,613000
70,LHC,HNX,18/04/2019,,12477,12477,12477,12477,0,0
71,LHC,HNX,19/04/2019,,12396,12497,12009,12497,2000,121970000
72,LHC,HNX,22/04/2019,,12497,12497,12497,12497,0,0
73,LHC,HNX,23/04/2019,,11704,12416,11419,12416,2200,130400000
74,LHC,HNX,24/04/2019,,11928,12335,11928,12335,15400,931990000
75,LHC,HNX,25/04/2019,,12721,12721,12050,12518,8400,516200000
76,LHC,HNX,26/04/2019,,12396,12416,12396,12416,600,36550000
77,LHC,HNX,02/05/2019,,12396,12477,12396,12436,4600,280620000
78,LHC,HNX,03/05/2019,,12436,12436,12436,12436,0,0
79,LHC,HNX,06/05/2019,,12416,12599,12213,12599,16700,1018400000
80,LHC,HNX,07/05/2019,,12416,12416,12416,12416,2100,128100000
81,LHC,HNX,08/05/2019,,12396,12396,12396,12396,1900,115710000
82,LHC,HNX,09/05/2019,,12416,12416,12416,12416,4700,286700000
83,LHC,HNX,10/05/2019,,12416,12416,12416,12416,2000,122000000
84,LHC,HNX,13/05/2019,,12355,12701,12274,12681,19900,1221430000
85,LHC,HNX,14/05/2019,,12620,12620,12620,12620,200,12400000
86,LHC,HNX,15/05/2019,,12620,12620,12620,12620,400,24800000
87,LHC,HNX,16/05/2019,,12620,12620,12620,12620,0,0
88,LHC,HNX,17/05/2019,,12416,12721,12416,12721,4900,301970000
89,LHC,HNX,20/05/2019,,12721,12721,12721,12721,0,0
90,LHC,HNX,21/05/2019,,12721,12721,12721,12721,0,0
91,LHC,HNX,22/05/2019,,12721,12721,12721,12721,0,0
92,LHC,HNX,23/05/2019,,12721,12721,12721,12721,0,0
93,LHC,HNX,24/05/2019,,12375,12721,12314,12620,14400,889850000
94,LHC,HNX,27/05/2019,,12518,12620,12518,12579,9400,579270000
95,LHC,HNX,28/05/2019,,12579,12579,12579,12579,0,0
96,LHC,HNX,29/05/2019,,12579,12579,12579,12579,0,0
97,LHC,HNX,30/05/2019,,12457,12457,12457,12457,100,6120000
98,LHC,HNX,31/05/2019,,12477,12538,12477,12538,1500,92180000
99,LHC,HNX,03/06/2019,,12457,12620,12436,12620,3800,233370000
100,LHC,HNX,04/06/2019,,12416,12620,12416,12620,3000,184150000
101,LHC,HNX,05/06/2019,,12620,12620,12620,12620,0,0
102,LHC,HNX,06/06/2019,,12314,12518,12314,12518,5900,361540000
103,LHC,HNX,07/06/2019,,12518,12518,12518,12518,0,0
104,LHC,HNX,10/06/2019,,12416,12538,12416,12538,1000,61540000
105,LHC,HNX,11/06/2019,,12518,12518,12518,12518,2000,123000000
106,LHC,HNX,12/06/2019,,12538,12620,12538,12620,2500,154140000
107,LHC,HNX,13/06/2019,,12620,12620,12620,12620,0,0
108,LHC,HNX,14/06/2019,,12620,12620,12620,12620,0,0
109,LHC,HNX,17/06/2019,,12620,12620,12620,12620,0,0
110,LHC,HNX,18/06/2019,,12436,12436,12436,12436,1700,103870000
111,LHC,HNX,19/06/2019,,12620,12620,12457,12457,300,18520000
112,LHC,HNX,20/06/2019,,12620,12620,12457,12457,300,18520000
113,LHC,HNX,21/06/2019,,12436,12436,12436,12436,100,6000000
114,LHC,HNX,24/06/2019,,12436,12518,12436,12518,200,12260000
115,LHC,HNX,25/06/2019,,12355,12620,12213,12620,9900,604870000
116,LHC,HNX,26/06/2019,,12538,13210,12538,13210,16000,994710000
117,LHC,HNX,27/06/2019,,12823,12925,12823,12925,7200,455100000
118,LHC,HNX,28/06/2019,,12823,12823,12823,12823,3800,239400000
119,LHC,HNX,01/07/2019,,12823,12823,12823,12823,0,0
120,LHC,HNX,02/07/2019,,12518,12803,12518,12803,7100,440690000
121,LHC,HNX,03/07/2019,,12803,12803,12803,12803,0,0
122,LHC,HNX,04/07/2019,,12457,12803,12457,12803,5700,352360000
123,LHC,HNX,05/07/2019,,12416,12518,12416,12518,1500,92000000
124,LHC,HNX,08/07/2019,,12518,12518,12518,12518,0,0
125,LHC,HNX,09/07/2019,,12620,12721,12620,12721,4150,257650000
126,LHC,HNX,10/07/2019,,12457,12620,12457,12620,1400,86360000
127,LHC,HNX,11/07/2019,,12660,12782,12660,12782,8500,530480000
128,LHC,HNX,12/07/2019,,12660,12782,12660,12782,0,0
129,LHC,HNX,15/07/2019,,12681,12782,12681,12782,6700,418960000
130,LHC,HNX,16/07/2019,,12681,12782,12681,12782,0,0
131,LHC,HNX,17/07/2019,,12681,12782,12681,12782,0,0
132,LHC,HNX,18/07/2019,,12681,12782,12681,12782,0,0
133,LHC,HNX,19/07/2019,,12701,12803,12620,12803,4200,262410000
134,LHC,HNX,22/07/2019,,12721,12823,12721,12803,8100,507590000
135,LHC,HNX,23/07/2019,,12762,12803,12721,12803,41500,2602790000
136,LHC,HNX,24/07/2019,,12620,12803,12620,12803,1500,93990000
137,LHC,HNX,25/07/2019,,12803,12803,12803,12803,1500,94350000
138,LHC,HNX,26/07/2019,,12803,12803,12803,12803,0,0
139,LHC,HNX,29/07/2019,,12782,12782,12782,12782,2000,125600000
140,LHC,HNX,30/07/2019,,12782,12782,12782,12782,0,0
141,LHC,HNX,31/07/2019,,12782,12782,12782,12782,0,0
142,LHC,HNX,01/08/2019,,12782,12782,12782,12782,0,0
143,LHC,HNX,02/08/2019,,12416,12762,12416,12762,200,12370000
144,LHC,HNX,05/08/2019,,12416,12762,12416,12762,0,0
145,LHC,HNX,06/08/2019,,12721,12721,12721,12721,100,6250000
146,LHC,HNX,07/08/2019,,12721,12721,12721,12721,3600,225000000
147,LHC,HNX,08/08/2019,,12721,12721,12681,12681,1900,118730000
148,LHC,HNX,09/08/2019,,12721,12721,12681,12681,900,56090000
149,LHC,HNX,12/08/2019,,12681,12721,12681,12721,3900,243530000
150,LHC,HNX,13/08/2019,,12681,12721,12681,12721,0,0
151,LHC,HNX,14/08/2019,,12681,12721,12681,12721,0,0
152,LHC,HNX,15/08/2019,,12681,12721,12681,12721,0,0
153,LHC,HNX,16/08/2019,,12213,12213,12213,12213,100,6000000
154,LHC,HNX,19/08/2019,,12620,12681,12620,12681,1000,62270000
155,LHC,HNX,20/08/2019,,12681,12681,12681,12681,400,24920000
156,LHC,HNX,21/08/2019,,12620,12782,12213,12213,10500,647730000
157,LHC,HNX,22/08/2019,,12721,12782,12721,12782,1300,81280000
158,LHC,HNX,23/08/2019,,12721,12782,12721,12782,0,0
159,LHC,HNX,26/08/2019,,12721,12782,12721,12782,0,0
160,LHC,HNX,27/08/2019,,12701,12823,12701,12823,2200,138050000
161,LHC,HNX,28/08/2019,,12701,12823,12701,12823,0,0
162,LHC,HNX,29/08/2019,,12721,12823,12721,12823,1600,100110000
163,LHC,HNX,30/08/2019,,12721,12823,12721,12823,0,0
164,LHC,HNX,03/09/2019,,12721,12823,12721,12823,0,0
165,LHC,HNX,04/09/2019,,12721,12782,12721,12782,1800,112670000
166,LHC,HNX,05/09/2019,,12762,12823,12762,12823,6600,414960000
167,LHC,HNX,06/09/2019,,12762,12823,12762,12823,0,0
168,LHC,HNX,09/09/2019,,12762,12823,12762,12823,0,0
169,LHC,HNX,10/09/2019,,12762,12823,12762,12823,0,0
170,LHC,HNX,11/09/2019,,12416,12721,12416,12721,400,24550000
171,LHC,HNX,12/09/2019,,12416,12721,12416,12721,0,0
172,LHC,HNX,13/09/2019,,12416,12721,12416,12721,0,0
173,LHC,HNX,16/09/2019,,12416,12721,12416,12721,0,0
174,LHC,HNX,17/09/2019,,12721,12721,12721,12721,1800,112500000
175,LHC,HNX,18/09/2019,,12416,12620,12416,12620,3600,221300000
176,LHC,HNX,19/09/2019,,12620,12701,12620,12701,9500,590680000
177,LHC,HNX,20/09/2019,,12701,12884,12701,12884,52100,3295030000
178,LHC,HNX,23/09/2019,,12701,12884,12701,12884,0,0
179,LHC,HNX,24/09/2019,,12701,12884,12701,12884,0,0
180,LHC,HNX,25/09/2019,,12701,12884,12701,12884,0,0
181,LHC,HNX,26/09/2019,,12803,12803,12803,12803,12700,798830000
182,LHC,HNX,27/09/2019,,12803,12803,12803,12803,0,0
183,LHC,HNX,30/09/2019,,12782,12782,12782,12782,21500,1350200000
184,LHC,HNX,01/10/2019,,12803,12823,12681,12721,20800,1307750000
185,LHC,HNX,02/10/2019,,12640,12701,12640,12701,3300,205600000
186,LHC,HNX,03/10/2019,,12416,12518,12355,12518,2500,152910000
187,LHC,HNX,04/10/2019,,12620,12803,12620,12803,1100,68290000
188,LHC,HNX,07/10/2019,,12620,12803,12620,12803,0,0
189,LHC,HNX,08/10/2019,,12620,12803,12620,12803,0,0
190,LHC,HNX,09/10/2019,,12721,12721,12721,12721,2000,125000000
191,LHC,HNX,10/10/2019,,12721,12721,12721,12721,0,0
192,LHC,HNX,11/10/2019,,12620,12762,12620,12762,600,37420000
193,LHC,HNX,14/10/2019,,12620,12762,12620,12762,0,0
194,LHC,HNX,15/10/2019,,12823,12925,12701,12925,12800,806950000
195,LHC,HNX,16/10/2019,,12823,12925,12823,12925,2100,132350000
196,LHC,HNX,17/10/2019,,12823,12925,12823,12925,0,0
197,LHC,HNX,18/10/2019,,12823,12925,12823,12925,0,0
198,LHC,HNX,21/10/2019,,12823,12823,12823,12823,1700,107100000
199,LHC,HNX,22/10/2019,,12782,12823,12782,12823,3300,207300000
200,LHC,HNX,23/10/2019,,12782,12823,12782,12782,5000,314200000
201,LHC,HNX,24/10/2019,,12782,12823,12782,12782,0,0
202,LHC,HNX,25/10/2019,,12782,12823,12782,12782,0,0
203,LHC,HNX,28/10/2019,,12782,12823,12782,12782,0,0
204,LHC,HNX,29/10/2019,,12559,12823,12559,12823,2200,138070000
205,LHC,HNX,30/10/2019,,12559,12823,12559,12823,0,0
206,LHC,HNX,31/10/2019,,12721,12823,12640,12721,8100,504300000
207,LHC,HNX,01/11/2019,,12721,12823,12640,12721,0,0
