,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,MCC,HNX,02/01/2019,,10749,10749,10749,10749,0,0
1,MCC,HNX,03/01/2019,,10749,10749,10749,10749,0,0
2,MCC,HNX,04/01/2019,,10749,10749,10749,10749,0,0
3,MCC,HNX,07/01/2019,,10749,10749,10749,10749,0,0
4,MCC,HNX,08/01/2019,,10749,10749,10749,10749,0,0
5,MCC,HNX,09/01/2019,,10749,10749,10749,10749,0,0
6,MCC,HNX,10/01/2019,,10749,10749,10749,10749,0,0
7,MCC,HNX,11/01/2019,,10749,10749,10749,10749,0,0
8,MCC,HNX,14/01/2019,,10749,10749,10749,10749,0,0
9,MCC,HNX,15/01/2019,,10749,10749,10749,10749,0,0
10,MCC,HNX,16/01/2019,,10749,10749,10749,10749,0,0
11,MCC,HNX,17/01/2019,,10749,10749,10749,10749,0,0
12,MCC,HNX,18/01/2019,,10749,10749,10749,10749,0,0
13,MCC,HNX,21/01/2019,,10749,10749,10749,10749,0,0
14,MCC,HNX,22/01/2019,,10749,10749,10749,10749,0,0
15,MCC,HNX,23/01/2019,,10749,10749,10749,10749,0,0
16,MCC,HNX,24/01/2019,,10749,10749,10749,10749,0,0
17,MCC,HNX,25/01/2019,,10749,10749,10749,10749,0,0
18,MCC,HNX,28/01/2019,,10749,10749,10749,10749,0,0
19,MCC,HNX,29/01/2019,,10749,10749,10749,10749,0,0
20,MCC,HNX,30/01/2019,,10749,10749,10749,10749,0,0
21,MCC,HNX,31/01/2019,,10749,10749,10749,10749,0,0
22,MCC,HNX,01/02/2019,,10749,10749,10749,10749,0,0
23,MCC,HNX,11/02/2019,,10749,10749,10749,10749,0,0
24,MCC,HNX,12/02/2019,,10749,10749,10749,10749,0,0
25,MCC,HNX,13/02/2019,,10749,10749,10749,10749,0,0
26,MCC,HNX,14/02/2019,,10749,10749,10749,10749,0,0
27,MCC,HNX,15/02/2019,,10749,10749,10749,10749,0,0
