,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,MCF,HNX,02/01/2019,,8301,8301,8301,8301,0,0
1,MCF,HNX,03/01/2019,,8301,8301,8301,8301,0,0
2,MCF,HNX,04/01/2019,,8301,8301,8301,8301,0,0
3,MCF,HNX,07/01/2019,,8301,8301,8301,8301,0,0
4,MCF,HNX,08/01/2019,,8301,8301,8301,8301,0,0
5,MCF,HNX,09/01/2019,,8301,8301,8301,8301,0,0
6,MCF,HNX,10/01/2019,,8301,8301,8301,8301,0,0
7,MCF,HNX,11/01/2019,,8301,8301,8301,8301,0,0
8,MCF,HNX,14/01/2019,,8301,8301,8301,8301,0,0
9,MCF,HNX,15/01/2019,,8301,8301,8301,8301,0,0
10,MCF,HNX,16/01/2019,,7498,8033,7498,8033,200,2320000
11,MCF,HNX,17/01/2019,,8033,8033,8033,8033,0,0
12,MCF,HNX,18/01/2019,,7297,7899,7297,7899,200,2270000
13,MCF,HNX,21/01/2019,,7297,7297,7297,7297,100,1090000
14,MCF,HNX,22/01/2019,,7966,7966,7966,7966,100,1190000
15,MCF,HNX,23/01/2019,,7230,7230,7230,7230,200,2160000
16,MCF,HNX,24/01/2019,,7230,7230,7230,7230,0,0
17,MCF,HNX,25/01/2019,,7230,7230,7230,7230,0,0
18,MCF,HNX,28/01/2019,,7230,7230,7230,7230,0,0
19,MCF,HNX,29/01/2019,,7230,7230,7230,7230,0,0
20,MCF,HNX,30/01/2019,,7230,7230,7230,7230,0,0
21,MCF,HNX,31/01/2019,,7230,7230,7230,7230,0,0
22,MCF,HNX,01/02/2019,,7498,7498,7498,7498,200,2240000
23,MCF,HNX,11/02/2019,,7498,7498,7498,7498,0,0
24,MCF,HNX,12/02/2019,,7498,7498,7498,7498,0,0
25,MCF,HNX,13/02/2019,,7431,7431,7431,7431,300,3330000
26,MCF,HNX,14/02/2019,,7431,7431,7431,7431,0,0
27,MCF,HNX,15/02/2019,,7431,7431,7431,7431,0,0
28,MCF,HNX,18/02/2019,,8167,8167,8167,8167,100,1220000
