,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,MCO,HNX,02/01/2019,,1500,1500,1500,1500,0,0
1,MCO,HNX,03/01/2019,,1500,1500,1500,1500,0,0
2,MCO,HNX,04/01/2019,,1400,1500,1400,1500,8800,12350000
3,MCO,HNX,07/01/2019,,1500,1500,1500,1500,0,0
4,MCO,HNX,08/01/2019,,1500,1500,1500,1500,0,0
5,MCO,HNX,09/01/2019,,1400,1500,1400,1500,1204,1696000
6,MCO,HNX,10/01/2019,,1400,1400,1400,1400,26100,36540000
7,MCO,HNX,11/01/2019,,1400,1400,1400,1400,0,0
8,MCO,HNX,14/01/2019,,1300,1500,1300,1500,200,280000
9,MCO,HNX,15/01/2019,,1500,1500,1500,1500,0,0
10,MCO,HNX,16/01/2019,,1500,1500,1500,1500,0,0
11,MCO,HNX,17/01/2019,,1500,1500,1500,1500,0,0
12,MCO,HNX,18/01/2019,,1500,1500,1500,1500,0,0
13,MCO,HNX,21/01/2019,,1600,1600,1600,1600,200,320000
14,MCO,HNX,22/01/2019,,1600,1600,1600,1600,0,0
15,MCO,HNX,23/01/2019,,1600,1600,1600,1600,300,480000
16,MCO,HNX,24/01/2019,,1600,1600,1600,1600,0,0
17,MCO,HNX,25/01/2019,,1600,1600,1600,1600,0,0
18,MCO,HNX,28/01/2019,,1600,1600,1600,1600,0,0
19,MCO,HNX,29/01/2019,,1600,1600,1600,1600,0,0
20,MCO,HNX,30/01/2019,,1600,1600,1600,1600,0,0
21,MCO,HNX,31/01/2019,,1600,1600,1600,1600,0,0
22,MCO,HNX,01/02/2019,,1700,1700,1700,1700,100,170000
23,MCO,HNX,11/02/2019,,1700,1700,1700,1700,0,0
24,MCO,HNX,12/02/2019,,1700,1700,1700,1700,700,1190000
25,MCO,HNX,13/02/2019,,1700,1700,1700,1700,0,0
26,MCO,HNX,14/02/2019,,1700,1700,1700,1700,0,0
27,MCO,HNX,15/02/2019,,1600,1600,1600,1600,3100,4960000
28,MCO,HNX,18/02/2019,,1600,1600,1600,1600,1000,1600000
29,MCO,HNX,19/02/2019,,1600,1600,1600,1600,2100,3360000
30,MCO,HNX,20/02/2019,,1600,1600,1600,1600,100,160000
