,Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
0,MDC,HNX,02/01/2019,,4191,4269,4191,4269,200,1090000
1,MDC,HNX,03/01/2019,,4269,4269,4269,4269,0,0
2,MDC,HNX,04/01/2019,,4269,4657,4269,4269,9400,51750000
3,MDC,HNX,07/01/2019,,4269,4579,4269,4269,300,1690000
4,MDC,HNX,08/01/2019,,4269,4269,4269,4269,0,0
5,MDC,HNX,09/01/2019,,4269,4269,4269,4269,0,0
6,MDC,HNX,10/01/2019,,4346,4346,4346,4346,5000,28000000
7,MDC,HNX,11/01/2019,,4346,4346,4346,4346,0,0
8,MDC,HNX,14/01/2019,,4036,4424,4036,4424,631,3331200
9,MDC,HNX,15/01/2019,,4269,4269,4269,4269,200,1100000
10,MDC,HNX,16/01/2019,,4269,4269,4269,4269,0,0
11,MDC,HNX,17/01/2019,,4269,4269,4269,4269,300,1650000
12,MDC,HNX,18/01/2019,,4269,4269,4269,4269,15000,82500000
13,MDC,HNX,21/01/2019,,4269,4269,4269,4269,0,0
14,MDC,HNX,22/01/2019,,4269,4269,4269,4269,9900,54450000
15,MDC,HNX,23/01/2019,,4269,4269,4269,4269,1500,8250000
16,MDC,HNX,24/01/2019,,4269,4269,4269,4269,45400,249700000
17,MDC,HNX,25/01/2019,,4269,4269,4269,4269,0,0
18,MDC,HNX,28/01/2019,,4269,4269,4269,4269,9000,49500000
19,MDC,HNX,29/01/2019,,4269,4269,4269,4269,11000,60500000
20,MDC,HNX,30/01/2019,,4269,4269,4269,4269,0,0
21,MDC,HNX,31/01/2019,,4269,4269,4269,4269,0,0
22,MDC,HNX,01/02/2019,,4269,4269,4269,4269,0,0
23,MDC,HNX,11/02/2019,,4269,4269,4269,4269,0,0
24,MDC,HNX,12/02/2019,,4269,4269,4269,4269,0,0
25,MDC,HNX,13/02/2019,,4269,4269,4269,4269,0,0
26,MDC,HNX,14/02/2019,,4424,4579,4269,4269,4000,23160000
27,MDC,HNX,15/02/2019,,4424,4424,4424,4424,100,570000
28,MDC,HNX,18/02/2019,,4424,4424,4424,4424,0,0
29,MDC,HNX,19/02/2019,,4424,4502,4424,4424,7800,44470000
30,MDC,HNX,20/02/2019,,4424,4424,4424,4424,400,2280000
31,MDC,HNX,21/02/2019,,4424,4424,4424,4424,4500,25650000
32,MDC,HNX,22/02/2019,,4191,4191,4191,4191,100,540000
33,MDC,HNX,25/02/2019,,4346,4346,4269,4269,4800,26410000
34,MDC,HNX,26/02/2019,,4269,4269,4269,4269,200,1100000
35,MDC,HNX,27/02/2019,,4424,4424,4424,4424,1000,5700000
36,MDC,HNX,28/02/2019,,4424,4502,4424,4502,13500,77700000
37,MDC,HNX,01/03/2019,,4502,4502,4502,4502,10000,58000000
38,MDC,HNX,04/03/2019,,4502,4579,4502,4502,2800,16250000
39,MDC,HNX,05/03/2019,,4579,4657,4579,4657,25802,153541700
40,MDC,HNX,06/03/2019,,4734,4812,4734,4812,48802,300322800
41,MDC,HNX,07/03/2019,,4967,5045,4890,4890,11222,71866400
42,MDC,HNX,08/03/2019,,4890,4967,4890,4967,27702,177242600
43,MDC,HNX,11/03/2019,,4967,4967,4967,4967,1500,9600000
44,MDC,HNX,12/03/2019,,4967,5045,4967,5045,2100,13640000
45,MDC,HNX,13/03/2019,,5045,5045,5045,5045,59700,388050000
46,MDC,HNX,14/03/2019,,5045,5045,5045,5045,25500,165750000
47,MDC,HNX,15/03/2019,,5045,5123,4967,5123,5100,33240000
48,MDC,HNX,18/03/2019,,5123,5123,5123,5123,6900,45540000
49,MDC,HNX,19/03/2019,,5045,5045,5045,5045,500,3250000
50,MDC,HNX,20/03/2019,,5045,5200,5045,5200,7000,46500000
51,MDC,HNX,21/03/2019,,5200,5200,5045,5045,47100,306340000
52,MDC,HNX,22/03/2019,,5045,5045,4967,4967,16400,106160000
53,MDC,HNX,25/03/2019,,5045,5045,5045,5045,1000,6500000
54,MDC,HNX,26/03/2019,,5123,5355,5123,5355,10700,72120000
55,MDC,HNX,27/03/2019,,5511,5588,5511,5511,66600,472960000
56,MDC,HNX,28/03/2019,,5588,5588,5588,5588,3400,24480000
57,MDC,HNX,29/03/2019,,5588,5588,5511,5511,33200,239030000
58,MDC,HNX,01/04/2019,,5511,5511,5511,5511,0,0
59,MDC,HNX,02/04/2019,,5511,5511,5511,5511,10000,71000000
60,MDC,HNX,03/04/2019,,5588,5588,5511,5511,9872,70390800
61,MDC,HNX,04/04/2019,,5666,5821,5666,5821,13300,98520000
62,MDC,HNX,05/04/2019,,5821,6054,5821,6054,10300,77580000
63,MDC,HNX,08/04/2019,,5821,5976,5821,5976,600,4520000
64,MDC,HNX,09/04/2019,,5976,5976,5976,5976,13000,100100000
65,MDC,HNX,10/04/2019,,5976,5976,5976,5976,12000,92400000
66,MDC,HNX,11/04/2019,,5976,5976,5976,5976,5600,43120000
67,MDC,HNX,12/04/2019,,5976,6054,5976,6054,12800,98740000
68,MDC,HNX,16/04/2019,,6054,6054,5976,6054,10400,81090000
69,MDC,HNX,17/04/2019,,5976,6054,5976,6054,1200,9250000
70,MDC,HNX,18/04/2019,,5976,6054,5976,6054,2200,16950000
71,MDC,HNX,19/04/2019,,5976,6054,5976,5976,24500,189920000
72,MDC,HNX,22/04/2019,,6054,6209,6054,6131,15104,119861700
73,MDC,HNX,23/04/2019,,6131,6209,5976,6209,94602,737656600
74,MDC,HNX,24/04/2019,,6131,6131,6054,6131,124208,973133400
75,MDC,HNX,25/04/2019,,6054,6131,6054,6131,34548,269800400
76,MDC,HNX,26/04/2019,,6054,6131,5976,6131,25710,198983000
77,MDC,HNX,02/05/2019,,6209,6209,5976,5976,17400,134160000
78,MDC,HNX,03/05/2019,,5976,6131,5976,6131,29500,227520000
79,MDC,HNX,06/05/2019,,5976,6131,5976,6131,53200,414620000
80,MDC,HNX,07/05/2019,,5976,6131,5976,6131,4800,37620000
